,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,EV A2/60,PP A1/60,PK A1/60,PP A2/60,PK A2/60
0,A.J. Greer,L,26.8,75,208,68.15319351462496,9.431587017319425,0.281960639813686,0.2266040406850725,0.7725895129257347,1.3853057517033636,0.3398081296771852,0.5536214231826357,0.3716563568081898,1.0460650398946196,0.2887664441200987,0.8249203756431449,0.02641899172577976
1,Aaron Ekblad,D,27.6,76,215,65.05479626541451,18.26429770343243,3.292502536118012,2.7743396419651063,0.3756295526268717,1.2745519369455254,0.0942154551351448,0.3220765933684311,0.3854731169025409,1.5650809265302914,0.0955028511004939,1.693679580798704,0.09301533388091521
2,Aatu Raty,C,20.9,74,190,41.466697290539365,8.879028368183107,0.3749270135890732,0.0,0.5812153970725296,1.3060663398608037,,0.4144346418654118,0.2488454591328647,0.8157453859248802,,0.594634688071844,
3,Adam Beckman,L,22.4,74,182,41.501533125414,10.41075528365042,0.6903745155126484,0.0101966451239281,0.599393685914508,1.3425081663115142,,0.4447781507069532,0.2961077102764476,0.9183630486138048,,0.6972863153399034,
4,Adam Boqvist,D,23.1,72,182,56.33688867201498,16.446157314268312,3.0700990874569607,0.557882534273479,0.2678473490091102,0.935409345917469,0.0377982255358737,0.2821214414788328,0.3624684798900003,1.457902472244759,0.1192728974010869,1.5721047898709686,0.08432691095550436
5,Adam Erne,L,28.4,73,212,70.23964367735509,12.42931294701488,0.4128427702905335,1.267479662098934,0.6262872363934464,1.1650473908119747,0.1942291832237745,0.4767612544132744,0.3225072854949733,1.0324530917751114,0.3195218864562804,0.8019049759731014,0.036722006168993
6,Adam Fox,D,25.6,71,182,76.11095112720281,19.35523291763076,3.4835628707046764,2.31826435382967,0.2770567868720845,0.4989985346943755,0.0756776960618172,0.4897291405964284,0.5015439484397531,2.829676720985169,0.0878240673334977,2.5083210678134797,0.08717710883900504
7,Adam Ginning,D,23.7,75,188,38.03937215922333,15.368410609160756,0.7008814315971461,1.0934921461798033,0.1143774085595972,,0.034972576706828,0.213877874482638,0.2825925447575335,,0.1124495941454381,,0.08392689968327592
8,Adam Henrique,C,33.6,72,195,65.40090322847496,13.367216809870753,2.2051750329467183,1.8929490244126588,0.9292024463197688,1.7448947792712053,0.0693569067189332,0.4104588445970727,0.2408310723604046,1.1156061856172692,0.1722861113640474,0.7477833034400607,0.03478359851434075
9,Adam Larsson,D,30.9,75,209,77.92054714178143,20.13926777580189,0.096070695499971,2.652021362542532,0.213869168466477,0.4104708822405339,0.1404460907320427,0.3253534303042243,0.3569432761792985,1.1501335654477731,0.0806340443267435,1.249077888679108,0.12274783309306801
10,Adam Lowry,C,30.5,78,208,76.85523458084828,12.348514078985447,1.22305094631638,2.2148189238525124,0.6601724886479211,1.1017697932514767,0.2132364405249464,0.503789116367099,0.3351294274755605,0.9659120019611308,0.2761984378202034,0.7603244605671469,0.04417945635284453
11,Adam Pelech,D,29.1,75,210,72.06142889428426,19.264330261586583,0.1371615427684474,2.478552694702373,0.2218224189342394,0.5098913198711281,0.0493547480181141,0.3226451145830386,0.3789386172486833,1.1998249719679728,0.0903165671853147,1.2964377680705188,0.09440183012207078
12,Adam Raska,R,22.0,70,178,38.390921094006586,10.280629498554369,0.5343405199908231,0.0,0.603172215688929,,,0.420510908016155,0.2740918136375763,,,,
13,Adam Ruzicka,C,24.4,76,215,58.85123936122578,9.941322620656637,1.1196746117880474,0.0588462357656933,0.7922247406663221,1.5128938802926877,0.4141797347644427,0.7305822267500656,0.4476968562572161,1.2369357823682343,0.3121746984012387,1.0740052018909376,0.01498634264056829
