,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60,GOALS,PRIMARY ASSISTS,SECONDARY ASSISTS,POINTS
34,Justin Kloos,C,24.8,69,175,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.11753258088498865,0.13334713535656326,0.07699386378883968,0.19370963099036248
35,Louie Belpedio,D,22.4,71,197,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.10968166405857271,0.12443984121869651,0.10000872313845427,0.19369327870882871
36,Christopher DiDomenico,L,29.6,71,174,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.11745343806918936,0.1332573435074315,0.07694201849510382,0.19357919289797496
37,Daniel Brickley,D,23.5,75,203,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.1212207839746951,0.11808322590691701,0.09349974336631357,0.19333993047891115
38,Kris Versteeg,R,32.4,71,176,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.11704189558365886,0.13279042606964706,0.07667242307028063,0.19290091507570048
39,Liam O'Brien,C,24.2,73,213,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.1207904284997731,0.1176640093245849,0.09316780254608349,0.19265353912856312
40,Dylan Gambrell,C,22.1,71,185,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.12064073972501493,0.11751819494502116,0.09305234493588004,0.19241479444835002
41,Patrick Sieloff,D,24.4,73,205,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.1205284731732714,0.11740883418891443,0.0929657517508464,0.19223573598496196
42,Landon Ferraro,C,27.1,72,173,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.11604469758765369,0.13165905045320658,0.07601917334074344,0.19125739755591153
43,Nick Lappin,R,25.9,73,175,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.11601304053431924,0.13162313379635968,0.07599843527106068,0.19120522243924615
44,Jared Boll,R,32.4,75,206,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.11588641233708118,0.13147946718723805,0.0759154830028763,0.19099652199911915
45,Henrik Haapala,L,24.6,69,165,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.11553818492808168,0.13108438416350898,0.07568736435276102,0.1904225960086397
46,Matt Martin,L,29.4,75,220,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.11457264633028297,0.12998892786430083,0.07505485422899774,0.18883125747018317
47,Alex Broadhurst,C,25.6,72,178,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.11444601843185678,0.1298452615941976,0.07497190215656063,0.18862255752253865
48,Tomas Hyka,R,25.5,71,160,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.11435104752562654,0.1297375119115763,0.07490968811375535,0.18846603259079497
49,Brandon Pirri,C,27.5,72,180,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.11398699252546318,0.12932447162080346,0.07467120104163318,0.18786602058381924
50,Alex Formenton,L,19.1,75,195,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.11774052874313627,0.11469305013633563,0.09081536070246321,0.18778913067003583
51,Justin Auger,R,24.4,78,232,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.11708564484412597,0.11405511660007192,0.09031023712146925,0.18674462985627405
52,Curtis McKenzie,L,27.6,74,205,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.1124516326268325,0.12758252191900896,0.0736654093708309,0.18533553927249516
53,Ashton Sautner,D,24.3,73,195,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.11558877090079642,0.11259698625139129,0.08915567166689958,0.1843572050711032
54,Joshua Ho-Sang,R,22.7,72,173,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.11021982827319049,0.1250504179271321,0.07220338718843874,0.1816572230598211
55,Stefan Matteau,C,24.6,74,208,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.11021982827319049,0.1250504179271321,0.07220338718843874,0.1816572230598211
56,Ty Rattie,R,25.7,71,183,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.11006154462402205,0.12487083647804398,0.07209969789962783,0.1813963501423598
57,Mike Blunden,R,31.8,76,217,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,0.11283827842802857,0.10991768478700778,0.08703416797832045,0.1799703333975236
58,Mike Liambas,L,29.6,70,195,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.10881110546799946,0.12345214492768605,0.07128055361359156,0.1793354568507706
59,David Desharnais,C,32.0,67,180,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.10808300305037837,0.12262607294913426,0.07080358443666605,0.17813544533414621
