,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60
0,A.J. Greer,L,26.8,75,208,69.9271,9.387578699999995,0.1444076399999999,0.2613096100000001,0.7915101800000001,1.07461576,0.3818515000000002,0.5228897900000002,0.9097617799999996,0.2508279299999999,0.3790893299999999,1.2233512799999997,0.03182048
1,Aaron Ekblad,D,27.6,76,215,71.80109999999999,18.146435,3.123155190000001,2.6235111800000004,0.33477789,1.1263240600000004,0.08265025,0.4655033200000003,1.9747778499999995,0.1158148599999999,0.4187856200000001,,0.12162566999999999
2,Aatu Raty,C,20.9,74,190,67.45129999999999,11.969330940000004,1.6315485300000006,0.25508068,0.58908907,1.3836188300000003,,0.5946693499999999,1.0829663700000003,,0.4023003200000001,1.4399077900000001,
3,Adam Beckman,L,22.4,74,182,67.55720000000002,11.369218189999994,0.7538694999999994,0.30410841,0.6813873600000007,1.2205695499999998,,0.47540282,0.9043792800000002,,0.3895807699999999,1.4395372899999996,
4,Adam Boqvist,D,23.1,72,182,65.08089999999994,16.048046620000008,2.7426026200000013,0.9700072199999998,0.3506955,0.6679871799999998,0.01787959,0.3710477899999999,1.6524535100000002,0.1969462500000001,0.4098495200000001,,0.17202550999999996
5,Adam Erne,L,28.4,73,212,69.77989999999998,11.634930930000005,0.36752573,0.96367636,0.5710742299999998,1.2195756300000005,0.15335312,0.36385863,0.9770367,0.3823271500000001,0.34627019,1.2117962600000003,0.08361319000000002
6,Adam Fox,D,25.6,71,182,72.64970000000001,18.644506780000007,3.2908980199999984,2.04298261,0.33903985,0.6869896300000002,0.06150336,0.5017462299999998,2.61015871,0.13319304,0.4771450200000002,,0.18616574
7,Adam Ginning,D,23.7,75,188,65.3553,16.540451920000002,0.1187426899999999,1.1075210999999994,0.1034161599999999,,0.0878985599999999,0.26214786,,0.03904534,0.3176406,,0.12426205000000001
8,Adam Henrique,C,33.6,72,195,69.3501,12.863235669999996,2.0206779800000003,1.9925119399999995,1.0630079999999995,2.20461849,0.4198208099999999,0.6188858499999997,1.21826008,0.3077070699999999,0.39209545,1.6121010499999995,0.040475759999999986
9,Adam Larsson,D,30.9,75,209,72.16590000000001,19.76805379,0.11796781,2.50680966,0.2161925099999999,0.52643243,0.08696009,0.3138187099999999,1.2439472900000006,0.06191599,0.3720902199999999,,0.07123954
10,Adam Lowry,C,30.5,78,208,72.98369999999998,11.71037596,1.1155193199999998,2.13892087,0.6479416100000002,1.34351812,0.3717280599999999,0.52247477,0.92815031,0.2771367,0.50290301,1.5756913000000012,0.05172703
11,Adam Pelech,D,29.1,75,210,72.96760000000003,18.44787068,0.1682140699999999,2.53517179,0.20802148,0.63599877,0.06166093,0.3163585099999999,1.0063424399999998,0.04850113,0.42408112,,0.17789544000000007
12,Adam Raska,R,22.0,70,178,69.18149999999999,11.571753629999996,0.6317321300000003,0.14345803,0.68147978,,,0.52597769,,,0.3457927199999999,,
13,Adam Ruzicka,C,24.4,76,215,70.32549999999999,10.021306699999997,1.84517646,0.13766243,0.7908365399999998,1.01839753,0.2744791899999999,0.7577821000000003,1.0543007599999996,0.10430764,0.47333139,1.8630932999999996,0.004638570000000001
14,Adrian Kempe,"C, R",27.0,74,200,78.73979999999999,14.060646910000004,3.0163490400000006,1.45003698,0.9823440200000002,2.3930159099999995,0.4888451399999999,0.5809731800000002,1.2370086499999997,0.54497419,0.3719528400000002,1.6530311500000001,0.017588239999999998
15,Aidan McDonough,L,23.9,75,190,68.28129999999999,11.226717050000005,0.4902537999999998,0.2375442899999999,0.6745141400000003,1.22628316,,0.41782409,0.93897306,,0.3202374199999999,1.4306271499999992,
16,Akito Hirose,D,24.5,72,170,66.69930000000002,16.28901092000002,1.4417809000000004,1.1607610100000008,0.1080558899999999,0.4274724100000001,0.0928551599999999,0.2576779800000001,1.4751758700000002,0.11613188,0.3623497399999999,,0.10062159000000001
17,Alec Martinez,D,36.2,73,210,68.5726,16.226135379999985,0.1421489100000001,1.8467579499999989,0.2625311900000001,0.9378462600000004,0.0070028699999999,0.26407367,1.3315880999999996,0.01750275,0.35928529,,0.10315631
18,Alec Regula,D,23.2,76,208,69.92779999999999,15.998491840000002,0.7781249700000004,1.7157410100000008,0.11952553,0.60964142,0.08845887,0.2431478000000001,1.2191213200000002,0.08387037,0.31412443,,0.07000897000000003
19,Aleksander Barkov,C,28.1,75,215,72.42980000000004,15.087560409999998,3.61176198,1.835539419999999,1.154160009999999,2.03835082,0.7854047400000002,1.1026874800000004,2.417099710000001,0.41152879,0.6796601699999997,2.1152219499999996,0.10672485999999998
20,Aleksi Heponiemi,C,24.7,70,155,69.82019999999999,11.632931339999995,0.4152449200000001,0.7139615699999997,0.7703530100000002,1.0760915299999998,0.64204628,0.5420112499999999,1.16114705,0.6513895899999994,0.3347590999999999,1.1996993100000004,0.2621482699999999
21,Alex Barr��-Boulet,C,26.4,70,180,70.47330000000002,10.998176400000007,1.05812012,0.0881767999999999,0.6869111400000001,,0.5684027600000002,0.56705955,,0.3686212999999996,0.3519735999999999,,0.015882159999999996
22,Alex Belzile,R,32.1,72,196,69.3226,9.941083940000006,0.34168121,0.9532986600000002,0.40636753,1.0462725000000004,0.60938929,0.5118199600000001,0.8319393400000001,0.15736049,0.35754525,1.4566863099999994,0.0034792100000000004
23,Alex Chiasson,R,33.0,76,208,71.04430000000002,9.502455959999995,2.2950478800000025,0.07022225,0.6514701600000002,2.7925159600000007,0.27216929,0.4232535399999999,1.18237577,0.3806206599999999,0.2805638799999999,1.4807538599999999,0.007611280000000003
24,Alex DeBrincat,R,25.8,68,178,74.27119999999996,14.903083960000004,3.7000043,0.24964209,1.0951521700000004,1.9901519,1.6107572000000012,0.7105896800000001,1.4084097400000004,0.2314575099999999,0.46529413,2.2206938800000002,0.12181986000000002
25,Alex Galchenyuk,C,29.6,73,194,67.88139999999997,11.04252158,0.7138112700000001,0.18017012,0.6958343899999998,1.2776376899999995,,0.6392482700000002,1.1420502399999994,,0.4311418599999999,1.6059400100000003,
26,Alex Goligoski,D,38.2,71,173,69.439,15.771372090000009,0.72568513,0.91475218,0.1228683199999999,0.6151683100000003,0.08961591,0.30542995,1.4791511700000004,0.0672749299999999,0.3791160699999999,,0.10934342
27,Alex Iafallo,L,29.8,72,200,73.47299999999997,13.273436580000004,1.76380267,1.6871864200000004,0.66646513,1.61119351,0.3741612100000002,0.76349141,1.10494656,0.14778917,0.5240082599999999,1.6715566800000008,0.014969910000000006
28,Alex Killorn,L,34.0,73,194,78.64340000000004,12.796052080000004,2.24168378,1.7536149300000006,0.9464582700000004,1.89921258,0.4484914799999998,0.7211151499999998,1.1645927299999996,0.0745638699999999,0.5228863499999997,2.0153056399999993,0.08118684999999999
