,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60
1,Aaron Ekblad,D,24.6,76,215,59.02,18.997751000000015,2.833759000000003,2.405377999999999,0.4094670000000004,1.9487859999999981,0.016454,0.30665899999999985,1.1689980000000013,0.024456000000000002,0.302201,,0.09284299999999998
2,Aaron Ness,D,30.4,70,184,61.32,14.661976999999995,0.25391400000000025,0.31554100000000007,0.020554999999999993,0.5351500000000001,0.005306999999999999,0.30280400000000013,1.3091279999999994,0.26378000000000007,0.2726200000000001,,0.17583700000000005
3,Adam Boqvist,D,20.1,72,182,64.98,15.124091,2.980378,0.35915900000000045,0.280122,0.50525,0.031415,0.4166889999999997,1.4226320000000001,0.13053000000000003,0.415064,,0.15816600000000003
4,Adam Brooks,C,24.4,72,179,71.81,11.950388000000007,0.1854900000000001,0.5623799999999999,0.5896089999999999,1.177692,0.389973,0.6226199999999998,0.8567200000000003,0.061167,0.3776299999999999,1.3330629999999994,0.027247
5,Adam Erne,L,25.5,73,212,67.9,11.68736900000002,1.4187380000000005,0.050492000000000016,0.7505449999999989,1.079645,0.39993499999999993,0.18716400000000014,0.784993,0.32431500000000013,0.4819689999999996,1.038028,0.022529000000000004
6,Adam Fox,D,22.6,71,182,76.62,17.751750999999977,3.1618390000000023,1.908444000000002,0.22042100000000006,0.6329120000000001,0.00361,0.6459460000000005,2.463598000000002,0.24747699999999986,0.5384950000000003,,0.16893300000000003
7,Adam Gaudette,C,24.0,73,194,70.22,10.696710000000005,1.2560549999999993,0.07201899999999999,0.6804469999999992,0.385961,0.273869,0.42043700000000017,1.430185999999999,0.18543099999999998,0.20851999999999993,2.1720929999999994,0.0
8,Adam Henrique,C,30.7,72,195,69.06,13.326558999999989,1.9304379999999979,0.9486679999999985,1.008846000000001,1.3444479999999999,0.18513599999999997,0.5086560000000003,0.37071400000000004,0.7003170000000003,0.25542199999999954,1.7248489999999999,0.068031
9,Adam Johnson,C,26.3,72,174,72.76,11.317269999999992,0.08837100000000002,0.2160099999999999,0.8018560000000003,,0.5466300000000001,0.6890479999999995,,0.5899419999999995,0.37832999999999983,,0.06804300000000002
10,Adam Larsson,D,27.9,75,209,71.42,17.441846999999974,0.04720099999999995,2.288578000000002,0.23408999999999985,0.7251410000000001,0.007466999999999999,0.1661529999999999,1.0161609999999994,0.010546,0.2850979999999998,,0.030863
11,Adam Lowry,C,27.5,78,208,69.17,12.228761999999993,0.7006579999999997,2.3205720000000025,0.5455810000000001,0.9866749999999995,0.38986899999999947,0.5422589999999997,1.2348420000000002,0.192753,0.38513000000000003,1.2515810000000003,0.010847
12,Adam Pelech,D,26.1,75,210,71.53,18.54465599999998,0.134553,2.2684979999999966,0.2506840000000001,0.7721760000000002,0.35116700000000006,0.3169949999999999,1.2777310000000002,0.34722699999999995,0.31329400000000013,,0.024193999999999997
13,Adrian Kempe,"C, R",24.1,74,200,80.92,12.853605000000002,2.647847999999998,1.1727609999999997,0.7847260000000001,1.5595660000000018,0.9292400000000001,0.4975109999999999,2.2444260000000016,0.492241,0.18721300000000007,1.51786,0.020524
14,Alan Quine,C,27.6,72,203,66.97,11.456360999999992,0.182468,0.13124599999999997,0.5467219999999999,1.261155,,0.46292999999999984,0.6912130000000001,,0.38955,1.262682,
15,Alec Martinez,D,33.2,73,210,72.99,18.140194999999988,1.263278999999999,2.1955049999999976,0.30039199999999977,1.7498190000000025,0.020097999999999998,0.3943109999999999,1.058111,0.0,0.4530089999999997,,0.031543
16,Aleksander Barkov,C,25.1,75,215,74.31,15.509364000000014,3.6835960000000005,1.3051599999999988,1.296372,1.989250999999999,0.6827940000000007,1.1779179999999994,2.5276039999999984,0.09772600000000001,0.3736119999999998,2.346706,0.00874
17,Aleksi Saarela,C,23.7,71,200,66.11,11.164537999999999,0.9830499999999988,0.17765699999999993,0.5508319999999999,1.4448869999999994,,0.4771060000000001,0.9766830000000004,,0.3471220000000001,1.3744929999999993,
18,Alex Biega,D,32.5,70,195,67.75,14.667262000000004,0.12531799999999996,1.3733290000000005,0.147976,0.6865870000000001,0.031745,0.314403,1.1239589999999995,0.075465,0.475592,,0.13081999999999996
19,Alex Chiasson,R,30.0,76,208,67.59,9.961281000000008,2.635477000000002,0.12164899999999992,0.5623149999999998,2.3558269999999966,0.544496,0.3166539999999998,0.9064210000000004,0.339092,0.40341500000000025,1.6309,0.030184
20,Alex DeBrincat,R,22.8,68,178,74.73,15.297288000000012,3.665473999999997,0.4569729999999996,1.4541949999999992,2.509363999999996,0.7727009999999995,0.8052589999999996,1.0852149999999987,0.42115200000000014,0.351623,1.611176000000001,0.41166800000000014
21,Alex Galchenyuk,C,26.6,73,194,70.58,11.31840500000002,1.358500999999999,0.03512100000000004,0.6111619999999996,1.259729,0.2483870000000001,0.6407109999999999,1.2732459999999997,0.028034,0.43967300000000004,2.180598,0.0
