,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60
1,Aaron Ekblad,D,24.6,76,215,77.37935751333511,18.906419684135912,1.3779040731430054,2.347972651481628,0.17294888198375702,1.1448979377746582,0.0,0.37267056107521057,1.7915840148925781,0.00029682181775569916,0.4104135036468506,1.334030270576477,0.00020190321083646268
2,Aaron Ness,D,30.4,70,184,57.85537084401083,12.777376988315583,0.0,0.19357395669221877,0.08957517147064209,0.6850082874298096,0.0,0.1876574158668518,0.9287148714065552,0.0004906426183879375,0.28076955676078796,0.9217920899391174,0.0006333224009722471
3,Adam Boqvist,D,20.1,72,182,79.91061309430239,16.238667182159425,2.484980115413666,0.3577015763759613,0.24143867194652557,0.7887282371520996,0.0,0.3795936703681946,1.0177137851715088,0.0,0.3450746238231659,1.0395816564559937,0.0006333224009722471
4,Adam Brooks,C,24.4,72,179,54.17990650204446,11.006979636414199,0.31335959657603996,0.13013610912845316,0.5848965644836426,1.1357342004776,0.10802814364433289,0.526767909526825,0.7228555679321289,0.000637734541669488,0.4110988974571228,0.6923849582672119,0.0
5,Adam Erne,L,25.5,73,212,75.297591744567,11.054721125888825,0.7665653816580773,0.07159216982126235,0.5639409422874451,1.1312458515167236,0.09770265221595764,0.495219349861145,0.6406275629997253,0.00044309001532383263,0.2617562711238861,0.48719191551208496,0.0
6,Adam Fox,D,22.6,71,182,82.0,18.276729553222655,2.1190688137054443,0.41312804274559023,0.3188769817352295,0.7913023233413696,0.0,0.48602259159088135,1.5473952293395996,0.0,0.4853525459766388,1.5824729204177856,0.0006333224009722471
7,Adam Gaudette,C,24.0,73,194,75.92527081468981,11.466704298973085,1.666616693162918,0.010518383628129959,0.5411803126335144,1.3128169775009155,0.0225505530834198,0.46214237809181213,1.0864908695220947,0.0005731054116040468,0.3133339285850525,2.085197687149048,0.0
8,Adam Henrique,C,30.7,72,195,81.11703114715411,13.588360526680946,2.269282938861847,0.8509012445449828,0.8579641580581665,1.803113579750061,0.14011764526367188,0.5336101651191711,0.6682823896408081,0.000592548050917685,0.39046645164489746,0.3317873179912567,0.0
9,Adam Johnson,C,26.3,72,174,52.466916694915554,9.874646970630124,0.1534035798082149,0.03410370188187367,0.6000827550888062,,0.16503749787807465,0.5447039008140564,,0.0006850279751233757,0.42767348885536194,,0.0
10,Adam Larsson,D,27.9,75,209,71.47424876261101,17.878444076156615,0.09680103449374437,2.0480806039571764,0.17294888198375702,0.4072781503200531,0.0016956208273768425,0.20079216361045837,0.9179508090019226,0.001027105376124382,0.32266566157341003,1.0499601364135742,0.00020190321083646268
11,Adam Lowry,C,27.5,78,208,75.38924240208358,12.585084405660629,0.26634165940284726,2.144438610076904,0.5622693300247192,1.5564007759094238,0.2846539616584778,0.3831214904785156,0.9822055101394653,0.0007613641209900379,0.3178122937679291,0.8362247943878174,0.0018807388842105865
12,Adam Pelech,D,26.1,75,210,67.30802213545326,17.384746187210084,0.09574312494397164,2.40073527879715,0.17294888198375702,0.47127482295036316,0.0,0.29976528882980347,0.9053349494934082,0.0,0.320186048746109,1.0801256895065308,0.0008267918601632118
13,Adrian Kempe,"C, R",24.1,74,200,81.52032601940546,13.208952239894867,2.673742606608073,0.8490949501832327,0.8001985549926758,1.5649830102920532,0.5744320154190063,0.4787340462207794,0.5592857599258423,0.0006277273641899228,0.32924047112464905,0.5045220851898193,0.0
14,Alan Quine,C,27.6,72,203,48.83357167415482,10.954647394123443,0.1425623548758301,0.00952940620481968,0.47667938470840454,1.219378113746643,,0.4408940076828003,0.7831726670265198,,0.3576832413673401,0.6912034749984741,
15,Alec Martinez,D,33.2,73,210,73.7185006364644,17.114868381786348,0.9789154418945314,1.648229338645935,0.17294888198375702,0.5819419026374817,0.0,0.24992552399635315,2.696624755859375,0.0,0.31223264336586,1.6919935941696167,0.00020190321083646268
16,Aleksander Barkov,C,25.1,75,215,77.1594198178902,15.823193027925491,3.5263482271671296,1.2409210986137391,0.9276456832885742,2.118112802505493,0.5843842029571533,0.9918187856674194,1.6730588674545288,0.0007613641209900379,0.6433623433113098,1.2549306154251099,0.0
17,Aleksi Saarela,C,23.7,71,200,54.23730015926224,11.754727120847592,0.45554462036756327,0.04418237627182528,0.5592218637466431,1.1837005615234375,,0.40135934948921204,0.8000606894493103,,0.3276130259037018,0.6761731505393982,
18,Alex Biega,D,32.5,70,195,63.989562494291675,15.10899232207934,0.03939973599910736,1.3054782319704692,0.18120752274990082,0.6019262671470642,0.0,0.316031813621521,0.9518837928771973,0.0005355993052944541,0.37044721841812134,0.9712109565734863,0.0006333224009722471
19,Alex Chiasson,R,30.0,76,208,73.00165474393384,11.069681998682022,2.155213904094696,0.2806267866134644,0.6117887496948242,2.0344674587249756,0.25329476594924927,0.34321051836013794,0.18326784670352936,0.0007456119055859745,0.3131989538669586,0.4261021614074707,0.0
20,Alex DeBrincat,R,22.8,68,178,82.0,14.606522080103556,3.700144401804606,0.08659314164121945,1.1258437633514404,1.7749863862991333,0.47156959772109985,0.6578084826469421,1.3069127798080444,0.00044544116826727986,0.3809613883495331,1.3609801530838013,0.0
21,Alex Galchenyuk,C,26.6,73,194,74.00072206010064,11.67405720462799,2.084169324207306,0.0035450845003128055,0.6202069520950317,1.3990663290023804,0.008689593523740768,0.6134122014045715,1.546362280845642,0.0005915627116337419,0.41178983449935913,1.0737568140029907,0.0
