Player,Position,Age,Year 1,Year 2,Year 3,Year 4
Eetu Luostarinen,C,24,,,10.99,11.44
Pierre Engvall,L,26,,10.54,11.26,11.70
Zach Aston-Reese,C,28,11.64,12.22,12.71,11.47
Oskar Sundqvist,C,29,11.76,12.44,,11.62
Joel Armia,R,29,12.49,13.58,12.40,11.45
Justin Danforth,R,30,,,,11.79
Kieffer Bellows,L,24,,,,11.35
Michael McLeod,C,25,,,12.06,11.10
Nick Ritchie,L,27,12.65,12.45,12.56,11.19
Zack Kassian,R,32,13.45,15.08,,11.42
Keith Yandle,D,36,18.50,15.82,12.75,11.78
Alexander Radulov,R,36,16.66,14.08,,11.92
Keegan Kolesar,R,26,,,9.49,11.62
Casey Cizikas,C,32,11.99,11.86,11.95,11.80
Carl Hagelin,L,34,12.72,11.24,11.38,12.30
Joonas Donskoi,R,31,12.78,13.49,11.10,11.56
Aliaksei Protas,C,22,,,,10.84
Eric Robinson,L,27,,10.79,11.28,11.50
Luke Glendening,C,33,13.13,12.35,12.21,11.81
Ross Colton,C,26,,,,11.34
Christian Fischer,R,25,11.48,10.87,10.59,11.21
Chris Tierney,C,28,13.61,13.85,12.82,10.83
Nic Dowd,C,32,8.63,8.23,11.87,12.23
Zach Parise,L,38,14.59,13.41,11.85,12.14
Max Willman,C,28,,,,11.34
Blake Lizotte,C,25,,11.77,11.07,10.90
Garnet Hathaway,R,31,8.63,9.36,10.91,12.07
Trent Frederic,C,25,,,10.70,10.99
Arthur Kaliyev,R,21,,,,10.66
Matthew Highmore,C,27,,9.34,10.42,11.48
Tyson Jost,C,25,10.91,10.73,11.79,10.66
Joel Hanley,D,31,,,12.49,11.25
Robert Bortuzzo,D,34,13.06,10.59,12.44,11.57
Mark Borowiecki,D,33,14.07,15.44,,11.25
Victor Rask,C,30,10.52,10.13,12.37,11.32
Dylan Gambrell,C,26,,10.27,13.62,10.65
Ryan McLeod,C,23,,,,10.82
Nick Foligno,L,35,14.37,15.21,14.04,10.93
Oliver Wahlstrom,R,22,,,10.56,10.56
Cal Clutterbuck,R,35,10.86,11.11,11.49,11.94
Rasmus Kupari,C,23,,,,10.66
Andrew Ladd,L,37,,,,11.71
Kevin Rooney,C,29,10.67,9.52,10.34,11.64
Tomas Nosek,L,30,10.35,10.21,11.56,11.43
Sam Lafferty,"C, R",28,,8.97,9.56,11.58
Morgan Geekie,C,24,,,8.60,11.09
William Carrier,L,28,9.85,9.72,10.26,11.36
Derek Grant,C,32,9.95,10.69,11.64,11.43
Connor McMichael,C,22,,,,10.36
Karson Kuhlman,C,27,,,,10.92
Ryan Poehling,C,24,,,,10.52
Corey Perry,R,37,12.95,11.48,11.49,11.76
Carl Grundstrom,R,25,,,11.50,10.51
Derick Brassard,C,35,13.28,11.87,12.31,11.30
Nick Cousins,C,29,12.65,11.91,11.65,10.77
Vinni Lettieri,C,28,,,,10.85
Jake Leschyshyn,C,24,,,,10.47
Taylor Raddysh,R,25,,,,10.53
Evgeny Svechnikov,R,26,,,,10.69
Philip Tomasino,C,21,,,,10.16
Juho Lammikko,R,27,9.12,,9.74,10.81
Marian Studenic,"L, R",24,,,,10.47
Milan Lucic,L,34,11.88,11.65,12.10,11.09
Jacob Peterson,C,23,,,,10.33
Colin Blackwell,C,30,,,12.17,10.60
Brett Howden,C,25,12.31,10.76,10.29,10.09
Brendan Lemieux,L,27,8.68,10.93,9.54,10.55
Tyler Ennis,"C, L",33,8.33,12.45,,10.86
Loui Eriksson,L,37,11.60,10.76,,11.40
Jay Beagle,C,37,10.96,9.40,,11.56
Matt Martin,L,33,11.14,10.11,10.45,11.28
Steven Lorentz,C,27,,,10.16,10.42
Curtis Lazar,C,28,,10.03,11.09,10.34
Sam Gagner,C,33,13.14,12.03,12.14,10.57
Patrick Brown,C,30,,,,10.67
Jordan Martinook,L,30,12.75,9.89,11.40,10.64
Nathan Bastian,R,25,,,11.15,10.01
Andrew Cogliano,"C, L",35,11.18,10.84,12.32,10.79
Adam Gaudette,C,26,9.57,10.74,10.06,10.15
Patric Hornqvist,R,36,12.72,12.62,12.67,10.54
Tyler Pitlick,R,31,11.88,10.84,12.31,10.32
Pat Maroon,L,34,12.19,10.78,9.86,11.07
Dominik Simon,C,28,12.48,13.65,,9.85
Sam Carrick,C,31,,,,10.46
Nico Sturm,C,27,,,9.57,10.25
Jasper Weatherby,C,25,,,,9.89
John Hayden,"L, R",28,8.54,9.36,,10.21
Austin Watson,L,31,12.70,10.46,9.81,10.49
Nicolas Aube-Kubel,R,26,,10.24,10.91,9.73
Tyler Bozak,C,37,12.68,12.28,11.67,10.47
Emil Bemstrom,C,23,,10.88,,9.42
Julien Gauthier,R,25,,,,9.88
Pierre-Edouard Bellemare,L,38,10.41,11.18,9.10,11.12
Scott Reedy,C,24,,,,9.62
Logan Brown,C,25,,,,9.72
Parker Kelly,"C, L",23,,,,9.60
Ryan Lomberg,L,28,,,9.22,10.16
Henrik Borgstrom,C,25,10.85,,,9.77
Nick Bjugstad,C,30,13.60,,10.76,10.04
Ryan Carpenter,C,32,11.15,11.37,9.42,10.25
Trevor Lewis,C,36,12.48,10.91,8.01,11.00
Derek Stepan,C,32,14.58,13.96,,9.77
Nicolas Deslauriers,L,32,9.60,9.57,11.10,10.09
Ross Johnston,L,29,,7.91,,10.18
MacKenzie Entwistle,R,23,,,,9.47
Anton Blidh,L,28,,,,9.79
Ryan Reaves,R,36,10.13,9.84,9.86,10.56
Antoine Roussel,L,33,12.83,10.39,9.51,10.34
Brandon Duhaime,R,25,,,,9.56
Brett Ritchie,R,29,8.94,,11.20,9.63
Riley Sheahan,C,31,11.36,10.28,10.85,9.81
Reese Johnson,C,24,,,,9.40
Boris Katchouk,L,24,,,,9.24
Joel Kiviranta,L,27,,,,9.43
Jansen Harkins,C,25,,,,9.32
Zack MacEwen,C,26,,,8.51,9.50
Connor Dewar,C,23,,,,9.08
Alex Chiasson,R,32,13.74,10.79,9.45,9.73
Klim Kostin,C,23,,,,8.97
Riley Nash,C,33,10.46,10.68,11.29,9.39
Brett Leason,R,23,,,,8.93
Greg McKegg,C,30,10.48,8.57,,9.62
Liam O'Brien,C,28,,,,9.32
Derek Ryan,C,36,10.18,11.96,9.87,9.60
Michael McCarron,R,28,,,,9.15
Joe Thornton,C,43,13.61,13.33,11.74,9.78
Jonah Gadjovich,L,24,,,,8.71
Wayne Simmonds,R,34,12.91,12.22,10.13,9.06
Kristian Vesalainen,L,23,,,,8.54
Brad Richardson,"C, R",38,13.14,11.00,,9.45
Darren Helm,C,36,12.63,12.02,12.69,8.59
Jeffrey Viel,L,26,,,,8.70
Devin Shore,C,28,11.73,10.75,9.67,8.36
Nate Thompson,C,38,10.89,10.48,8.23,9.71
Givani Smith,R,25,,,,8.43
Buddy Robinson,R,31,,,,8.64
Brian Boyle,C,38,9.27,10.88,,8.80
Jason Spezza,C,39,11.05,9.54,8.84,9.14
Michael Pezzetta,L,25,,,,7.63
Colton Sceviour,C,33,10.20,10.61,8.25,7.89
Kurtis MacDermid,D,29,,12.42,,7.28
Dominic Toninato,C,29,,10.41,,6.83
