,Player,Position,Age,Height,Weight,Games,Average TOI,Goals,Primary Assists,Secondary Assists,Total Assists,Points
1,Connor McDavid,C,26.7,73,193,75.81201723861695,22.0896268093586,52.529843587354854,58.72304979150922,33.477179370891264,92.20022916240049,144.73007274975535
2,Leon Draisaitl,C,27.9,74,208,75.08824306106567,21.078042168408633,49.68900395668165,50.76620961374007,29.474318563242477,80.24052817698254,129.9295321336642
3,Nathan MacKinnon,C,28.1,72,200,74.9109337272644,21.35540484558232,42.044482362606416,55.46257871439382,31.65435574571061,87.11693446010443,129.16141682271086
4,Auston Matthews,C,26.0,75,208,79.56849640655517,19.902900013178584,57.506307396170676,33.28200758939228,25.716932611126406,58.99894020051869,116.50524759668937
5,Mitchell Marner,R,26.4,72,181,78.2660548248291,21.471401365518574,33.29960785948501,52.84266911113127,29.94497626794266,82.78764537907394,116.08725323855894
6,Matthew Tkachuk,L,25.8,74,201,78.12713502502442,20.015138150379066,39.93278421122185,45.5731063247256,29.262918323072256,74.83602464779786,114.76880885901971
7,David Pastrnak,R,27.4,73,195,74.40469186019898,19.449121720006687,54.2357206872768,33.99209214256612,23.56892941519548,57.561021557761606,111.79674224503842
8,Jason Robertson,L,24.2,75,200,79.70362879943848,19.13719297272386,46.4267643392191,37.082907241735015,25.079636964486227,62.16254420622124,108.58930854544033
9,Aleksander Barkov,C,28.1,75,215,73.36468922424316,21.04966737365723,34.79677171590631,38.95873699456641,28.286812498392226,67.24554949295863,102.04232120886493
10,Mikko Rantanen,R,26.9,76,215,70.75249544143676,20.85263923885487,44.93796283816634,31.62288758327349,23.429512104363326,55.052399687636814,99.99036252580316
11,Artemi Panarin,L,31.9,72,173,73.85667237472533,19.356320911739022,27.329534594391422,41.92421475556453,29.841646457305096,71.76586121286962,99.09539580726104
12,Nikita Kucherov,R,30.3,71,181,67.19081706237793,19.60196914161928,31.39810335108215,39.90351941444956,25.795457859081882,65.69897727353144,97.0970806246136
13,Elias Pettersson,C,24.9,74,176,78.0240340538025,20.075289531588556,38.267482809078146,31.395792093503182,24.32375674355846,55.71954883706164,93.98703164613978
14,Brayden Point,C,27.6,71,180,75.28707112503052,19.58832180583291,42.834379634068085,27.181715801621255,23.88979010259572,51.07150590421698,93.90588553828506
15,William Nylander,R,27.4,72,204,80.22999194335938,17.916194367282092,38.785300535939626,29.489326408051372,23.95108920864719,53.44041561669856,92.22571615263819
16,Kyle Connor,L,26.8,74,179,74.95049998474121,20.14358410255611,39.517947418547514,27.84092061837273,22.82324081043554,50.66416142880827,90.18210884735578
17,Sidney Crosby,C,36.2,71,200,73.60447521209717,19.473096009676343,29.357711217512886,35.588001394277086,25.14826881457885,60.736270208855935,90.09398142636883
18,Kirill Kaprizov,L,26.4,70,202,75.36378179168702,19.552386820853688,43.37060757625096,27.372778973248103,18.826070418207987,46.19884939145609,89.56945696770705
19,Brady Tkachuk,L,24.0,76,221,75.4699909286499,19.108317072587088,35.783353192530015,30.004266356300793,20.909371042195875,50.91363739849667,86.69699059102669
20,Johnny Gaudreau,L,30.1,69,165,73.44838989257812,19.05377402367443,27.2459388703913,34.67262090938626,24.037276489760178,58.70989739914644,85.95583626953774
21,J.T. Miller,C,30.6,73,218,80.60314643859863,20.351810870528222,29.07620805483774,30.787671526294996,25.939708589685786,56.72738011598078,85.80358817081851
22,Jonathan Huberdeau,C,30.3,73,200,78.2067529296875,17.09219670557976,24.249605330869525,35.21981999926989,25.881210528812073,61.101030528081964,85.35063585895149
23,Mika Zibanejad,C,30.5,74,202,73.74121876144409,19.2896744184494,34.673762432751126,29.558747121075804,20.009001435133957,49.567748556209764,84.2415109889609
24,Clayton Keller,R,25.2,70,178,76.05404580688477,19.944932251296937,35.20589324403022,28.58019770583299,19.84929114507854,48.429488850911525,83.63538209494175
25,Jake Guentzel,L,29.0,71,180,68.04289625167847,20.293324313424527,35.12368986939245,28.952764289206556,19.55407992873336,48.506844217939914,83.63053408733236
26,Andrei Svechnikov,R,23.5,74,195,76.63849544525146,18.391370568022133,32.87139747349699,28.431214008592875,22.192387938878372,50.62360194747124,83.49499942096824
27,Alex Ovechkin,L,38.0,75,238,72.03176957321168,19.645966891163027,45.738416352152655,20.65023694196172,16.961959695916992,37.61219663787871,83.35061299003137
28,Steven Stamkos,C,33.6,72,182,71.17068115615845,18.10986200561747,33.630989765881,28.62957204047773,20.983387257701683,49.61295929817941,83.24394906406042
29,Pavel Buchnevich,L,28.5,73,196,74.21122196578979,19.080268332600596,31.88632280793096,30.26353147401717,20.4720575515118,50.73558902552897,82.62191183345993
30,Mark Scheifele,C,30.5,75,198,77.35283367919922,19.45596392800659,38.11559467219979,22.918546136822634,21.275558926426157,44.19410506324879,82.30969973544859
31,Jordan Kyrou,C,25.4,73,196,80.75949250793457,17.858286127605478,36.53398753522535,28.694858178747733,16.77715341747233,45.472011596220064,82.0059991314454
32,Kevin Fiala,L,27.2,70,204,76.13210363769531,17.451819314107297,30.327884753390347,31.03478047849105,20.273140062411688,51.30792054090274,81.63580529429309
33,Nico Hischier,C,24.7,73,175,77.5284474067688,19.416127126812935,30.621688991709163,30.976480892726517,19.419071693808377,50.39555258653489,81.01724157824405
34,Brad Marchand,L,35.4,69,176,74.94333065414429,17.91581511795521,26.12730241334641,33.67402723316747,21.066638900850613,54.740666134018085,80.8679685473645
35,Timo Meier,R,27.0,73,220,78.67173079681396,19.31751492352039,35.851315220611056,23.17953858608896,20.10674732736923,43.28628591345819,79.13760113406924
36,Patrick Kane,R,34.9,70,177,77.09576824188233,19.66552508674096,25.009981577156836,31.98554717073222,22.030004401339223,54.015551572071445,79.02553314922828
37,Sam Reinhart,C,27.9,74,193,79.77172460556031,19.805031694889067,34.433483328601056,23.95230482345958,20.56382234146256,44.51612716492214,78.9496104935232
38,Tage Thompson,"C, R",25.9,78,220,72.97983044815064,18.11396834039688,40.18549893445548,23.153091651840825,15.481976298197083,38.63506795003791,78.82056688449339
39,Jack Hughes,C,22.4,71,175,68.47791135406494,19.059559771138243,33.79895635929091,26.122133376434068,17.938634354568702,44.06076773100277,77.85972409029368
40,Robert Thomas,C,24.2,72,218,72.03462734603882,18.936341934427617,19.404817912413527,33.76961514493056,23.771205949730494,57.540821094661055,76.94563900707459
41,Dylan Larkin,C,27.2,73,198,76.05086820220947,19.46496982359886,28.694491994570647,26.506423350119565,21.203112147118027,47.709535497237596,76.40402749180825
42,Brock Nelson,C,32.0,76,210,77.08408598709106,17.684014046383087,37.01554127119594,20.75052326923236,18.281332893709155,39.031856162941516,76.04739743413745
43,Zach Hyman,L,31.3,73,211,72.9746579284668,19.6199169447422,29.656454239486322,24.82406110085663,21.432063858128583,46.25612495898521,75.91257919847153
44,Roope Hintz,C,26.9,75,215,68.32159577560425,17.99421853107214,31.76840343679547,26.255723304045556,17.405796229461533,43.66151953350709,75.42992297030256
45,Pierre-Luc Dubois,L,25.3,76,214,78.4306560935974,18.730285310175272,30.0134170210997,24.179759261589524,20.995953196423404,45.175712458012924,75.18912947911262
46,Alex Tuch,R,27.4,76,219,71.40871051025391,19.083627421498296,32.53247982891532,25.494163741852862,17.017952192743643,42.51211593459651,75.04459576351184
47,John Tavares,C,33.0,73,216,77.08936767959595,17.154403450680196,28.306724954030027,24.580310991392263,21.716563788333666,46.296874779725925,74.60359973375596
48,Martin Necas,C,24.7,74,189,79.0818927307129,17.97995593498647,26.32420322003611,27.46923295721232,20.730008575434372,48.199241532646695,74.5234447526828
49,Bo Horvat,C,28.5,72,215,77.97114800262452,20.032901812672616,34.16593706333131,22.76184978443061,16.89696173021021,39.65881151464082,73.82474857797213
50,Jesper Bratt,L,25.2,70,175,74.09405058670043,17.948723657160997,27.472253062919073,26.807178551431015,19.4964394852551,46.30361803668612,73.77587109960518
51,Mathew Barzal,C,26.4,73,190,72.16541288375855,18.9034104298912,20.652537447710774,30.405409380321643,21.74510378519562,52.15051316551727,72.80305061322804
52,Alex DeBrincat,R,25.8,68,178,73.72570936203003,18.393274588517844,32.7834901804388,22.452933746641783,17.24401874429808,39.696952490939864,72.48044267137865
53,Ryan Nugent-Hopkins,C,30.5,72,195,73.06515576553345,19.50710828566551,24.884552463012366,24.262580649772513,23.21189024208466,47.47447089185717,72.35902335486954
54,Tyler Toffoli,R,31.4,72,203,79.65432048034668,16.589349511623382,33.93156100280412,19.47408591872493,18.700561022083118,38.174646940808046,72.10620794361216
55,Anze Kopitar,C,36.1,75,225,78.40114022445678,19.96267913424969,22.604374363147617,26.78100896222503,22.276030705530598,49.05703966775563,71.66141403090325
56,Claude Giroux,R,35.7,71,190,79.35336275482177,18.03626958334446,29.508119695390928,23.48464504272461,18.616204924781265,42.10084996750587,71.6089696628968
57,Trevor Zegras,C,22.5,72,185,79.31999699783326,19.175123343214395,24.505488400881838,27.79918637654707,19.166579956062563,46.96576633260963,71.47125473349146
58,Matt Boldy,L,22.5,74,201,70.83058145141601,18.556996050164102,30.910959063645993,21.35967176744606,17.6425846210057,39.002256388451755,69.91321545209775
59,Jared McCann,L,27.3,73,191,73.71710313034058,16.728970637083055,34.58122707463363,19.793683116641258,15.447505010529257,35.24118812717052,69.82241520180415
