,Player,Position,Age,Height,Weight,GP
864,Tomas Tatar,L,32,70,173,78.01759019494057
865,Tony DeAngelo,D,27,71,180,67.9297946691513
866,Torey Krug,D,32,69,194,72.16492986679077
867,Travis Boyd,C,30,72,190,75.24546718597412
868,Travis Dermott,D,26,72,202,47.53670120239258
869,Travis Hamonic,D,33,73,200,76.71426653862
870,Travis Konecny,R,26,70,175,75.44753932952881
871,Travis Sanheim,D,27,75,181,77.89017915725708
872,Trent Frederic,C,25,75,214,74.74955813090007
873,Trevor Lewis,C,36,73,201,77.62986743450165
874,Trevor Moore,"C, L",28,70,195,77.28259682655334
875,Trevor Zegras,C,22,72,185,82.0
876,Trevor van Riemsdyk,D,32,75,191,74.84891438484192
877,Trey Fix-Wolansky,R,24,67,191,57.18800354003906
878,Tristen Robins,C,21,70,176,61.5321159362793
879,Troy Stecher,D,29,70,184,81.77593445777893
880,Troy Terry,R,26,72,185,72.8563404083252
881,Tucker Poolman,D,30,74,199,40.40300750732422
882,Ty Dellandrea,C,23,73,195,82.0
883,Ty Smith,D,23,71,180,50.327720642089844
884,Tyce Thompson,R,24,73,175,56.28141784667969
885,Tyler Angle,C,23,70,171,58.33724594116211
886,Tyler Benson,L,25,72,190,52.58049011230469
887,Tyler Bertuzzi,L,28,73,186,72.41616535186768
888,Tyler Johnson,C,33,68,185,65.60620021820068
889,Tyler Kleven,D,21,76,200,53.615562438964844
890,Tyler Motte,"C, L",28,70,192,72.00450706481934
891,Tyler Myers,D,33,80,229,79.41904217004776
892,Tyler Pitlick,C,31,74,200,67.9262523651123
893,Tyler Seguin,C,31,73,205,78.99908509850502
894,Tyler Toffoli,R,31,72,203,77.90380291640759
895,Tyler Tucker,D,23,73,204,59.45414352416992
896,Tyson Barrie,D,32,71,197,77.2626805305481
897,Tyson Foerster,R,21,74,194,61.659881591796875
898,Tyson Jost,C,25,71,187,78.58303511142731
899,Urho Vaakanainen,D,24,74,200,57.6222038269043
900,Valeri Nichushkin,R,28,76,210,72.05210638046265
901,Vasily Podkolzin,R,22,73,190,73.63794326782227
902,Victor Hedman,D,32,79,244,78.22268041968346
903,Victor Mete,D,25,69,187,47.66801834106445
904,Victor Olofsson,L,28,71,181,75.45124626159668
905,Victor Soderstrom,D,22,71,184,62.995147705078125
906,Viktor Arvidsson,"L, R",30,70,185,73.04783654212952
907,Ville Heinola,D,22,71,181,51.78203201293945
