,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y5 dGP
Eric Staal 2009,Eric Staal,2009,C,23.924,76,195,,,,82,82,0.0
Eric Staal 2010,Eric Staal,2010,C,24.923,76,195,,,82.0,82,70,-12.0
Eric Staal 2011,Eric Staal,2011,C,25.923,76,195,,82.0,82.0,70,81,3.0
Eric Staal 2012,Eric Staal,2012,C,26.922,76,195,82.0,82.0,70.0,81,82,3.25
Eric Staal 2014,Eric Staal,2014,C,28.923,76,195,70.0,81.0,82.0,48,79,8.75
Eric Staal 2015,Eric Staal,2015,C,29.923,76,195,81.0,82.0,48.0,79,77,4.5
Eric Staal 2016,Eric Staal,2016,C,30.922,76,195,82.0,48.0,79.0,77,83,11.5
Eric Staal 2017,Eric Staal,2017,C,31.924,76,195,48.0,79.0,77.0,83,82,10.25
Eric Staal 2018,Eric Staal,2018,C,32.924,76,195,79.0,77.0,83.0,82,82,1.75
Eric Staal 2019,Eric Staal,2019,C,33.923,76,195,77.0,83.0,82.0,82,81,0.0
Eric Staal 2020,Eric Staal,2020,C,34.922,76,195,83.0,82.0,82.0,81,77,-5.0
Eric Staal 2021,Eric Staal,2021,C,35.924,76,195,82.0,82.0,81.0,77,77,-3.5
Jeff Carter 2009,Jeff Carter,2009,C,23.749,75,219,,,,82,82,0.0
Jeff Carter 2010,Jeff Carter,2010,C,24.748,75,219,,,82.0,82,74,-8.0
Jeff Carter 2011,Jeff Carter,2011,C,25.747,75,219,,82.0,82.0,74,80,0.6666666666666714
Jeff Carter 2012,Jeff Carter,2012,C,26.747,75,219,82.0,82.0,74.0,80,55,-24.5
Jeff Carter 2014,Jeff Carter,2014,C,28.748,75,219,74.0,80.0,55.0,48,72,7.75
Jeff Carter 2015,Jeff Carter,2015,C,29.748,75,219,80.0,55.0,48.0,72,82,18.25
Jeff Carter 2016,Jeff Carter,2016,C,30.747,75,219,55.0,48.0,72.0,82,77,12.75
Jeff Carter 2017,Jeff Carter,2017,C,31.749,75,219,48.0,72.0,82.0,77,82,12.25
Jeff Carter 2019,Jeff Carter,2019,C,33.748,75,219,82.0,77.0,82.0,27,76,9.0
Jeff Carter 2020,Jeff Carter,2020,C,34.747,75,219,77.0,82.0,27.0,76,70,4.5
Jeff Carter 2021,Jeff Carter,2021,C,35.749,75,219,82.0,27.0,76.0,70,79,15.25
Jeff Carter 2022,Jeff Carter,2022,C,36.748,75,219,27.0,76.0,70.0,79,76,13.0
Jeff Carter 2023,Jeff Carter,2023,C,37.748,75,219,76.0,70.0,79.0,76,79,3.75
Zach Parise 2009,Zach Parise,2009,L,24.179,71,195,,,,81,82,1.0
Zach Parise 2010,Zach Parise,2010,L,25.178,71,195,,,81.0,82,81,-0.5
Zach Parise 2012,Zach Parise,2012,L,27.177,71,195,81.0,82.0,81.0,13,82,17.75
Zach Parise 2014,Zach Parise,2014,L,29.178,71,195,81.0,13.0,82.0,48,67,11.0
Zach Parise 2015,Zach Parise,2015,L,30.177,71,195,13.0,82.0,48.0,67,74,21.5
Zach Parise 2016,Zach Parise,2016,L,31.177,71,195,82.0,48.0,67.0,74,70,2.25
Zach Parise 2017,Zach Parise,2017,L,32.179,71,195,48.0,67.0,74.0,70,69,4.25
Zach Parise 2019,Zach Parise,2019,L,34.178,71,195,74.0,70.0,69.0,42,74,10.25
Zach Parise 2020,Zach Parise,2020,L,35.177,71,195,70.0,69.0,42.0,74,81,17.25
Zach Parise 2021,Zach Parise,2021,L,36.179,71,195,69.0,42.0,74.0,81,65,-1.5
Zach Parise 2022,Zach Parise,2022,L,37.178,71,195,42.0,74.0,81.0,65,82,16.5
Zach Parise 2023,Zach Parise,2023,L,38.178,71,195,74.0,81.0,65.0,82,82,6.5
Corey Perry 2009,Corey Perry,2009,R,23.379,75,208,,,,70,78,8.0
Corey Perry 2010,Corey Perry,2010,R,24.378,75,208,,,70.0,78,82,8.0
Corey Perry 2011,Corey Perry,2011,R,25.378,75,208,,70.0,78.0,82,82,5.333333333333329
Corey Perry 2012,Corey Perry,2012,R,26.377,75,208,70.0,78.0,82.0,82,80,2.0
Corey Perry 2014,Corey Perry,2014,R,28.379,75,208,82.0,82.0,80.0,44,81,9.0
Corey Perry 2015,Corey Perry,2015,R,29.378,75,208,82.0,80.0,44.0,81,67,-4.75
Corey Perry 2016,Corey Perry,2016,R,30.377,75,208,80.0,44.0,81.0,67,82,14.0
Corey Perry 2017,Corey Perry,2017,R,31.379,75,208,44.0,81.0,67.0,82,82,13.5
