,Player,Position,Age,Height,Weight,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,GP,EV ATOI,PP A1/60,PK A1/60,EV A2/60
0,A.J. Greer,L,25.8,75,208,0.24208203999999983,0.06880945,0.6503070499999996,1.13227968,0.3101782299999999,0.5096177800000001,71.619,9.010765709999998,0.8746956800000002,0.19786363999999998,0.3214484900000001
1,Aaron Ekblad,D,26.6,76,215,3.3309612499999988,2.72946743,0.3509237699999999,1.6471132599999998,0.1823906899999999,0.4446271199999999,69.371,17.899421809999982,1.7092611999999994,0.07860722999999999,0.31215377999999966
2,Adam Beckman,L,21.4,74,182,0.7401654300000001,0.3075983399999999,0.6960870399999997,1.2234424499999998,0.2724352799999999,0.52666935,69.26749999999998,11.098454280000006,0.9167231000000001,0.34389943,0.40777971
3,Adam Boqvist,D,22.1,72,182,2.698260819999997,0.5114465599999999,0.3973199200000001,0.39744281,0.0305244499999999,0.3501495999999999,64.8173,15.541309270000013,1.9460469800000006,0.15028977999999998,0.37197682
4,Adam Brooks,C,26.4,72,179,1.2406768399999992,0.7298842699999999,0.56608099,1.10852772,0.3693565,0.5776822399999999,70.50790000000002,11.043068019999994,0.8086053000000004,0.14656944999999996,0.34197581
5,Adam Erne,L,27.4,73,212,0.50990979,1.0333258500000004,0.7166279299999987,0.9805263300000004,0.2935329,0.4547090600000004,66.55879999999998,12.245053150000006,0.8259534700000002,0.07981088,0.32374365999999993
6,Adam Fox,D,24.6,71,182,3.1554987800000007,2.026079949999999,0.3495966400000005,0.3909977200000001,0.03645042,0.4564059500000001,74.84310000000002,18.67925307999999,2.87678881,0.35927454999999947,0.5830870500000002
7,Adam Gaudette,C,26.0,73,194,1.230652830000001,0.23829296,0.69927495,1.2128290100000008,0.18409556,0.4648598799999999,67.93660000000001,10.93341632,1.05511191,0.14283000999999995,0.3471488199999999
8,Adam Henrique,C,32.6,72,195,2.2133185899999988,1.4511552999999977,1.0939096100000003,1.6479288200000022,0.5212101199999997,0.4464500800000003,71.8551,13.749160589999988,1.351706980000001,0.3219597999999999,0.4403299200000004
9,Adam Larsson,D,29.9,75,209,0.1435587799999998,2.58279688,0.2047784800000002,0.6846854400000001,0.1319458699999999,0.32359740999999986,75.21019999999996,19.349340310000013,1.20128243,0.02995039999999999,0.36228031999999966
10,Adam Lowry,C,29.5,78,208,1.162459979999999,2.2205607199999986,0.6046145000000003,1.4318455400000007,0.5917656899999999,0.5217498000000004,69.28439999999999,12.174131270000006,0.9558523199999998,0.5222260300000003,0.43404358999999987
11,Adam Pelech,D,28.1,75,210,0.1374490000000002,2.3009840500000025,0.17749547,0.7337329700000005,0.0390035399999999,0.3379533,74.67620000000001,18.69040404,1.0405654000000002,0.019370989999999998,0.35903055
12,Adam Raska,R,21.0,70,178,0.6825975800000004,0.12977312,0.7120446299999997,,,0.5202561100000002,70.15329999999999,11.562082739999996,,,0.3601818
13,Adam Ruzicka,C,23.4,76,215,0.7519784699999996,0.13290326,0.7214410400000001,1.1188800299999997,,0.58427123,61.2981,9.912392059999998,0.8818104999999999,,0.3985512099999998
14,Adrian Kempe,"C, R",26.0,74,200,2.8951813699999995,1.3732090600000006,1.1758992299999989,2.315614440000002,1.2183194400000013,0.5350678000000003,79.27779999999998,14.037552800000013,1.4525381399999997,0.04378518999999998,0.36494457
15,Alec Martinez,D,35.2,73,210,0.4142978799999999,1.834072100000001,0.26562547,0.9373963400000004,0.00770815,0.36322459999999984,68.41879999999999,17.537261649999994,1.5046047999999994,0.03483917999999999,0.40191951999999986
16,Alec Regula,D,22.2,76,208,0.8229081200000001,1.6891832800000006,0.1233664599999999,0.6457270500000001,0.05005171,0.24593658000000007,73.19379999999997,16.21794438,1.24487818,0.09082814999999993,0.30146616999999976
17,Aleksander Barkov,C,27.1,75,215,3.7885625999999974,2.003008109999999,0.9878776,1.990846200000001,0.4959630100000005,1.090579140000001,70.72370000000002,15.029640650000008,2.4593188700000015,0.44477083000000034,0.69977779
18,Aleksi Heponiemi,C,23.7,70,155,0.5819804800000001,0.795708229999999,0.7938764900000002,1.0206582199999994,0.5434791699999999,0.61173332,71.86659999999998,12.33514256,1.1522795700000008,0.6812681599999997,0.37143586999999995
19,Alex Barr��-Boulet,C,25.4,70,180,1.2131216199999997,0.0417856399999999,0.6986363899999998,1.20599289,,0.5466516200000001,70.70559999999996,11.723871129999996,1.0839010499999997,,0.3542957200000001
20,Alex Belzile,R,31.1,72,196,0.6703313199999996,0.3990692799999998,0.4798820999999998,1.2579417299999995,0.3027708799999999,0.4274338099999999,68.28579999999998,9.907712590000003,0.8502572600000002,0.18342713999999996,0.2814671300000002
21,Alex Biega,D,34.5,70,195,0.1665685699999999,1.3683646799999991,0.0995413499999999,,0.1113696999999999,0.27762662999999993,65.6156,13.773592829999995,,0.07060589000000003,0.29311149999999997
22,Alex Chiasson,R,32.0,76,208,1.6020444999999994,0.24376868,0.5978172499999999,4.067084300000001,0.3302935299999998,0.3845113700000001,66.5533,10.165414640000002,1.6706438899999978,0.3088922399999998,0.28324945999999995
23,Alex DeBrincat,R,24.8,68,178,3.765052899999999,0.4793020800000002,0.937126769999999,2.0396327699999985,1.5398037100000013,0.7711138399999995,77.71429999999998,15.556378050000008,1.7221949500000004,0.22087136000000004,0.32800702999999987
24,Alex Formenton,L,23.1,75,195,1.2333329300000004,1.921771690000001,0.9042563300000004,1.1517901600000002,0.8692629199999995,0.6577111599999995,73.41460000000002,13.009222859999996,0.8492630500000001,0.3458038000000001,0.36352691999999975
