,Player,Position,Age,Height,Weight,GP
0,A.J. Greer,L,26,75,208,73.4077558517456
1,Aaron Ekblad,D,27,76,215,72.17698574066162
2,Aatu Raty,C,20,74,190,66.9096565246582
3,Adam Beckman,L,22,74,182,61.266937255859375
4,Adam Boqvist,D,23,72,182,72.57965087890625
5,Adam Erne,L,28,73,212,71.87388324737549
6,Adam Fox,D,25,71,182,76.53565645217896
7,Adam Ginning,D,23,75,188,41.863277435302734
8,Adam Henrique,C,33,72,195,69.27527499198914
9,Adam Larsson,D,30,75,209,73.34266543388367
10,Adam Lowry,C,30,78,208,77.0556628704071
11,Adam Pelech,D,29,75,210,79.76334921518962
12,Adam Raska,R,22,70,178,66.88211822509766
13,Adam Ruzicka,C,24,76,215,65.91005516052246
14,Adrian Kempe,"C, R",27,74,200,80.14210087060928
15,Aidan McDonough,L,23,75,190,55.77716827392578
16,Akito Hirose,D,24,72,170,43.660282135009766
17,Alec Martinez,D,36,73,210,77.11253121495247
18,Alec Regula,D,23,76,208,43.52676010131836
19,Aleksander Barkov,C,28,75,215,73.58676505088806
20,Aleksi Heponiemi,C,24,70,155,70.4157600402832
21,Alex Barré-Boulet,C,26,70,180,57.092262268066406
22,Alex Belzile,R,32,72,196,47.123775482177734
23,Alex Chiasson,R,33,76,208,36.00104522705078
24,Alex DeBrincat,R,25,68,178,80.92259550094604
25,Alex Galchenyuk,C,29,73,194,44.5435791015625
26,Alex Goligoski,D,38,71,173,54.803643226623535
27,Alex Iafallo,L,29,72,200,75.38463240861893
28,Alex Killorn,L,34,73,194,80.74195778369904
29,Alex Newhook,C,22,70,190,82.71441411972046
30,Alex Nylander,L,25,73,192,53.5626106262207
31,Alex Ovechkin,L,38,75,238,72.90847891569138
32,Alex Pietrangelo,D,33,75,215,78.35884284973145
33,Alex Steeves,C,23,72,196,56.493804931640625
34,Alex Tuch,R,27,76,219,74.96025800704956
35,Alex Turcotte,C,22,71,185,63.57398223876953
36,Alex Vlasic,D,22,78,199,48.68143081665039
37,Alex Wennberg,C,29,74,190,81.24432750542958
38,Alexander Alexeyev,D,23,76,213,63.23438262939453
39,Alexander Barabanov,L,29,70,195,75.18468952178955
40,Alexander Edler,D,37,76,210,68.40775489807129
41,Alexander Holtz,R,21,72,195,67.28704452514648
42,Alexander Kerfoot,C,29,71,186,80.50496571697295
43,Alexander Romanov,D,23,73,215,77.26338517665863
44,Alexandre Carrier,D,26,71,174,67.02708435058594
45,Alexey Toropchenko,R,24,78,222,80.63870239257812
46,Alexis Lafrenière,L,21,73,195,82.58165244261424
47,Aliaksei Protas,C,22,78,225,77.04732322692871
48,Anders Bjork,L,27,72,190,52.47138595581055
