,Player,Position,Age,Height,Weight,GP
569,Markus Niemelainen,D,25.3,78,190,
570,Martin Fehervary,D,24.0,74,199,
571,Martin Kaut,R,24.0,74,190,63.67060000000003
572,Martin Necas,C,24.7,74,189,76.3498
573,Mason Appleton,C,27.7,75,197,72.13090000000003
574,Mason Marchment,L,28.3,76,210,69.7608
575,Mason McTavish,C,20.7,72,213,72.85889999999999
576,Mason Shaw,C,24.9,70,184,69.07630000000002
577,Matej Blumel,R,23.3,72,200,60.45859999999999
578,Mathew Barzal,C,26.4,73,190,75.29419999999999
579,Mathieu Joseph,R,26.6,73,187,69.01450000000001
580,Mathieu Olivier,R,26.6,73,217,69.19720000000001
581,Matias Maccelli,L,23.0,71,176,76.1818
582,Mats Zuccarello,R,36.1,68,181,69.29210000000003
583,Matt Boldy,L,22.5,74,201,72.41069999999999
584,Matt Coronato,R,20.9,70,183,68.12640000000002
585,Matt Duchene,C,32.7,71,195,72.1779
586,Matt Dumba,D,29.2,72,181,
587,Matt Grzelcyk,D,29.7,70,176,
588,Matt Irwin,D,35.8,74,200,
589,Matt Kiersted,D,25.5,72,181,
590,Matt Luff,R,26.4,74,196,62.352699999999984
591,Matt Martin,L,34.4,75,220,73.59380000000002
592,Matt Nieto,L,30.9,71,187,68.405
593,Matt Roy,D,28.6,73,205,
594,Matthew Benning,D,29.4,73,203,
595,Matthew Highmore,C,27.6,71,188,68.5077
596,Matthew Kessel,D,23.3,74,205,
597,Matthew Knies,L,21.0,74,210,67.58680000000003
598,Matthew Phillips,C,25.5,67,140,71.24549999999999
599,Matthew Tkachuk,L,25.8,74,201,77.18870000000001
600,Mattias Ekholm,D,33.4,76,215,
601,Mattias Janmark,C,30.8,73,205,71.89420000000001
602,Mattias Samuelsson,D,23.5,76,231,
603,Matty Beniers,C,20.9,74,178,78.5501
604,Max Comtois,L,24.7,74,210,74.21779999999995
605,Max Domi,C,28.6,70,194,72.97470000000003
606,Max Jones,L,25.6,75,216,70.5557
607,Max Pacioretty,L,34.9,74,217,62.8649
608,Max Willman,C,28.6,72,184,68.88810000000001
609,Maxence Guenette,D,22.4,73,181,
610,Maxime Lajoie,D,25.9,73,196,
611,Michael Amadio,"C, R",27.4,73,204,71.02269999999999
612,Michael Bunting,L,28.0,72,192,74.77780000000001
613,Michael Carcone,L,27.4,69,170,71.4131
614,Michael Eyssimont,C,27.1,72,180,72.6859
615,Michael Kesselring,D,23.7,76,190,
616,Michael McCarron,R,28.6,78,232,63.81739999999997
617,Michael McLeod,C,25.7,74,190,74.34950000000002
618,Michael Pezzetta,L,25.6,73,210,71.66850000000001
619,Michael Rasmussen,C,24.5,78,211,63.9283
620,Michael Stone,D,33.3,75,210,
621,Mika Zibanejad,C,30.5,74,202,76.72510000000003
622,Mikael Backlund,C,34.5,72,206,77.45520000000003
623,Mikael Granlund,C,31.6,70,185,72.9187
624,Mikael Pyyhtia,L,21.8,72,166,70.7094
625,Mike Hardman,L,24.7,74,205,66.66299999999997
626,Mike Hoffman,L,33.9,72,190,70.57169999999998
627,Mike Matheson,D,29.6,74,193,
628,Mike Reilly,D,30.2,73,196,
629,Mikey Anderson,D,24.4,72,195,
630,Mikhail Maltsev,L,25.6,75,198,66.75749999999998
631,Mikhail Sergachev,D,25.3,73,217,
632,Mikko Rantanen,R,26.9,76,215,72.92409999999998
633,Milan Lucic,L,35.3,75,240,75.83139999999999
634,Miles Wood,L,28.1,74,195,68.57200000000002
635,Milos Kelemen,L,24.2,74,210,67.1161
636,Miro Heiskanen,D,24.2,73,195,
637,Mitchell Marner,R,26.4,72,181,77.89490000000002
638,Morgan Barron,C,24.8,76,220,66.67229999999996
639,Morgan Frost,C,24.4,71,170,72.7262
640,Morgan Geekie,C,25.2,75,200,73.76440000000004
641,Morgan Rielly,D,29.6,73,222,
642,Moritz Seider,D,22.5,76,204,
643,Nate Schmidt,D,32.2,72,195,
644,Nathan Bastian,R,25.8,76,205,70.7314
645,Nathan Beaulieu,D,30.8,74,200,
646,Nathan MacKinnon,C,28.1,72,200,71.56500000000003
647,Nathan Smith,C,25.0,72,177,71.21400000000001
648,Nathan Walker,L,29.6,69,187,72.44590000000001
649,Nazem Kadri,C,33.0,72,185,76.4459
650,Neal Pionk,D,28.2,72,185,
651,Nic Dowd,C,33.3,73,193,70.69669999999998
652,Nic Petan,C,28.5,69,175,71.20130000000002
653,Nicholas Paul,L,28.5,75,223,71.45330000000001
654,Nicholas Robertson,L,22.1,69,183,63.43260000000002
655,Nick Abruzzese,C,24.3,71,183,68.6124
656,Nick Bjugstad,C,31.2,78,209,68.66829999999999
657,Nick Blankenburg,D,25.4,69,177,
658,Nick Bonino,C,35.4,73,195,70.3814
659,Nick Cicek,D,23.3,75,201,
660,Nick Cousins,C,30.2,71,192,70.67959999999998
661,Nick DeSimone,D,28.9,74,185,
662,Nick Foligno,L,35.9,72,210,69.40129999999996
663,Nick Holden,D,36.4,76,210,
664,Nick Jensen,D,33.0,73,205,
665,Nick Leddy,D,32.5,72,205,
666,Nick Perbix,D,25.3,74,191,
667,Nick Ritchie,L,27.8,75,236,69.52470000000001
668,Nick Schmaltz,C,27.6,72,181,72.65150000000003
669,Nick Seeler,D,30.3,74,201,
670,Nick Suzuki,C,24.1,71,208,77.47999999999999
671,Nick Swaney,R,26.1,70,178,70.9494
672,Nicklas Backstrom,C,35.9,73,202,68.63629999999998
673,Nico Hischier,C,24.7,73,175,74.87570000000002
674,Nico Sturm,C,28.4,75,209,73.4409
675,Nicolas Aube-Kubel,R,27.4,72,207,69.07650000000001
676,Nicolas Deslauriers,L,32.6,73,220,71.38289999999999
677,Nicolas Hague,D,24.8,78,230,
678,Nicolas Roy,C,26.7,76,202,71.78359999999999
679,Nikita Alexandrov,C,23.0,73,177,70.906
680,Nikita Kucherov,R,30.3,71,181,70.8216
681,Nikita Nesterenko,C,22.1,74,183,67.3708
682,Nikita Okhotiuk,D,22.8,73,195,
683,Nikita Soshnikov,R,30.0,71,190,70.72370000000002
684,Nikita Zadorov,D,28.5,78,248,
685,Nikita Zaitsev,D,31.9,74,192,
686,Niko Mikkola,D,27.4,76,209,
687,Nikolai Knyzhov,D,26.5,75,222,
688,Nikolaj Ehlers,L,27.6,72,169,69.82760000000003
689,Nils Aman,C,23.6,74,179,74.06860000000003
690,Nils Hoglander,L,22.8,69,185,64.12620000000001
691,Nils Lundkvist,D,23.2,71,190,
692,Nino Niederreiter,R,31.1,74,218,76.6812
693,Noah Cates,L,24.7,73,165,72.25379999999997
694,Noah Dobson,D,23.7,76,194,
695,Noah Gregor,C,25.2,72,190,71.36140000000002
696,Noah Hanifin,D,26.7,75,207,
697,Noah Juulsen,D,26.5,74,201,
698,Noel Acciari,C,31.8,70,209,70.74660000000002
699,Nolan Foote,L,22.8,75,196,66.06469999999999
700,Oliver Bjorkstrand,R,28.5,72,175,75.69929999999997
701,Oliver Ekman-Larsson,D,32.2,74,200,
702,Oliver Wahlstrom,R,23.3,74,204,61.883700000000005
703,Olle Lycksell,R,24.1,70,163,70.35189999999999
704,Olli Maatta,D,29.1,74,207,
705,Ondrej Kase,R,27.9,72,187,68.0078
706,Ondrej Palat,L,32.5,72,194,72.03140000000002
707,Oskar Lindblom,L,27.1,73,191,72.66360000000002
708,Oskar Olausson,R,20.9,73,180,69.8776
709,Oskar Steen,C,25.6,70,193,64.99439999999998
710,Oskar Sundqvist,C,29.5,75,220,69.3242
711,Otto Koivula,L,25.1,77,225,61.41869999999999
712,Owen Beck,C,19.7,71,190,66.51429999999999
713,Owen Power,D,20.9,78,218,
