,Player,Position,Age,Height,Weight,GP,EV ATOI,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,EV A2/60,PP A1/60,PK A1/60,PP A2/60,PK A2/60,GOALS,PRIMARY ASSISTS,SECONDARY ASSISTS,POINTS
1,Connor McDavid,C,26.7,73,193,78.09721125510008,17.90483035120402,3.9373154269272175,1.1005166574557823,1.6598526865093666,3.1042848850044154,1.2511547881731604,1.3412146619103544,0.7051346151864396,4.0963195171504045,0.5107161897675435,3.4076124751853687,0.028028179936731165,56.38468473332143,52.982156465810974,33.93715135906416,143.30399255819657
2,Leon Draisaitl,C,27.9,74,208,77.77499635436293,17.577994579739748,3.9360842852444833,0.7787322748087024,1.21061708582593,4.631686725385921,1.2018750866584504,1.3908496853394319,0.7155618253508381,2.6221592785188244,0.41722906630237233,2.1029028584650398,0.03927012715245532,52.42925125945439,45.49098152004829,27.073379916388145,124.99361269589082
3,Nathan MacKinnon,C,28.1,72,200,70.7995747930953,18.09851066462131,3.9858814372773583,0.2262895639631779,1.3502967734896123,2.8033048848838726,0.354987596201225,1.465228738785307,0.746246557370452,2.5851709212190315,0.32698356301087594,2.3767897730504712,0.038397734056371965,42.116698164227785,43.537768659382046,27.12596326119672,112.78043008480654
4,Mikko Rantanen,R,26.9,76,215,76.1800576195616,18.055606521998527,4.10738742035191,0.2106595901939445,1.5551846571813497,2.8715410373870363,0.3658222080321028,0.9656109716489755,0.5783324480657708,2.4758690921677395,0.3344621359720829,2.0132545249565656,0.03116914132216011,50.72499635029527,35.13742052367731,23.765544063860784,109.62796093783336
5,Matthew Tkachuk,L,25.8,74,201,77.5244785701381,16.083492886443004,4.135332401348982,0.4925793000239252,1.3368767191486008,2.9963640816405555,0.6199904538466017,1.299963617177686,0.7150618723633128,2.258338817931621,0.3508653815621516,1.79897570304368,0.03825703574379023,44.18637269190496,39.30460867796711,24.496313526708157,107.98729489658021
6,Mitchell Marner,R,26.4,72,181,75.81667279767086,16.313436609934037,3.513393487204458,2.198235559728039,1.2438902019862086,1.8749397415118325,1.1906906937373913,1.4018121639433834,0.7565961569450913,2.757446085377732,0.4559989713221585,2.4006885514690475,0.0269918215108593,37.27266876689386,42.405225626222766,26.32933783938053,106.00723223249715
7,Auston Matthews,C,26.0,75,208,73.70350340582233,17.504084103870262,3.572513723296937,0.2647799047411703,1.9398457006429795,3.4270138598180435,0.4979452567771998,0.9925463412104178,0.5797012587706268,1.6441711104755217,0.3350985644033257,1.4163386172334473,0.023859704004235694,56.91153869821806,28.665952993027425,18.687948687596755,104.26544037884224
8,David Pastrnak,R,27.4,73,195,74.65817858897721,16.00892375353992,3.7464792146785726,0.2207949403448971,1.8219087820783473,3.363748003783672,0.3538926123986802,1.0320956698722235,0.5913526089764233,1.9017773190942067,0.3202415709113099,1.4891108929914474,0.03306242582201092,52.07053138116486,29.512897867029128,18.730669214154982,100.31409846234898
9,Kirill Kaprizov,L,26.4,70,202,74.38553036759416,17.229166425333926,3.784492944030592,0.2243762314544911,1.5277641460989444,3.632149169101396,0.4256232978560184,0.9874637153786109,0.5594648158890612,1.8209380260173396,0.327641695798325,1.4061255263433614,0.026441745919600457,49.79298643986329,29.726960773904743,18.55487230982708,98.07481952359511
10,Jason Robertson,L,24.2,75,200,74.82204976668525,16.22078745374776,3.2616266105790555,0.2504473213173162,1.6175007562315145,3.0333984859280543,0.48187565409743144,1.0625495615585494,0.6563938436446837,2.22194002397588,0.3524307911754537,1.941384833188505,0.016862592863274694,45.20702563312682,30.640620340173296,21.179030452582673,97.02667642588278
