,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y5 dEV ATOI
Tyler Toffoli 2018,Tyler Toffoli,2018,R,25.438,72,203,62.0,76.0,82.0,63,82,11.2723,12.1579,13.953,13.2601,13.7372,1.0763750000000005
Tyler Toffoli 2019,Tyler Toffoli,2019,R,26.437,72,203,76.0,82.0,63.0,82,82,12.1579,13.953,13.2601,13.7372,13.8537,0.5766500000000008
Tyler Toffoli 2020,Tyler Toffoli,2020,R,27.437,72,203,82.0,63.0,82.0,82,80,13.953,13.2601,13.7372,13.8537,13.6652,-0.035800000000000054
Tyler Toffoli 2021,Tyler Toffoli,2021,R,28.439,72,203,63.0,82.0,82.0,80,76,13.2601,13.7372,13.8537,13.6652,14.2292,0.6001500000000011
Tyler Toffoli 2022,Tyler Toffoli,2022,R,29.438,72,203,82.0,82.0,80.0,76,74,13.7372,13.8537,13.6652,14.2292,12.7626,-1.1087249999999997
Tyler Toffoli 2023,Tyler Toffoli,2023,R,30.438,72,203,82.0,80.0,76.0,74,82,13.8537,13.6652,14.2292,12.7626,13.0913,-0.5363749999999996
Evgeny Kuznetsov 2016,Evgeny Kuznetsov,2016,C,23.368,74,207,,,17.0,80,82,,,12.4127,11.9079,15.1744,3.014100000000001
Evgeny Kuznetsov 2017,Evgeny Kuznetsov,2017,C,24.37,74,207,,17.0,80.0,82,82,,12.4127,11.9079,15.1744,14.9083,1.7433000000000014
Evgeny Kuznetsov 2018,Evgeny Kuznetsov,2018,C,25.37,74,207,17.0,80.0,82.0,82,79,12.4127,11.9079,15.1744,14.9083,15.3013,1.700474999999999
Evgeny Kuznetsov 2019,Evgeny Kuznetsov,2019,C,26.369,74,207,80.0,82.0,82.0,79,76,11.9079,15.1744,14.9083,15.3013,14.9075,0.5845250000000011
Evgeny Kuznetsov 2020,Evgeny Kuznetsov,2020,C,27.368,74,207,82.0,82.0,79.0,76,74,15.1744,14.9083,15.3013,14.9075,14.4444,-0.6284749999999999
Evgeny Kuznetsov 2021,Evgeny Kuznetsov,2021,C,28.37,74,207,82.0,79.0,76.0,74,60,14.9083,15.3013,14.9075,14.4444,14.0374,-0.8529750000000007
Evgeny Kuznetsov 2022,Evgeny Kuznetsov,2022,C,29.37,74,207,79.0,76.0,74.0,60,79,15.3013,14.9075,14.4444,14.0374,15.4093,0.7366499999999991
Evgeny Kuznetsov 2023,Evgeny Kuznetsov,2023,C,30.369,74,207,76.0,74.0,60.0,79,81,14.9075,14.4444,14.0374,15.4093,13.9979,-0.7017500000000005
Charlie Coyle 2014,Charlie Coyle,2014,C,21.583,75,223,,,,63,70,,,,13.8414,14.6931,0.8516999999999992
Charlie Coyle 2015,Charlie Coyle,2015,C,22.582,75,223,,,63.0,70,82,,,13.8414,14.6931,13.2152,-1.0520500000000013
Charlie Coyle 2016,Charlie Coyle,2016,C,23.582,75,223,,63.0,70.0,82,82,,13.8414,14.6931,13.2152,14.8378,0.9212333333333333
Charlie Coyle 2017,Charlie Coyle,2017,C,24.584,75,223,63.0,70.0,82.0,82,82,13.8414,14.6931,13.2152,14.8378,14.1945,0.04762500000000003
Charlie Coyle 2018,Charlie Coyle,2018,C,25.583,75,223,70.0,82.0,82.0,82,66,14.6931,13.2152,14.8378,14.1945,14.1513,-0.0838499999999982
Charlie Coyle 2019,Charlie Coyle,2019,C,26.583,75,223,82.0,82.0,82.0,66,81,13.2152,14.8378,14.1945,14.1513,13.9963,-0.1034000000000006
Charlie Coyle 2020,Charlie Coyle,2020,C,27.582,75,223,82.0,82.0,66.0,81,82,14.8378,14.1945,14.1513,13.9963,13.9531,-0.3418750000000017
Charlie Coyle 2021,Charlie Coyle,2021,C,28.584,75,223,82.0,66.0,81.0,82,74,14.1945,14.1513,13.9963,13.9531,12.9614,-1.112400000000001
Charlie Coyle 2022,Charlie Coyle,2022,C,29.583,75,223,66.0,81.0,82.0,74,82,14.1513,13.9963,13.9531,12.9614,13.7957,0.03017499999999984
Charlie Coyle 2023,Charlie Coyle,2023,C,30.583,75,223,81.0,82.0,74.0,82,82,13.9963,13.9531,12.9614,13.7957,13.7276,0.0509750000000011
Tyler Pitlick 2019,Tyler Pitlick,2019,C,26.917,74,200,17.0,,31.0,80,47,12.1951,,9.7183,11.8588,11.8837,0.6262999999999987
Tyler Pitlick 2020,Tyler Pitlick,2020,C,27.916,74,200,,31.0,80.0,47,74,,9.7183,11.8588,11.8837,10.845,-0.30859999999999843
Tyler Pitlick 2021,Tyler Pitlick,2021,C,28.918,74,200,31.0,80.0,47.0,74,55,9.7183,11.8588,11.8837,10.845,12.314,1.2375500000000006
Brock Nelson 2015,Brock Nelson,2015,C,22.963,76,210,,,,72,82,,,,11.5551,12.2081,0.6530000000000005
Brock Nelson 2016,Brock Nelson,2016,C,23.962,76,210,,,72.0,82,81,,,11.5551,12.2081,13.5533,1.6717000000000013
Brock Nelson 2017,Brock Nelson,2017,C,24.964,76,210,,72.0,82.0,81,81,,11.5551,12.2081,13.5533,13.199,0.7601666666666667
Brock Nelson 2018,Brock Nelson,2018,C,25.964,76,210,72.0,82.0,81.0,81,82,11.5551,12.2081,13.5533,13.199,12.2557,-0.3731750000000016
Brock Nelson 2019,Brock Nelson,2019,C,26.963,76,210,82.0,81.0,81.0,82,82,12.2081,13.5533,13.199,12.2557,14.7197,1.9156750000000002
Brock Nelson 2020,Brock Nelson,2020,C,27.962,76,210,81.0,81.0,82.0,82,80,13.5533,13.199,12.2557,14.7197,15.1723,1.7403750000000002
Brock Nelson 2021,Brock Nelson,2021,C,28.965,76,210,81.0,82.0,82.0,80,82,13.199,12.2557,14.7197,15.1723,14.6708,0.8341250000000002
Brock Nelson 2022,Brock Nelson,2022,C,29.964,76,210,82.0,82.0,80.0,82,72,12.2557,14.7197,15.1723,14.6708,14.6882,0.4835750000000001
Brock Nelson 2023,Brock Nelson,2023,C,30.963,76,210,82.0,80.0,82.0,72,82,14.7197,15.1723,14.6708,14.6882,14.7994,-0.013349999999999085
Nick Bjugstad 2015,Nick Bjugstad,2015,C,22.207,78,209,,,18.0,76,72,,,14.1394,13.7189,13.7407,-0.18844999999999956
Nick Bjugstad 2016,Nick Bjugstad,2016,C,23.207,78,209,,18.0,76.0,72,67,,14.1394,13.7189,13.7407,12.7515,-1.1148333333333333
Nick Bjugstad 2017,Nick Bjugstad,2017,C,24.209,78,209,18.0,76.0,72.0,67,54,14.1394,13.7189,13.7407,12.7515,11.7068,-1.8808249999999997
Nick Bjugstad 2018,Nick Bjugstad,2018,C,25.208,78,209,76.0,72.0,67.0,54,82,13.7189,13.7407,12.7515,11.7068,13.5575,0.5780249999999985
Nick Bjugstad 2019,Nick Bjugstad,2019,C,26.207,78,209,72.0,67.0,54.0,82,64,13.7407,12.7515,11.7068,13.5575,13.5956,0.6564749999999986
Nick Bjugstad 2022,Nick Bjugstad,2022,C,29.208,78,209,82.0,64.0,15.0,64,57,13.5575,13.5956,10.5628,10.761,10.0421,-2.0771250000000006
Nick Bjugstad 2023,Nick Bjugstad,2023,C,30.208,78,209,64.0,15.0,64.0,57,78,13.5956,10.5628,10.761,10.0421,13.5453,2.304924999999999
Kevin Hayes 2016,Kevin Hayes,2016,C,23.398,77,216,,,,79,79,,,,11.9732,12.1053,0.13209999999999944
Kevin Hayes 2017,Kevin Hayes,2017,C,24.4,77,216,,,79.0,79,76,,,11.9732,12.1053,13.6757,1.6364500000000017
Kevin Hayes 2018,Kevin Hayes,2018,C,25.4,77,216,,79.0,79.0,76,76,,11.9732,12.1053,13.6757,14.0079,1.4231666666666651
Kevin Hayes 2019,Kevin Hayes,2019,C,26.399,77,216,79.0,79.0,76.0,76,71,11.9732,12.1053,13.6757,14.0079,14.4007,1.4601749999999996
Kevin Hayes 2020,Kevin Hayes,2020,C,27.398,77,216,79.0,76.0,76.0,71,81,12.1053,13.6757,14.0079,14.4007,13.9565,0.40910000000000046
Kevin Hayes 2021,Kevin Hayes,2021,C,28.401,77,216,76.0,76.0,71.0,81,80,13.6757,14.0079,14.4007,13.9565,13.6655,-0.34470000000000134
Kevin Hayes 2022,Kevin Hayes,2022,C,29.4,77,216,76.0,71.0,81.0,80,48,14.0079,14.4007,13.9565,13.6655,14.2872,0.2795500000000004
Kevin Hayes 2023,Kevin Hayes,2023,C,30.399,77,216,71.0,81.0,80.0,48,81,14.4007,13.9565,13.6655,14.2872,14.7691,0.6916250000000002
Vladimir Tarasenko 2014,Vladimir Tarasenko,2014,R,21.802,73,228,,,,64,64,,,,11.6013,12.9685,1.3672000000000004
Vladimir Tarasenko 2015,Vladimir Tarasenko,2015,R,22.801,73,228,,,64.0,64,77,,,11.6013,12.9685,14.8504,2.5655
Vladimir Tarasenko 2016,Vladimir Tarasenko,2016,R,23.801,73,228,,64.0,64.0,77,80,,11.6013,12.9685,14.8504,15.3727,2.2326333333333324
Vladimir Tarasenko 2017,Vladimir Tarasenko,2017,R,24.803,73,228,64.0,64.0,77.0,80,82,11.6013,12.9685,14.8504,15.3727,15.3142,1.6159749999999988
Vladimir Tarasenko 2018,Vladimir Tarasenko,2018,R,25.802,73,228,64.0,77.0,80.0,82,80,12.9685,14.8504,15.3727,15.3142,15.5304,0.90395
Vladimir Tarasenko 2019,Vladimir Tarasenko,2019,R,26.802,73,228,77.0,80.0,82.0,80,76,14.8504,15.3727,15.3142,15.5304,15.3952,0.12827500000000036
Vladimir Tarasenko 2023,Vladimir Tarasenko,2023,R,30.802,73,228,76.0,11.0,35.0,75,69,15.3952,13.7267,14.8847,14.1647,14.343,-0.19982500000000059
Austin Watson 2017,Austin Watson,2017,L,24.718,76,204,10.0,,,57,77,11.1806,,,9.193,10.5703,0.38349999999999973
Austin Watson 2018,Austin Watson,2018,L,25.717,76,204,,,57.0,77,76,,,9.193,10.5703,10.0603,0.1786499999999993
Austin Watson 2021,Austin Watson,2021,L,28.718,76,204,77.0,76.0,37.0,62,49,10.5703,10.0603,12.6968,10.4585,9.8147,-1.1317749999999993
Austin Watson 2022,Austin Watson,2022,L,29.717,76,204,76.0,37.0,62.0,49,67,10.0603,12.6968,10.4585,9.8147,10.4861,-0.2714749999999988
Austin Watson 2023,Austin Watson,2023,L,30.717,76,204,37.0,62.0,49.0,67,75,12.6968,10.4585,9.8147,10.4861,8.048,-2.816025
Jaden Schwartz 2014,Jaden Schwartz,2014,C,21.268,70,185,,,7.0,76,80,,,10.8595,12.0148,14.2033,2.7661500000000014
Jaden Schwartz 2015,Jaden Schwartz,2015,C,22.268,70,185,,7.0,76.0,80,75,,10.8595,12.0148,14.2033,14.7942,2.4350000000000005
Jaden Schwartz 2018,Jaden Schwartz,2018,C,25.268,70,185,80.0,75.0,33.0,78,62,14.2033,14.7942,14.1449,15.1814,15.5019,0.9209499999999995
Jaden Schwartz 2019,Jaden Schwartz,2019,C,26.268,70,185,75.0,33.0,78.0,62,69,14.7942,14.1449,15.1814,15.5019,15.2481,0.34250000000000114
Jaden Schwartz 2020,Jaden Schwartz,2020,C,27.267,70,185,33.0,78.0,62.0,69,83,14.1449,15.1814,15.5019,15.2481,15.0812,0.062124999999999986
Jaden Schwartz 2021,Jaden Schwartz,2021,C,28.269,70,185,78.0,62.0,69.0,83,58,15.1814,15.5019,15.2481,15.0812,14.9371,-0.3160500000000006
Riley Sheahan 2015,Riley Sheahan,2015,C,22.818,74,214,,1.0,1.0,42,79,,6.05,6.7833,12.3063,12.665,4.285133333333333
Riley Sheahan 2016,Riley Sheahan,2016,C,23.817,74,214,1.0,1.0,42.0,79,81,6.05,6.7833,12.3063,12.665,12.029,2.5778499999999998
Riley Sheahan 2017,Riley Sheahan,2017,C,24.819,74,214,1.0,42.0,79.0,81,80,6.7833,12.3063,12.665,12.029,11.9798,1.0338999999999992
Riley Sheahan 2018,Riley Sheahan,2018,C,25.819,74,214,42.0,79.0,81.0,80,81,12.3063,12.665,12.029,11.9798,11.8053,-0.43972499999999926
Riley Sheahan 2019,Riley Sheahan,2019,C,26.818,74,214,79.0,81.0,80.0,81,82,12.665,12.029,11.9798,11.8053,11.3567,-0.7630750000000006
Riley Sheahan 2020,Riley Sheahan,2020,C,27.817,74,214,81.0,80.0,81.0,82,77,12.029,11.9798,11.8053,11.3567,10.2808,-1.5119000000000007
Riley Sheahan 2021,Riley Sheahan,2021,C,28.819,74,214,80.0,81.0,82.0,77,77,11.9798,11.8053,11.3567,10.2808,10.8484,-0.5072500000000009
Riley Sheahan 2022,Riley Sheahan,2022,C,29.819,74,214,81.0,82.0,77.0,77,69,11.8053,11.3567,10.2808,10.8484,9.8128,-1.2600000000000016
Chris Wagner 2017,Chris Wagner,2017,R,25.35,72,192,,,9.0,43,43,,,8.3204,8.593,7.8884,-0.5682999999999998
Chris Wagner 2018,Chris Wagner,2018,R,26.35,72,192,,9.0,43.0,43,79,,8.3204,8.593,7.8884,10.6631,2.395833333333334
Chris Wagner 2019,Chris Wagner,2019,R,27.349,72,192,9.0,43.0,43.0,79,76,8.3204,8.593,7.8884,10.6631,11.9662,3.0999750000000006
Chris Wagner 2020,Chris Wagner,2020,R,28.348,72,192,43.0,43.0,79.0,76,79,8.593,7.8884,10.6631,11.9662,10.797,1.0193250000000003
Chris Wagner 2021,Chris Wagner,2021,R,29.351,72,192,43.0,79.0,76.0,79,60,7.8884,10.6631,11.9662,10.797,10.0711,-0.257575000000001
Jeff Skinner 2012,Jeff Skinner,2012,L,19.376,71,197,,,,82,64,,,,13.3927,14.9867,1.5940000000000012
Jeff Skinner 2013,Jeff Skinner,2013,L,20.378,71,197,,,82.0,64,71,,,13.3927,14.9867,15.5433,1.3536000000000001
Jeff Skinner 2014,Jeff Skinner,2014,L,21.378,71,197,,82.0,64.0,71,71,,13.3927,14.9867,15.5433,14.0371,-0.6037999999999997
Jeff Skinner 2015,Jeff Skinner,2015,L,22.377,71,197,82.0,64.0,71.0,71,77,13.3927,14.9867,15.5433,14.0371,13.89,-0.5999499999999998
Jeff Skinner 2016,Jeff Skinner,2016,L,23.376,71,197,64.0,71.0,71.0,77,82,14.9867,15.5433,14.0371,13.89,14.2892,-0.3250750000000018
Jeff Skinner 2017,Jeff Skinner,2017,L,24.378,71,197,71.0,71.0,77.0,82,79,15.5433,14.0371,13.89,14.2892,15.43,0.9901
Jeff Skinner 2018,Jeff Skinner,2018,L,25.378,71,197,71.0,77.0,82.0,79,82,14.0371,13.89,14.2892,15.43,14.6022,0.1906250000000007
Jeff Skinner 2019,Jeff Skinner,2019,L,26.377,71,197,77.0,82.0,79.0,82,82,13.89,14.2892,15.43,14.6022,15.4254,0.8725500000000004
Jeff Skinner 2020,Jeff Skinner,2020,L,27.377,71,197,82.0,79.0,82.0,82,69,14.2892,15.43,14.6022,15.4254,13.991,-0.9457000000000004
Jeff Skinner 2021,Jeff Skinner,2021,L,28.379,71,197,79.0,82.0,82.0,69,77,15.43,14.6022,15.4254,13.991,13.1934,-1.6687499999999993
Jeff Skinner 2022,Jeff Skinner,2022,L,29.378,71,197,82.0,82.0,69.0,77,80,14.6022,15.4254,13.991,13.1934,14.2544,-0.04860000000000042
Jeff Skinner 2023,Jeff Skinner,2023,L,30.377,71,197,82.0,69.0,77.0,80,79,15.4254,13.991,13.1934,14.2544,14.1165,-0.09954999999999892
Zach Hyman 2018,Zach Hyman,2018,L,25.312,73,211,,,16.0,82,82,,,13.7896,13.7496,14.5258,0.7561999999999998
Zach Hyman 2019,Zach Hyman,2019,L,26.311,73,211,,16.0,82.0,82,71,,13.7896,13.7496,14.5258,14.7481,0.7264333333333344
Zach Hyman 2020,Zach Hyman,2020,L,27.311,73,211,16.0,82.0,82.0,71,60,13.7896,13.7496,14.5258,14.7481,16.0105,1.8072250000000007
Zach Hyman 2021,Zach Hyman,2021,L,28.313,73,211,82.0,82.0,71.0,60,62,13.7496,14.5258,14.7481,16.0105,15.8663,1.107800000000001
Zach Hyman 2022,Zach Hyman,2022,L,29.312,73,211,82.0,71.0,60.0,62,76,14.5258,14.7481,16.0105,15.8663,15.2662,-0.021475000000000577
Zach Hyman 2023,Zach Hyman,2023,L,30.312,73,211,71.0,60.0,62.0,76,79,14.7481,16.0105,15.8663,15.2662,16.0688,0.5960249999999991
Taylor Hall 2012,Taylor Hall,2012,L,19.88,73,210,,,,65,61,,,,15.4279,15.1142,-0.313699999999999
Taylor Hall 2013,Taylor Hall,2013,L,20.882,73,210,,,65.0,61,76,,,15.4279,15.1142,15.2922,0.021150000000000446
Taylor Hall 2014,Taylor Hall,2014,L,21.882,73,210,,65.0,61.0,76,75,,15.4279,15.1142,15.2922,16.4469,1.1687999999999992
Taylor Hall 2015,Taylor Hall,2015,L,22.881,73,210,65.0,61.0,76.0,75,53,15.4279,15.1142,15.2922,16.4469,16.4484,0.8780999999999999
Taylor Hall 2016,Taylor Hall,2016,L,23.88,73,210,61.0,76.0,75.0,53,82,15.1142,15.2922,16.4469,16.4484,16.3256,0.5001750000000023
Taylor Hall 2017,Taylor Hall,2017,L,24.882,73,210,76.0,75.0,53.0,82,72,15.2922,16.4469,16.4484,16.3256,16.3067,0.17842500000000072
Taylor Hall 2018,Taylor Hall,2018,L,25.882,73,210,75.0,53.0,82.0,72,76,16.4469,16.4484,16.3256,16.3067,16.1274,-0.25450000000000017
Taylor Hall 2021,Taylor Hall,2021,L,28.882,73,210,72.0,76.0,33.0,76,77,16.3067,16.1274,16.2449,15.4195,15.2258,-0.7988250000000008
Taylor Hall 2022,Taylor Hall,2022,L,29.882,73,210,76.0,33.0,76.0,77,81,16.1274,16.2449,15.4195,15.2258,13.4765,-2.2779000000000007
Taylor Hall 2023,Taylor Hall,2023,L,30.881,73,210,33.0,76.0,77.0,81,61,16.2449,15.4195,15.2258,13.4765,13.673,-1.4186750000000004
Ryan Johansen 2013,Ryan Johansen,2013,C,20.17,75,218,,,,67,68,,,,11.0102,13.6662,2.6560000000000006
Ryan Johansen 2014,Ryan Johansen,2014,C,21.17,75,218,,,67.0,68,82,,,11.0102,13.6662,14.2872,1.9489999999999998
Ryan Johansen 2015,Ryan Johansen,2015,C,22.169,75,218,,67.0,68.0,82,82,,11.0102,13.6662,14.2872,15.3026,2.314733333333333
Ryan Johansen 2016,Ryan Johansen,2016,C,23.168,75,218,67.0,68.0,82.0,82,80,11.0102,13.6662,14.2872,15.3026,14.5702,1.0036500000000004
Ryan Johansen 2017,Ryan Johansen,2017,C,24.17,75,218,68.0,82.0,82.0,80,82,13.6662,14.2872,15.3026,14.5702,15.1283,0.6717499999999994
Ryan Johansen 2018,Ryan Johansen,2018,C,25.17,75,218,82.0,82.0,80.0,82,79,14.2872,15.3026,14.5702,15.1283,14.4399,-0.38217500000000015
Ryan Johansen 2019,Ryan Johansen,2019,C,26.169,75,218,82.0,80.0,82.0,79,80,15.3026,14.5702,15.1283,14.4399,15.0973,0.23704999999999998
Ryan Johansen 2020,Ryan Johansen,2020,C,27.168,75,218,80.0,82.0,79.0,80,80,14.5702,15.1283,14.4399,15.0973,13.3324,-1.4765250000000005
Ryan Johansen 2021,Ryan Johansen,2021,C,28.171,75,218,82.0,79.0,80.0,80,68,15.1283,14.4399,15.0973,13.3324,13.6699,-0.8295750000000002
Ryan Johansen 2022,Ryan Johansen,2022,C,29.17,75,218,79.0,80.0,80.0,68,79,14.4399,15.0973,13.3324,13.6699,13.2911,-0.8437750000000008
Ryan Johansen 2023,Ryan Johansen,2023,C,30.169,75,218,80.0,80.0,68.0,79,55,15.0973,13.3324,13.6699,13.2911,12.5142,-1.333475
Tyler Seguin 2012,Tyler Seguin,2012,C,19.667,73,205,,,,74,81,,,,10.8041,14.4366,3.6325000000000003
Tyler Seguin 2013,Tyler Seguin,2013,C,20.669,73,205,,,74.0,81,82,,,10.8041,14.4366,14.7865,2.16615
Tyler Seguin 2014,Tyler Seguin,2014,C,21.668,73,205,,74.0,81.0,82,80,,10.8041,14.4366,14.7865,15.5171,2.1746999999999996
Tyler Seguin 2015,Tyler Seguin,2015,C,22.667,73,205,74.0,81.0,82.0,80,71,10.8041,14.4366,14.7865,15.5171,15.6315,1.745425000000001
Tyler Seguin 2016,Tyler Seguin,2016,C,23.667,73,205,81.0,82.0,80.0,71,72,14.4366,14.7865,15.5171,15.6315,16.113,1.0200749999999985
Tyler Seguin 2017,Tyler Seguin,2017,C,24.669,73,205,82.0,80.0,71.0,72,82,14.7865,15.5171,15.6315,16.113,15.2565,-0.25552499999999867
Tyler Seguin 2018,Tyler Seguin,2018,C,25.668,73,205,80.0,71.0,72.0,82,82,15.5171,15.6315,16.113,15.2565,16.2073,0.577774999999999
Tyler Seguin 2019,Tyler Seguin,2019,C,26.667,73,205,71.0,72.0,82.0,82,82,15.6315,16.113,15.2565,16.2073,16.8927,1.090625000000001
Tyler Seguin 2020,Tyler Seguin,2020,C,27.667,73,205,72.0,82.0,82.0,82,81,16.113,15.2565,16.2073,16.8927,15.7551,-0.36227499999999857
Tyler Seguin 2023,Tyler Seguin,2023,C,30.668,73,205,82.0,81.0,4.0,81,76,16.8927,15.7551,15.0333,15.0981,13.4445,-2.250300000000001
Mikael Granlund 2014,Mikael Granlund,2014,C,21.597,70,185,,,,46,63,,,,11.4093,14.3185,2.9092000000000002
Mikael Granlund 2015,Mikael Granlund,2015,C,22.596,70,185,,,46.0,63,68,,,11.4093,14.3185,15.3228,2.4589
Mikael Granlund 2016,Mikael Granlund,2016,C,23.595,70,185,,46.0,63.0,68,82,,11.4093,14.3185,15.3228,14.8939,1.2103666666666673
Mikael Granlund 2017,Mikael Granlund,2017,C,24.598,70,185,46.0,63.0,68.0,82,81,11.4093,14.3185,15.3228,14.8939,15.114,1.1278749999999995
Mikael Granlund 2018,Mikael Granlund,2018,C,25.597,70,185,63.0,68.0,82.0,81,77,14.3185,15.3228,14.8939,15.114,14.3695,-0.5427999999999997
Mikael Granlund 2019,Mikael Granlund,2019,C,26.596,70,185,68.0,82.0,81.0,77,79,15.3228,14.8939,15.114,14.3695,15.1703,0.24524999999999864
Mikael Granlund 2020,Mikael Granlund,2020,C,27.596,70,185,82.0,81.0,77.0,79,74,14.8939,15.114,14.3695,15.1703,14.4934,-0.39352500000000035
Mikael Granlund 2021,Mikael Granlund,2021,C,28.598,70,185,81.0,77.0,79.0,74,73,15.114,14.3695,15.1703,14.4934,14.6353,-0.15149999999999864
Mikael Granlund 2022,Mikael Granlund,2022,C,29.597,70,185,77.0,79.0,74.0,73,80,14.3695,15.1703,14.4934,14.6353,15.3577,0.690574999999999
Mikael Granlund 2023,Mikael Granlund,2023,C,30.596,70,185,79.0,74.0,73.0,80,79,15.1703,14.4934,14.6353,15.3577,13.9426,-0.9715749999999996
Nino Niederreiter 2015,Nino Niederreiter,2015,R,22.062,74,218,9.0,55.0,,81,80,12.65,9.6991,,12.7128,12.5304,0.8430999999999997
Nino Niederreiter 2016,Nino Niederreiter,2016,R,23.062,74,218,55.0,,81.0,80,82,9.6991,,12.7128,12.5304,13.5911,1.943666666666667
Nino Niederreiter 2017,Nino Niederreiter,2017,R,24.064,74,218,,81.0,80.0,82,82,,12.7128,12.5304,13.5911,13.0553,0.11053333333333448
Nino Niederreiter 2018,Nino Niederreiter,2018,R,25.063,74,218,81.0,80.0,82.0,82,63,12.7128,12.5304,13.5911,13.0553,12.713,-0.2594000000000012
Nino Niederreiter 2019,Nino Niederreiter,2019,R,26.062,74,218,80.0,82.0,82.0,63,82,12.5304,13.5911,13.0553,12.713,13.9589,0.9864499999999996
Nino Niederreiter 2020,Nino Niederreiter,2020,R,27.062,74,218,82.0,82.0,63.0,82,79,13.5911,13.0553,12.713,13.9589,12.8552,-0.4743750000000002
Nino Niederreiter 2021,Nino Niederreiter,2021,R,28.064,74,218,82.0,63.0,82.0,79,82,13.0553,12.713,13.9589,12.8552,14.1818,1.036200000000001
Nino Niederreiter 2022,Nino Niederreiter,2022,R,29.063,74,218,63.0,82.0,79.0,82,75,12.713,13.9589,12.8552,14.1818,13.3449,-0.0823249999999991
Nino Niederreiter 2023,Nino Niederreiter,2023,R,30.062,74,218,82.0,79.0,82.0,75,78,13.9589,12.8552,14.1818,13.3449,13.7562,0.17099999999999937
Bryan Rust 2017,Bryan Rust,2017,R,24.392,71,192,,,14.0,41,57,,,11.581,11.9341,12.6667,0.9091500000000003
Bryan Rust 2018,Bryan Rust,2018,R,25.392,71,192,,14.0,41.0,57,69,,11.581,11.9341,12.6667,13.879,1.8183999999999987
Bryan Rust 2019,Bryan Rust,2019,R,26.391,71,192,14.0,41.0,57.0,69,72,11.581,11.9341,12.6667,13.879,13.781,1.2658000000000005
Bryan Rust 2020,Bryan Rust,2020,R,27.39,71,192,41.0,57.0,69.0,72,64,11.9341,12.6667,13.879,13.781,15.293,2.2277999999999984
Bryan Rust 2021,Bryan Rust,2021,R,28.392,71,192,57.0,69.0,72.0,64,82,12.6667,13.879,13.781,15.293,16.5476,2.6426749999999988
Bryan Rust 2022,Bryan Rust,2022,R,29.392,71,192,69.0,72.0,64.0,82,60,13.879,13.781,15.293,16.5476,14.545,-0.3301499999999997
Bryan Rust 2023,Bryan Rust,2023,R,30.391,71,192,72.0,64.0,82.0,60,81,13.781,15.293,16.5476,14.545,14.1389,-0.902750000000001
Sam Carrick 2023,Sam Carrick,2023,C,30.657,72,200,6.0,10.0,19.0,64,52,9.9806,12.1019,12.0192,10.4583,9.6266,-1.5134000000000007
Brendan Gallagher 2014,Brendan Gallagher,2014,R,21.405,69,186,,,,75,81,,,,11.4489,13.4335,1.9846000000000004
Brendan Gallagher 2015,Brendan Gallagher,2015,R,22.404,69,186,,,75.0,81,82,,,11.4489,13.4335,14.1106,1.6693999999999996
Brendan Gallagher 2016,Brendan Gallagher,2016,R,23.404,69,186,,75.0,81.0,82,53,,11.4489,13.4335,14.1106,13.577,0.5793333333333326
Brendan Gallagher 2017,Brendan Gallagher,2017,R,24.406,69,186,75.0,81.0,82.0,53,64,11.4489,13.4335,14.1106,13.577,13.0135,-0.12899999999999956
Brendan Gallagher 2018,Brendan Gallagher,2018,R,25.405,69,186,81.0,82.0,53.0,64,82,13.4335,14.1106,13.577,13.0135,13.4632,-0.07044999999999924
Brendan Gallagher 2019,Brendan Gallagher,2019,R,26.405,69,186,82.0,53.0,64.0,82,82,14.1106,13.577,13.0135,13.4632,13.8921,0.3510249999999999
Brendan Gallagher 2020,Brendan Gallagher,2020,R,27.404,69,186,53.0,64.0,82.0,82,69,13.577,13.0135,13.4632,13.8921,14.774,1.2875499999999995
Brendan Gallagher 2021,Brendan Gallagher,2021,R,28.406,69,186,64.0,82.0,82.0,69,51,13.0135,13.4632,13.8921,14.774,12.9429,-0.8428000000000004
Brendan Gallagher 2022,Brendan Gallagher,2022,R,29.405,69,186,82.0,82.0,69.0,51,56,13.4632,13.8921,14.774,12.9429,12.5387,-1.2293499999999984
Jesper Fast 2016,Jesper Fast,2016,R,23.831,73,191,,,11.0,58,79,,,9.6121,10.6652,12.5236,2.38495
Jesper Fast 2017,Jesper Fast,2017,R,24.833,73,191,,11.0,58.0,79,68,,9.6121,10.6652,12.5236,12.137,1.2033666666666676
Jesper Fast 2018,Jesper Fast,2018,R,25.832,73,191,11.0,58.0,79.0,68,71,9.6121,10.6652,12.5236,12.137,12.9392,1.7047249999999998
Jesper Fast 2019,Jesper Fast,2019,R,26.832,73,191,58.0,79.0,68.0,71,66,10.6652,12.5236,12.137,12.9392,13.8725,1.8062500000000004
Jesper Fast 2020,Jesper Fast,2020,R,27.831,73,191,79.0,68.0,71.0,66,81,12.5236,12.137,12.9392,13.8725,14.0688,1.2007249999999985
