,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y5 dEV ATOI
Corey Perry 2009,Corey Perry,2009,R,23.379,75,208,,,,70,78,,,,14.2626,15.0397,0.777099999999999
Corey Perry 2010,Corey Perry,2010,R,24.378,75,208,,,70.0,78,82,,,14.2626,15.0397,16.8228,2.1716499999999996
Corey Perry 2011,Corey Perry,2011,R,25.378,75,208,,70.0,78.0,82,82,,14.2626,15.0397,16.8228,17.1457,1.770666666666667
Corey Perry 2012,Corey Perry,2012,R,26.377,75,208,70.0,78.0,82.0,82,80,14.2626,15.0397,16.8228,17.1457,16.5227,0.7050000000000001
Corey Perry 2013,Corey Perry,2013,R,27.379,75,208,78.0,82.0,82.0,80,75,15.0397,16.8228,17.1457,16.5227,15.3163,-1.0664250000000006
Corey Perry 2014,Corey Perry,2014,R,28.379,75,208,82.0,82.0,80.0,75,81,16.8228,17.1457,16.5227,15.3163,15.3545,-1.0973750000000013
Corey Perry 2015,Corey Perry,2015,R,29.378,75,208,82.0,80.0,75.0,81,67,17.1457,16.5227,15.3163,15.3545,15.0405,-1.0443000000000016
Corey Perry 2016,Corey Perry,2016,R,30.377,75,208,80.0,75.0,81.0,67,82,16.5227,15.3163,15.3545,15.0405,14.7695,-0.7889999999999997
Corey Perry 2017,Corey Perry,2017,R,31.379,75,208,75.0,81.0,67.0,82,82,15.3163,15.3545,15.0405,14.7695,14.8232,-0.2970000000000006
Corey Perry 2018,Corey Perry,2018,R,32.379,75,208,81.0,67.0,82.0,82,71,15.3545,15.0405,14.7695,14.8232,15.0988,0.10187499999999972
Corey Perry 2021,Corey Perry,2021,R,35.379,75,208,82.0,71.0,31.0,67,71,14.8232,15.0988,12.9457,11.4778,11.4922,-2.094175
Corey Perry 2022,Corey Perry,2022,R,36.379,75,208,71.0,31.0,67.0,71,82,15.0988,12.9457,11.4778,11.4922,11.7612,-0.992424999999999
Corey Perry 2023,Corey Perry,2023,R,37.378,75,208,31.0,67.0,71.0,82,81,12.9457,11.4778,11.4922,11.7612,9.773,-2.146225000000001
Patrice Bergeron 2010,Patrice Bergeron,2010,C,24.19,73,196,,,10.0,64,73,,,12.1233,12.5786,14.2683,1.917349999999999
Patrice Bergeron 2011,Patrice Bergeron,2011,C,25.189,73,196,,10.0,64.0,73,80,,12.1233,12.5786,14.2683,13.09,0.09993333333333254
Patrice Bergeron 2012,Patrice Bergeron,2012,C,26.188,73,196,10.0,64.0,73.0,80,81,12.1233,12.5786,14.2683,13.09,14.2323,1.21725
Patrice Bergeron 2013,Patrice Bergeron,2013,C,27.19,73,196,64.0,73.0,80.0,81,71,12.5786,14.2683,13.09,14.2323,14.8929,1.3505999999999982
