,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y1 EV A1/60,Y2 EV A1/60,Y3 EV A1/60,Y4 EV A1/60,Y5 EV A1/60,Y5 dEV A1/60,Y1 EV A2/60,Y2 EV A2/60,Y3 EV A2/60,Y4 EV A2/60,Y5 EV A2/60,Y1 EV Rebounds Created/60,Y2 EV Rebounds Created/60,Y3 EV Rebounds Created/60,Y4 EV Rebounds Created/60,Y5 EV Rebounds Created/60,Y1 EV Rush Attempts/60,Y2 EV Rush Attempts/60,Y3 EV Rush Attempts/60,Y4 EV Rush Attempts/60,Y5 EV Rush Attempts/60,Y1 EV oixGF/60,Y2 EV oixGF/60,Y3 EV oixGF/60,Y4 EV oixGF/60,Y5 EV oixGF/60
Mikael Backlund 2021,Mikael Backlund,2021,C,31.544,72,206,81.0,82.0,77.0,82,79,13.292,14.4984,14.8537,14.7926,14.1204,0.613,0.6561,0.9443,0.8112,0.4721,-0.24259999999999998,0.4458,0.4037,0.3148,0.4636,0.7869,0.5573,0.4542,0.9443,1.1009,1.023,0.5016,0.8075,0.6295,0.6374,2.7746,2.578,2.7621,3.0915,2.7436,2.7746
Mikael Backlund 2022,Mikael Backlund,2022,C,32.543,72,206,82.0,77.0,82.0,79,82,14.4984,14.8537,14.7926,14.1204,13.65,0.6561,0.9443,0.8112,0.4721,0.8041,0.14100000000000001,0.4037,0.3148,0.4636,0.7869,0.268,0.4542,0.9443,1.1009,1.023,0.9113,0.8075,0.6295,0.6374,0.7082,3.0019,2.7621,3.0915,2.7436,2.7746,3.0019
Mikael Backlund 2023,Mikael Backlund,2023,C,33.542,72,206,77.0,82.0,79.0,82,82,14.8537,14.7926,14.1204,13.65,14.0902,0.9443,0.8112,0.4721,0.8041,0.8309,0.13315,0.3148,0.4636,0.7869,0.268,0.5712,0.9443,1.1009,1.023,0.9113,1.2983,0.6295,0.6374,0.7082,0.8041,3.4663,3.0915,2.7436,2.7746,3.0019,3.4663
Max Pacioretty 2016,Max Pacioretty,2016,L,26.862,74,217,79.0,75.0,73.0,80,82,14.993,13.3549,14.4053,15.2512,14.3874,0.7092,0.919,0.6276,0.6393,0.7629,-0.6164999999999999,0.4559,0.7148,0.1712,0.5409,0.5086,0.8105,1.1232,0.8559,1.1802,1.8309,0.4559,1.0211,0.9129,0.9835,3.0901,2.5389,2.9836,2.7547,2.9196,3.0901
Max Pacioretty 2017,Max Pacioretty,2017,L,27.864,74,217,75.0,73.0,80.0,82,81,13.3549,14.4053,15.2512,14.3874,15.5103,0.919,0.6276,0.6393,0.7629,0.7641,-0.51505,0.7148,0.1712,0.5409,0.5086,0.4776,1.1232,0.8559,1.1802,1.8309,1.767,1.0211,0.9129,0.9835,0.6103,2.8192,2.9836,2.7547,2.9196,3.0901,2.8192
Max Pacioretty 2018,Max Pacioretty,2018,L,28.863,74,217,73.0,80.0,82.0,81,64,14.4053,15.2512,14.3874,15.5103,14.2221,0.6276,0.6393,0.7629,0.7641,0.4614,-0.847375,0.1712,0.5409,0.5086,0.4776,0.2637,0.8559,1.1802,1.8309,1.767,0.9229,0.9129,0.9835,0.6103,0.9552,2.8233,2.7547,2.9196,3.0901,2.8192,2.8233
Max Pacioretty 2019,Max Pacioretty,2019,L,29.863,74,217,80.0,82.0,81.0,64,66,15.2512,14.3874,15.5103,14.2221,14.2293,0.6393,0.7629,0.7641,0.4614,0.575,-0.49917500000000015,0.5409,0.5086,0.4776,0.2637,0.3194,1.1802,1.8309,1.767,0.9229,1.2778,0.9835,0.6103,0.9552,0.791,3.0916,2.9196,3.0901,2.8192,2.8233,3.0916
Max Pacioretty 2020,Max Pacioretty,2020,L,30.862,74,217,82.0,81.0,64.0,66,83,14.3874,15.5103,14.2221,14.2293,15.331,0.7629,0.7641,0.4614,0.575,0.8819,-0.14782499999999998,0.5086,0.4776,0.2637,0.3194,0.3859,1.8309,1.767,0.9229,1.2778,1.378,0.6103,0.9552,0.791,0.3833,3.3558,3.0901,2.8192,2.8233,3.0916,3.3558
Max Pacioretty 2021,Max Pacioretty,2021,L,31.864,74,217,81.0,64.0,66.0,83,70,15.5103,14.2221,14.2293,15.331,15.0295,0.7641,0.4614,0.575,0.8819,0.998,-0.09545000000000003,0.4776,0.2637,0.3194,0.3859,0.7485,1.767,0.9229,1.2778,1.378,0.998,0.9552,0.791,0.3833,1.1024,2.9542,2.8192,2.8233,3.0916,3.3558,2.9542
Jakub Voracek 2013,Jakub Voracek,2013,R,23.13,74,216,80.0,81.0,80.0,78,82,10.4919,13.0255,13.9535,12.353,13.5635,1.0723,0.853,0.9675,0.8095,0.8294,0.07067500000000004,0.7148,0.5687,0.43,0.4359,0.553,0.4289,0.4549,0.86,0.9963,0.553,0.2859,0.7393,0.3762,0.4359,2.4745,2.2267,2.2628,2.6714,2.9523,2.4745
Jakub Voracek 2014,Jakub Voracek,2014,R,24.129,74,216,81.0,80.0,78.0,82,82,13.0255,13.9535,12.353,13.5635,13.8167,0.853,0.9675,0.8095,0.8294,0.8473,-0.073125,0.5687,0.43,0.4359,0.553,0.4237,0.4549,0.86,0.9963,0.553,1.0592,0.7393,0.3762,0.4359,0.6451,2.5674,2.2628,2.6714,2.9523,2.4745,2.5674
Jakub Voracek 2015,Jakub Voracek,2015,R,25.129,74,216,80.0,78.0,82.0,82,82,13.9535,12.353,13.5635,13.8167,15.2888,0.9675,0.8095,0.8294,0.8473,1.1008,0.13817499999999994,0.43,0.4359,0.553,0.4237,0.67,0.86,0.9963,0.553,1.0592,0.7179,0.3762,0.4359,0.6451,0.3707,2.6184,2.6714,2.9523,2.4745,2.5674,2.6184
Jakub Voracek 2016,Jakub Voracek,2016,R,26.128,74,216,78.0,82.0,82.0,82,73,12.353,13.5635,13.8167,15.2888,15.0171,0.8095,0.8294,0.8473,1.1008,0.8757,-0.057274999999999965,0.4359,0.553,0.4237,0.67,0.3284,0.9963,0.553,1.0592,0.7179,1.2041,0.4359,0.6451,0.3707,0.4307,2.5516,2.9523,2.4745,2.5674,2.6184,2.5516
Jakub Voracek 2017,Jakub Voracek,2017,R,27.13,74,216,82.0,82.0,82.0,73,82,13.5635,13.8167,15.2888,15.0171,15.4502,0.8294,0.8473,1.1008,0.8757,0.663,-0.126575,0.553,0.4237,0.67,0.3284,0.4262,0.553,1.0592,0.7179,1.2041,0.8051,0.6451,0.3707,0.4307,0.4379,2.4688,2.4745,2.5674,2.6184,2.5516,2.4688
Jakub Voracek 2018,Jakub Voracek,2018,R,28.129,74,216,82.0,82.0,73.0,82,82,13.8167,15.2888,15.0171,15.4502,15.952,0.8473,1.1008,0.8757,0.663,1.1009,0.468125,0.4237,0.67,0.3284,0.4262,0.5046,1.0592,0.7179,1.2041,0.8051,0.7798,0.3707,0.4307,0.4379,0.2842,2.7255,2.5674,2.6184,2.5516,2.4688,2.7255
Jakub Voracek 2019,Jakub Voracek,2019,R,29.129,74,216,82.0,73.0,82.0,82,78,15.2888,15.0171,15.4502,15.952,15.3647,1.1008,0.8757,0.663,1.1009,1.0013,0.39512500000000006,0.67,0.3284,0.4262,0.5046,0.6008,0.7179,1.2041,0.8051,0.7798,1.2016,0.4307,0.4379,0.2842,0.2752,2.8687,2.6184,2.5516,2.4688,2.7255,2.8687
Jakub Voracek 2020,Jakub Voracek,2020,R,30.128,74,216,73.0,82.0,82.0,78,81,15.0171,15.4502,15.952,15.3647,13.9614,0.8757,0.663,1.1009,1.0013,1.2457,0.570875,0.3284,0.4262,0.5046,0.6008,0.6851,1.2041,0.8051,0.7798,1.2016,1.2457,0.4379,0.2842,0.2752,0.3004,2.482,2.5516,2.4688,2.7255,2.8687,2.482
Jakub Voracek 2021,Jakub Voracek,2021,R,31.13,74,216,82.0,82.0,78.0,81,77,15.4502,15.952,15.3647,13.9614,14.2399,0.663,1.1009,1.0013,1.2457,1.0335,0.37092500000000006,0.4262,0.5046,0.6008,0.6851,1.0335,0.8051,0.7798,1.2016,1.2457,0.795,0.2842,0.2752,0.3004,0.0623,2.451,2.4688,2.7255,2.8687,2.482,2.451
Jakub Voracek 2022,Jakub Voracek,2022,R,32.13,74,216,82.0,78.0,81.0,77,79,15.952,15.3647,13.9614,14.2399,14.1795,1.1009,1.0013,1.2457,1.0335,1.4998,0.8241,0.5046,0.6008,0.6851,1.0335,0.2678,0.7798,1.2016,1.2457,0.795,0.4821,0.2752,0.3004,0.0623,0.3975,2.2614,2.7255,2.8687,2.482,2.451,2.2614
Lars Eller 2015,Lars Eller,2015,C,25.4,74,205,77.0,79.0,78.0,77,77,10.7537,12.942,12.6094,13.4383,13.6853,0.5072,0.4695,0.931,0.4059,0.3416,-0.25807499999999994,0.2174,0.1174,0.931,0.2899,0.1708,0.6521,0.3521,0.931,1.2177,0.911,0.3623,0.7042,0.0,0.3479,2.1511,1.9934,1.8421,2.3119,2.5096,2.1511
Lars Eller 2016,Lars Eller,2016,C,26.399,74,205,79.0,78.0,77.0,77,79,12.942,12.6094,13.4383,13.6853,12.9582,0.4695,0.931,0.4059,0.3416,0.4103,-0.26185,0.1174,0.931,0.2899,0.1708,0.3517,0.3521,0.931,1.2177,0.911,0.6447,0.7042,0.0,0.3479,0.3986,2.4892,1.8421,2.3119,2.5096,2.1511,2.4892
Lars Eller 2017,Lars Eller,2017,C,27.401,74,205,78.0,77.0,77.0,79,81,12.6094,13.4383,13.6853,12.9582,11.5488,0.931,0.4059,0.3416,0.4103,0.2566,-0.41535000000000005,0.931,0.2899,0.1708,0.3517,0.449,0.931,1.2177,0.911,0.6447,0.6414,0.0,0.3479,0.3986,0.5275,2.3475,2.3119,2.5096,2.1511,2.4892,2.3475
Lars Eller 2018,Lars Eller,2018,C,28.401,74,205,77.0,77.0,79.0,81,81,13.4383,13.6853,12.9582,11.5488,12.2693,0.4059,0.3416,0.4103,0.2566,0.7849,0.11760000000000004,0.2899,0.1708,0.3517,0.449,0.2415,1.2177,0.911,0.6447,0.6414,0.966,0.3479,0.3986,0.5275,0.7697,2.558,2.5096,2.1511,2.4892,2.3475,2.558
Lars Eller 2019,Lars Eller,2019,C,29.4,74,205,77.0,79.0,81.0,81,81,13.6853,12.9582,11.5488,12.2693,12.9068,0.3416,0.4103,0.2566,0.7849,0.6313,-0.13192500000000007,0.1708,0.3517,0.449,0.2415,0.4017,0.911,0.6447,0.6414,0.966,1.2052,0.3986,0.5275,0.7697,0.6037,2.8311,2.1511,2.4892,2.3475,2.558,2.8311
Lars Eller 2020,Lars Eller,2020,C,30.399,74,205,79.0,81.0,81.0,81,81,12.9582,11.5488,12.2693,12.9068,12.7519,0.4103,0.2566,0.7849,0.6313,0.8865,0.15037499999999993,0.3517,0.449,0.2415,0.4017,0.341,0.6447,0.6414,0.966,1.2052,0.9547,0.5275,0.7697,0.6037,0.3443,3.1743,2.4892,2.3475,2.558,2.8311,3.1743
Lars Eller 2021,Lars Eller,2021,C,31.401,74,205,81.0,81.0,81.0,81,64,11.5488,12.2693,12.9068,12.7519,13.4788,0.2566,0.7849,0.6313,0.8865,0.607,-0.18957500000000005,0.449,0.2415,0.4017,0.341,0.5058,0.6414,0.966,1.2052,0.9547,0.607,0.7697,0.6037,0.3443,0.7501,2.9926,2.3475,2.558,2.8311,3.1743,2.9926
Lars Eller 2022,Lars Eller,2022,C,32.401,74,205,81.0,81.0,81.0,64,72,12.2693,12.9068,12.7519,13.4788,13.3007,0.7849,0.6313,0.8865,0.607,0.8771,0.05454999999999999,0.2415,0.4017,0.341,0.5058,0.1253,0.966,1.2052,0.9547,0.607,0.4386,0.6037,0.3443,0.7501,0.3035,2.4516,2.558,2.8311,3.1743,2.9926,2.4516
Lars Eller 2023,Lars Eller,2023,C,33.4,74,205,81.0,81.0,64.0,72,84,12.9068,12.7519,13.4788,13.3007,13.0012,0.6313,0.8865,0.607,0.8771,0.4395,-0.360275,0.4017,0.341,0.5058,0.1253,0.2747,1.2052,0.9547,0.607,0.4386,1.2636,0.3443,0.7501,0.3035,0.3759,2.5388,2.8311,3.1743,2.9926,2.4516,2.5388
Wayne Simmonds 2013,Wayne Simmonds,2013,R,24.099,74,184,82.0,78.0,80.0,82,76,12.386,13.6167,12.5152,12.6276,12.3293,0.4135,0.7344,0.3596,0.7533,0.3244,-0.431875,0.1772,0.6214,0.5993,0.1738,0.4326,0.8271,0.6779,0.839,1.2748,0.8652,0.4135,0.226,0.1798,0.1738,2.5479,1.956,2.2218,2.0663,2.7205,2.5479
Wayne Simmonds 2014,Wayne Simmonds,2014,R,25.099,74,184,78.0,80.0,82.0,76,82,13.6167,12.5152,12.6276,12.3293,13.3146,0.7344,0.3596,0.7533,0.3244,0.7144,-0.18182500000000001,0.6214,0.5993,0.1738,0.4326,0.4946,0.6779,0.839,1.2748,0.8652,0.9342,0.226,0.1798,0.1738,0.2163,2.6988,2.2218,2.0663,2.7205,2.5479,2.6988
Wayne Simmonds 2015,Wayne Simmonds,2015,R,26.098,74,184,80.0,82.0,76.0,82,75,12.5152,12.6276,12.3293,13.3146,13.6449,0.3596,0.7533,0.3244,0.7144,0.3518,-0.524925,0.5993,0.1738,0.4326,0.4946,0.3518,0.839,1.2748,0.8652,0.9342,0.6449,0.1798,0.1738,0.2163,0.7694,2.3405,2.0663,2.7205,2.5479,2.6988,2.3405
Wayne Simmonds 2016,Wayne Simmonds,2016,R,27.097,74,184,82.0,76.0,82.0,75,81,12.6276,12.3293,13.3146,13.6449,13.5883,0.7533,0.3244,0.7144,0.3518,0.7087,-0.17845,0.1738,0.4326,0.4946,0.3518,0.3816,1.2748,0.8652,0.9342,0.6449,1.6899,0.1738,0.2163,0.7694,0.6449,2.7551,2.7205,2.5479,2.6988,2.3405,2.7551
Wayne Simmonds 2017,Wayne Simmonds,2017,R,28.099,74,184,76.0,82.0,75.0,81,82,12.3293,13.3146,13.6449,13.5883,13.7394,0.3244,0.7144,0.3518,0.7087,0.4793,-0.420525,0.4326,0.4946,0.3518,0.3816,0.2663,0.8652,0.9342,0.6449,1.6899,0.7456,0.2163,0.7694,0.6449,0.4906,2.5435,2.5479,2.6988,2.3405,2.7551,2.5435
Wayne Simmonds 2018,Wayne Simmonds,2018,R,29.099,74,184,82.0,75.0,81.0,82,75,13.3146,13.6449,13.5883,13.7394,13.8989,0.7144,0.3518,0.7087,0.4793,0.4605,-0.36907499999999993,0.4946,0.3518,0.3816,0.2663,0.4605,0.9342,0.6449,1.6899,0.7456,0.9209,0.7694,0.6449,0.4906,0.6923,2.7145,2.6988,2.3405,2.7551,2.5435,2.7145
Wayne Simmonds 2019,Wayne Simmonds,2019,R,30.098,74,184,75.0,81.0,82.0,75,79,13.6449,13.5883,13.7394,13.8989,12.9051,0.3518,0.7087,0.4793,0.4605,0.4708,-0.33910000000000007,0.3518,0.3816,0.2663,0.4605,0.1177,0.6449,1.6899,0.7456,0.9209,0.8239,0.6449,0.4906,0.6923,0.0576,2.3288,2.3405,2.7551,2.5435,2.7145,2.3288
Wayne Simmonds 2020,Wayne Simmonds,2020,R,31.097,74,184,81.0,82.0,75.0,79,80,13.5883,13.7394,13.8989,12.9051,12.2184,0.7087,0.4793,0.4605,0.4708,0.5777,-0.20355,0.3816,0.2663,0.4605,0.1177,0.3611,1.6899,0.7456,0.9209,0.8239,0.4333,0.4906,0.6923,0.0576,0.3531,2.3925,2.7551,2.5435,2.7145,2.3288,2.3925
Wayne Simmonds 2021,Wayne Simmonds,2021,R,32.099,74,184,82.0,75.0,79.0,80,55,13.7394,13.8989,12.9051,12.2184,10.1307,0.4793,0.4605,0.4708,0.5777,0.0,-0.57645,0.2663,0.4605,0.1177,0.3611,0.3117,0.7456,0.9209,0.8239,0.4333,0.4676,0.6923,0.0576,0.3531,0.4333,2.3067,2.5435,2.7145,2.3288,2.3925,2.3067
Wayne Simmonds 2022,Wayne Simmonds,2022,R,33.099,74,184,75.0,79.0,80.0,55,72,13.8989,12.9051,12.2184,10.1307,9.0574,0.4605,0.4708,0.5777,0.0,0.368,-0.19122499999999998,0.4605,0.1177,0.3611,0.3117,0.552,0.9209,0.8239,0.4333,0.4676,0.276,0.0576,0.3531,0.4333,0.3117,2.4382,2.7145,2.3288,2.3925,2.3067,2.4382
Steven Stamkos 2013,Steven Stamkos,2013,C,22.648,72,182,79.0,82.0,82.0,82,82,11.9395,14.5415,15.2811,17.6683,17.5219,0.5725,0.8051,0.9098,0.6626,0.8561,-0.5137999999999999,0.3817,0.5535,0.3831,0.3313,0.5707,0.4453,0.4529,0.4788,0.7454,0.5707,0.6997,0.6541,0.5746,0.7869,2.6346,2.0305,2.5456,2.7471,2.4227,2.6346
Steven Stamkos 2022,Steven Stamkos,2022,C,31.648,72,182,78.0,82.0,67.0,55,81,14.9214,14.075,14.5371,13.9053,14.3385,1.3404,1.1957,1.3758,0.5678,1.6015,0.5922499999999999,0.7733,0.4679,0.6517,0.6813,0.6716,0.8248,0.6758,0.9413,0.7949,0.7233,0.3609,0.3639,0.1448,0.6813,3.0382,2.7611,2.7012,2.8739,2.6276,3.0382
Steven Stamkos 2023,Steven Stamkos,2023,C,32.647,72,182,82.0,67.0,55.0,81,81,14.075,14.5371,13.9053,14.3385,14.7167,1.1957,1.3758,0.5678,1.6015,0.8053,-0.3850999999999999,0.4679,0.6517,0.6813,0.6716,0.6543,0.6758,0.9413,0.7949,0.7233,1.359,0.3639,0.1448,0.6813,1.1882,3.2269,2.7012,2.8739,2.6276,3.0382,3.2269
Josh Bailey 2013,Josh Bailey,2013,R,22.999,73,200,68.0,73.0,70.0,80,64,12.2272,12.4678,13.0707,12.4369,14.1364,0.433,0.3296,0.3935,0.4824,0.3351,-0.1689,0.2887,0.4615,0.2623,0.4824,0.3351,0.1443,0.3955,0.459,0.6633,0.4468,0.1443,0.3955,0.1967,0.5427,2.5935,1.939,2.4339,2.1759,2.1782,2.5935
Josh Bailey 2014,Josh Bailey,2014,R,23.998,73,200,73.0,70.0,80.0,64,77,12.4678,13.0707,12.4369,14.1364,13.5591,0.3296,0.3935,0.4824,0.3351,0.9195,0.18052500000000005,0.4615,0.2623,0.4824,0.3351,0.3448,0.3955,0.459,0.6633,0.4468,0.4597,0.3955,0.1967,0.5427,0.5585,2.6401,2.4339,2.1759,2.1782,2.5935,2.6401
Josh Bailey 2015,Josh Bailey,2015,R,24.997,73,200,70.0,80.0,64.0,77,70,13.0707,12.4369,14.1364,13.5591,14.9664,0.3935,0.4824,0.3351,0.9195,0.8018,0.1744,0.2623,0.4824,0.3351,0.3448,0.5727,0.459,0.6633,0.4468,0.4597,0.63,0.1967,0.5427,0.5585,0.5172,3.1138,2.1759,2.1782,2.5935,2.6401,3.1138
Josh Bailey 2016,Josh Bailey,2016,R,25.997,73,200,80.0,64.0,77.0,70,81,12.4369,14.1364,13.5591,14.9664,13.8895,0.4824,0.3351,0.9195,0.8018,0.5333,-0.18184999999999996,0.4824,0.3351,0.3448,0.5727,0.48,0.6633,0.4468,0.4597,0.63,0.5333,0.5427,0.5585,0.5172,0.7445,2.482,2.1782,2.5935,2.6401,3.1138,2.482
Josh Bailey 2017,Josh Bailey,2017,R,26.999,73,200,64.0,77.0,70.0,81,82,14.1364,13.5591,14.9664,13.8895,15.1557,0.3351,0.9195,0.8018,0.5333,1.207,0.5208750000000001,0.3351,0.3448,0.5727,0.48,0.4345,0.4468,0.4597,0.63,0.5333,0.6276,0.5585,0.5172,0.7445,0.2667,2.7983,2.5935,2.6401,3.1138,2.482,2.7983
Josh Bailey 2018,Josh Bailey,2018,R,27.998,73,200,77.0,70.0,81.0,82,76,13.5591,14.9664,13.8895,15.1557,14.6118,0.9195,0.8018,0.5333,1.207,0.7564,0.256725,0.3448,0.5727,0.48,0.4345,0.7024,0.4597,0.63,0.5333,0.6276,0.6484,0.5172,0.7445,0.2667,0.4345,2.6188,2.6401,3.1138,2.482,2.7983,2.6188
Josh Bailey 2019,Josh Bailey,2019,R,28.997,73,200,70.0,81.0,82.0,76,82,14.9664,13.8895,15.1557,14.6118,14.3205,0.8018,0.5333,1.207,0.7564,1.0219,0.432825,0.5727,0.48,0.4345,0.7024,0.4088,0.63,0.5333,0.6276,0.6484,0.4599,0.7445,0.2667,0.4345,0.2161,2.6549,3.1138,2.482,2.7983,2.6188,2.6549
Josh Bailey 2020,Josh Bailey,2020,R,29.997,73,200,81.0,82.0,76.0,82,80,13.8895,15.1557,14.6118,14.3205,13.574,0.5333,1.207,0.7564,1.0219,0.975,0.406,0.48,0.4345,0.7024,0.4088,0.455,0.5333,0.6276,0.6484,0.4599,0.195,0.2667,0.4345,0.2161,0.3066,2.6164,2.482,2.7983,2.6188,2.6549,2.6164
Josh Bailey 2021,Josh Bailey,2021,R,30.999,73,200,82.0,76.0,82.0,80,79,15.1557,14.6118,14.3205,13.574,14.5269,1.207,0.7564,1.0219,0.975,0.8414,0.20030000000000003,0.4345,0.7024,0.4088,0.455,0.5354,0.6276,0.6484,0.4599,0.195,0.3824,0.4345,0.2161,0.3066,0.39,2.4407,2.7983,2.6188,2.6549,2.6164,2.4407
Josh Bailey 2022,Josh Bailey,2022,R,31.998,73,200,76.0,82.0,80.0,79,74,14.6118,14.3205,13.574,14.5269,14.175,0.7564,1.0219,0.975,0.8414,0.6864,0.013024999999999953,0.7024,0.4088,0.455,0.5354,0.5148,0.6484,0.4599,0.195,0.3824,0.4576,0.2161,0.3066,0.39,0.153,2.4161,2.6188,2.6549,2.6164,2.4407,2.4161
Josh Bailey 2023,Josh Bailey,2023,R,32.997,73,200,82.0,80.0,79.0,74,64,14.3205,13.574,14.5269,14.175,12.4693,1.0219,0.975,0.8414,0.6864,0.6767,0.007324999999999915,0.4088,0.455,0.5354,0.5148,0.3759,0.4599,0.195,0.3824,0.4576,0.9774,0.3066,0.39,0.153,0.1144,2.4991,2.6549,2.6164,2.4407,2.4161,2.4991
Jordan Eberle 2015,Jordan Eberle,2015,R,24.381,71,190,69.0,78.0,82.0,80,81,14.4348,14.3944,15.5872,15.8025,16.3494,0.6627,1.1222,0.9623,0.6645,0.7702,-0.22907500000000003,0.4217,0.5878,0.2406,0.4746,0.3171,0.7831,0.6947,0.9623,0.7594,0.3625,0.1807,0.4275,0.6416,0.4746,2.2839,2.4633,2.5966,2.9062,2.5434,2.2839
Jordan Eberle 2016,Jordan Eberle,2016,R,25.381,71,190,78.0,82.0,80.0,81,69,14.3944,15.5872,15.8025,16.3494,15.1645,1.1222,0.9623,0.6645,0.7702,0.5734,-0.4490249999999999,0.5878,0.2406,0.4746,0.3171,0.4587,0.6947,0.9623,0.7594,0.3625,1.0322,0.4275,0.6416,0.4746,0.3625,2.9107,2.5966,2.9062,2.5434,2.2839,2.9107
Jordan Eberle 2017,Jordan Eberle,2017,R,26.383,71,190,82.0,80.0,81.0,69,82,15.5872,15.8025,16.3494,15.1645,14.5203,0.9623,0.6645,0.7702,0.5734,0.5039,-0.45594999999999997,0.2406,0.4746,0.3171,0.4587,0.5543,0.9623,0.7594,0.3625,1.0322,0.9071,0.6416,0.4746,0.3625,0.2867,2.8885,2.9062,2.5434,2.2839,2.9107,2.8885
Jordan Eberle 2018,Jordan Eberle,2018,R,27.382,71,190,80.0,81.0,69.0,82,81,15.8025,16.3494,15.1645,14.5203,14.0749,0.6645,0.7702,0.5734,0.5039,0.8421,-0.058700000000000085,0.4746,0.3171,0.4587,0.5543,0.5789,0.7594,0.3625,1.0322,0.9071,0.6842,0.4746,0.3625,0.2867,0.7055,3.1435,2.5434,2.2839,2.9107,2.8885,3.1435
Jordan Eberle 2019,Jordan Eberle,2019,R,28.381,71,190,81.0,69.0,82.0,81,78,16.3494,15.1645,14.5203,14.0749,13.6513,0.7702,0.5734,0.5039,0.8421,0.4508,-0.50215,0.3171,0.4587,0.5543,0.5789,0.2817,0.3625,1.0322,0.9071,0.6842,0.6198,0.3625,0.2867,0.7055,0.4737,2.5819,2.2839,2.9107,2.8885,3.1435,2.5819
Jordan Eberle 2020,Jordan Eberle,2020,R,29.381,71,190,69.0,82.0,81.0,78,68,15.1645,14.5203,14.0749,13.6513,15.1187,0.5734,0.5039,0.8421,0.4508,0.479,-0.439125,0.4587,0.5543,0.5789,0.2817,0.6842,1.0322,0.9071,0.6842,0.6198,0.8895,0.2867,0.7055,0.4737,0.3944,3.0709,2.9107,2.8885,3.1435,2.5819,3.0709
Jordan Eberle 2021,Jordan Eberle,2021,R,30.383,71,190,82.0,81.0,78.0,68,80,14.5203,14.0749,13.6513,15.1187,14.363,0.5039,0.8421,0.4508,0.479,0.6076,-0.25775000000000003,0.5543,0.5789,0.2817,0.6842,0.3798,0.9071,0.6842,0.6198,0.8895,0.1519,0.7055,0.4737,0.3944,0.479,2.9158,2.8885,3.1435,2.5819,3.0709,2.9158
Jordan Eberle 2022,Jordan Eberle,2022,R,31.382,71,190,81.0,78.0,68.0,80,79,14.0749,13.6513,15.1187,14.363,15.0911,0.8421,0.4508,0.479,0.6076,0.5033,-0.44530000000000003,0.5789,0.2817,0.6842,0.3798,0.4026,0.6842,0.6198,0.8895,0.1519,0.4026,0.4737,0.3944,0.479,0.2279,2.4001,3.1435,2.5819,3.0709,2.9158,2.4001
Jordan Eberle 2023,Jordan Eberle,2023,R,32.381,71,190,78.0,68.0,80.0,79,82,13.6513,15.1187,14.363,15.0911,14.1563,0.4508,0.479,0.6076,0.5033,1.1888,0.3157500000000001,0.2817,0.6842,0.3798,0.4026,0.4135,0.6198,0.8895,0.1519,0.4026,0.9304,0.3944,0.479,0.2279,0.5033,2.9545,2.5819,3.0709,2.9158,2.4001,2.9545
Derek Stepan 2015,Derek Stepan,2015,C,24.288,71,196,82.0,82.0,82.0,82,68,13.6327,14.5309,16.0014,14.1472,13.9196,0.6441,0.8057,1.0155,0.8793,1.2678,0.4665250000000001,0.2684,0.3021,0.3125,0.362,0.5705,0.6441,0.4028,0.8593,0.4655,0.5705,0.5904,0.3525,0.5468,0.6724,2.5907,3.0545,2.7036,3.045,2.8804,2.5907
Derek Stepan 2016,Derek Stepan,2016,C,25.287,71,196,82.0,82.0,82.0,68,72,14.5309,16.0014,14.1472,13.9196,13.6556,0.8057,1.0155,0.8793,1.2678,0.7933,0.05922499999999997,0.3021,0.3125,0.362,0.5705,0.5492,0.4028,0.8593,0.4655,0.5705,0.8544,0.3525,0.5468,0.6724,0.4437,2.582,2.7036,3.045,2.8804,2.5907,2.582
Derek Stepan 2017,Derek Stepan,2017,C,26.29,71,196,82.0,82.0,68.0,72,81,16.0014,14.1472,13.9196,13.6556,14.7021,1.0155,0.8793,1.2678,0.7933,0.7558,-0.028224999999999945,0.3125,0.362,0.5705,0.5492,0.4535,0.8593,0.4655,0.5705,0.8544,0.6046,0.5468,0.6724,0.4437,0.7933,2.5424,3.045,2.8804,2.5907,2.582,2.5424
Derek Stepan 2018,Derek Stepan,2018,C,27.289,71,196,82.0,68.0,72.0,81,82,14.1472,13.9196,13.6556,14.7021,15.4665,0.8793,1.2678,0.7933,0.7558,0.5677,-0.11360000000000003,0.362,0.5705,0.5492,0.4535,0.7096,0.4655,0.5705,0.8544,0.6046,0.7569,0.6724,0.4437,0.7933,0.5038,2.4923,2.8804,2.5907,2.582,2.5424,2.4923
Derek Stepan 2019,Derek Stepan,2019,C,28.288,71,196,68.0,72.0,81.0,82,72,13.9196,13.6556,14.7021,15.4665,14.5764,1.2678,0.7933,0.7558,0.5677,0.8004,0.15487499999999998,0.5705,0.5492,0.4535,0.7096,0.2287,0.5705,0.8544,0.6046,0.7569,0.9719,0.4437,0.7933,0.5038,0.5204,2.7184,2.5907,2.582,2.5424,2.4923,2.7184
