,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y1 EV A1/60,Y2 EV A1/60,Y3 EV A1/60,Y4 EV A1/60,Y5 EV A1/60,Y5 dEV A1/60,Y1 EV A2/60,Y2 EV A2/60,Y3 EV A2/60,Y4 EV A2/60,Y5 EV A2/60,Y1 EV Rebounds Created/60,Y2 EV Rebounds Created/60,Y3 EV Rebounds Created/60,Y4 EV Rebounds Created/60,Y5 EV Rebounds Created/60,Y1 EV Rush Attempts/60,Y2 EV Rush Attempts/60,Y3 EV Rush Attempts/60,Y4 EV Rush Attempts/60,Y5 EV Rush Attempts/60,Y1 EV oixGF/60,Y2 EV oixGF/60,Y3 EV oixGF/60,Y4 EV oixGF/60,Y5 EV oixGF/60
Jeff Carter 2015,Jeff Carter,2015,C,29.748,75,219,80.0,55.0,82.0,72,82,14.6544,15.3376,13.6851,14.1519,13.7864,0.5118,0.4268,0.3654,0.6477,0.743,-0.4868499999999999,0.563,0.2845,0.0913,0.3533,0.743,1.433,0.8535,1.0961,1.5899,1.2738,0.9212,0.9246,0.548,0.4711,2.6882,2.951,2.3692,2.7201,3.108,2.6882
Jeff Carter 2016,Jeff Carter,2016,C,30.747,75,219,55.0,82.0,72.0,82,77,15.3376,13.6851,14.1519,13.7864,14.4567,0.4268,0.3654,0.6477,0.743,0.8085,-0.288675,0.2845,0.0913,0.3533,0.743,0.7546,0.8535,1.0961,1.5899,1.2738,1.1319,0.9246,0.548,0.4711,0.4246,3.0243,2.3692,2.7201,3.108,2.6882,3.0243
Jeff Carter 2017,Jeff Carter,2017,C,31.749,75,219,82.0,72.0,82.0,77,82,13.6851,14.1519,13.7864,14.4567,13.6376,0.3654,0.6477,0.743,0.8085,0.9121,-0.24549999999999994,0.0913,0.3533,0.743,0.7546,0.2683,1.0961,1.5899,1.2738,1.1319,1.5023,0.548,0.4711,0.4246,0.8085,2.5984,2.7201,3.108,2.6882,3.0243,2.5984
Jeff Carter 2023,Jeff Carter,2023,C,37.748,75,219,76.0,70.0,79.0,76,79,14.4274,13.6589,13.4028,14.1305,11.0285,0.383,0.3661,0.4974,0.7822,0.3443,-0.5281,0.2189,0.2196,0.3316,0.5028,0.3443,1.1491,1.5375,1.4922,0.7822,1.9283,0.5472,0.3661,0.9119,0.5028,2.9385,2.3311,2.7711,2.7117,2.6354,2.9385
Zach Parise 2016,Zach Parise,2016,L,31.177,71,195,82.0,82.0,67.0,74,70,16.0748,15.7538,16.0517,15.5059,15.5719,0.7738,0.8728,0.7253,0.6798,0.4954,-0.44465000000000005,0.4552,0.238,0.4463,0.5752,0.4404,0.6828,1.5076,0.6695,1.8302,1.3761,0.3642,0.3967,0.8926,0.5229,2.6641,2.5054,2.6486,2.563,2.7202,2.6641
Zach Parise 2017,Zach Parise,2017,L,32.179,71,195,82.0,67.0,74.0,70,69,15.7538,16.0517,15.5059,15.5719,14.1031,0.8728,0.7253,0.6798,0.4954,0.7399,-0.20887500000000003,0.238,0.4463,0.5752,0.4404,0.3083,1.5076,0.6695,1.8302,1.3761,1.4798,0.3967,0.8926,0.5229,0.4954,2.9602,2.6486,2.563,2.7202,2.6641,2.9602
Zach Parise 2023,Zach Parise,2023,L,38.178,71,195,74.0,81.0,65.0,82,82,14.5941,13.4075,11.8519,12.1372,12.9325,0.7222,0.454,0.5625,0.6029,0.4526,-0.35462499999999997,0.6667,0.5189,0.45,0.2411,0.1697,0.9445,1.1674,0.675,0.7234,1.8671,0.3889,0.5189,0.3375,0.1206,2.9619,2.8418,2.7616,2.5583,2.9293,2.9619
Corey Perry 2012,Corey Perry,2012,R,26.377,75,208,70.0,78.0,82.0,82,80,14.2626,15.0397,16.8228,17.1457,16.5227,0.8414,0.9718,0.9134,0.7255,0.4993,-0.600625,0.3005,0.358,0.435,0.5548,0.0908,0.601,1.0741,0.5219,0.8108,0.4993,0.5409,0.7672,0.7829,0.6828,2.6119,2.3017,2.9788,2.6671,2.7236,2.6119
Corey Perry 2013,Corey Perry,2013,R,27.379,75,208,78.0,82.0,82.0,80,75,15.0397,16.8228,17.1457,16.5227,15.3163,0.9718,0.9134,0.7255,0.4993,0.8903,-0.18885000000000007,0.358,0.435,0.5548,0.0908,0.4452,1.0741,0.5219,0.8108,0.4993,0.7123,0.7672,0.7829,0.6828,0.7263,2.6255,2.9788,2.6671,2.7236,2.6119,2.6255
Corey Perry 2014,Corey Perry,2014,R,28.379,75,208,82.0,82.0,80.0,75,81,16.8228,17.1457,16.5227,15.3163,15.3545,0.9134,0.7255,0.4993,0.8903,1.0613,0.040874999999999995,0.435,0.5548,0.0908,0.4452,0.3377,0.5219,0.8108,0.4993,0.7123,0.9648,0.7829,0.6828,0.7263,0.9793,3.0055,2.6671,2.7236,2.6119,2.6255,3.0055
Corey Perry 2015,Corey Perry,2015,R,29.378,75,208,82.0,80.0,75.0,81,67,17.1457,16.5227,15.3163,15.3545,15.0405,0.7255,0.4993,0.8903,1.0613,0.774,-0.43900000000000006,0.5548,0.0908,0.4452,0.3377,0.3572,0.8108,0.4993,0.7123,0.9648,0.9526,0.6828,0.7263,0.9793,0.6754,2.874,2.7236,2.6119,2.6255,3.0055,2.874
Corey Perry 2016,Corey Perry,2016,R,30.377,75,208,80.0,75.0,81.0,67,82,16.5227,15.3163,15.3545,15.0405,14.7695,0.4993,0.8903,1.0613,0.774,0.644,-0.6699499999999999,0.0908,0.4452,0.3377,0.3572,0.1486,0.4993,0.7123,0.9648,0.9526,0.7927,0.7263,0.9793,0.6754,0.8336,2.5603,2.6119,2.6255,3.0055,2.874,2.5603
Corey Perry 2017,Corey Perry,2017,R,31.379,75,208,75.0,81.0,67.0,82,82,15.3163,15.3545,15.0405,14.7695,14.8232,0.8903,1.0613,0.774,0.644,0.543,-0.793775,0.4452,0.3377,0.3572,0.1486,0.3949,0.7123,0.9648,0.9526,0.7927,0.7404,0.9793,0.6754,0.8336,0.3468,2.6206,2.6255,3.0055,2.874,2.5603,2.6206
Corey Perry 2018,Corey Perry,2018,R,32.379,75,208,81.0,67.0,82.0,82,71,15.3545,15.0405,14.7695,14.8232,15.0988,1.0613,0.774,0.644,0.543,0.9515,-0.33547499999999997,0.3377,0.3572,0.1486,0.3949,0.4478,0.9648,0.9526,0.7927,0.7404,0.7836,0.6754,0.8336,0.3468,0.543,2.7431,3.0055,2.874,2.5603,2.6206,2.7431
Patrice Bergeron 2013,Patrice Bergeron,2013,C,27.19,73,196,64.0,73.0,80.0,81,71,12.5786,14.2683,13.09,14.2323,14.8929,0.8198,0.9217,0.9167,1.1971,0.8633,0.05359999999999998,0.3727,0.4608,0.573,0.4684,0.9592,0.4472,0.4608,0.9167,0.6246,0.6715,0.5217,0.576,0.8594,0.5205,3.2624,2.183,2.6498,2.9507,2.9068,3.2624
Patrice Bergeron 2014,Patrice Bergeron,2014,C,28.19,73,196,73.0,80.0,81.0,71,80,14.2683,13.09,14.2323,14.8929,14.0165,0.9217,0.9167,1.1971,0.8633,0.7491,-0.14064999999999994,0.4608,0.573,0.4684,0.9592,0.5886,0.4608,0.9167,0.6246,0.6715,0.5886,0.576,0.8594,0.5205,1.1511,2.8884,2.6498,2.9507,2.9068,3.2624,2.8884
Patrice Bergeron 2015,Patrice Bergeron,2015,C,29.189,73,196,80.0,81.0,71.0,80,81,13.09,14.2323,14.8929,14.0165,14.0588,0.9167,1.1971,0.8633,0.7491,0.7903,-0.134525,0.573,0.4684,0.9592,0.5886,0.3161,0.9167,0.6246,0.6715,0.5886,0.8957,0.8594,0.5205,1.1511,0.6421,2.7298,2.9507,2.9068,3.2624,2.8884,2.7298
