,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y1 EV A1/60,Y2 EV A1/60,Y3 EV A1/60,Y4 EV A1/60,Y5 EV A1/60,Y1 EV A2/60,Y2 EV A2/60,Y3 EV A2/60,Y4 EV A2/60,Y5 EV A2/60,Y1 PP A1/60,Y2 PP A1/60,Y3 PP A1/60,Y4 PP A1/60,Y5 PP A1/60,Y5 dPP A1/60,Y1 PP A2/60,Y2 PP A2/60,Y3 PP A2/60,Y4 PP A2/60,Y5 PP A2/60,Y5 dPP A2/60,Y1 PP Rebounds Created/60,Y2 PP Rebounds Created/60,Y3 PP Rebounds Created/60,Y4 PP Rebounds Created/60,Y5 PP Rebounds Created/60,Y1 PP oixGF/60,Y2 PP oixGF/60,Y3 PP oixGF/60,Y4 PP oixGF/60,Y5 PP oixGF/60
Jeff Carter 2023,Jeff Carter,2023,C,37.748,75,219,76.0,70.0,79.0,76,79,2.4695,1.8531,2.0185,2.057,1.5591,0.383,0.3661,0.4974,0.7822,0.3443,0.2189,0.2196,0.3316,0.5028,0.3443,0.6394,1.0793,1.1009,0.3838,1.4614,0.6605500000000001,1.9181,0.0,0.5505,0.7676,0.9743,0.16525000000000012,2.5575,1.0793,4.4037,4.9893,3.8972,6.5056,6.805,5.6697,8.3284,6.7031
Zach Parise 2009,Zach Parise,2009,L,24.179,71,195,,,,81,82,,,,3.6523,3.6726,,,,0.6758,0.7967,,,,0.3639,0.6971,,,,1.4197,1.5939,0.17420000000000013,,,,1.2169,1.5939,0.377,,,,2.0282,2.7893,,,,7.3136,9.2007
Zach Parise 2010,Zach Parise,2010,L,25.178,71,195,,,81.0,82,81,,,3.6523,3.6726,3.1259,,,0.6758,0.7967,0.6448,,,0.3639,0.6971,0.5987,,,1.4197,1.5939,3.0806,1.5737999999999999,,,1.2169,1.5939,0.9479,-0.45750000000000024,,,2.0282,2.7893,1.1848,,,7.3136,9.2007,7.7393
Zach Parise 2013,Zach Parise,2013,L,28.179,71,195,82.0,81.0,13.0,82,82,3.6726,3.1259,3.4782,3.4506,3.4247,0.7967,0.6448,0.5975,0.7738,0.8728,0.6971,0.5987,0.0,0.4552,0.238,1.5939,3.0806,0.0,1.2723,1.095,-0.39169999999999994,1.5939,0.9479,1.3269,0.2121,1.095,0.07479999999999998,2.7893,1.1848,3.9808,1.9085,4.745,9.2007,7.7393,6.0509,7.0974,9.7127
Zach Parise 2014,Zach Parise,2014,L,29.178,71,195,81.0,13.0,82.0,82,67,3.1259,3.4782,3.4506,3.4247,3.3373,0.6448,0.5975,0.7738,0.8728,0.7253,0.5987,0.0,0.4552,0.238,0.4463,3.0806,0.0,1.2723,1.095,0.805,-0.5569749999999999,0.9479,1.3269,0.2121,1.095,0.805,-0.09047499999999997,1.1848,3.9808,1.9085,4.745,2.415,7.7393,6.0509,7.0974,9.7127,7.7227
Zach Parise 2015,Zach Parise,2015,L,30.177,71,195,13.0,82.0,82.0,67,74,3.4782,3.4506,3.4247,3.3373,3.2966,0.5975,0.7738,0.8728,0.7253,0.6798,0.0,0.4552,0.238,0.4463,0.5752,0.0,1.2723,1.095,0.805,0.4919,-0.30117499999999997,1.3269,0.2121,1.095,0.805,0.7379,-0.12185000000000001,3.9808,1.9085,4.745,2.415,2.2136,6.0509,7.0974,9.7127,7.7227,8.5001
Zach Parise 2016,Zach Parise,2016,L,31.177,71,195,82.0,82.0,67.0,74,70,3.4506,3.4247,3.3373,3.2966,3.4098,0.7738,0.8728,0.7253,0.6798,0.4954,0.4552,0.238,0.4463,0.5752,0.4404,1.2723,1.095,0.805,0.4919,1.2569,0.3408499999999999,0.2121,1.095,0.805,0.7379,1.5083,0.7958,1.9085,4.745,2.415,2.2136,3.2679,7.0974,9.7127,7.7227,8.5001,7.3051
Zach Parise 2017,Zach Parise,2017,L,32.179,71,195,82.0,67.0,74.0,70,69,3.4247,3.3373,3.2966,3.4098,2.2833,0.8728,0.7253,0.6798,0.4954,0.7399,0.238,0.4463,0.5752,0.4404,0.3083,1.095,0.805,0.4919,1.2569,1.9042,0.9919999999999999,1.095,0.805,0.7379,1.5083,0.3808,-0.65575,4.745,2.415,2.2136,3.2679,2.285,9.7127,7.7227,8.5001,7.3051,6.5084
Zach Parise 2018,Zach Parise,2018,L,33.178,71,195,67.0,74.0,70.0,69,42,3.3373,3.2966,3.4098,2.2833,2.4139,0.7253,0.6798,0.4954,0.7399,0.408,0.4463,0.5752,0.4404,0.3083,0.408,0.805,0.4919,1.2569,1.9042,0.5918,-0.5227,0.805,0.7379,1.5083,0.3808,0.0,-0.858,2.415,2.2136,3.2679,2.285,2.3673,7.7227,8.5001,7.3051,6.5084,6.2851
Zach Parise 2019,Zach Parise,2019,L,34.178,71,195,74.0,70.0,69.0,42,74,3.2966,3.4098,2.2833,2.4139,2.9016,0.6798,0.4954,0.7399,0.408,0.7222,0.5752,0.4404,0.3083,0.408,0.6667,0.4919,1.2569,1.9042,0.5918,0.5589,-0.5023,0.7379,1.5083,0.3808,0.0,1.1178,0.46104999999999996,2.2136,3.2679,2.285,2.3673,2.7944,8.5001,7.3051,6.5084,6.2851,6.8714
Zach Parise 2020,Zach Parise,2020,L,35.177,71,195,70.0,69.0,42.0,74,81,3.4098,2.2833,2.4139,2.9016,2.7865,0.4954,0.7399,0.408,0.7222,0.454,0.4404,0.3083,0.408,0.6667,0.5189,1.2569,1.9042,0.5918,0.5589,1.2483,0.17035,1.5083,0.3808,0.0,1.1178,0.6241,-0.127625,3.2679,2.285,2.3673,2.7944,1.5603,7.3051,6.5084,6.2851,6.8714,6.0915
Zach Parise 2021,Zach Parise,2021,L,36.179,71,195,69.0,42.0,74.0,81,65,2.2833,2.4139,2.9016,2.7865,1.5037,0.7399,0.408,0.7222,0.454,0.5625,0.3083,0.408,0.6667,0.5189,0.45,1.9042,0.5918,0.5589,1.2483,0.8867,-0.18909999999999982,0.3808,0.0,1.1178,0.6241,0.8867,0.35602500000000004,2.285,2.3673,2.7944,1.5603,1.7734,6.5084,6.2851,6.8714,6.0915,5.4975
Zach Parise 2022,Zach Parise,2022,L,37.178,71,195,42.0,74.0,81.0,65,82,2.4139,2.9016,2.7865,1.5037,1.5831,0.408,0.7222,0.454,0.5625,0.6029,0.408,0.6667,0.5189,0.45,0.2411,0.5918,0.5589,1.2483,0.8867,2.311,1.4895749999999999,0.0,1.1178,0.6241,0.8867,0.4622,-0.19495,2.3673,2.7944,1.5603,1.7734,0.9244,6.2851,6.8714,6.0915,5.4975,6.5723
Zach Parise 2023,Zach Parise,2023,L,38.178,71,195,74.0,81.0,65.0,82,82,2.9016,2.7865,1.5037,1.5831,1.4173,0.7222,0.454,0.5625,0.6029,0.4526,0.6667,0.5189,0.45,0.2411,0.1697,0.5589,1.2483,0.8867,2.311,0.5163,-0.734925,1.1178,0.6241,0.8867,0.4622,0.0,-0.7726999999999999,2.7944,1.5603,1.7734,0.9244,2.5814,6.8714,6.0915,5.4975,6.5723,5.71
Corey Perry 2009,Corey Perry,2009,R,23.379,75,208,,,,70,78,,,,3.5374,3.4464,,,,0.8414,0.9718,,,,0.3005,0.358,,,,0.4846,2.0088,1.5242,,,,0.9692,1.116,0.14680000000000015,,,,0.2423,1.116,,,,5.9778,8.4905
Corey Perry 2010,Corey Perry,2010,R,24.378,75,208,,,70.0,78,82,,,3.5374,3.4464,3.825,,,0.8414,0.9718,0.9134,,,0.3005,0.358,0.435,,,0.4846,2.0088,1.1478,-0.09889999999999999,,,0.9692,1.116,2.1043,1.0616999999999999,,,0.2423,1.116,1.1478,,,5.9778,8.4905,8.396
