,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y5 dEV ATOI
Ryan Suter 2009,Ryan Suter,2009,D,23.694,73,205,,,,76,82,,,,15.0504,18.1161,3.0656999999999996
Ryan Suter 2010,Ryan Suter,2010,D,24.693,73,205,,,76.0,82,82,,,15.0504,18.1161,18.851,2.2677499999999995
Ryan Suter 2011,Ryan Suter,2011,D,25.693,73,205,,76.0,82.0,82,70,,15.0504,18.1161,18.851,19.6798,2.340633333333333
Ryan Suter 2012,Ryan Suter,2012,D,26.692,73,205,76.0,82.0,82.0,70,79,15.0504,18.1161,18.851,19.6798,20.4226,2.4982749999999996
Ryan Suter 2013,Ryan Suter,2013,D,27.694,73,205,82.0,82.0,70.0,79,82,18.1161,18.851,19.6798,20.4226,21.3424,2.075025
Ryan Suter 2014,Ryan Suter,2014,D,28.693,73,205,82.0,70.0,79.0,82,82,18.851,19.6798,20.4226,21.3424,23.2717,3.197749999999999
Ryan Suter 2015,Ryan Suter,2015,D,29.693,73,205,70.0,79.0,82.0,82,77,19.6798,20.4226,21.3424,23.2717,23.1963,2.0171750000000017
Ryan Suter 2016,Ryan Suter,2016,D,30.692,73,205,79.0,82.0,82.0,77,82,20.4226,21.3424,23.2717,23.1963,22.9341,0.8758499999999998
Ryan Suter 2017,Ryan Suter,2017,D,31.694,73,205,82.0,82.0,77.0,82,82,21.3424,23.2717,23.1963,22.9341,21.8337,-0.8524250000000002
Ryan Suter 2018,Ryan Suter,2018,D,32.694,73,205,82.0,77.0,82.0,82,78,23.2717,23.1963,22.9341,21.8337,20.6979,-2.1110499999999988
Ryan Suter 2019,Ryan Suter,2019,D,33.693,73,205,77.0,82.0,82.0,78,82,23.1963,22.9341,21.8337,20.6979,21.3246,-0.8409000000000013
Ryan Suter 2020,Ryan Suter,2020,D,34.692,73,205,82.0,82.0,78.0,82,81,22.9341,21.8337,20.6979,21.3246,19.1466,-2.550975000000001
Ryan Suter 2021,Ryan Suter,2021,D,35.694,73,205,82.0,78.0,82.0,81,82,21.8337,20.6979,21.3246,19.1466,17.728,-3.0227000000000004
Ryan Suter 2022,Ryan Suter,2022,D,36.694,73,205,78.0,82.0,81.0,82,82,20.6979,21.3246,19.1466,17.728,19.9234,0.19912500000000222
Ryan Suter 2023,Ryan Suter,2023,D,37.693,73,205,82.0,81.0,82.0,82,82,21.3246,19.1466,17.728,19.9234,17.2488,-2.281850000000002
Brent Burns 2009,Brent Burns,2009,D,23.565,77,230,,,,82,59,,,,17.2791,17.0155,-0.2636000000000003
Brent Burns 2010,Brent Burns,2010,D,24.565,77,230,,,82.0,59,47,,,17.2791,17.0155,17.1482,0.0008999999999979025
