,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y5 dPP ATOI
Mark Giordano 2019,Mark Giordano,2019,D,34.996,72,205,61.0,82.0,81.0,82,78,3.1735,3.1843,2.5864,3.1364,3.3288,0.3086500000000001
Mark Giordano 2020,Mark Giordano,2020,D,35.996,72,205,82.0,81.0,82.0,78,70,3.1843,2.5864,3.1364,3.3288,2.6744,-0.38457500000000033
Mark Giordano 2021,Mark Giordano,2021,D,36.998,72,205,81.0,82.0,78.0,70,82,2.5864,3.1364,3.3288,2.6744,2.3866,-0.5448999999999997
Mark Giordano 2022,Mark Giordano,2022,D,37.997,72,205,82.0,78.0,70.0,82,75,3.1364,3.3288,2.6744,2.3866,2.4649,-0.41664999999999974
Mark Giordano 2023,Mark Giordano,2023,D,38.996,72,205,78.0,70.0,82.0,75,78,3.3288,2.6744,2.3866,2.4649,0.5825,-2.1311750000000003
Alex Goligoski 2010,Alex Goligoski,2010,D,24.173,71,173,,,3.0,45,69,,,2.95,3.9996,3.7773,0.30249999999999977
Alex Goligoski 2011,Alex Goligoski,2011,D,25.172,71,173,,3.0,45.0,69,83,,2.95,3.9996,3.7773,4.0179,0.4422666666666668
Alex Goligoski 2012,Alex Goligoski,2012,D,26.172,71,173,3.0,45.0,69.0,83,71,2.95,3.9996,3.7773,4.0179,3.1258,-0.5604
Alex Goligoski 2013,Alex Goligoski,2013,D,27.174,71,173,45.0,69.0,83.0,71,80,3.9996,3.7773,4.0179,3.1258,2.8929,-0.83725
Alex Goligoski 2014,Alex Goligoski,2014,D,28.173,71,173,69.0,83.0,71.0,80,81,3.7773,4.0179,3.1258,2.8929,3.3342,-0.11927500000000002
Alex Goligoski 2015,Alex Goligoski,2015,D,29.173,71,173,83.0,71.0,80.0,81,81,4.0179,3.1258,2.8929,3.3342,2.101,-1.2416999999999998
Alex Goligoski 2016,Alex Goligoski,2016,D,30.172,71,173,71.0,80.0,81.0,81,82,3.1258,2.8929,3.3342,2.101,1.9535,-0.9099750000000002
Alex Goligoski 2017,Alex Goligoski,2017,D,31.174,71,173,80.0,81.0,81.0,82,82,2.8929,3.3342,2.101,1.9535,2.178,-0.3924000000000003
Alex Goligoski 2018,Alex Goligoski,2018,D,32.173,71,173,81.0,81.0,82.0,82,78,3.3342,2.101,1.9535,2.178,1.9632,-0.42847500000000016
Alex Goligoski 2019,Alex Goligoski,2019,D,33.173,71,173,81.0,82.0,82.0,78,76,2.101,1.9535,2.178,1.9632,1.8717,-0.1772250000000002
Alex Goligoski 2020,Alex Goligoski,2020,D,34.172,71,173,82.0,82.0,78.0,76,82,1.9535,2.178,1.9632,1.8717,1.9476,-0.04400000000000004
Alex Goligoski 2021,Alex Goligoski,2021,D,35.174,71,173,82.0,78.0,76.0,82,82,2.178,1.9632,1.8717,1.9476,0.983,-1.0071249999999998
Alex Goligoski 2022,Alex Goligoski,2022,D,36.173,71,173,78.0,76.0,82.0,82,72,1.9632,1.8717,1.9476,0.983,1.2109,-0.480475
Alex Goligoski 2023,Alex Goligoski,2023,D,37.173,71,173,76.0,82.0,82.0,72,46,1.8717,1.9476,0.983,1.2109,0.5402,-0.9631000000000001
Alexander Edler 2009,Alexander Edler,2009,D,22.448,76,210,,,,75,80,,,,3.3138,3.4404,0.12659999999999982
Alexander Edler 2010,Alexander Edler,2010,D,23.448,76,210,,,75.0,80,76,,,3.3138,3.4404,3.0406,-0.3365
Alexander Edler 2011,Alexander Edler,2011,D,24.447,76,210,,75.0,80.0,76,51,,3.3138,3.4404,3.0406,3.7987,0.5337666666666667
Alexander Edler 2012,Alexander Edler,2012,D,25.446,76,210,75.0,80.0,76.0,51,82,3.3138,3.4404,3.0406,3.7987,3.4465,0.04812499999999975
Alexander Edler 2013,Alexander Edler,2013,D,26.448,76,210,80.0,76.0,51.0,82,76,3.4404,3.0406,3.7987,3.4465,3.5774,0.1458499999999998
Alexander Edler 2014,Alexander Edler,2014,D,27.448,76,210,76.0,51.0,82.0,76,63,3.0406,3.7987,3.4465,3.5774,2.8548,-0.6109999999999998
Alexander Edler 2015,Alexander Edler,2015,D,28.447,76,210,51.0,82.0,76.0,63,74,3.7987,3.4465,3.5774,2.8548,2.9297,-0.48965000000000014
Alexander Edler 2016,Alexander Edler,2016,D,29.446,76,210,82.0,76.0,63.0,74,52,3.4465,3.5774,2.8548,2.9297,3.2353,0.03320000000000034
Alexander Edler 2017,Alexander Edler,2017,D,30.448,76,210,76.0,63.0,74.0,52,68,3.5774,2.8548,2.9297,3.2353,2.0645,-1.0848000000000004
Alexander Edler 2018,Alexander Edler,2018,D,31.448,76,210,63.0,74.0,52.0,68,70,2.8548,2.9297,3.2353,2.0645,2.8624,0.09132500000000032
Alexander Edler 2019,Alexander Edler,2019,D,32.447,76,210,74.0,52.0,68.0,70,56,2.9297,3.2353,2.0645,2.8624,3.1557,0.3827250000000002
Alexander Edler 2020,Alexander Edler,2020,D,33.447,76,210,52.0,68.0,70.0,56,69,3.2353,2.0645,2.8624,3.1557,1.1799,-1.649575
Alexander Edler 2021,Alexander Edler,2021,D,34.449,76,210,68.0,70.0,56.0,69,76,2.0645,2.8624,3.1557,1.1799,0.2981,-2.017525
Alexander Edler 2022,Alexander Edler,2022,D,35.448,76,210,70.0,56.0,69.0,76,41,2.8624,3.1557,1.1799,0.2981,0.3411,-1.532925
Alexander Edler 2023,Alexander Edler,2023,D,36.447,76,210,56.0,69.0,76.0,41,64,3.1557,1.1799,0.2981,0.3411,0.0563,-1.1874
Jack Johnson 2009,Jack Johnson,2009,D,21.717,73,227,,,,74,41,,,,1.2349,1.8939,0.6589999999999998
Jack Johnson 2010,Jack Johnson,2010,D,22.717,73,227,,,74.0,41,80,,,1.2349,1.8939,2.8471,1.2827000000000002
Jack Johnson 2011,Jack Johnson,2011,D,23.716,73,227,,74.0,41.0,80,82,,1.2349,1.8939,2.8471,3.8843,1.8923333333333334
Jack Johnson 2012,Jack Johnson,2012,D,24.715,73,227,74.0,41.0,80.0,82,82,1.2349,1.8939,2.8471,3.8843,4.0392,1.57415
Jack Johnson 2013,Jack Johnson,2013,D,25.717,73,227,41.0,80.0,82.0,82,75,1.8939,2.8471,3.8843,4.0392,3.6239,0.4577749999999998
Jack Johnson 2014,Jack Johnson,2014,D,26.717,73,227,80.0,82.0,82.0,75,82,2.8471,3.8843,4.0392,3.6239,3.2215,-0.3771250000000004
Jack Johnson 2015,Jack Johnson,2015,D,27.716,73,227,82.0,82.0,75.0,82,79,3.8843,4.0392,3.6239,3.2215,2.6996,-0.9926249999999999
Jack Johnson 2016,Jack Johnson,2016,D,28.715,73,227,82.0,75.0,82.0,79,60,4.0392,3.6239,3.2215,2.6996,2.3675,-1.0285499999999996
Jack Johnson 2017,Jack Johnson,2017,D,29.717,73,227,75.0,82.0,79.0,60,82,3.6239,3.2215,2.6996,2.3675,0.2498,-2.728325
Jack Johnson 2018,Jack Johnson,2018,D,30.717,73,227,82.0,79.0,60.0,82,77,3.2215,2.6996,2.3675,0.2498,0.1494,-1.9851999999999999
Jack Johnson 2019,Jack Johnson,2019,D,31.716,73,227,79.0,60.0,82.0,77,82,2.6996,2.3675,0.2498,0.1494,0.34,-1.026575
Jack Johnson 2020,Jack Johnson,2020,D,32.715,73,227,60.0,82.0,77.0,82,79,2.3675,0.2498,0.1494,0.34,0.0751,-0.7015750000000001
Jack Johnson 2023,Jack Johnson,2023,D,35.716,73,227,82.0,79.0,19.0,74,83,0.34,0.0751,0.041,0.0514,0.0592,-0.06767500000000001
Marc Staal 2009,Marc Staal,2009,D,21.717,76,208,,,,80,82,,,,0.3498,0.5425,0.19269999999999998
Marc Staal 2010,Marc Staal,2010,D,22.717,76,208,,,80.0,82,82,,,0.3498,0.5425,0.6628,0.21664999999999995
Marc Staal 2011,Marc Staal,2011,D,23.716,76,208,,80.0,82.0,82,77,,0.3498,0.5425,0.6628,2.626,2.1076333333333332
Marc Staal 2012,Marc Staal,2012,D,24.715,76,208,80.0,82.0,82.0,77,46,0.3498,0.5425,0.6628,2.626,0.4822,-0.563075
Marc Staal 2015,Marc Staal,2015,D,27.716,76,208,77.0,46.0,35.0,72,80,2.626,0.4822,1.0262,0.41,0.1196,-1.0165
Marc Staal 2016,Marc Staal,2016,D,28.715,76,208,46.0,35.0,72.0,80,77,0.4822,1.0262,0.41,0.1196,0.1052,-0.40429999999999994
Marc Staal 2017,Marc Staal,2017,D,29.717,76,208,35.0,72.0,80.0,77,72,1.0262,0.41,0.1196,0.1052,0.0477,-0.36755
Marc Staal 2018,Marc Staal,2018,D,30.717,76,208,72.0,80.0,77.0,72,72,0.41,0.1196,0.1052,0.0477,0.0384,-0.132225
Marc Staal 2019,Marc Staal,2019,D,31.716,76,208,80.0,77.0,72.0,72,79,0.1196,0.1052,0.0477,0.0384,0.0302,-0.047525
Marc Staal 2020,Marc Staal,2020,D,32.715,76,208,77.0,72.0,72.0,79,61,0.1052,0.0477,0.0384,0.0302,0.0696,0.014224999999999995
Marc Staal 2021,Marc Staal,2021,D,33.718,76,208,72.0,72.0,79.0,61,82,0.0477,0.0384,0.0302,0.0696,0.1042,0.057725000000000005
Marc Staal 2022,Marc Staal,2022,D,34.717,76,208,72.0,79.0,61.0,82,71,0.0384,0.0302,0.0696,0.1042,0.0472,-0.013400000000000002
Marc Staal 2023,Marc Staal,2023,D,35.716,76,208,79.0,61.0,82.0,71,82,0.0302,0.0696,0.1042,0.0472,0.0478,-0.014999999999999993
Marc-Edouard Vlasic 2009,Marc-Edouard Vlasic,2009,D,21.509,73,205,,,,82,82,,,,0.9002,2.9411,2.0409
Marc-Edouard Vlasic 2010,Marc-Edouard Vlasic,2010,D,22.508,73,205,,,82.0,82,64,,,0.9002,2.9411,1.7482,-0.17245
Marc-Edouard Vlasic 2011,Marc-Edouard Vlasic,2011,D,23.508,73,205,,82.0,82.0,64,80,,0.9002,2.9411,1.7482,0.8731,-0.9900666666666667
Marc-Edouard Vlasic 2012,Marc-Edouard Vlasic,2012,D,24.507,73,205,82.0,82.0,64.0,80,82,0.9002,2.9411,1.7482,0.8731,0.5612,-1.05445
Marc-Edouard Vlasic 2013,Marc-Edouard Vlasic,2013,D,25.509,73,205,82.0,64.0,80.0,82,82,2.9411,1.7482,0.8731,0.5612,0.5292,-1.0017
Marc-Edouard Vlasic 2014,Marc-Edouard Vlasic,2014,D,26.509,73,205,64.0,80.0,82.0,82,81,1.7482,0.8731,0.5612,0.5292,0.6953,-0.23262499999999997
Marc-Edouard Vlasic 2015,Marc-Edouard Vlasic,2015,D,27.508,73,205,80.0,82.0,82.0,81,70,0.8731,0.5612,0.5292,0.6953,1.4086,0.7439
Marc-Edouard Vlasic 2016,Marc-Edouard Vlasic,2016,D,28.507,73,205,82.0,82.0,81.0,70,67,0.5612,0.5292,0.6953,1.4086,2.0507,1.252125
Marc-Edouard Vlasic 2017,Marc-Edouard Vlasic,2017,D,29.509,73,205,82.0,81.0,70.0,67,75,0.5292,0.6953,1.4086,2.0507,1.9231,0.7521500000000001
Marc-Edouard Vlasic 2018,Marc-Edouard Vlasic,2018,D,30.509,73,205,81.0,70.0,67.0,75,81,0.6953,1.4086,2.0507,1.9231,1.1364,-0.38302499999999995
Marc-Edouard Vlasic 2019,Marc-Edouard Vlasic,2019,D,31.508,73,205,70.0,67.0,75.0,81,72,1.4086,2.0507,1.9231,1.1364,0.7748,-0.8549000000000001
Marc-Edouard Vlasic 2020,Marc-Edouard Vlasic,2020,D,32.507,73,205,67.0,75.0,81.0,72,82,2.0507,1.9231,1.1364,0.7748,0.2902,-1.18105
Marc-Edouard Vlasic 2021,Marc-Edouard Vlasic,2021,D,33.509,73,205,75.0,81.0,72.0,82,74,1.9231,1.1364,0.7748,0.2902,0.1131,-0.9180250000000001
Marc-Edouard Vlasic 2022,Marc-Edouard Vlasic,2022,D,34.509,73,205,81.0,72.0,82.0,74,75,1.1364,0.7748,0.2902,0.1131,0.0509,-0.527725
Marc-Edouard Vlasic 2023,Marc-Edouard Vlasic,2023,D,35.508,73,205,72.0,82.0,74.0,75,78,0.7748,0.2902,0.1131,0.0509,0.075,-0.23225
Kris Letang 2009,Kris Letang,2009,D,21.441,72,201,,,,63,74,,,,2.6098,3.618,1.0082
Kris Letang 2010,Kris Letang,2010,D,22.44,72,201,,,63.0,74,73,,,2.6098,3.618,2.826,-0.28790000000000004
Kris Letang 2011,Kris Letang,2011,D,23.439,72,201,,63.0,74.0,73,82,,2.6098,3.618,2.826,4.4799,1.4619666666666666
Kris Letang 2012,Kris Letang,2012,D,24.439,72,201,63.0,74.0,73.0,82,51,2.6098,3.618,2.826,4.4799,4.0993,0.7158750000000005
Kris Letang 2013,Kris Letang,2013,D,25.441,72,201,74.0,73.0,82.0,51,59,3.618,2.826,4.4799,4.0993,4.6352,0.8794000000000004
Kris Letang 2016,Kris Letang,2016,D,28.439,72,201,51.0,59.0,37.0,69,71,4.0993,4.6352,3.7135,3.8167,3.9854,-0.08077500000000049
Kris Letang 2017,Kris Letang,2017,D,29.441,72,201,59.0,37.0,69.0,71,41,4.6352,3.7135,3.8167,3.9854,3.7175,-0.32020000000000026
Kris Letang 2018,Kris Letang,2018,D,30.44,72,201,37.0,69.0,71.0,41,79,3.7135,3.8167,3.9854,3.7175,3.1036,-0.7046749999999999
Kris Letang 2019,Kris Letang,2019,D,31.44,72,201,69.0,71.0,41.0,79,65,3.8167,3.9854,3.7175,3.1036,3.2664,-0.3894000000000002
Kris Letang 2020,Kris Letang,2020,D,32.439,72,201,71.0,41.0,79.0,65,71,3.9854,3.7175,3.1036,3.2664,3.4571,-0.061125000000000096
