,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PK ATOI,Y2 PK ATOI,Y3 PK ATOI,Y4 PK ATOI,Y5 PK ATOI,Y1 PK A1/60,Y2 PK A1/60,Y3 PK A1/60,Y4 PK A1/60,Y5 PK A1/60,Y1 PK A2/60,Y2 PK A2/60,Y3 PK A2/60,Y4 PK A2/60,Y5 PK A2/60
Ryan Suter 2010,Ryan Suter,2010,D,24.693,73,205,,,76.0,82,82,,,2.102,2.2622,1.9093,,,0.0,0.0,0.0,,,0.0,0.0,0.0
Ryan Suter 2011,Ryan Suter,2011,D,25.693,73,205,,76.0,82.0,82,70,,2.102,2.2622,1.9093,2.0257,,0.0,0.0,0.0,0.4231,,0.0,0.0,0.0,0.0
Ryan Suter 2012,Ryan Suter,2012,D,26.692,73,205,76.0,82.0,82.0,70,79,2.102,2.2622,1.9093,2.0257,2.384,0.0,0.0,0.0,0.4231,0.3186,0.0,0.0,0.0,0.0,0.0
Ryan Suter 2013,Ryan Suter,2013,D,27.694,73,205,82.0,82.0,70.0,79,82,2.2622,1.9093,2.0257,2.384,2.1479,0.0,0.0,0.4231,0.3186,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Suter 2014,Ryan Suter,2014,D,28.693,73,205,82.0,70.0,79.0,82,82,1.9093,2.0257,2.384,2.1479,2.3616,0.0,0.4231,0.3186,0.0,0.0,0.0,0.0,0.0,0.0,0.3098
Ryan Suter 2015,Ryan Suter,2015,D,29.693,73,205,70.0,79.0,82.0,82,77,2.0257,2.384,2.1479,2.3616,2.0268,0.4231,0.3186,0.0,0.0,0.3845,0.0,0.0,0.0,0.3098,0.0
Ryan Suter 2016,Ryan Suter,2016,D,30.692,73,205,79.0,82.0,82.0,77,82,2.384,2.1479,2.3616,2.0268,1.9652,0.3186,0.0,0.0,0.3845,0.0,0.0,0.0,0.3098,0.0,0.3723
Ryan Suter 2017,Ryan Suter,2017,D,31.694,73,205,82.0,82.0,77.0,82,82,2.1479,2.3616,2.0268,1.9652,2.3309,0.0,0.0,0.3845,0.0,0.0,0.0,0.3098,0.0,0.3723,0.3139
Ryan Suter 2018,Ryan Suter,2018,D,32.694,73,205,82.0,77.0,82.0,82,78,2.3616,2.0268,1.9652,2.3309,2.9891,0.0,0.3845,0.0,0.0,0.2573,0.3098,0.0,0.3723,0.3139,0.0
Ryan Suter 2019,Ryan Suter,2019,D,33.693,73,205,77.0,82.0,82.0,78,82,2.0268,1.9652,2.3309,2.9891,2.3157,0.3845,0.0,0.0,0.2573,0.0,0.0,0.3723,0.3139,0.0,0.316
Ryan Suter 2020,Ryan Suter,2020,D,34.692,73,205,82.0,82.0,78.0,82,81,1.9652,2.3309,2.9891,2.3157,2.4423,0.0,0.0,0.2573,0.0,0.0,0.3723,0.3139,0.0,0.316,0.0
Ryan Suter 2021,Ryan Suter,2021,D,35.694,73,205,82.0,78.0,82.0,81,82,2.3309,2.9891,2.3157,2.4423,1.9824,0.0,0.2573,0.0,0.0,0.0,0.3139,0.0,0.316,0.0,0.0
Ryan Suter 2022,Ryan Suter,2022,D,36.694,73,205,78.0,82.0,81.0,82,82,2.9891,2.3157,2.4423,1.9824,1.601,0.2573,0.0,0.0,0.0,0.0,0.0,0.316,0.0,0.0,0.0
Ryan Suter 2023,Ryan Suter,2023,D,37.693,73,205,82.0,81.0,82.0,82,82,2.3157,2.4423,1.9824,1.601,1.4998,0.0,0.0,0.0,0.0,0.0,0.316,0.0,0.0,0.0,0.4879
Brent Burns 2010,Brent Burns,2010,D,24.565,77,230,,,82.0,59,47,,,2.6376,2.1949,2.072,,,0.0,0.0,0.0,,,0.2774,0.0,0.0
Brent Burns 2011,Brent Burns,2011,D,25.564,77,230,,82.0,59.0,47,80,,2.6376,2.1949,2.072,2.7204,,0.0,0.0,0.0,0.0,,0.2774,0.0,0.0,0.2757
Brent Burns 2012,Brent Burns,2012,D,26.563,77,230,82.0,59.0,47.0,80,81,2.6376,2.1949,2.072,2.7204,1.7858,0.0,0.0,0.0,0.0,0.0,0.2774,0.0,0.0,0.2757,0.0
Brent Burns 2017,Brent Burns,2017,D,31.566,77,230,51.0,69.0,82.0,82,82,0.0189,0.0597,1.9396,2.1638,1.7289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3382,0.4232
Brent Burns 2018,Brent Burns,2018,D,32.565,77,230,69.0,82.0,82.0,82,82,0.0597,1.9396,2.1638,1.7289,1.5079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3382,0.4232,0.4852
Brent Burns 2019,Brent Burns,2019,D,33.564,77,230,82.0,82.0,82.0,82,82,1.9396,2.1638,1.7289,1.5079,2.0183,0.0,0.0,0.0,0.0,0.7251,0.0,0.3382,0.4232,0.4852,0.7251
Brent Burns 2020,Brent Burns,2020,D,34.564,77,230,82.0,82.0,82.0,82,82,2.1638,1.7289,1.5079,2.0183,2.491,0.0,0.0,0.0,0.7251,0.0,0.3382,0.4232,0.4852,0.7251,0.3441
Brent Burns 2021,Brent Burns,2021,D,35.566,77,230,82.0,82.0,82.0,82,82,1.7289,1.5079,2.0183,2.491,2.8875,0.0,0.0,0.7251,0.0,0.0,0.4232,0.4852,0.7251,0.3441,0.3711
Brent Burns 2022,Brent Burns,2022,D,36.565,77,230,82.0,82.0,82.0,82,82,1.5079,2.0183,2.491,2.8875,2.7181,0.0,0.7251,0.0,0.0,0.0,0.4852,0.7251,0.3441,0.3711,0.2692
Brent Burns 2023,Brent Burns,2023,D,37.564,77,230,82.0,82.0,82.0,82,82,2.0183,2.491,2.8875,2.7181,2.0986,0.7251,0.0,0.0,0.0,0.0,0.7251,0.3441,0.3711,0.2692,0.0
Mark Giordano 2012,Mark Giordano,2012,D,27.995,72,205,,58.0,82.0,82,61,,0.5451,1.8872,2.1079,2.2369,,0.0,0.0,0.0,0.4397,,0.0,0.0,0.0,0.0
Mark Giordano 2013,Mark Giordano,2013,D,28.997,72,205,58.0,82.0,82.0,61,80,0.5451,1.8872,2.1079,2.2369,2.7234,0.0,0.0,0.0,0.4397,0.4688,0.0,0.0,0.0,0.0,0.0
Mark Giordano 2014,Mark Giordano,2014,D,29.997,72,205,82.0,82.0,61.0,80,64,1.8872,2.1079,2.2369,2.7234,2.65,0.0,0.0,0.4397,0.4688,0.3538,0.0,0.0,0.0,0.0,0.7075
Mark Giordano 2015,Mark Giordano,2015,D,30.996,72,205,82.0,61.0,80.0,64,61,2.1079,2.2369,2.7234,2.65,2.1462,0.0,0.4397,0.4688,0.3538,0.0,0.0,0.0,0.0,0.7075,0.0
Mark Giordano 2016,Mark Giordano,2016,D,31.995,72,205,61.0,80.0,64.0,61,82,2.2369,2.7234,2.65,2.1462,2.4181,0.4397,0.4688,0.3538,0.0,0.3026,0.0,0.0,0.7075,0.0,0.3026
Mark Giordano 2017,Mark Giordano,2017,D,32.997,72,205,80.0,64.0,61.0,82,81,2.7234,2.65,2.1462,2.4181,3.2646,0.4688,0.3538,0.0,0.3026,0.0,0.0,0.7075,0.0,0.3026,0.2269
Mark Giordano 2018,Mark Giordano,2018,D,33.997,72,205,64.0,61.0,82.0,81,82,2.65,2.1462,2.4181,3.2646,3.1037,0.3538,0.0,0.3026,0.0,0.0,0.7075,0.0,0.3026,0.2269,0.0
Mark Giordano 2019,Mark Giordano,2019,D,34.996,72,205,61.0,82.0,81.0,82,78,2.1462,2.4181,3.2646,3.1037,2.6534,0.0,0.3026,0.0,0.0,0.0,0.0,0.3026,0.2269,0.0,0.5798
Mark Giordano 2020,Mark Giordano,2020,D,35.996,72,205,82.0,81.0,82.0,78,70,2.4181,3.2646,3.1037,2.6534,2.7508,0.3026,0.0,0.0,0.0,0.0,0.3026,0.2269,0.0,0.5798,0.7271
Mark Giordano 2021,Mark Giordano,2021,D,36.998,72,205,81.0,82.0,78.0,70,82,3.2646,3.1037,2.6534,2.7508,3.0054,0.0,0.0,0.0,0.0,0.0,0.2269,0.0,0.5798,0.7271,0.0
Mark Giordano 2022,Mark Giordano,2022,D,37.997,72,205,82.0,78.0,70.0,82,75,3.1037,2.6534,2.7508,3.0054,1.6107,0.0,0.0,0.0,0.0,0.0,0.0,0.5798,0.7271,0.0,0.0
Mark Giordano 2023,Mark Giordano,2023,D,38.996,72,205,78.0,70.0,82.0,75,78,2.6534,2.7508,3.0054,1.6107,2.2714,0.0,0.0,0.0,0.0,0.0,0.5798,0.7271,0.0,0.0,0.0
Alex Goligoski 2012,Alex Goligoski,2012,D,26.172,71,173,3.0,45.0,69.0,83,71,0.1556,0.0759,1.5493,1.3456,1.2885,0.0,0.0,0.0,0.0,0.6559,0.0,0.0,0.0,0.0,0.0
Alex Goligoski 2013,Alex Goligoski,2013,D,27.174,71,173,45.0,69.0,83.0,71,80,0.0759,1.5493,1.3456,1.2885,1.4759,0.0,0.0,0.0,0.6559,0.0,0.0,0.0,0.0,0.0,0.865
