,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y1 PP G/60,Y2 PP G/60,Y3 PP G/60,Y4 PP G/60,Y5 PP G/60,Y5 dPP G/60,Y1 PP ixG/60,Y2 PP ixG/60,Y3 PP ixG/60,Y4 PP ixG/60,Y5 PP ixG/60,Y1 EV G/60,Y2 EV G/60,Y3 EV G/60,Y4 EV G/60,Y5 EV G/60,Y1 EV ixG/60,Y2 EV ixG/60,Y3 EV ixG/60,Y4 EV ixG/60,Y5 EV ixG/60
Eric Staal 2011,Eric Staal,2011,C,25.923,76,195,,82.0,82.0,70,81,,4.6524,4.2295,4.2055,4.4288,,2.0446,2.422,2.6496,2.0071,-0.36496666666666666,,1.6298,2.2818,2.0812,1.9043,,1.0751,1.1512,0.8768,0.8279,,1.0587,1.1997,1.2768,0.9206
Eric Staal 2012,Eric Staal,2012,C,26.922,76,195,82.0,82.0,70.0,81,82,4.6524,4.2295,4.2055,4.4288,3.6451,2.0446,2.422,2.6496,2.0071,1.4052,-0.8756250000000001,1.6298,2.2818,2.0812,1.9043,1.7549,1.0751,1.1512,0.8768,0.8279,0.6242,1.0587,1.1997,1.2768,0.9206,0.8085
Eric Staal 2013,Eric Staal,2013,C,27.924,76,195,82.0,70.0,81.0,82,82,4.2295,4.2055,4.4288,3.6451,3.5587,2.422,2.6496,2.0071,1.4052,1.0538,-1.067175,2.2818,2.0812,1.9043,1.7549,2.4374,1.1512,0.8768,0.8279,0.6242,1.0791,1.1997,1.2768,0.9206,0.8085,0.9011
Eric Staal 2014,Eric Staal,2014,C,28.923,76,195,70.0,81.0,82.0,82,79,4.2055,4.4288,3.6451,3.5587,3.3749,2.6496,2.0071,1.4052,1.0538,0.225,-1.553925,2.0812,1.9043,1.7549,2.4374,1.8762,0.8768,0.8279,0.6242,1.0791,0.8534,1.2768,0.9206,0.8085,0.9011,0.8448
Eric Staal 2015,Eric Staal,2015,C,29.923,76,195,81.0,82.0,82.0,79,77,4.4288,3.6451,3.5587,3.3749,2.6058,2.0071,1.4052,1.0538,0.225,2.0932,0.920425,1.9043,1.7549,2.4374,1.8762,1.8842,0.8279,0.6242,1.0791,0.8534,0.7735,0.9206,0.8085,0.9011,0.8448,1.12
Eric Staal 2016,Eric Staal,2016,C,30.922,76,195,82.0,82.0,79.0,77,83,3.6451,3.5587,3.3749,2.6058,2.6046,1.4052,1.0538,0.225,2.0932,0.2775,-0.9167999999999998,1.7549,2.4374,1.8762,1.8842,1.8444,0.6242,1.0791,0.8534,0.7735,0.5556,0.8085,0.9011,0.8448,1.12,0.9451
Eric Staal 2017,Eric Staal,2017,C,31.924,76,195,82.0,79.0,77.0,83,82,3.5587,3.3749,2.6058,2.6046,2.3738,1.0538,0.225,2.0932,0.2775,1.233,0.32062500000000005,2.4374,1.8762,1.8842,1.8444,1.4645,1.0791,0.8534,0.7735,0.5556,1.1325,0.9011,0.8448,1.12,0.9451,0.9073
Eric Staal 2018,Eric Staal,2018,C,32.924,76,195,79.0,77.0,83.0,82,82,3.3749,2.6058,2.6046,2.3738,2.187,0.225,2.0932,0.2775,1.233,3.6803,2.723125,1.8762,1.8842,1.8444,1.4645,1.6302,0.8534,0.7735,0.5556,1.1325,1.4587,0.8448,1.12,0.9451,0.9073,0.9284
Eric Staal 2019,Eric Staal,2019,C,33.923,76,195,77.0,83.0,82.0,82,81,2.6058,2.6046,2.3738,2.187,2.8068,2.0932,0.2775,1.233,3.6803,1.8474,0.02639999999999998,1.8842,1.8444,1.4645,1.6302,1.7671,0.7735,0.5556,1.1325,1.4587,0.7378,1.12,0.9451,0.9073,0.9284,0.863
Eric Staal 2020,Eric Staal,2020,C,34.922,76,195,83.0,82.0,82.0,81,77,2.6046,2.3738,2.187,2.8068,2.6952,0.2775,1.233,3.6803,1.8474,1.6865,-0.07304999999999984,1.8444,1.4645,1.6302,1.7671,1.3941,0.5556,1.1325,1.4587,0.7378,0.9037,0.9451,0.9073,0.9284,0.863,0.616
