,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PK ATOI,Y2 PK ATOI,Y3 PK ATOI,Y4 PK ATOI,Y5 PK ATOI,Y1 PK A1/60,Y2 PK A1/60,Y3 PK A1/60,Y4 PK A1/60,Y5 PK A1/60,Y1 PK A2/60,Y2 PK A2/60,Y3 PK A2/60,Y4 PK A2/60,Y5 PK A2/60
Anze Kopitar 2012,Anze Kopitar,2012,C,24.105,75,225,82.0,82.0,82.0,75,82,1.1557,1.4992,1.624,2.0756,2.248,1.2663,0.0,0.0,0.0,0.651,0.0,0.0,0.0,0.0,0.0
Anze Kopitar 2013,Anze Kopitar,2013,C,25.107,75,225,82.0,82.0,75.0,82,80,1.4992,1.624,2.0756,2.248,1.4926,0.0,0.0,0.0,0.651,0.0,0.0,0.0,0.0,0.0,0.0
Anze Kopitar 2014,Anze Kopitar,2014,C,26.106,75,225,82.0,75.0,82.0,80,82,1.624,2.0756,2.248,1.4926,2.0205,0.0,0.0,0.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anze Kopitar 2015,Anze Kopitar,2015,C,27.105,75,225,75.0,82.0,80.0,82,79,2.0756,2.248,1.4926,2.0205,1.6833,0.0,0.651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anze Kopitar 2016,Anze Kopitar,2016,C,28.105,75,225,82.0,80.0,82.0,79,81,2.248,1.4926,2.0205,1.6833,2.1545,0.651,0.0,0.0,0.0,0.6876,0.0,0.0,0.0,0.0,0.0
Anze Kopitar 2017,Anze Kopitar,2017,C,29.107,75,225,80.0,82.0,79.0,81,76,1.4926,2.0205,1.6833,2.1545,1.9064,0.0,0.0,0.0,0.6876,0.4141,0.0,0.0,0.0,0.0,0.0
Anze Kopitar 2018,Anze Kopitar,2018,C,30.106,75,225,82.0,79.0,81.0,76,82,2.0205,1.6833,2.1545,1.9064,2.1754,0.0,0.0,0.6876,0.4141,0.6727,0.0,0.0,0.0,0.0,0.0
Anze Kopitar 2019,Anze Kopitar,2019,C,31.106,75,225,79.0,81.0,76.0,82,81,1.6833,2.1545,1.9064,2.1754,1.9658,0.0,0.6876,0.4141,0.6727,0.0,0.0,0.0,0.0,0.0,0.0
Anze Kopitar 2020,Anze Kopitar,2020,C,32.105,75,225,81.0,76.0,82.0,81,82,2.1545,1.9064,2.1754,1.9658,1.7724,0.6876,0.4141,0.6727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anze Kopitar 2021,Anze Kopitar,2021,C,33.107,75,225,76.0,82.0,81.0,82,82,1.9064,2.1754,1.9658,1.7724,2.0911,0.4141,0.6727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anze Kopitar 2022,Anze Kopitar,2022,C,34.106,75,225,82.0,81.0,82.0,82,81,2.1754,1.9658,1.7724,2.0911,1.7064,0.6727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4341
