,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PK ATOI,Y2 PK ATOI,Y3 PK ATOI,Y4 PK ATOI,Y5 PK ATOI,Y5 dPK ATOI
Corey Perry 2017,Corey Perry,2017,R,31.379,75,208,75.0,81.0,67.0,82,82,0.9201,0.6095,0.2784,0.0579,0.0297,-0.436775
Corey Perry 2018,Corey Perry,2018,R,32.379,75,208,81.0,67.0,82.0,82,71,0.6095,0.2784,0.0579,0.0297,0.0293,-0.21457500000000002
Corey Perry 2022,Corey Perry,2022,R,36.379,75,208,71.0,31.0,67.0,71,82,0.0293,0.0532,0.0175,0.0391,0.0228,-0.011975
Corey Perry 2023,Corey Perry,2023,R,37.378,75,208,31.0,67.0,71.0,82,81,0.0532,0.0175,0.0391,0.0228,0.0031,-0.03005
Patrice Bergeron 2011,Patrice Bergeron,2011,C,25.189,73,196,,10.0,64.0,73,80,,2.1567,2.3102,1.9477,2.0769,-0.06129999999999969
Patrice Bergeron 2012,Patrice Bergeron,2012,C,26.188,73,196,10.0,64.0,73.0,80,81,2.1567,2.3102,1.9477,2.0769,1.8243,-0.29857500000000003
Patrice Bergeron 2013,Patrice Bergeron,2013,C,27.19,73,196,64.0,73.0,80.0,81,71,2.3102,1.9477,2.0769,1.8243,2.2131,0.17332499999999973
Patrice Bergeron 2014,Patrice Bergeron,2014,C,28.19,73,196,73.0,80.0,81.0,71,80,1.9477,2.0769,1.8243,2.2131,1.9658,-0.049699999999999855
Patrice Bergeron 2015,Patrice Bergeron,2015,C,29.189,73,196,80.0,81.0,71.0,80,81,2.0769,1.8243,2.2131,1.9658,1.7296,-0.29042499999999993
Patrice Bergeron 2016,Patrice Bergeron,2016,C,30.188,73,196,81.0,71.0,80.0,81,80,1.8243,2.2131,1.9658,1.7296,2.205,0.27180000000000004
Patrice Bergeron 2017,Patrice Bergeron,2017,C,31.19,73,196,71.0,80.0,81.0,80,79,2.2131,1.9658,1.7296,2.205,2.1532,0.12482499999999996
Patrice Bergeron 2018,Patrice Bergeron,2018,C,32.19,73,196,80.0,81.0,80.0,79,64,1.9658,1.7296,2.205,2.1532,1.8333,-0.18009999999999993
Patrice Bergeron 2019,Patrice Bergeron,2019,C,33.189,73,196,81.0,80.0,79.0,64,65,1.7296,2.205,2.1532,1.8333,1.6918,-0.28847500000000004
Patrice Bergeron 2020,Patrice Bergeron,2020,C,34.188,73,196,80.0,79.0,64.0,65,71,2.205,2.1532,1.8333,1.6918,1.7273,-0.243525
Patrice Bergeron 2021,Patrice Bergeron,2021,C,35.191,73,196,79.0,64.0,65.0,71,79,2.1532,1.8333,1.6918,1.7273,1.7846,-0.06679999999999997
Patrice Bergeron 2022,Patrice Bergeron,2022,C,36.19,73,196,64.0,65.0,71.0,79,73,1.8333,1.6918,1.7273,1.7846,1.6756,-0.08365
Patrice Bergeron 2023,Patrice Bergeron,2023,C,37.189,73,196,65.0,71.0,79.0,73,78,1.6918,1.7273,1.7846,1.6756,1.7756,0.05577500000000013
Joe Pavelski 2010,Joe Pavelski,2010,C,25.225,71,200,,,82.0,80,67,,,1.0274,2.2225,2.4057,0.7807499999999998
Joe Pavelski 2011,Joe Pavelski,2011,C,26.224,71,200,,82.0,80.0,67,74,,1.0274,2.2225,2.4057,1.9698,0.08460000000000001
Joe Pavelski 2012,Joe Pavelski,2012,C,27.223,71,200,82.0,80.0,67.0,74,82,1.0274,2.2225,2.4057,1.9698,1.5801,-0.32624999999999993
Joe Pavelski 2013,Joe Pavelski,2013,C,28.225,71,200,80.0,67.0,74.0,82,82,2.2225,2.4057,1.9698,1.5801,1.5774,-0.46712500000000023
Joe Pavelski 2014,Joe Pavelski,2014,C,29.225,71,200,67.0,74.0,82.0,82,82,2.4057,1.9698,1.5801,1.5774,1.5967,-0.28654999999999986
Joe Pavelski 2015,Joe Pavelski,2015,C,30.224,71,200,74.0,82.0,82.0,82,82,1.9698,1.5801,1.5774,1.5967,1.5264,-0.15460000000000007
Joe Pavelski 2016,Joe Pavelski,2016,C,31.223,71,200,82.0,82.0,82.0,82,82,1.5801,1.5774,1.5967,1.5264,0.564,-1.0061499999999999
Joe Pavelski 2017,Joe Pavelski,2017,C,32.225,71,200,82.0,82.0,82.0,82,81,1.5774,1.5967,1.5264,0.564,0.2893,-1.026825
Joe Pavelski 2018,Joe Pavelski,2018,C,33.225,71,200,82.0,82.0,82.0,81,82,1.5967,1.5264,0.564,0.2893,0.2904,-0.7037
Joe Pavelski 2019,Joe Pavelski,2019,C,34.224,71,200,82.0,82.0,81.0,82,75,1.5264,0.564,0.2893,0.2904,0.7287,0.06117500000000009
Joe Pavelski 2020,Joe Pavelski,2020,C,35.223,71,200,82.0,81.0,82.0,75,79,0.564,0.2893,0.2904,0.7287,0.7958,0.3277
Joe Pavelski 2021,Joe Pavelski,2021,C,36.225,71,200,81.0,82.0,75.0,79,82,0.2893,0.2904,0.7287,0.7958,0.6792,0.15315
Joe Pavelski 2022,Joe Pavelski,2022,C,37.225,71,200,82.0,75.0,79.0,82,82,0.2904,0.7287,0.7958,0.6792,0.515,-0.10852499999999998
Joe Pavelski 2023,Joe Pavelski,2023,C,38.224,71,200,75.0,79.0,82.0,82,82,0.7287,0.7958,0.6792,0.515,0.1354,-0.5442750000000001
Alex Ovechkin 2010,Alex Ovechkin,2010,L,24.039,75,238,,,82.0,79,72,,,0.1787,0.9272,0.0602,-0.4927500000000001
Alex Ovechkin 2011,Alex Ovechkin,2011,L,25.038,75,238,,82.0,79.0,72,79,,0.1787,0.9272,0.0602,0.0458,-0.3429
Alex Ovechkin 2012,Alex Ovechkin,2012,L,26.038,75,238,82.0,79.0,72.0,79,78,0.1787,0.9272,0.0602,0.0458,0.0321,-0.270875
Alex Ovechkin 2013,Alex Ovechkin,2013,L,27.04,75,238,79.0,72.0,79.0,78,82,0.9272,0.0602,0.0458,0.0321,0.0708,-0.19552499999999998
Alex Ovechkin 2014,Alex Ovechkin,2014,L,28.039,75,238,72.0,79.0,78.0,82,78,0.0602,0.0458,0.0321,0.0708,0.0524,0.00017500000000000154
Alex Ovechkin 2015,Alex Ovechkin,2015,L,29.038,75,238,79.0,78.0,82.0,78,81,0.0458,0.0321,0.0708,0.0524,0.0286,-0.021675
Alex Ovechkin 2016,Alex Ovechkin,2016,L,30.038,75,238,78.0,82.0,78.0,81,79,0.0321,0.0708,0.0524,0.0286,0.0038,-0.042175000000000004
Alex Ovechkin 2017,Alex Ovechkin,2017,L,31.04,75,238,82.0,78.0,81.0,79,82,0.0708,0.0524,0.0286,0.0038,0.0193,-0.019600000000000003
Alex Ovechkin 2018,Alex Ovechkin,2018,L,32.039,75,238,78.0,81.0,79.0,82,82,0.0524,0.0286,0.0038,0.0193,0.0394,0.013374999999999998
Alex Ovechkin 2019,Alex Ovechkin,2019,L,33.039,75,238,81.0,79.0,82.0,82,81,0.0286,0.0038,0.0193,0.0394,0.0072,-0.015575
Alex Ovechkin 2020,Alex Ovechkin,2020,L,34.038,75,238,79.0,82.0,82.0,81,80,0.0038,0.0193,0.0394,0.0072,0.0429,0.025475
Alex Ovechkin 2021,Alex Ovechkin,2021,L,35.04,75,238,82.0,82.0,81.0,80,65,0.0193,0.0394,0.0072,0.0429,0.0422,0.015000000000000003
Alex Ovechkin 2022,Alex Ovechkin,2022,L,36.039,75,238,82.0,81.0,80.0,65,77,0.0394,0.0072,0.0429,0.0422,0.011,-0.021925000000000004
Alex Ovechkin 2023,Alex Ovechkin,2023,L,37.039,75,238,81.0,80.0,65.0,77,73,0.0072,0.0429,0.0422,0.011,0.0322,0.006374999999999999
Evgeni Malkin 2010,Evgeni Malkin,2010,C,23.171,75,195,,,82.0,82,67,,,0.7642,1.0722,0.3336,-0.5846
Evgeni Malkin 2011,Evgeni Malkin,2011,C,24.17,75,195,,82.0,82.0,67,43,,0.7642,1.0722,0.3336,0.0779,-0.6454333333333334
Evgeni Malkin 2012,Evgeni Malkin,2012,C,25.17,75,195,82.0,82.0,67.0,43,75,0.7642,1.0722,0.3336,0.0779,0.0558,-0.506175
Evgeni Malkin 2013,Evgeni Malkin,2013,C,26.172,75,195,82.0,67.0,43.0,75,52,1.0722,0.3336,0.0779,0.0558,0.0323,-0.352575
Evgeni Malkin 2014,Evgeni Malkin,2014,C,27.171,75,195,67.0,43.0,75.0,52,60,0.3336,0.0779,0.0558,0.0323,0.0353,-0.0896
Evgeni Malkin 2015,Evgeni Malkin,2015,C,28.171,75,195,43.0,75.0,52.0,60,69,0.0779,0.0558,0.0323,0.0353,0.0754,0.025074999999999993
Evgeni Malkin 2016,Evgeni Malkin,2016,C,29.17,75,195,75.0,52.0,60.0,69,57,0.0558,0.0323,0.0353,0.0754,0.2687,0.219
Evgeni Malkin 2017,Evgeni Malkin,2017,C,30.172,75,195,52.0,60.0,69.0,57,62,0.0323,0.0353,0.0754,0.2687,0.043,-0.059925000000000006
Evgeni Malkin 2018,Evgeni Malkin,2018,C,31.171,75,195,60.0,69.0,57.0,62,78,0.0353,0.0754,0.2687,0.043,0.0703,-0.0353
Evgeni Malkin 2019,Evgeni Malkin,2019,C,32.171,75,195,69.0,57.0,62.0,78,68,0.0754,0.2687,0.043,0.0703,0.0397,-0.07465
Evgeni Malkin 2020,Evgeni Malkin,2020,C,33.17,75,195,57.0,62.0,78.0,68,64,0.2687,0.043,0.0703,0.0397,0.0667,-0.038724999999999996
Evgeni Malkin 2021,Evgeni Malkin,2021,C,34.172,75,195,62.0,78.0,68.0,64,48,0.043,0.0703,0.0397,0.0667,0.0328,-0.022125
Evgeni Malkin 2022,Evgeni Malkin,2022,C,35.171,75,195,78.0,68.0,64.0,48,41,0.0703,0.0397,0.0667,0.0328,0.0093,-0.043075
Evgeni Malkin 2023,Evgeni Malkin,2023,C,36.171,75,195,68.0,64.0,48.0,41,82,0.0397,0.0667,0.0328,0.0093,0.0138,-0.023325
Blake Wheeler 2011,Blake Wheeler,2011,R,24.086,77,220,,,81.0,82,81,,,1.1963,1.2014,1.3533,0.15444999999999998
Blake Wheeler 2012,Blake Wheeler,2012,R,25.085,77,220,,81.0,82.0,81,80,,1.1963,1.2014,1.3533,0.1873,-1.0630333333333333
Blake Wheeler 2013,Blake Wheeler,2013,R,26.087,77,220,81.0,82.0,81.0,80,82,1.1963,1.2014,1.3533,0.1873,0.3615,-0.623075
Blake Wheeler 2014,Blake Wheeler,2014,R,27.086,77,220,82.0,81.0,80.0,82,82,1.2014,1.3533,0.1873,0.3615,0.8657,0.08982500000000004
Blake Wheeler 2015,Blake Wheeler,2015,R,28.086,77,220,81.0,80.0,82.0,82,79,1.3533,0.1873,0.3615,0.8657,1.7734,1.0814500000000002
Blake Wheeler 2016,Blake Wheeler,2016,R,29.085,77,220,80.0,82.0,82.0,79,82,0.1873,0.3615,0.8657,1.7734,1.3061,0.509125
Blake Wheeler 2017,Blake Wheeler,2017,R,30.087,77,220,82.0,82.0,79.0,82,82,0.3615,0.8657,1.7734,1.3061,1.4004,0.32372500000000004
Blake Wheeler 2018,Blake Wheeler,2018,R,31.086,77,220,82.0,79.0,82.0,82,81,0.8657,1.7734,1.3061,1.4004,1.2753,-0.06109999999999993
Blake Wheeler 2019,Blake Wheeler,2019,R,32.086,77,220,79.0,82.0,82.0,81,82,1.7734,1.3061,1.4004,1.2753,1.1407,-0.29810000000000003
Blake Wheeler 2020,Blake Wheeler,2020,R,33.085,77,220,82.0,82.0,81.0,82,83,1.3061,1.4004,1.2753,1.1407,0.6735,-0.6071250000000001
Blake Wheeler 2021,Blake Wheeler,2021,R,34.087,77,220,82.0,81.0,82.0,83,73,1.4004,1.2753,1.1407,0.6735,0.0803,-1.042175
Blake Wheeler 2022,Blake Wheeler,2022,R,35.087,77,220,81.0,82.0,83.0,73,65,1.2753,1.1407,0.6735,0.0803,0.3154,-0.47705
Blake Wheeler 2023,Blake Wheeler,2023,R,36.086,77,220,82.0,83.0,73.0,65,72,1.1407,0.6735,0.0803,0.3154,0.4269,-0.12557500000000005
David Krejci 2010,David Krejci,2010,C,23.428,72,192,,,56.0,82,79,,,0.3113,1.7823,1.508,0.46120000000000005
David Krejci 2011,David Krejci,2011,C,24.428,72,192,,56.0,82.0,79,75,,0.3113,1.7823,1.508,1.2422,0.04166666666666652
David Krejci 2012,David Krejci,2012,C,25.427,72,192,56.0,82.0,79.0,75,79,0.3113,1.7823,1.508,1.2422,0.7331,-0.47785
David Krejci 2013,David Krejci,2013,C,26.429,72,192,82.0,79.0,75.0,79,80,1.7823,1.508,1.2422,0.7331,0.3181,-0.9983
David Krejci 2014,David Krejci,2014,C,27.429,72,192,79.0,75.0,79.0,80,80,1.508,1.2422,0.7331,0.3181,0.6471,-0.30325
David Krejci 2015,David Krejci,2015,C,28.428,72,192,75.0,79.0,80.0,80,47,1.2422,0.7331,0.3181,0.6471,0.5809,-0.15422500000000006
David Krejci 2016,David Krejci,2016,C,29.427,72,192,79.0,80.0,80.0,47,72,0.7331,0.3181,0.6471,0.5809,1.5137,0.9439000000000001
David Krejci 2017,David Krejci,2017,C,30.429,72,192,80.0,80.0,47.0,72,82,0.3181,0.6471,0.5809,1.5137,0.4866,-0.27835000000000004
David Krejci 2018,David Krejci,2018,C,31.429,72,192,80.0,47.0,72.0,82,64,0.6471,0.5809,1.5137,0.4866,0.249,-0.558075
David Krejci 2019,David Krejci,2019,C,32.428,72,192,47.0,72.0,82.0,64,81,0.5809,1.5137,0.4866,0.249,0.1702,-0.53735
David Krejci 2020,David Krejci,2020,C,33.427,72,192,72.0,82.0,64.0,81,71,1.5137,0.4866,0.249,0.1702,0.0831,-0.5217750000000001
David Krejci 2021,David Krejci,2021,C,34.429,72,192,82.0,64.0,81.0,71,74,0.4866,0.249,0.1702,0.0831,0.068,-0.179225
Paul Stastny 2010,Paul Stastny,2010,C,23.762,72,193,,,66.0,45,81,,,2.0712,2.3044,1.6288,-0.5590000000000002
Paul Stastny 2011,Paul Stastny,2011,C,24.762,72,193,,66.0,45.0,81,74,,2.0712,2.3044,1.6288,1.0345,-0.9669666666666665
Paul Stastny 2012,Paul Stastny,2012,C,25.761,72,193,66.0,45.0,81.0,74,79,2.0712,2.3044,1.6288,1.0345,0.6308,-1.128925
Paul Stastny 2013,Paul Stastny,2013,C,26.763,72,193,45.0,81.0,74.0,79,68,2.3044,1.6288,1.0345,0.6308,2.0942,0.6945749999999999
Paul Stastny 2014,Paul Stastny,2014,C,27.763,72,193,81.0,74.0,79.0,68,71,1.6288,1.0345,0.6308,2.0942,0.6108,-0.736275
Paul Stastny 2015,Paul Stastny,2015,C,28.762,72,193,74.0,79.0,68.0,71,74,1.0345,0.6308,2.0942,0.6108,0.9095,-0.1830750000000001
Paul Stastny 2016,Paul Stastny,2016,C,29.761,72,193,79.0,68.0,71.0,74,64,0.6308,2.0942,0.6108,0.9095,1.3875,0.3261749999999999
Paul Stastny 2017,Paul Stastny,2017,C,30.763,72,193,68.0,71.0,74.0,64,66,2.0942,0.6108,0.9095,1.3875,1.6301,0.37960000000000016
Paul Stastny 2018,Paul Stastny,2018,C,31.763,72,193,71.0,74.0,64.0,66,82,0.6108,0.9095,1.3875,1.6301,0.9907,-0.1437750000000001
Paul Stastny 2019,Paul Stastny,2019,C,32.762,72,193,74.0,64.0,66.0,82,50,0.9095,1.3875,1.6301,0.9907,1.0953,-0.13415
Paul Stastny 2020,Paul Stastny,2020,C,33.761,72,193,64.0,66.0,82.0,50,83,1.3875,1.6301,0.9907,1.0953,1.1122,-0.16369999999999996
Paul Stastny 2021,Paul Stastny,2021,C,34.763,72,193,66.0,82.0,50.0,83,82,1.6301,0.9907,1.0953,1.1122,0.0327,-1.1743750000000002
Paul Stastny 2022,Paul Stastny,2022,C,35.763,72,193,82.0,50.0,83.0,82,71,0.9907,1.0953,1.1122,0.0327,1.3399,0.5321750000000001
Paul Stastny 2023,Paul Stastny,2023,C,36.762,72,193,50.0,83.0,82.0,71,73,1.0953,1.1122,0.0327,1.3399,0.0525,-0.8425250000000001
Sidney Crosby 2010,Sidney Crosby,2010,C,22.153,71,200,,,53.0,77,81,,,0.7006,0.9576,0.9198,0.0907
Sidney Crosby 2011,Sidney Crosby,2011,C,23.152,71,200,,53.0,77.0,81,41,,0.7006,0.9576,0.9198,0.4793,-0.3800333333333333
Sidney Crosby 2015,Sidney Crosby,2015,C,27.152,71,200,41.0,22.0,61.0,80,77,0.4793,0.1288,0.7125,0.5173,0.3437,-0.11577500000000002
Sidney Crosby 2016,Sidney Crosby,2016,C,28.151,71,200,22.0,61.0,80.0,77,80,0.1288,0.7125,0.5173,0.3437,0.3983,-0.027274999999999994
Sidney Crosby 2017,Sidney Crosby,2017,C,29.153,71,200,61.0,80.0,77.0,80,75,0.7125,0.5173,0.3437,0.3983,0.1291,-0.36385
Sidney Crosby 2018,Sidney Crosby,2018,C,30.153,71,200,80.0,77.0,80.0,75,82,0.5173,0.3437,0.3983,0.1291,0.2577,-0.08939999999999998
Sidney Crosby 2019,Sidney Crosby,2019,C,31.152,71,200,77.0,80.0,75.0,82,79,0.3437,0.3983,0.1291,0.2577,0.5684,0.2862
Sidney Crosby 2020,Sidney Crosby,2020,C,32.151,71,200,80.0,75.0,82.0,79,48,0.3983,0.1291,0.2577,0.5684,0.3093,-0.029074999999999962
Sidney Crosby 2021,Sidney Crosby,2021,C,33.154,71,200,75.0,82.0,79.0,48,80,0.1291,0.2577,0.5684,0.3093,0.1412,-0.174925
Sidney Crosby 2022,Sidney Crosby,2022,C,34.153,71,200,82.0,79.0,48.0,80,69,0.2577,0.5684,0.3093,0.1412,0.1242,-0.19494999999999998
Sidney Crosby 2023,Sidney Crosby,2023,C,35.152,71,200,79.0,48.0,80.0,69,82,0.5684,0.3093,0.1412,0.1242,0.0577,-0.228075
Anze Kopitar 2010,Anze Kopitar,2010,C,22.106,75,225,,,82.0,82,82,,,1.1557,1.4992,1.624,0.2965500000000001
Anze Kopitar 2011,Anze Kopitar,2011,C,23.105,75,225,,82.0,82.0,82,75,,1.1557,1.4992,1.624,2.0756,0.6493
Anze Kopitar 2012,Anze Kopitar,2012,C,24.105,75,225,82.0,82.0,82.0,75,82,1.1557,1.4992,1.624,2.0756,2.248,0.6593750000000003
Anze Kopitar 2013,Anze Kopitar,2013,C,25.107,75,225,82.0,82.0,75.0,82,80,1.4992,1.624,2.0756,2.248,1.4926,-0.3691000000000002
Anze Kopitar 2014,Anze Kopitar,2014,C,26.106,75,225,82.0,75.0,82.0,80,82,1.624,2.0756,2.248,1.4926,2.0205,0.16044999999999998
Anze Kopitar 2015,Anze Kopitar,2015,C,27.105,75,225,75.0,82.0,80.0,82,79,2.0756,2.248,1.4926,2.0205,1.6833,-0.2758750000000001
Anze Kopitar 2016,Anze Kopitar,2016,C,28.105,75,225,82.0,80.0,82.0,79,81,2.248,1.4926,2.0205,1.6833,2.1545,0.2934000000000001
Anze Kopitar 2017,Anze Kopitar,2017,C,29.107,75,225,80.0,82.0,79.0,81,76,1.4926,2.0205,1.6833,2.1545,1.9064,0.06867500000000004
Anze Kopitar 2018,Anze Kopitar,2018,C,30.106,75,225,82.0,79.0,81.0,76,82,2.0205,1.6833,2.1545,1.9064,2.1754,0.23422499999999968
Anze Kopitar 2019,Anze Kopitar,2019,C,31.106,75,225,79.0,81.0,76.0,82,81,1.6833,2.1545,1.9064,2.1754,1.9658,-0.014100000000000001
Anze Kopitar 2020,Anze Kopitar,2020,C,32.105,75,225,81.0,76.0,82.0,81,82,2.1545,1.9064,2.1754,1.9658,1.7724,-0.27812499999999996
Anze Kopitar 2021,Anze Kopitar,2021,C,33.107,75,225,76.0,82.0,81.0,82,82,1.9064,2.1754,1.9658,1.7724,2.0911,0.1360999999999999
Anze Kopitar 2022,Anze Kopitar,2022,C,34.106,75,225,82.0,81.0,82.0,82,81,2.1754,1.9658,1.7724,2.0911,1.7064,-0.294775
Anze Kopitar 2023,Anze Kopitar,2023,C,35.106,75,225,81.0,82.0,82.0,81,82,1.9658,1.7724,2.0911,1.7064,1.8722,-0.011724999999999985
T.J. Oshie 2011,T.J. Oshie,2011,R,23.773,72,187,,,57.0,76,49,,,2.1541,2.3761,1.9214,-0.34370000000000034
T.J. Oshie 2012,T.J. Oshie,2012,R,24.773,72,187,,57.0,76.0,49,80,,2.1541,2.3761,1.9214,1.8054,-0.34513333333333374
T.J. Oshie 2013,T.J. Oshie,2013,R,25.775,72,187,57.0,76.0,49.0,80,51,2.1541,2.3761,1.9214,1.8054,1.6378,-0.42645
T.J. Oshie 2014,T.J. Oshie,2014,R,26.774,72,187,76.0,49.0,80.0,51,79,2.3761,1.9214,1.8054,1.6378,1.773,-0.16217500000000018
T.J. Oshie 2015,T.J. Oshie,2015,R,27.774,72,187,49.0,80.0,51.0,79,72,1.9214,1.8054,1.6378,1.773,1.3306,-0.4538
