,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y5 dPP ATOI
Ryan Suter 2011,Ryan Suter,2011,D,25.693,73,205,,76.0,82.0,82,70,,3.4178,3.8835,3.2035,3.4588,-0.04280000000000017
Ryan Suter 2012,Ryan Suter,2012,D,26.692,73,205,76.0,82.0,82.0,70,79,3.4178,3.8835,3.2035,3.4588,3.6932,0.20230000000000015
Ryan Suter 2013,Ryan Suter,2013,D,27.694,73,205,82.0,82.0,70.0,79,82,3.8835,3.2035,3.4588,3.6932,3.7812,0.22144999999999992
Ryan Suter 2014,Ryan Suter,2014,D,28.693,73,205,82.0,70.0,79.0,82,82,3.2035,3.4588,3.6932,3.7812,3.7807,0.24652499999999966
Ryan Suter 2015,Ryan Suter,2015,D,29.693,73,205,70.0,79.0,82.0,82,77,3.4588,3.6932,3.7812,3.7807,3.8318,0.1533249999999997
Ryan Suter 2016,Ryan Suter,2016,D,30.692,73,205,79.0,82.0,82.0,77,82,3.6932,3.7812,3.7807,3.8318,3.6827,-0.08902499999999991
Ryan Suter 2017,Ryan Suter,2017,D,31.694,73,205,82.0,82.0,77.0,82,82,3.7812,3.7807,3.8318,3.6827,2.7579,-1.0112
Ryan Suter 2018,Ryan Suter,2018,D,32.694,73,205,82.0,77.0,82.0,82,78,3.7807,3.8318,3.6827,2.7579,3.0904,-0.42287500000000033
Ryan Suter 2019,Ryan Suter,2019,D,33.693,73,205,77.0,82.0,82.0,78,82,3.8318,3.6827,2.7579,3.0904,3.0518,-0.28889999999999993
Ryan Suter 2020,Ryan Suter,2020,D,34.692,73,205,82.0,82.0,78.0,82,81,3.6827,2.7579,3.0904,3.0518,2.9256,-0.22009999999999952
Ryan Suter 2021,Ryan Suter,2021,D,35.694,73,205,82.0,78.0,82.0,81,82,2.7579,3.0904,3.0518,2.9256,2.3595,-0.5969249999999997
Ryan Suter 2022,Ryan Suter,2022,D,36.694,73,205,78.0,82.0,81.0,82,82,3.0904,3.0518,2.9256,2.3595,2.1037,-0.7531250000000003
Ryan Suter 2023,Ryan Suter,2023,D,37.693,73,205,82.0,81.0,82.0,82,82,3.0518,2.9256,2.3595,2.1037,1.6309,-0.97925
Brent Burns 2011,Brent Burns,2011,D,25.564,77,230,,82.0,59.0,47,80,,3.1691,3.209,3.1521,3.039,-0.13773333333333326
Brent Burns 2012,Brent Burns,2012,D,26.563,77,230,82.0,59.0,47.0,80,81,3.1691,3.209,3.1521,3.039,2.7469,-0.3954
Brent Burns 2013,Brent Burns,2013,D,27.565,77,230,59.0,47.0,80.0,81,51,3.209,3.1521,3.039,2.7469,1.9089,-1.12785
Brent Burns 2014,Brent Burns,2014,D,28.565,77,230,47.0,80.0,81.0,51,69,3.1521,3.039,2.7469,1.9089,2.2106,-0.501125
