,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y1 EV G/60,Y2 EV G/60,Y3 EV G/60,Y4 EV G/60,Y5 EV G/60,Y5 dEV G/60,Y1 EV ixG/60,Y2 EV ixG/60,Y3 EV ixG/60,Y4 EV ixG/60,Y5 EV ixG/60
Steven Stamkos 2021,Steven Stamkos,2021,C,30.648,72,182,17.0,78.0,82.0,67,55,13.8422,14.9214,14.075,14.5371,13.9053,1.5299,0.6186,1.2477,1.3758,0.7949,-0.3981,0.9636,0.8812,0.914,1.2171,0.9259
Steven Stamkos 2022,Steven Stamkos,2022,C,31.648,72,182,78.0,82.0,67.0,55,81,14.9214,14.075,14.5371,13.9053,14.3385,0.6186,1.2477,1.3758,0.7949,1.3432,0.33394999999999997,0.8812,0.914,1.2171,0.9259,0.9468
Steven Stamkos 2023,Steven Stamkos,2023,C,32.647,72,182,82.0,67.0,55.0,81,81,14.075,14.5371,13.9053,14.3385,14.7167,1.2477,1.3758,0.7949,1.3432,1.0067,-0.18369999999999997,0.914,1.2171,0.9259,0.9468,1.2784
Josh Bailey 2011,Josh Bailey,2011,R,20.997,73,200,,,68.0,73,70,,,12.2272,12.4678,13.0707,,,0.2887,0.7911,0.3935,-0.14640000000000003,,,0.4414,0.6587,0.5752
Josh Bailey 2012,Josh Bailey,2012,R,21.996,73,200,,68.0,73.0,70,80,,12.2272,12.4678,13.0707,12.4369,,0.2887,0.7911,0.3935,0.5427,0.051599999999999924,,0.4414,0.6587,0.5752,0.7889
Josh Bailey 2013,Josh Bailey,2013,R,22.999,73,200,68.0,73.0,70.0,80,64,12.2272,12.4678,13.0707,12.4369,14.1364,0.2887,0.7911,0.3935,0.5427,1.2286,0.7245999999999999,0.4414,0.6587,0.5752,0.7889,0.9769
Josh Bailey 2014,Josh Bailey,2014,R,23.998,73,200,73.0,70.0,80.0,64,77,12.4678,13.0707,12.4369,14.1364,13.5591,0.7911,0.3935,0.5427,1.2286,0.3448,-0.39417499999999994,0.6587,0.5752,0.7889,0.9769,0.6465
Josh Bailey 2015,Josh Bailey,2015,R,24.997,73,200,70.0,80.0,64.0,77,70,13.0707,12.4369,14.1364,13.5591,14.9664,0.3935,0.5427,1.2286,0.3448,0.7445,0.11710000000000009,0.5752,0.7889,0.9769,0.6465,0.8598
Josh Bailey 2016,Josh Bailey,2016,R,25.997,73,200,80.0,64.0,77.0,70,81,12.4369,14.1364,13.5591,14.9664,13.8895,0.5427,1.2286,0.3448,0.7445,0.4266,-0.28855,0.7889,0.9769,0.6465,0.8598,0.7169
Josh Bailey 2017,Josh Bailey,2017,R,26.999,73,200,64.0,77.0,70.0,81,82,14.1364,13.5591,14.9664,13.8895,15.1557,1.2286,0.3448,0.7445,0.4266,0.4828,-0.20332499999999998,0.9769,0.6465,0.8598,0.7169,0.7657
Josh Bailey 2018,Josh Bailey,2018,R,27.998,73,200,77.0,70.0,81.0,82,76,13.5591,14.9664,13.8895,15.1557,14.6118,0.3448,0.7445,0.4266,0.4828,0.7024,0.20272500000000004,0.6465,0.8598,0.7169,0.7657,0.6543
Josh Bailey 2019,Josh Bailey,2019,R,28.997,73,200,70.0,81.0,82.0,76,82,14.9664,13.8895,15.1557,14.6118,14.3205,0.7445,0.4266,0.4828,0.7024,0.6642,0.075125,0.8598,0.7169,0.7657,0.6543,0.662
Josh Bailey 2020,Josh Bailey,2020,R,29.997,73,200,81.0,82.0,76.0,82,80,13.8895,15.1557,14.6118,14.3205,13.574,0.4266,0.4828,0.7024,0.6642,0.715,0.14600000000000002,0.7169,0.7657,0.6543,0.662,0.7038
Josh Bailey 2021,Josh Bailey,2021,R,30.999,73,200,82.0,76.0,82.0,80,79,15.1557,14.6118,14.3205,13.574,14.5269,0.4828,0.7024,0.6642,0.715,0.6119,-0.029200000000000004,0.7657,0.6543,0.662,0.7038,0.445
Josh Bailey 2022,Josh Bailey,2022,R,31.998,73,200,76.0,82.0,80.0,79,74,14.6118,14.3205,13.574,14.5269,14.175,0.7024,0.6642,0.715,0.6119,0.6864,0.013024999999999953,0.6543,0.662,0.7038,0.445,0.548
Josh Bailey 2023,Josh Bailey,2023,R,32.997,73,200,82.0,80.0,79.0,74,64,14.3205,13.574,14.5269,14.175,12.4693,0.6642,0.715,0.6119,0.6864,0.6015,-0.06787500000000002,0.662,0.7038,0.445,0.548,0.6744
Jordan Eberle 2013,Jordan Eberle,2013,R,22.383,71,190,,,69.0,78,82,,,14.4348,14.3944,15.5872,,,0.7229,1.2825,1.0425,0.03980000000000006,,,0.7777,0.7921,0.9951
Jordan Eberle 2014,Jordan Eberle,2014,R,23.382,71,190,,69.0,78.0,82,80,,14.4348,14.3944,15.5872,15.8025,,0.7229,1.2825,1.0425,0.9492,-0.06676666666666664,,0.7777,0.7921,0.9951,0.8747
Jordan Eberle 2015,Jordan Eberle,2015,R,24.381,71,190,69.0,78.0,82.0,80,81,14.4348,14.3944,15.5872,15.8025,16.3494,0.7229,1.2825,1.0425,0.9492,0.8155,-0.18377500000000002,0.7777,0.7921,0.9951,0.8747,0.7013
Jordan Eberle 2016,Jordan Eberle,2016,R,25.381,71,190,78.0,82.0,80.0,81,69,14.3944,15.5872,15.8025,16.3494,15.1645,1.2825,1.0425,0.9492,0.8155,1.0322,0.00977500000000009,0.7921,0.9951,0.8747,0.7013,0.9202
Jordan Eberle 2017,Jordan Eberle,2017,R,26.383,71,190,82.0,80.0,81.0,69,82,15.5872,15.8025,16.3494,15.1645,14.5203,1.0425,0.9492,0.8155,1.0322,0.8063,-0.15354999999999996,0.9951,0.8747,0.7013,0.9202,0.9337
Jordan Eberle 2018,Jordan Eberle,2018,R,27.382,71,190,80.0,81.0,69.0,82,81,15.8025,16.3494,15.1645,14.5203,14.0749,0.9492,0.8155,1.0322,0.8063,1.1578,0.2569999999999999,0.8747,0.7013,0.9202,0.9337,1.0425
Jordan Eberle 2019,Jordan Eberle,2019,R,28.381,71,190,81.0,69.0,82.0,81,78,16.3494,15.1645,14.5203,14.0749,13.6513,0.8155,1.0322,0.8063,1.1578,0.6762,-0.27674999999999994,0.7013,0.9202,0.9337,1.0425,0.7669
Jordan Eberle 2020,Jordan Eberle,2020,R,29.381,71,190,69.0,82.0,81.0,78,68,15.1645,14.5203,14.0749,13.6513,15.1187,1.0322,0.8063,1.1578,0.6762,0.8211,-0.09702499999999992,0.9202,0.9337,1.0425,0.7669,0.9031
Jordan Eberle 2021,Jordan Eberle,2021,R,30.383,71,190,82.0,81.0,78.0,68,80,14.5203,14.0749,13.6513,15.1187,14.363,0.8063,1.1578,0.6762,0.8211,1.1393,0.2739499999999999,0.9337,1.0425,0.7669,0.9031,0.8934
Jordan Eberle 2022,Jordan Eberle,2022,R,31.382,71,190,81.0,78.0,68.0,80,79,14.0749,13.6513,15.1187,14.363,15.0911,1.1578,0.6762,0.8211,1.1393,0.8556,-0.09299999999999997,1.0425,0.7669,0.9031,0.8934,0.7701
Jordan Eberle 2023,Jordan Eberle,2023,R,32.381,71,190,78.0,68.0,80.0,79,82,13.6513,15.1187,14.363,15.0911,14.1563,0.6762,0.8211,1.1393,0.8556,0.8787,0.005650000000000044,0.7669,0.9031,0.8934,0.7701,0.8898
Derek Stepan 2013,Derek Stepan,2013,C,22.289,71,196,,,82.0,82,82,,,13.6327,14.5309,16.0014,,,0.9661,0.6546,1.0155,0.20515000000000017,,,0.6065,0.4745,0.5945
Derek Stepan 2014,Derek Stepan,2014,C,23.289,71,196,,82.0,82.0,82,82,,13.6327,14.5309,16.0014,14.1472,,0.9661,0.6546,1.0155,0.5689,-0.3098333333333334,,0.6065,0.4745,0.5945,0.4725
Derek Stepan 2015,Derek Stepan,2015,C,24.288,71,196,82.0,82.0,82.0,82,68,13.6327,14.5309,16.0014,14.1472,13.9196,0.9661,0.6546,1.0155,0.5689,0.6973,-0.10397499999999993,0.6065,0.4745,0.5945,0.4725,0.4295
Derek Stepan 2016,Derek Stepan,2016,C,25.287,71,196,82.0,82.0,82.0,68,72,14.5309,16.0014,14.1472,13.9196,13.6556,0.6546,1.0155,0.5689,0.6973,0.8544,0.12032500000000002,0.4745,0.5945,0.4725,0.4295,0.5877
Derek Stepan 2017,Derek Stepan,2017,C,26.29,71,196,82.0,82.0,68.0,72,81,16.0014,14.1472,13.9196,13.6556,14.7021,1.0155,0.5689,0.6973,0.8544,0.6046,-0.17942499999999995,0.5945,0.4725,0.4295,0.5877,0.4505
Derek Stepan 2018,Derek Stepan,2018,C,27.289,71,196,82.0,68.0,72.0,81,82,14.1472,13.9196,13.6556,14.7021,15.4665,0.5689,0.6973,0.8544,0.6046,0.4258,-0.2555,0.4725,0.4295,0.5877,0.4505,0.4199
Derek Stepan 2019,Derek Stepan,2019,C,28.288,71,196,68.0,72.0,81.0,82,72,13.9196,13.6556,14.7021,15.4665,14.5764,0.6973,0.8544,0.6046,0.4258,0.6289,-0.016625,0.4295,0.5877,0.4505,0.4199,0.5424
Derek Stepan 2020,Derek Stepan,2020,C,29.288,71,196,72.0,81.0,82.0,72,82,13.6556,14.7021,15.4665,14.5764,13.9574,0.8544,0.6046,0.4258,0.6289,0.4913,-0.137125,0.5877,0.4505,0.4199,0.5424,0.4235
Adam Henrique 2014,Adam Henrique,2014,C,23.65,72,195,,1.0,74.0,71,77,,12.6,14.6887,13.8325,13.7221,,0.0,0.6624,0.6197,0.8518,0.42443333333333333,,0.0,0.6452,0.8476,0.6934
Adam Henrique 2015,Adam Henrique,2015,C,24.65,72,195,1.0,74.0,71.0,77,75,12.6,14.6887,13.8325,13.7221,14.1358,0.0,0.6624,0.6197,0.8518,0.6225,0.08902500000000002,0.0,0.6452,0.8476,0.6934,0.6667
Adam Henrique 2016,Adam Henrique,2016,C,25.649,72,195,74.0,71.0,77.0,75,80,14.6887,13.8325,13.7221,14.1358,14.5571,0.6624,0.6197,0.8518,0.6225,1.0819,0.39280000000000004,0.6452,0.8476,0.6934,0.6667,0.7936
Adam Henrique 2017,Adam Henrique,2017,C,26.651,72,195,71.0,77.0,75.0,80,82,13.8325,13.7221,14.1358,14.5571,13.4561,0.6197,0.8518,0.6225,1.0819,0.6525,-0.14147500000000013,0.8476,0.6934,0.6667,0.7936,0.6753
Adam Henrique 2018,Adam Henrique,2018,C,27.65,72,195,77.0,75.0,80.0,82,81,13.7221,14.1358,14.5571,13.4561,13.6903,0.8518,0.6225,1.0819,0.6525,0.9198,0.11762499999999987,0.6934,0.6667,0.7936,0.6753,0.9032
Adam Henrique 2019,Adam Henrique,2019,C,28.65,72,195,75.0,80.0,82.0,81,82,14.1358,14.5571,13.4561,13.6903,13.0305,0.6225,1.0819,0.6525,0.9198,0.5615,-0.257675,0.6667,0.7936,0.6753,0.9032,0.7352
Adam Henrique 2020,Adam Henrique,2020,C,29.649,72,195,80.0,82.0,81.0,82,83,14.5571,13.4561,13.6903,13.0305,13.8211,1.0819,0.6525,0.9198,0.5615,1.2229,0.4189750000000001,0.7936,0.6753,0.9032,0.7352,1.0419
Adam Henrique 2021,Adam Henrique,2021,C,30.651,72,195,82.0,81.0,82.0,83,65,13.4561,13.6903,13.0305,13.8211,13.3048,0.6525,0.9198,0.5615,1.2229,1.1024,0.26322500000000004,0.6753,0.9032,0.7352,1.0419,0.6898
Adam Henrique 2022,Adam Henrique,2022,C,31.65,72,195,81.0,82.0,83.0,65,58,13.6903,13.0305,13.8211,13.3048,15.1408,0.9198,0.5615,1.2229,1.1024,0.8882,-0.06345,0.9032,0.7352,1.0419,0.6898,1.1959
Adam Henrique 2023,Adam Henrique,2023,C,32.65,72,195,82.0,83.0,65.0,58,62,13.0305,13.8211,13.3048,15.1408,13.1207,0.5615,1.2229,1.1024,0.8882,1.3276,0.3838499999999998,0.7352,1.0419,0.6898,1.1959,1.0958
Gustav Nyquist 2016,Gustav Nyquist,2016,"C, L",26.081,71,180,18.0,37.0,57.0,82,82,10.3269,10.8818,13.5772,13.6244,12.375,0.3228,0.7519,1.7056,0.6982,0.5913,-0.27832499999999993,0.5903,1.1662,0.868,0.6351,0.629
Gustav Nyquist 2017,Gustav Nyquist,2017,"C, L",27.084,71,180,37.0,57.0,82.0,82,76,10.8818,13.5772,13.6244,12.375,14.5868,0.7519,1.7056,0.6982,0.5913,0.5412,-0.39554999999999996,1.1662,0.868,0.6351,0.629,0.75
Gustav Nyquist 2018,Gustav Nyquist,2018,"C, L",28.083,71,180,57.0,82.0,82.0,76,82,13.5772,13.6244,12.375,14.5868,15.3787,1.7056,0.6982,0.5913,0.5412,0.8564,-0.027675000000000005,0.868,0.6351,0.629,0.75,0.7826
Gustav Nyquist 2019,Gustav Nyquist,2019,"C, L",29.082,71,180,82.0,82.0,76.0,82,81,13.6244,12.375,14.5868,15.3787,15.3543,0.6982,0.5913,0.5412,0.8564,0.9649,0.29312499999999997,0.6351,0.629,0.75,0.7826,0.7636
Gustav Nyquist 2020,Gustav Nyquist,2020,"C, L",30.082,71,180,82.0,76.0,82.0,81,82,12.375,14.5868,15.3787,15.3543,14.7679,0.5913,0.5412,0.8564,0.9649,0.5804,-0.15805000000000002,0.629,0.75,0.7826,0.7636,0.6917
Derek Grant 2020,Derek Grant,2020,C,29.449,75,210,15.0,46.0,66.0,56,66,9.6422,7.1569,9.6611,9.9512,10.6881,0.0,0.0,0.8469,0.4307,1.0025,0.6830999999999999,0.8691,0.5609,0.5607,0.6023,0.8954
Derek Grant 2021,Derek Grant,2021,C,30.451,75,210,46.0,66.0,56.0,66,67,7.1569,9.6611,9.9512,10.6881,11.6424,0.0,0.8469,0.4307,1.0025,0.5602,-0.009824999999999973,0.5609,0.5607,0.6023,0.8954,0.5596
Derek Grant 2022,Derek Grant,2022,C,31.451,75,210,66.0,56.0,66.0,67,71,9.6611,9.9512,10.6881,11.6424,11.4343,0.8469,0.4307,1.0025,0.5602,0.8869,0.176825,0.5607,0.6023,0.8954,0.5596,0.7563
Matt Martin 2013,Matt Martin,2013,L,23.401,75,220,,5.0,68.0,80,82,,9.1833,9.95,10.5025,10.034,,0.0,0.4434,0.4999,0.3737,0.059266666666666634,,0.2967,0.3785,0.5977,0.5609
Matt Martin 2014,Matt Martin,2014,L,24.4,75,220,5.0,68.0,80.0,82,79,9.1833,9.95,10.5025,10.034,10.8783,0.0,0.4434,0.4999,0.3737,0.5585,0.22925,0.2967,0.3785,0.5977,0.5609,0.515
Matt Martin 2015,Matt Martin,2015,L,25.4,75,220,68.0,80.0,82.0,79,78,9.95,10.5025,10.034,10.8783,11.0656,0.4434,0.4999,0.3737,0.5585,0.5561,0.08722500000000005,0.3785,0.5977,0.5609,0.515,0.5677
Matt Martin 2016,Matt Martin,2016,L,26.399,75,220,80.0,82.0,79.0,78,80,10.5025,10.034,10.8783,11.0656,10.4198,0.4999,0.3737,0.5585,0.5561,0.7198,0.22275,0.5977,0.5609,0.515,0.5677,0.4824
Matt Martin 2017,Matt Martin,2017,L,27.401,75,220,82.0,79.0,78.0,80,82,10.034,10.8783,11.0656,10.4198,8.5437,0.3737,0.5585,0.5561,0.7198,0.4282,-0.12382499999999996,0.5609,0.515,0.5677,0.4824,0.4057
Matt Martin 2018,Matt Martin,2018,L,28.401,75,220,79.0,78.0,80.0,82,50,10.8783,11.0656,10.4198,8.5437,7.968,0.5585,0.5561,0.7198,0.4282,0.4518,-0.11385,0.515,0.5677,0.4824,0.4057,0.4623
Matt Martin 2019,Matt Martin,2019,L,29.4,75,220,78.0,80.0,82.0,50,67,11.0656,10.4198,8.5437,7.968,11.1445,0.5561,0.7198,0.4282,0.4518,0.4821,-0.05687500000000001,0.5677,0.4824,0.4057,0.4623,0.3945
Matt Martin 2020,Matt Martin,2020,L,30.399,75,220,80.0,82.0,50.0,67,64,10.4198,8.5437,7.968,11.1445,10.1145,0.7198,0.4282,0.4518,0.4821,0.5393,0.01882499999999998,0.4824,0.4057,0.4623,0.3945,0.4628
Matt Martin 2021,Matt Martin,2021,L,31.401,75,220,82.0,50.0,67.0,64,79,8.5437,7.968,11.1445,10.1145,10.4522,0.4282,0.4518,0.4821,0.5393,0.5315,0.05614999999999998,0.4057,0.4623,0.3945,0.4628,0.4436
Matt Martin 2022,Matt Martin,2022,L,32.401,75,220,50.0,67.0,64.0,79,71,7.968,11.1445,10.1145,10.4522,11.2796,0.4518,0.4821,0.5393,0.5315,0.2248,-0.2763749999999999,0.4623,0.3945,0.4628,0.4436,0.4317
Matt Martin 2023,Matt Martin,2023,L,33.4,75,220,67.0,64.0,79.0,71,81,11.1445,10.1145,10.4522,11.2796,10.9872,0.4821,0.5393,0.5315,0.2248,0.4719,0.027475000000000027,0.3945,0.4628,0.4436,0.4317,0.4794
Tyler Johnson 2016,Tyler Johnson,2016,C,25.175,68,185,,23.0,82.0,77,69,,10.7417,14.2437,13.2556,13.806,,1.1969,0.7192,1.2345,0.6928,-0.35740000000000005,,0.4398,0.754,0.9853,0.7931
Tyler Johnson 2017,Tyler Johnson,2017,C,26.177,68,185,23.0,82.0,77.0,69,66,10.7417,14.2437,13.2556,13.806,13.9338,1.1969,0.7192,1.2345,0.6928,0.8482,-0.11265000000000003,0.4398,0.754,0.9853,0.7931,0.6863
Tyler Johnson 2018,Tyler Johnson,2018,C,27.177,68,185,82.0,77.0,69.0,66,81,14.2437,13.2556,13.806,13.9338,13.1903,0.7192,1.2345,0.6928,0.8482,0.8424,-0.03127499999999994,0.754,0.9853,0.7931,0.6863,0.8978
Tyler Johnson 2019,Tyler Johnson,2019,C,28.176,68,185,77.0,69.0,66.0,81,80,13.2556,13.806,13.9338,13.1903,13.8863,1.2345,0.6928,0.8482,0.8424,1.4583,0.553825,0.9853,0.7931,0.6863,0.8978,1.0409
Tyler Johnson 2020,Tyler Johnson,2020,C,29.175,68,185,69.0,66.0,81.0,80,76,13.806,13.9338,13.1903,13.8863,12.4095,0.6928,0.8482,0.8424,1.4583,0.967,0.0065749999999999975,0.7931,0.6863,0.8978,1.0409,0.8109
Tyler Johnson 2021,Tyler Johnson,2021,C,30.177,68,185,66.0,81.0,80.0,76,80,13.9338,13.1903,13.8863,12.4095,12.0118,0.8482,0.8424,1.4583,0.967,0.5449,-0.4840749999999999,0.6863,0.8978,1.0409,0.8109,0.6512
Mike Hoffman 2017,Mike Hoffman,2017,L,26.854,72,190,5.0,25.0,79.0,78,74,12.3167,10.868,12.7481,15.0502,14.3682,0.0,0.4417,1.549,1.0222,0.7336,-0.019625000000000004,1.2324,1.1404,1.3121,0.9532,0.8482
Mike Hoffman 2018,Mike Hoffman,2018,L,27.853,72,190,25.0,79.0,78.0,74,82,10.868,12.7481,15.0502,14.3682,15.2516,0.4417,1.549,1.0222,0.7336,0.6717,-0.2649250000000001,1.1404,1.3121,0.9532,0.8482,0.7335
Mike Hoffman 2019,Mike Hoffman,2019,L,28.852,72,190,79.0,78.0,74.0,82,82,12.7481,15.0502,14.3682,15.2516,14.3764,1.549,1.0222,0.7336,0.6717,0.967,-0.027124999999999955,1.3121,0.9532,0.8482,0.7335,0.8133
Mike Hoffman 2020,Mike Hoffman,2020,L,29.852,72,190,78.0,74.0,82.0,82,81,15.0502,14.3682,15.2516,14.3764,13.0399,1.0222,0.7336,0.6717,0.967,1.2003,0.35167499999999996,0.9532,0.8482,0.7335,0.8133,0.8071
Mike Hoffman 2021,Mike Hoffman,2021,L,30.854,72,190,74.0,82.0,82.0,81,76,14.3682,15.2516,14.3764,13.0399,13.0936,0.7336,0.6717,0.967,1.2003,0.8812,-0.011950000000000016,0.8482,0.7335,0.8133,0.8071,0.5446
Mike Hoffman 2022,Mike Hoffman,2022,L,31.853,72,190,82.0,82.0,81.0,76,67,15.2516,14.3764,13.0399,13.0936,14.2465,0.6717,0.967,1.2003,0.8812,0.6914,-0.23864999999999992,0.7335,0.8133,0.8071,0.5446,0.7403
Mike Hoffman 2023,Mike Hoffman,2023,L,32.852,72,190,82.0,81.0,76.0,67,67,14.3764,13.0399,13.0936,14.2465,13.0555,0.967,1.2003,0.8812,0.6914,0.8917,-0.04327499999999995,0.8133,0.8071,0.5446,0.7403,0.8934
Marcus Johansson 2013,Marcus Johansson,2013,L,21.988,73,203,,,69.0,80,58,,,12.5804,13.9652,13.9657,,,0.6912,0.6982,0.3791,-0.3156000000000001,,,0.5746,0.4442,0.3849
Marcus Johansson 2014,Marcus Johansson,2014,L,22.988,73,203,,69.0,80.0,58,80,,12.5804,13.9652,13.9657,14.1537,,0.6912,0.6982,0.3791,0.106,-0.48350000000000004,,0.5746,0.4442,0.3849,0.3929
Marcus Johansson 2015,Marcus Johansson,2015,L,23.987,73,203,69.0,80.0,58.0,80,82,12.5804,13.9652,13.9657,14.1537,13.4835,0.6912,0.6982,0.3791,0.106,0.9225,0.453875,0.5746,0.4442,0.3849,0.3929,0.6372
Marcus Johansson 2016,Marcus Johansson,2016,L,24.986,73,203,80.0,58.0,80.0,82,74,13.9652,13.9657,14.1537,13.4835,13.8525,0.6982,0.3791,0.106,0.9225,0.6439,0.11745000000000005,0.4442,0.3849,0.3929,0.6372,0.5776
Marcus Johansson 2017,Marcus Johansson,2017,L,25.988,73,203,58.0,80.0,82.0,74,82,13.9657,14.1537,13.4835,13.8525,14.1083,0.3791,0.106,0.9225,0.6439,0.9854,0.4725250000000001,0.3849,0.3929,0.6372,0.5776,0.6473
Marcus Johansson 2021,Marcus Johansson,2021,L,29.989,73,203,82.0,29.0,58.0,70,52,14.1083,13.0046,13.3986,14.3117,12.7787,0.9854,0.6364,0.8493,0.559,0.5217,-0.23582499999999995,0.6473,0.5031,0.7725,0.4257,0.4331
Marcus Johansson 2022,Marcus Johansson,2022,L,30.988,73,203,29.0,58.0,70.0,52,69,13.0046,13.3986,14.3117,12.7787,13.543,0.6364,0.8493,0.559,0.5217,0.3852,-0.2564000000000001,0.5031,0.7725,0.4257,0.4331,0.582
Marcus Johansson 2023,Marcus Johansson,2023,L,31.987,73,203,58.0,70.0,52.0,69,80,13.3986,14.3117,12.7787,13.543,12.9575,0.8493,0.559,0.5217,0.3852,0.6946,0.11580000000000001,0.7725,0.4257,0.4331,0.582,0.5424
Kyle Palmieri 2015,Kyle Palmieri,2015,C,23.664,71,198,10.0,18.0,71.0,71,57,8.6433,10.5324,10.9286,10.5993,12.3795,0.6942,1.2659,1.0458,1.1162,0.7653,-0.26522500000000016,0.4267,0.8677,0.9707,0.8465,0.7451
Kyle Palmieri 2016,Kyle Palmieri,2016,C,24.663,71,198,18.0,71.0,71.0,57,82,10.5324,10.9286,10.5993,12.3795,14.5384,1.2659,1.0458,1.1162,0.7653,0.9563,-0.09199999999999997,0.8677,0.9707,0.8465,0.7451,0.6585
Kyle Palmieri 2017,Kyle Palmieri,2017,C,25.665,71,198,71.0,71.0,57.0,82,80,10.9286,10.5993,12.3795,14.5384,13.7323,1.0458,1.1162,0.7653,0.9563,0.9285,-0.042400000000000104,0.9707,0.8465,0.7451,0.6585,0.6112
Kyle Palmieri 2018,Kyle Palmieri,2018,C,26.665,71,198,71.0,57.0,82.0,80,62,10.5993,12.3795,14.5384,13.7323,13.8134,1.1162,0.7653,0.9563,0.9285,0.9108,-0.030774999999999997,0.8465,0.7451,0.6585,0.6112,0.8176
Kyle Palmieri 2019,Kyle Palmieri,2019,C,27.664,71,198,57.0,82.0,80.0,62,74,12.3795,14.5384,13.7323,13.8134,14.5759,0.7653,0.9563,0.9285,0.9108,0.89,-0.00022500000000003073,0.7451,0.6585,0.6112,0.8176,0.5998
Kyle Palmieri 2020,Kyle Palmieri,2020,C,28.663,71,198,82.0,80.0,62.0,74,76,14.5384,13.7323,13.8134,14.5759,13.6308,0.9563,0.9285,0.9108,0.89,0.9481,0.026700000000000057,0.6585,0.6112,0.8176,0.5998,0.7626
Kyle Palmieri 2021,Kyle Palmieri,2021,C,29.665,71,198,80.0,62.0,74.0,76,74,13.7323,13.8134,14.5759,13.6308,13.6775,0.9285,0.9108,0.89,0.9481,0.6021,-0.31725000000000003,0.6112,0.8176,0.5998,0.7626,0.8326
Kyle Palmieri 2022,Kyle Palmieri,2022,C,30.665,71,198,62.0,74.0,76.0,74,69,13.8134,14.5759,13.6308,13.6775,13.7273,0.9108,0.89,0.9481,0.6021,0.8235,-0.014249999999999985,0.8176,0.5998,0.7626,0.8326,0.9092
Kyle Palmieri 2023,Kyle Palmieri,2023,C,31.664,71,198,74.0,76.0,74.0,69,55,14.5759,13.6308,13.6775,13.7273,14.4976,0.89,0.9481,0.6021,0.8235,0.9782,0.16227499999999995,0.5998,0.7626,0.8326,0.9092,0.7841
Ryan O'Reilly 2012,Ryan O'Reilly,2012,C,20.647,73,207,,,81.0,74,81,,,13.2595,12.9743,15.9691,,,0.3352,0.6249,0.6494,0.16935,,,0.5285,0.6683,0.7069
Ryan O'Reilly 2016,Ryan O'Reilly,2016,C,24.647,73,207,81.0,49.0,80.0,82,71,15.9691,14.9897,15.9925,15.2535,16.3472,0.6494,0.4141,0.891,0.6716,0.6203,-0.03622500000000006,0.7069,0.6388,0.6651,0.7183,0.5559
Ryan O'Reilly 2017,Ryan O'Reilly,2017,C,25.649,73,207,49.0,80.0,82.0,71,72,14.9897,15.9925,15.2535,16.3472,16.2299,0.4141,0.891,0.6716,0.6203,0.5648,-0.08445000000000003,0.6388,0.6651,0.7183,0.5559,0.7337
Ryan O'Reilly 2018,Ryan O'Reilly,2018,C,26.648,73,207,80.0,82.0,71.0,72,81,15.9925,15.2535,16.3472,16.2299,15.6708,0.891,0.6716,0.6203,0.5648,0.4254,-0.261525,0.6651,0.7183,0.5559,0.7337,0.6744
Ryan O'Reilly 2019,Ryan O'Reilly,2019,C,27.648,73,207,82.0,71.0,72.0,81,82,15.2535,16.3472,16.2299,15.6708,15.8978,0.6716,0.6203,0.5648,0.4254,0.9665,0.3959750000000001,0.7183,0.5559,0.7337,0.6744,0.9993
Ryan O'Reilly 2020,Ryan O'Reilly,2020,C,28.647,73,207,71.0,72.0,81.0,82,83,16.3472,16.2299,15.6708,15.8978,15.4991,0.6203,0.5648,0.4254,0.9665,0.4907,-0.15354999999999996,0.5559,0.7337,0.6744,0.9993,0.5942
Ryan O'Reilly 2021,Ryan O'Reilly,2021,C,29.649,73,207,72.0,81.0,82.0,83,82,16.2299,15.6708,15.8978,15.4991,16.0565,0.5648,0.4254,0.9665,0.4907,1.2011,0.58925,0.7337,0.6744,0.9993,0.5942,0.712
Ryan O'Reilly 2022,Ryan O'Reilly,2022,C,30.648,73,207,81.0,82.0,83.0,82,78,15.6708,15.8978,15.4991,16.0565,14.5763,0.4254,0.9665,0.4907,1.2011,0.6333,-0.1376250000000001,0.6744,0.9993,0.5942,0.712,0.8946
Ryan O'Reilly 2023,Ryan O'Reilly,2023,C,31.648,73,207,82.0,83.0,82.0,78,53,15.8978,15.4991,16.0565,14.5763,14.4393,0.9665,0.4907,1.2011,0.6333,1.0976,0.27469999999999994,0.9993,0.5942,0.712,0.8946,0.9296
Kyle Clifford 2013,Kyle Clifford,2013,L,21.717,74,217,,,76.0,81,82,,,9.4658,8.9471,9.8604,,,0.5838,0.414,0.8874,0.38849999999999996,,,0.3409,0.4736,0.5512
Kyle Clifford 2014,Kyle Clifford,2014,L,22.717,74,217,,76.0,81.0,82,71,,9.4658,8.9471,9.8604,9.6768,,0.5838,0.414,0.8874,0.262,-0.36639999999999995,,0.3409,0.4736,0.5512,0.3618
Kyle Clifford 2015,Kyle Clifford,2015,L,23.716,74,217,76.0,81.0,82.0,71,80,9.4658,8.9471,9.8604,9.6768,10.6075,0.5838,0.414,0.8874,0.262,0.4242,-0.11259999999999992,0.3409,0.4736,0.5512,0.3618,0.5412
