,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y5 dPP ATOI
Corey Perry 2015,Corey Perry,2015,R,29.378,75,208,82.0,80.0,75.0,81,67,3.5091,3.5731,2.8333,3.5058,2.7818,-0.5735250000000001
Corey Perry 2016,Corey Perry,2016,R,30.377,75,208,80.0,75.0,81.0,67,82,3.5731,2.8333,3.5058,2.7818,2.8803,-0.2931999999999997
Corey Perry 2017,Corey Perry,2017,R,31.379,75,208,75.0,81.0,67.0,82,82,2.8333,3.5058,2.7818,2.8803,2.863,-0.1373000000000002
Corey Perry 2018,Corey Perry,2018,R,32.379,75,208,81.0,67.0,82.0,82,71,3.5058,2.7818,2.8803,2.863,2.6488,-0.3589249999999997
Corey Perry 2023,Corey Perry,2023,R,37.378,75,208,31.0,67.0,71.0,82,81,1.8237,2.1494,2.1136,1.7128,1.7862,-0.16367500000000001
Patrice Bergeron 2012,Patrice Bergeron,2012,C,26.188,73,196,10.0,64.0,73.0,80,81,3.8317,3.0849,2.6906,2.7167,2.5241,-0.5568750000000002
Patrice Bergeron 2013,Patrice Bergeron,2013,C,27.19,73,196,64.0,73.0,80.0,81,71,3.0849,2.6906,2.7167,2.5241,2.1718,-0.5822749999999997
Patrice Bergeron 2014,Patrice Bergeron,2014,C,28.19,73,196,73.0,80.0,81.0,71,80,2.6906,2.7167,2.5241,2.1718,2.009,-0.5167999999999999
Patrice Bergeron 2015,Patrice Bergeron,2015,C,29.189,73,196,80.0,81.0,71.0,80,81,2.7167,2.5241,2.1718,2.009,2.3426,-0.012799999999999923
Patrice Bergeron 2016,Patrice Bergeron,2016,C,30.188,73,196,81.0,71.0,80.0,81,80,2.5241,2.1718,2.009,2.3426,2.996,0.7341250000000001
Patrice Bergeron 2017,Patrice Bergeron,2017,C,31.19,73,196,71.0,80.0,81.0,80,79,2.1718,2.009,2.3426,2.996,2.9386,0.5587499999999999
Patrice Bergeron 2018,Patrice Bergeron,2018,C,32.19,73,196,80.0,81.0,80.0,79,64,2.009,2.3426,2.996,2.9386,2.9794,0.4078499999999998
Patrice Bergeron 2019,Patrice Bergeron,2019,C,33.189,73,196,81.0,80.0,79.0,64,65,2.3426,2.996,2.9386,2.9794,3.2613,0.4471499999999997
Patrice Bergeron 2020,Patrice Bergeron,2020,C,34.188,73,196,80.0,79.0,64.0,65,71,2.996,2.9386,2.9794,3.2613,3.6022,0.5583749999999998
Patrice Bergeron 2021,Patrice Bergeron,2021,C,35.191,73,196,79.0,64.0,65.0,71,79,2.9386,2.9794,3.2613,3.6022,3.291,0.09562500000000007
Patrice Bergeron 2022,Patrice Bergeron,2022,C,36.19,73,196,64.0,65.0,71.0,79,73,2.9794,3.2613,3.6022,3.291,3.0393,-0.24417500000000025
Patrice Bergeron 2023,Patrice Bergeron,2023,C,37.189,73,196,65.0,71.0,79.0,73,78,3.2613,3.6022,3.291,3.0393,3.3795,0.08105000000000029
Joe Pavelski 2011,Joe Pavelski,2011,C,26.224,71,200,,82.0,80.0,67,74,,2.2957,3.0256,3.0751,3.3455,0.5467
Joe Pavelski 2012,Joe Pavelski,2012,C,27.223,71,200,82.0,80.0,67.0,74,82,2.2957,3.0256,3.0751,3.3455,3.2124,0.2769250000000003
Joe Pavelski 2013,Joe Pavelski,2013,C,28.225,71,200,80.0,67.0,74.0,82,82,3.0256,3.0751,3.3455,3.2124,3.0038,-0.16084999999999994
Joe Pavelski 2014,Joe Pavelski,2014,C,29.225,71,200,67.0,74.0,82.0,82,82,3.0751,3.3455,3.2124,3.0038,3.5215,0.36229999999999984
