,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PK ATOI,Y2 PK ATOI,Y3 PK ATOI,Y4 PK ATOI,Y5 PK ATOI,Y5 dPK ATOI
Ryan Suter 2010,Ryan Suter,2010,D,24.693,73,205,,,76.0,82,82,,,2.102,2.2622,1.9093,-0.27280000000000015
Ryan Suter 2011,Ryan Suter,2011,D,25.693,73,205,,76.0,82.0,82,70,,2.102,2.2622,1.9093,2.0257,-0.06546666666666656
Ryan Suter 2012,Ryan Suter,2012,D,26.692,73,205,76.0,82.0,82.0,70,79,2.102,2.2622,1.9093,2.0257,2.384,0.30920000000000014
Ryan Suter 2013,Ryan Suter,2013,D,27.694,73,205,82.0,82.0,70.0,79,82,2.2622,1.9093,2.0257,2.384,2.1479,0.0026000000000001577
Ryan Suter 2014,Ryan Suter,2014,D,28.693,73,205,82.0,70.0,79.0,82,82,1.9093,2.0257,2.384,2.1479,2.3616,0.2448750000000004
Ryan Suter 2015,Ryan Suter,2015,D,29.693,73,205,70.0,79.0,82.0,82,77,2.0257,2.384,2.1479,2.3616,2.0268,-0.20299999999999985
Ryan Suter 2016,Ryan Suter,2016,D,30.692,73,205,79.0,82.0,82.0,77,82,2.384,2.1479,2.3616,2.0268,1.9652,-0.2648750000000002
Ryan Suter 2017,Ryan Suter,2017,D,31.694,73,205,82.0,82.0,77.0,82,82,2.1479,2.3616,2.0268,1.9652,2.3309,0.20552500000000018
Ryan Suter 2018,Ryan Suter,2018,D,32.694,73,205,82.0,77.0,82.0,82,78,2.3616,2.0268,1.9652,2.3309,2.9891,0.8179750000000001
Ryan Suter 2019,Ryan Suter,2019,D,33.693,73,205,77.0,82.0,82.0,78,82,2.0268,1.9652,2.3309,2.9891,2.3157,-0.0123000000000002
Ryan Suter 2020,Ryan Suter,2020,D,34.692,73,205,82.0,82.0,78.0,82,81,1.9652,2.3309,2.9891,2.3157,2.4423,0.04207499999999964
Ryan Suter 2021,Ryan Suter,2021,D,35.694,73,205,82.0,78.0,82.0,81,82,2.3309,2.9891,2.3157,2.4423,1.9824,-0.5370999999999999
Ryan Suter 2022,Ryan Suter,2022,D,36.694,73,205,78.0,82.0,81.0,82,82,2.9891,2.3157,2.4423,1.9824,1.601,-0.831375
Ryan Suter 2023,Ryan Suter,2023,D,37.693,73,205,82.0,81.0,82.0,82,82,2.3157,2.4423,1.9824,1.601,1.4998,-0.58555
Brent Burns 2010,Brent Burns,2010,D,24.565,77,230,,,82.0,59,47,,,2.6376,2.1949,2.072,-0.3442499999999997
Brent Burns 2011,Brent Burns,2011,D,25.564,77,230,,82.0,59.0,47,80,,2.6376,2.1949,2.072,2.7204,0.41890000000000027
Brent Burns 2012,Brent Burns,2012,D,26.563,77,230,82.0,59.0,47.0,80,81,2.6376,2.1949,2.072,2.7204,1.7858,-0.620425
Brent Burns 2013,Brent Burns,2013,D,27.565,77,230,59.0,47.0,80.0,81,51,2.1949,2.072,2.7204,1.7858,0.0189,-2.174375
Brent Burns 2014,Brent Burns,2014,D,28.565,77,230,47.0,80.0,81.0,51,69,2.072,2.7204,1.7858,0.0189,0.0597,-1.589575
Brent Burns 2015,Brent Burns,2015,D,29.564,77,230,80.0,81.0,51.0,69,82,2.7204,1.7858,0.0189,0.0597,1.9396,0.7933999999999999
Brent Burns 2016,Brent Burns,2016,D,30.563,77,230,81.0,51.0,69.0,82,82,1.7858,0.0189,0.0597,1.9396,2.1638,1.2128
Brent Burns 2017,Brent Burns,2017,D,31.566,77,230,51.0,69.0,82.0,82,82,0.0189,0.0597,1.9396,2.1638,1.7289,0.6834
Brent Burns 2018,Brent Burns,2018,D,32.565,77,230,69.0,82.0,82.0,82,82,0.0597,1.9396,2.1638,1.7289,1.5079,0.03489999999999993
Brent Burns 2019,Brent Burns,2019,D,33.564,77,230,82.0,82.0,82.0,82,82,1.9396,2.1638,1.7289,1.5079,2.0183,0.1832499999999999
Brent Burns 2020,Brent Burns,2020,D,34.564,77,230,82.0,82.0,82.0,82,82,2.1638,1.7289,1.5079,2.0183,2.491,0.6362749999999999
Brent Burns 2021,Brent Burns,2021,D,35.566,77,230,82.0,82.0,82.0,82,82,1.7289,1.5079,2.0183,2.491,2.8875,0.9509750000000001
Brent Burns 2022,Brent Burns,2022,D,36.565,77,230,82.0,82.0,82.0,82,82,1.5079,2.0183,2.491,2.8875,2.7181,0.49192500000000017
Brent Burns 2023,Brent Burns,2023,D,37.564,77,230,82.0,82.0,82.0,82,82,2.0183,2.491,2.8875,2.7181,2.0986,-0.4301250000000003
Mark Giordano 2011,Mark Giordano,2011,D,26.996,72,205,,,58.0,82,82,,,0.5451,1.8872,2.1079,0.8917499999999998
Mark Giordano 2012,Mark Giordano,2012,D,27.995,72,205,,58.0,82.0,82,61,,0.5451,1.8872,2.1079,2.2369,0.7235
Mark Giordano 2013,Mark Giordano,2013,D,28.997,72,205,58.0,82.0,82.0,61,80,0.5451,1.8872,2.1079,2.2369,2.7234,1.0291249999999998
Mark Giordano 2014,Mark Giordano,2014,D,29.997,72,205,82.0,82.0,61.0,80,64,1.8872,2.1079,2.2369,2.7234,2.65,0.4111500000000001
Mark Giordano 2015,Mark Giordano,2015,D,30.996,72,205,82.0,61.0,80.0,64,61,2.1079,2.2369,2.7234,2.65,2.1462,-0.28335
Mark Giordano 2016,Mark Giordano,2016,D,31.995,72,205,61.0,80.0,64.0,61,82,2.2369,2.7234,2.65,2.1462,2.4181,-0.02102499999999985
Mark Giordano 2017,Mark Giordano,2017,D,32.997,72,205,80.0,64.0,61.0,82,81,2.7234,2.65,2.1462,2.4181,3.2646,0.7801750000000003
Mark Giordano 2018,Mark Giordano,2018,D,33.997,72,205,64.0,61.0,82.0,81,82,2.65,2.1462,2.4181,3.2646,3.1037,0.48397500000000004
Mark Giordano 2019,Mark Giordano,2019,D,34.996,72,205,61.0,82.0,81.0,82,78,2.1462,2.4181,3.2646,3.1037,2.6534,-0.07975000000000021
Mark Giordano 2020,Mark Giordano,2020,D,35.996,72,205,82.0,81.0,82.0,78,70,2.4181,3.2646,3.1037,2.6534,2.7508,-0.10915000000000008
Mark Giordano 2021,Mark Giordano,2021,D,36.998,72,205,81.0,82.0,78.0,70,82,3.2646,3.1037,2.6534,2.7508,3.0054,0.062274999999999636
Mark Giordano 2022,Mark Giordano,2022,D,37.997,72,205,82.0,78.0,70.0,82,75,3.1037,2.6534,2.7508,3.0054,1.6107,-1.2676249999999998
Mark Giordano 2023,Mark Giordano,2023,D,38.996,72,205,78.0,70.0,82.0,75,78,2.6534,2.7508,3.0054,1.6107,2.2714,-0.23367499999999986
Alex Goligoski 2011,Alex Goligoski,2011,D,25.172,71,173,,3.0,45.0,69,83,,0.1556,0.0759,1.5493,1.3456,0.752
Alex Goligoski 2012,Alex Goligoski,2012,D,26.172,71,173,3.0,45.0,69.0,83,71,0.1556,0.0759,1.5493,1.3456,1.2885,0.5069
Alex Goligoski 2013,Alex Goligoski,2013,D,27.174,71,173,45.0,69.0,83.0,71,80,0.0759,1.5493,1.3456,1.2885,1.4759,0.4110750000000001
Alex Goligoski 2014,Alex Goligoski,2014,D,28.173,71,173,69.0,83.0,71.0,80,81,1.5493,1.3456,1.2885,1.4759,2.4794,1.064575
Alex Goligoski 2015,Alex Goligoski,2015,D,29.173,71,173,83.0,71.0,80.0,81,81,1.3456,1.2885,1.4759,2.4794,2.9455,1.2981500000000001
Alex Goligoski 2016,Alex Goligoski,2016,D,30.172,71,173,71.0,80.0,81.0,81,82,1.2885,1.4759,2.4794,2.9455,2.3362,0.288875
Alex Goligoski 2017,Alex Goligoski,2017,D,31.174,71,173,80.0,81.0,81.0,82,82,1.4759,2.4794,2.9455,2.3362,2.489,0.17974999999999985
Alex Goligoski 2018,Alex Goligoski,2018,D,32.173,71,173,81.0,81.0,82.0,82,78,2.4794,2.9455,2.3362,2.489,1.9147,-0.6478249999999999
Alex Goligoski 2019,Alex Goligoski,2019,D,33.173,71,173,81.0,82.0,82.0,78,76,2.9455,2.3362,2.489,1.9147,1.5737,-0.8476499999999998
Alex Goligoski 2020,Alex Goligoski,2020,D,34.172,71,173,82.0,82.0,78.0,76,82,2.3362,2.489,1.9147,1.5737,2.375,0.2966000000000002
Alex Goligoski 2021,Alex Goligoski,2021,D,35.174,71,173,82.0,78.0,76.0,82,82,2.489,1.9147,1.5737,2.375,2.9345,0.8464
Alex Goligoski 2022,Alex Goligoski,2022,D,36.173,71,173,78.0,76.0,82.0,82,72,1.9147,1.5737,2.375,2.9345,1.1551,-1.044375
Alex Goligoski 2023,Alex Goligoski,2023,D,37.173,71,173,76.0,82.0,82.0,72,46,1.5737,2.375,2.9345,1.1551,0.9641,-1.045475
Alexander Edler 2010,Alexander Edler,2010,D,23.448,76,210,,,75.0,80,76,,,1.76,1.6431,2.2033,0.5017499999999999
