,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y5 dPP ATOI
Alex Tanguay 2013,Alex Tanguay,2013,L,32.863,73,194,50.0,80.0,79.0,64,68,3.7553,2.0288,3.6599,3.2185,3.0175,-0.14812499999999984
Alex Tanguay 2016,Alex Tanguay,2016,L,35.861,73,194,64.0,68.0,16.0,80,70,3.2185,3.0175,2.8281,2.4171,2.2552,-0.6151000000000004
Scott Gomez 2009,Scott Gomez,2009,C,28.776,71,200,,,,81,77,,,,4.2265,3.9208,-0.30569999999999986
Scott Gomez 2010,Scott Gomez,2010,C,29.775,71,200,,,81.0,77,78,,,4.2265,3.9208,2.6566,-1.4170499999999997
Scott Gomez 2011,Scott Gomez,2011,C,30.774,71,200,,81.0,77.0,78,80,,4.2265,3.9208,2.6566,2.699,-0.9022999999999999
Scott Gomez 2013,Scott Gomez,2013,C,32.776,71,200,77.0,78.0,80.0,38,66,3.9208,2.6566,2.699,2.3482,2.2278,-0.67835
Scott Gomez 2014,Scott Gomez,2014,C,33.775,71,200,78.0,80.0,38.0,66,46,2.6566,2.699,2.3482,2.2278,1.3547,-1.1281999999999999
Scott Gomez 2015,Scott Gomez,2015,C,34.774,71,200,80.0,38.0,66.0,46,58,2.699,2.3482,2.2278,1.3547,1.9233,-0.23412499999999992
Brad Richards 2009,Brad Richards,2009,C,28.417,72,199,,,,74,56,,,,4.8385,4.1423,-0.6962000000000002
Brad Richards 2010,Brad Richards,2010,C,29.416,72,199,,,74.0,56,80,,,4.8385,4.1423,5.0658,0.575400000000001
Brad Richards 2011,Brad Richards,2011,C,30.416,72,199,,74.0,56.0,80,72,,4.8385,4.1423,5.0658,5.34,0.6577999999999999
Brad Richards 2012,Brad Richards,2012,C,31.415,72,199,74.0,56.0,80.0,72,82,4.8385,4.1423,5.0658,5.34,4.1681,-0.6785500000000004
Brad Richards 2013,Brad Richards,2013,C,32.417,72,199,56.0,80.0,72.0,82,78,4.1423,5.0658,5.34,4.1681,3.2522,-1.42685
Brad Richards 2014,Brad Richards,2014,C,33.416,72,199,80.0,72.0,82.0,78,82,5.0658,5.34,4.1681,3.2522,3.6967,-0.7598250000000002
Brad Richards 2015,Brad Richards,2015,C,34.416,72,199,72.0,82.0,78.0,82,76,5.34,4.1681,3.2522,3.6967,2.0316,-2.08265
Brad Richards 2016,Brad Richards,2016,C,35.415,72,199,82.0,78.0,82.0,76,68,4.1681,3.2522,3.6967,2.0316,2.6375,-0.6496499999999998
Shawn Horcoff 2009,Shawn Horcoff,2009,C,30.041,73,210,,,,53,80,,,,4.1695,3.789,-0.38050000000000006
Shawn Horcoff 2010,Shawn Horcoff,2010,C,31.04,73,210,,,53.0,80,77,,,4.1695,3.789,2.6483,-1.3309500000000005
Shawn Horcoff 2011,Shawn Horcoff,2011,C,32.039,73,210,,53.0,80.0,77,47,,4.1695,3.789,2.6483,2.7468,-0.7888000000000002
Shawn Horcoff 2012,Shawn Horcoff,2012,C,33.039,73,210,53.0,80.0,77.0,47,81,4.1695,3.789,2.6483,2.7468,2.8663,-0.4721000000000002
Shawn Horcoff 2013,Shawn Horcoff,2013,C,34.041,73,210,80.0,77.0,47.0,81,52,3.789,2.6483,2.7468,2.8663,2.5215,-0.49109999999999987
Shawn Horcoff 2014,Shawn Horcoff,2014,C,35.04,73,210,77.0,47.0,81.0,52,77,2.6483,2.7468,2.8663,2.5215,1.2498,-1.445925
Shawn Horcoff 2015,Shawn Horcoff,2015,C,36.039,73,210,47.0,81.0,52.0,77,76,2.7468,2.8663,2.5215,1.2498,1.636,-0.7101
Shawn Horcoff 2016,Shawn Horcoff,2016,C,37.039,73,210,81.0,52.0,77.0,76,59,2.8663,2.5215,1.2498,1.636,0.2325,-1.8359
Pavel Datsyuk 2009,Pavel Datsyuk,2009,C,30.202,71,188,,,,82,81,,,,4.3976,3.3864,-1.0111999999999997
Pavel Datsyuk 2010,Pavel Datsyuk,2010,C,31.201,71,188,,,82.0,81,80,,,4.3976,3.3864,3.3115,-0.5804999999999998
Pavel Datsyuk 2011,Pavel Datsyuk,2011,C,32.201,71,188,,82.0,81.0,80,56,,4.3976,3.3864,3.3115,3.1741,-0.5244
Pavel Datsyuk 2012,Pavel Datsyuk,2012,C,33.2,71,188,82.0,81.0,80.0,56,70,4.3976,3.3864,3.3115,3.1741,3.0624,-0.5050000000000003
Pavel Datsyuk 2013,Pavel Datsyuk,2013,C,34.202,71,188,81.0,80.0,56.0,70,80,3.3864,3.3115,3.1741,3.0624,3.5564,0.3228
Pavel Datsyuk 2014,Pavel Datsyuk,2014,C,35.202,71,188,80.0,56.0,70.0,80,45,3.3115,3.1741,3.0624,3.5564,3.1489,-0.1272000000000002
Pavel Datsyuk 2015,Pavel Datsyuk,2015,C,36.201,71,188,56.0,70.0,80.0,45,63,3.1741,3.0624,3.5564,3.1489,2.8643,-0.3711500000000001
Pavel Datsyuk 2016,Pavel Datsyuk,2016,C,37.2,71,188,70.0,80.0,45.0,63,66,3.0624,3.5564,3.1489,2.8643,2.9455,-0.2124999999999999
Martin Havlat 2009,Martin Havlat,2009,R,27.453,74,210,,,,35,81,,,,4.0367,3.1023,-0.9343999999999997
Martin Havlat 2010,Martin Havlat,2010,R,28.453,74,210,,,35.0,81,73,,,4.0367,3.1023,3.4342,-0.13529999999999953
Martin Havlat 2011,Martin Havlat,2011,R,29.452,74,210,,35.0,81.0,73,78,,4.0367,3.1023,3.4342,2.8568,-0.6676000000000002
Martin Havlat 2013,Martin Havlat,2013,R,31.453,74,210,81.0,73.0,78.0,39,68,3.1023,3.4342,2.8568,2.2274,2.2288,-0.6763749999999997
Martin Havlat 2014,Martin Havlat,2014,R,32.453,74,210,73.0,78.0,39.0,68,48,3.4342,2.8568,2.2274,2.2288,1.7931,-0.8936999999999999
Martin Havlat 2015,Martin Havlat,2015,R,33.452,74,210,78.0,39.0,68.0,48,40,2.8568,2.2274,2.2288,1.7931,1.6204,-0.6561249999999998
Brad Boyes 2009,Brad Boyes,2009,R,26.459,72,199,,,,82,82,,,,3.8703,4.3262,0.4559000000000002
Brad Boyes 2010,Brad Boyes,2010,R,27.459,72,199,,,82.0,82,82,,,3.8703,4.3262,3.1256,-0.9726500000000002
Brad Boyes 2011,Brad Boyes,2011,R,28.458,72,199,,82.0,82.0,82,83,,3.8703,4.3262,3.1256,2.4588,-1.315233333333333
Brad Boyes 2012,Brad Boyes,2012,R,29.457,72,199,82.0,82.0,82.0,83,65,3.8703,4.3262,3.1256,2.4588,2.0126,-1.4326249999999998
Brad Boyes 2013,Brad Boyes,2013,R,30.459,72,199,82.0,82.0,83.0,65,82,4.3262,3.1256,2.4588,2.0126,3.2219,0.24110000000000031
Brad Boyes 2014,Brad Boyes,2014,R,31.459,72,199,82.0,83.0,65.0,82,78,3.1256,2.4588,2.0126,3.2219,2.4707,-0.23402499999999993
Brad Boyes 2015,Brad Boyes,2015,R,32.458,72,199,83.0,65.0,82.0,78,78,2.4588,2.0126,3.2219,2.4707,2.0241,-0.5169000000000001
Brad Boyes 2016,Brad Boyes,2016,R,33.457,72,199,65.0,82.0,78.0,78,60,2.0126,3.2219,2.4707,2.0241,2.3844,-0.04792500000000022
Jarret Stoll 2009,Jarret Stoll,2009,C,26.273,73,216,,,,81,74,,,,3.9043,3.2194,-0.6849000000000003
Jarret Stoll 2010,Jarret Stoll,2010,C,27.272,73,216,,,81.0,74,73,,,3.9043,3.2194,3.0683,-0.49354999999999993
Jarret Stoll 2011,Jarret Stoll,2011,C,28.272,73,216,,81.0,74.0,73,82,,3.9043,3.2194,3.0683,2.5224,-0.8749333333333329
Jarret Stoll 2012,Jarret Stoll,2012,C,29.271,73,216,81.0,74.0,73.0,82,78,3.9043,3.2194,3.0683,2.5224,2.062,-1.1166
Jarret Stoll 2013,Jarret Stoll,2013,C,30.273,73,216,74.0,73.0,82.0,78,82,3.2194,3.0683,2.5224,2.062,1.7972,-0.920825
Jarret Stoll 2014,Jarret Stoll,2014,C,31.273,73,216,73.0,82.0,78.0,82,78,3.0683,2.5224,2.062,1.7972,1.4853,-0.8771749999999998
Jarret Stoll 2015,Jarret Stoll,2015,C,32.272,73,216,82.0,78.0,82.0,78,73,2.5224,2.062,1.7972,1.4853,1.0404,-0.9263250000000001
Jarret Stoll 2016,Jarret Stoll,2016,C,33.271,73,216,78.0,82.0,78.0,73,80,2.062,1.7972,1.4853,1.0404,0.0235,-1.572725
Travis Moen 2009,Travis Moen,2009,L,26.489,74,215,,,,77,82,,,,0.2314,0.1774,-0.05399999999999999
Travis Moen 2010,Travis Moen,2010,L,27.489,74,215,,,77.0,82,81,,,0.2314,0.1774,0.1296,-0.0748
Travis Moen 2011,Travis Moen,2011,L,28.488,74,215,,77.0,82.0,81,79,,0.2314,0.1774,0.1296,0.0597,-0.11976666666666666
Travis Moen 2012,Travis Moen,2012,L,29.487,74,215,77.0,82.0,81.0,79,48,0.2314,0.1774,0.1296,0.0597,0.1365,-0.013024999999999981
Travis Moen 2013,Travis Moen,2013,L,30.49,74,215,82.0,81.0,79.0,48,76,0.1774,0.1296,0.0597,0.1365,0.1633,0.037500000000000006
Travis Moen 2014,Travis Moen,2014,L,31.489,74,215,81.0,79.0,48.0,76,65,0.1296,0.0597,0.1365,0.1633,0.0821,-0.04017499999999999
Travis Moen 2015,Travis Moen,2015,L,32.488,74,215,79.0,48.0,76.0,65,44,0.0597,0.1365,0.1633,0.0821,0.003,-0.1074
Paul Gaustad 2009,Paul Gaustad,2009,C,26.659,77,227,,,,82,62,,,,2.972,1.9753,-0.9966999999999999
Paul Gaustad 2010,Paul Gaustad,2010,C,27.659,77,227,,,82.0,62,65,,,2.972,1.9753,2.379,-0.09465000000000012
Paul Gaustad 2011,Paul Gaustad,2011,C,28.658,77,227,,82.0,62.0,65,81,,2.972,1.9753,2.379,0.8039,-1.6381999999999999
