,Player,Position,Age,Height,Weight,Projected Goals,StDev,5th Percentile,95th Percentile,60G Probability,50G Probability,40G Probability,30G Probability,20G Probability
27,Sam Reinhart,C,27.9,74,193,34.433483328601100,1.5093572830278000,27.033870515420100,31.80794687910910,0.0,0.0,0.0,0.4,0.999
28,Bo Horvat,C,28.5,72,215,34.16593706333130,1.5140884613366200,28.489605528373600,33.277507714667,0.0,0.0,0.0,0.749,1.0
29,Tyler Toffoli,R,31.4,72,203,33.93156100280410,1.5363761491807400,30.417118499861900,35.45546537785260,0.0,0.0,0.0,0.972,1.0
30,Jack Hughes,C,22.4,71,175,33.79895635929090,3.217846011001870,25.15028602244080,35.5971095110736,0.0,0.0,0.002,0.57,1.0
31,Steven Stamkos,C,33.6,72,182,33.630989765881,3.2149119013085200,27.997951180703900,38.393892204513700,0.0,0.0,0.018,0.858,1.0
32,Mitchell Marner,R,26.4,72,181,33.29960785948500,4.656460977037360,21.738649633513300,34.69243903578020,0.001,0.006,0.023,0.192,0.984
33,Andrei Svechnikov,R,23.5,74,195,32.87139747349700,1.9601388133947600,25.358136128935800,31.79927207345990,0.0,0.0,0.0,0.32,1.0
34,Alex DeBrincat,R,25.8,68,178,32.7834901804388,2.9246868180113600,25.966065087513600,34.78537992684340,0.0,0.0,0.009,0.493,1.0
35,Alex Tuch,R,27.4,76,219,32.53247982891530,2.566482426207210,24.198291068676200,32.66076143775600,0.0,0.0,0.0,0.337,1.0
36,Adrian Kempe,"C, R",27.0,74,200,32.30989948514110,2.6420296536730700,23.96997038910690,32.510477313583300,0.0,0.0,0.0,0.311,0.997
37,Pavel Buchnevich,L,28.5,73,196,31.88632280793100,2.18679397761791,25.074417675415700,32.242937759908400,0.0,0.0,0.0,0.351,1.0
38,Roope Hintz,C,26.9,75,215,31.76840343679550,3.4119907378616700,22.976610967569200,34.265838319276100,0.0,0.0,0.001,0.363,0.993
39,Brandon Hagel,L,25.1,74,179,31.723777449745300,1.7440806192040700,27.576470564768300,33.273574745947800,0.0,0.0,0.0,0.662,1.0
40,Nikita Kucherov,R,30.3,71,181,31.39810335108220,3.148457440270820,21.324123299778000,31.88858308535730,0.0,0.0,0.0,0.168,0.974
41,Matt Boldy,L,22.5,74,201,30.910959063646000,2.5104410562791200,23.122551275266300,31.36762056110510,0.0,0.0,0.0,0.133,0.993
42,Nico Hischier,C,24.7,73,175,30.621688991709200,1.5276886971197500,23.24357190855950,28.495210869979600,0.0,0.0,0.0,0.002,1.0
43,Anders Lee,L,33.2,75,235,30.45161311765800,2.904055912218350,26.69792946671120,32.48143433766000,0.001,0.001,0.006,0.466,1.0
44,Kevin Fiala,L,27.2,70,204,30.327884753390300,2.204722872677180,24.194474250680700,31.47841158207230,0.0,0.0,0.0,0.145,1.0
45,Pierre-Luc Dubois,L,25.3,76,214,30.0134170210997,1.5107441514165500,23.48718649543840,28.209014980815700,0.0,0.0,0.0,0.005,0.997
46,Carter Verhaeghe,C,28.1,74,180,29.8454910191358,2.8988495626589800,24.349793384618100,33.795541660358700,0.0,0.0,0.002,0.422,0.998
47,Zach Hyman,L,31.3,73,211,29.656454239486300,2.607753122035500,22.20046207822790,29.669761613789500,0.0,0.001,0.002,0.034,0.99
48,Claude Giroux,R,35.7,71,190,29.508119695390900,1.96318606175307,24.284407544403900,30.581011209427600,0.0,0.0,0.001,0.089,1.0
49,Sidney Crosby,C,36.2,71,200,29.357711217512900,3.1906978823655600,22.741492106138600,29.189803828947600,0.001,0.003,0.005,0.029,0.996
50,J.T. Miller,C,30.6,73,218,29.07620805483770,0.9432725816354030,22.050770859357300,25.045634428507100,0.0,0.0,0.0,0.0,0.996
51,Jeff Skinner,L,31.4,71,197,28.76217805938410,3.240862858174660,21.318240584348900,29.992750555973500,0.0,0.002,0.008,0.05,0.983
52,Dylan Larkin,C,27.2,73,198,28.694491994570600,1.394100386775830,22.32858990098830,26.890900702454500,0.0,0.0,0.0,0.0,0.999
53,Patrik Laine,L,25.5,77,205,28.55190258098120,2.917721506588080,21.2450546473066,30.619423635454400,0.0,0.0,0.0,0.088,0.981
54,John Tavares,C,33.0,73,216,28.306724954030000,3.0243660370648400,22.735070043975500,27.697648696482200,0.001,0.001,0.003,0.016,0.999
55,Cole Caufield,R,22.7,67,174,27.685201877226800,4.174443457406880,17.889309605389400,31.587779663910200,0.0,0.0,0.0,0.093,0.87
56,Jesper Bratt,L,25.2,70,175,27.472253062919100,2.172772752144740,20.534872015947700,27.55735851630940,0.0,0.0,0.0,0.005,0.973
57,Artemi Panarin,L,31.9,72,173,27.329534594391400,17.298360931802500,20.62695701913240,55.33373003373510,0.04,0.062,0.115,0.225,0.973
58,Nino Niederreiter,R,31.1,74,218,27.28472215350290,1.6888982302985900,22.941129542461700,28.0395715300292,0.0,0.0,0.001,0.006,0.999
59,Johnny Gaudreau,L,30.1,69,165,27.2459388703913,2.0633979997946800,19.68936875470550,26.32283513315350,0.0,0.0,0.0,0.0,0.929
60,Travis Konecny,R,26.6,70,175,27.237799308559100,3.1286932152989100,18.17797199601070,28.21492645993460,0.0,0.0,0.0,0.011,0.853
61,Andrew Mangiapane,L,27.5,70,184,27.231163894772900,1.7379733528998400,25.707618730444300,31.266471961504600,0.0,0.0,0.0,0.213,1.0
62,Dylan Cozens,C,22.6,75,195,27.062460406511200,3.1956026134188500,21.237699692585000,29.936382834777000,0.001,0.001,0.004,0.046,0.982
63,Jonathan Marchessault,"C, R",32.8,69,183,27.029758688987500,3.0098175062098300,23.894313392887600,30.27665379430020,0.001,0.001,0.004,0.057,1.0
64,Filip Forsberg,L,29.1,73,205,26.708132819696000,3.6760768685837100,19.141264688133300,31.233461045898900,0.0,0.0,0.0,0.091,0.917
65,Elias Lindholm,C,28.8,73,202,26.548763022723200,1.9168653960231100,20.37562903664850,26.734745810383000,0.0,0.0,0.0,0.0,0.965
66,Dawson Mercer,C,21.9,72,180,26.428912948171500,1.2647704344662200,23.367841138021300,27.41555437784070,0.0,0.0,0.0,0.0,0.999
67,Martin Necas,C,24.7,74,189,26.32420322003610,1.1354726080440900,20.786360560739900,24.4784509340507,0.0,0.0,0.0,0.0,0.984
68,Matty Beniers,C,20.9,74,178,26.235216839195300,2.0065870725218400,20.639009796150000,27.003003078893100,0.0,0.0,0.0,0.006,0.976
69,Brad Marchand,L,35.4,69,176,26.12730241334640,1.9510387000308700,18.717073625485800,25.146782652911300,0.0,0.0,0.0,0.0,0.846
70,Tomas Hertl,C,29.9,75,215,25.75892332486880,1.8512126531100200,20.257631081026200,26.342897030876100,0.0,0.0,0.0,0.0,0.956
71,Andrei Kuzmenko,L,27.7,71,194,25.692386816061600,2.5097956886465300,19.021415309175600,27.380285708453700,0.0,0.0,0.0,0.003,0.904
72,Brock Boeser,R,26.6,73,208,25.337268029689100,1.626230101362380,20.279978615880400,25.60310805342840,0.0,0.0,0.0,0.0,0.965
73,Rickard Rakell,R,30.4,73,195,25.169645370297600,1.1572203565599700,20.186016885253100,23.923486414023000,0.0,0.0,0.0,0.0,0.962
74,David Perron,L,35.3,73,196,25.10606935683240,2.5806873451697000,19.683666283581,24.91204538705340,0.001,0.001,0.002,0.005,0.926
75,Patrick Kane,R,34.9,70,177,25.009981577156800,2.895440094681940,18.27265016161730,23.65249076484110,0.001,0.001,0.002,0.004,0.693
76,Ryan Nugent-Hopkins,C,30.5,72,195,24.884552463012400,1.693870952957960,16.478474603061600,21.723511511120000,0.0,0.0,0.0,0.0,0.26
77,Joel Eriksson Ek,C,26.7,75,207,24.824276029767600,1.6508780993896700,17.949748463577900,21.993217919074300,0.0,0.001,0.001,0.001,0.498
78,Drake Batherson,R,25.4,75,200,24.725686751954900,1.6164809831594600,17.171454446442400,22.39675885619810,0.0,0.0,0.0,0.0,0.501
79,Logan Couture,C,34.5,73,206,24.64377305586070,1.7669483242143800,19.429772511430700,24.855295318846800,0.0,0.0,0.0,0.001,0.891
80,Trevor Zegras,C,22.5,72,185,24.505488400881800,1.8540518322939600,19.99928561398160,24.35168548123280,0.0,0.001,0.002,0.004,0.949
81,Jake DeBrusk,L,27.0,72,197,24.45320271081270,2.8843081188424000,19.09070205522310,28.63395643579550,0.0,0.0,0.0,0.018,0.911
82,Nikolaj Ehlers,L,27.6,72,169,24.411977482531500,3.3775549421851500,17.017596081402900,28.227817859512200,0.0,0.0,0.0,0.011,0.8
83,Jonathan Huberdeau,C,30.3,73,200,24.249605330869500,1.5849267837405000,19.23140293289810,24.365792118240900,0.0,0.0,0.0,0.0,0.883
84,Vladimir Tarasenko,R,31.8,73,228,24.16611199451660,31.26830280764200,18.781867957746200,78.5592487059918,0.082,0.119,0.181,0.277,0.884
85,Troy Terry,R,26.1,72,185,24.012959485974800,2.5369630042528300,16.367646324111300,24.790681493934300,0.0,0.0,0.0,0.003,0.631
86,Bryan Rust,R,31.4,71,192,23.99173949264870,2.043177921332320,18.781891767008700,25.293773691863300,0.0,0.0,0.0,0.001,0.857
87,Alex Killorn,L,34.0,73,194,23.888906688153500,1.3741200663238700,20.516489396758500,24.273263575406000,0.0,0.0,0.001,0.001,0.972
88,Valeri Nichushkin,R,28.6,76,210,23.6386609367658,2.098573094156660,16.834482091501200,23.68010128318280,0.0,0.0,0.0,0.0,0.579
89,Brandon Saad,L,30.9,73,215,23.421833594218100,2.340070747015090,19.59083448205740,27.482546755377300,0.0,0.0,0.0,0.002,0.925
90,Patrice Bergeron,C,38.2,73,196,23.40487408929550,1.917280616138850,18.140337074032900,22.622176712662100,0.0,0.001,0.001,0.002,0.624
91,Michael Bunting,L,28.0,72,192,23.25400590481490,2.059184999716990,18.859293889912400,25.791964302590200,0.0,0.0,0.0,0.0,0.904
92,Frank Vatrano,R,29.6,71,197,23.168075776144800,1.8541412111716400,19.648126886778300,25.85532927771530,0.0,0.0,0.0,0.001,0.935
93,Artturi Lehkonen,L,28.2,71,179,23.035503736427000,1.8167806915969000,16.038728562124500,22.057118358168600,0.0,0.0,0.0,0.0,0.302
94,Nick Suzuki,C,24.1,71,208,22.856575388493300,1.3139796573483700,16.760143115480900,20.921374721842900,0.0,0.0,0.0,0.0,0.206
95,Brayden Schenn,C,32.1,73,199,22.792637060954000,1.391080501499890,18.63298520671140,23.11819104967570,0.0,0.0,0.0,0.0,0.799
96,Anze Kopitar,C,36.1,75,225,22.604374363147600,8.895568664888230,16.83836284776580,26.282816004196600,0.009,0.01,0.02,0.04,0.17
97,Matt Duchene,C,32.7,71,195,22.49784715628520,3.2147560262363800,16.62990496850400,24.144967751587800,0.001,0.001,0.002,0.006,0.561
98,Nick Schmaltz,C,27.6,72,181,22.38195450243890,1.9355329281257100,16.21440040693060,22.286740116103400,0.0,0.0,0.0,0.001,0.358
99,Lawson Crouse,L,26.3,76,215,22.299795812438300,1.8084616075525300,16.942933620973900,22.892049221197800,0.0,0.0,0.0,0.0,0.543
100,Victor Olofsson,L,28.2,71,181,22.163464005852100,1.9981854744569900,19.454829326884500,25.92937053706140,0.0,0.0,0.0,0.0,0.922
101,Dominik Kubalik,L,28.1,74,190,22.120934792902600,1.0537657623580500,17.946660241671800,21.424186787151500,0.0,0.0,0.0,0.0,0.418
102,Jamie Benn,L,34.2,74,205,21.97994685902930,3.363217730037190,18.01406415283820,24.936901804799300,0.001,0.001,0.002,0.011,0.582
103,Owen Tippett,R,24.6,73,207,21.896464077574600,1.9582373226556700,16.07485547588840,22.492795862115700,0.0,0.0,0.0,0.0,0.414
104,Andre Burakovsky,L,28.6,75,209,21.710281183154000,2.484665000709430,15.606995846581200,23.801338938380700,0.0,0.0,0.0,0.0,0.48
105,Jordan Eberle,R,33.4,71,190,21.685460586624800,2.4037037521844100,18.16286735453870,22.796583832680900,0.001,0.001,0.001,0.005,0.668
106,Joe Pavelski,C,39.2,71,200,21.644318225303600,1.9652871002601300,17.562458582717900,22.172437416614000,0.0,0.001,0.001,0.003,0.531
107,Sam Bennett,C,27.3,73,195,21.63755264913380,2.2374976988702200,16.906095011529800,24.3121821764258,0.0,0.0,0.0,0.0,0.63
108,Vincent Trocheck,C,30.2,71,184,21.629379320419800,1.125568267871970,16.816753509181300,20.471628514108200,0.0,0.0,0.0,0.0,0.113
109,Wyatt Johnston,C,20.4,73,185,21.51879380899030,2.3431193126603300,15.537390270105700,23.18875955166760,0.0,0.0,0.0,0.0,0.403
110,Pavel Zacha,C,26.5,76,199,21.496758046202100,1.26301153170996,17.718242012986000,21.843778303725900,0.0,0.0,0.0,0.0,0.467
111,Lucas Raymond,L,21.5,71,176,21.299074318190800,1.6653648702266400,15.742215330879700,20.800748203484700,0.0,0.0,0.0,0.001,0.124
112,J.T. Compher,L,28.5,72,190,21.255036274621600,1.201796576889300,16.310948485344100,20.17119048186240,0.0,0.0,0.0,0.0,0.066
113,Jason Zucker,L,31.7,71,192,21.193077516775000,77.08842145561680,18.294493897479400,219.04818174753300,0.272,0.319,0.376,0.453,0.859
114,Jack Eichel,C,26.9,74,207,21.151388855545000,2.3654588543429800,15.216934681053700,22.975891706994700,0.0,0.0,0.0,0.0,0.353
115,Tim St��tzle,L,21.7,72,193,20.90955854990000,26.221825271534300,13.136961954659200,31.145491083886000,0.027,0.028,0.037,0.055,0.189
116,Daniel Sprong,R,26.5,72,202,20.85615159670190,2.4104319188344800,16.6258080743059,24.796040323802800,0.0,0.0,0.0,0.0,0.629
117,Oliver Bjorkstrand,R,28.5,72,175,20.85954371842110,2.070496722198300,15.577496645447300,22.338401927483600,0.0,0.0,0.0,0.0,0.375
118,Joel Farabee,L,23.6,72,183,20.834800044215000,2.0272252414272100,15.994453211121500,22.29604684522810,0.0,0.0,0.0,0.002,0.329
119,Boone Jenner,C,30.3,74,203,20.774712253120900,2.757303653439050,14.981111816453300,23.777342475383000,0.0,0.0,0.0,0.002,0.413
120,Mathew Barzal,C,26.4,73,190,20.652537447710800,1.6187702788138100,14.347429860169300,19.703669766175100,0.0,0.0,0.0,0.0,0.024
121,Josh Norris,C,24.4,74,195,20.60903357845440,4.333902198946480,14.004595589732500,28.436569418590900,0.0,0.0,0.0,0.024,0.581
122,Seth Jarvis,C,21.7,70,175,20.572854861950400,1.4904225785649000,16.32267895174740,21.144437535624300,0.0,0.0,0.0,0.0,0.167
123,Taylor Raddysh,R,25.6,75,198,20.46202755981710,1.2175839929189600,15.618102091245100,19.52155198021560,0.0,0.0,0.0,0.0,0.017
124,Noah Cates,L,24.7,73,165,20.396634838424200,2.665812910503080,14.958461496882500,23.075669229409200,0.0,0.0,0.0,0.007,0.166
125,T.J. Oshie,R,36.8,72,187,20.34992562148060,2.8919571638406700,15.47705913082400,23.090046579929200,0.001,0.001,0.001,0.002,0.391
126,Evander Kane,L,32.2,74,210,20.333262929615000,4.03476417769224,14.231421806156500,27.362327656156900,0.0,0.0,0.0,0.012,0.504
127,Evgeni Malkin,C,37.2,75,195,20.266139806777700,3.1941921877061200,13.895498478192900,22.646826122583900,0.001,0.001,0.001,0.002,0.27
128,Anthony Beauvillier,L,26.3,71,180,20.192550451896600,1.5596768842634000,17.331213253603500,21.97607380576830,0.0,0.0,0.0,0.002,0.362
129,Nazem Kadri,C,33.0,72,185,20.12904986703190,2.5496101797105100,14.336399189525000,20.103814757991700,0.001,0.001,0.001,0.002,0.056
130,Chandler Stephenson,C,29.4,72,209,19.740208417741500,1.031326042980640,14.892874434184700,18.265836807769500,0.0,0.0,0.0,0.0,0.003
131,Dylan Strome,C,26.6,75,200,19.467062709018100,1.9104682781039000,13.22005551419310,19.533757149545100,0.0,0.0,0.0,0.0,0.031
132,Robert Thomas,C,24.2,72,218,19.404817912413500,1.6936120758750600,13.69471894696420,19.2395348061468,0.0,0.0,0.0,0.0,0.02
133,Conor Garland,R,27.6,70,165,19.27420345273830,1.8299783485338500,15.987750665933800,21.447565229668600,0.0,0.0,0.0,0.001,0.131
134,Barrett Hayton,C,23.3,73,207,19.231787616785400,1.3825109648891400,14.186148374236500,18.755394310729800,0.0,0.0,0.0,0.0,0.013
135,Ryan O'Reilly,C,32.6,73,207,19.068875670694900,2.1933342789310200,14.004831149513500,21.183046250426100,0.0,0.0,0.0,0.001,0.126
136,Shane Pinto,C,22.9,75,201,19.049979780191700,3.5159050081752400,14.114196476966300,25.23862434779970,0.0,0.0,0.001,0.013,0.238
137,Jaden Schwartz,C,31.3,70,185,19.051736421028200,1.9259885604265500,14.88043751470700,20.312515872606300,0.0,0.0,0.0,0.003,0.061
138,Tyler Seguin,C,31.7,73,205,19.06574056907080,8.178904891554650,14.16286500454940,33.22838627262410,0.009,0.013,0.027,0.063,0.242
139,Ross Colton,C,27.1,72,194,19.050286629969400,2.2861263646998600,17.949883125920100,25.50259715735570,0.0,0.0,0.0,0.0,0.746
140,Eeli Tolvanen,R,24.4,70,191,19.019114886203500,1.6636508851086700,15.058729378689300,20.441907436526100,0.0,0.0,0.0,0.0,0.094
141,Jean-Gabriel Pageau,C,30.9,71,185,18.944527282889100,2.565409575977890,15.371188816785900,19.42974475897730,0.001,0.001,0.001,0.006,0.024
142,Ivan Barbashev,C,27.8,73,195,18.9197075649492,1.7736300415983900,14.68464965890210,20.472185536356500,0.0,0.0,0.0,0.0,0.084
143,Ilya Mikheyev,R,29.0,74,192,18.784243807237900,31.835105752910100,13.575406155077500,107.93076523700400,0.153,0.187,0.219,0.277,0.516
144,Phillip Danault,C,30.6,73,200,18.754655991920500,1.559626937831420,14.888756316732000,19.722174603423000,0.0,0.0,0.0,0.0,0.04
145,Kailer Yamamoto,R,25.0,68,153,18.73036789949110,2.0905404551730700,14.262060033355700,21.208950009399,0.0,0.0,0.0,0.0,0.149
146,Gabriel Vilardi,"C, R",24.1,75,215,18.602106893634700,2.4777985505302400,12.156552325526100,20.20358011940680,0.0,0.0,0.0,0.0,0.059
147,Yegor Sharangovich,C,25.3,74,196,18.571122412373300,3.6814079824972600,16.797137537656200,24.714853808790200,0.001,0.003,0.006,0.017,0.224
148,Tomas Tatar,L,32.8,70,173,18.51934001580740,2.8648365121024500,16.187728261391000,21.171335324251900,0.001,0.001,0.002,0.005,0.16
149,Ryan Strome,C,30.2,73,191,18.440020865171900,1.3395831470261000,15.156315004714600,19.328099938256700,0.0,0.0,0.0,0.0,0.024
150,Max Domi,C,28.6,70,194,18.370073676588500,1.1660113994471800,13.62555453308300,17.485700624292300,0.0,0.0,0.0,0.0,0.001
151,Blake Coleman,C,31.8,71,199,18.06787132346380,8.39834279905595,14.952083763405400,30.430459852836100,0.012,0.016,0.03,0.054,0.135
152,Kyle Palmieri,C,32.7,71,198,17.88629686879690,2.8645775575330600,13.873450007892600,20.949423671045100,0.001,0.001,0.001,0.002,0.1
153,Kevin Hayes,C,31.4,77,216,17.814306087170500,1.22695998441368,13.797920806596300,17.94023318548410,0.0,0.0,0.0,0.0,0.001
154,Reilly Smith,R,32.5,73,185,17.666275751030300,1.799155621030570,13.977215624430700,19.856054892096600,0.0,0.0,0.0,0.0,0.037
155,Mats Zuccarello,R,36.1,68,181,17.622747819044700,3.828176803803270,12.695986449377900,19.23763794197700,0.002,0.002,0.004,0.008,0.036
156,Josh Anderson,R,29.4,75,218,17.565094450368000,2.335518928923300,13.14585619668970,20.64069183219870,0.0,0.0,0.0,0.0,0.09
157,Kent Johnson,C,21.0,72,175,17.53390596081450,1.564132921610420,13.40864145579720,18.303983444161300,0.0,0.0,0.0,0.0,0.007
158,Andreas Athanasiou,C,29.2,74,190,17.336895420448300,2.1237885140132300,12.978620721870100,19.90695617674170,0.0,0.0,0.0,0.0,0.042
159,Mason McTavish,C,20.7,72,213,17.325080681616000,4.168944399392630,11.433556124473500,23.726666843265200,0.0,0.0,0.0,0.014,0.126
160,Viktor Arvidsson,"L, R",30.5,70,185,17.14962910563310,1.9709496770877900,12.49178054228520,18.75726692366020,0.0,0.0,0.0,0.0,0.009
161,Anton Lundell,C,22.0,73,185,17.133765146535600,3.1466926901456500,12.911955480944100,20.118654860674500,0.0,0.001,0.003,0.006,0.052
162,Morgan Frost,C,24.4,71,170,17.119550943654500,2.078514816365930,12.065365132303400,18.60712790850260,0.0,0.0,0.0,0.0,0.011
163,Jack Roslovic,C,26.7,73,200,16.94702194081510,1.4052354517864600,12.095767634428700,16.614711020314400,0.0,0.0,0.0,0.0,0.001
164,Tyler Johnson,C,33.2,68,185,16.926846116194400,2.5075729704383600,12.271019687134700,19.2623897752733,0.0,0.001,0.001,0.001,0.025
165,Jack Quinn,R,22.0,73,185,16.913626783752300,3.389293105610200,11.852827348827600,21.734154989637300,0.0,0.0,0.0,0.006,0.099
166,Taylor Hall,L,31.9,73,210,16.73275827234910,27.114520713377300,13.717640910672500,56.91149327990720,0.046,0.065,0.098,0.167,0.31
167,Tom Wilson,R,29.5,76,220,16.542122757957500,3.49129913093545,11.692177318859700,23.036263135432200,0.0,0.0,0.0,0.0,0.232
168,Filip Chytil,C,24.1,74,204,16.480034838414900,2.2565426151773900,12.974282847113300,20.509436931915800,0.0,0.0,0.0,0.0,0.075
169,Jesperi Kotkaniemi,C,23.2,74,201,16.397017049978700,1.6255603701303600,12.701808268618900,17.71360618290800,0.0,0.0,0.0,0.0,0.01
170,Conor Sheary,L,31.3,69,179,16.386441983839400,1.5319157130631500,14.31175651763950,19.153502125403200,0.0,0.0,0.0,0.0,0.016
171,Yanni Gourde,C,31.8,69,174,16.313788593193400,12.792609303438400,11.92226668937970,38.831268421469000,0.021,0.032,0.047,0.094,0.201
172,Roman Josi,D,33.3,73,201,16.233286321533700,1.7685724943054300,10.00823811474830,15.71898954361300,0.0,0.0,0.0,0.0,0.002
173,Mason Marchment,L,28.3,76,210,16.065085677876800,1.7872007741687300,12.729475933971900,18.50323710934900,0.0,0.0,0.0,0.0,0.009
174,Adam Henrique,C,33.6,72,195,15.944390262892500,2.5917063092180200,10.660554248299900,19.323576691118800,0.0,0.0,0.0,0.0,0.027
175,Dillon Dube,C,25.2,71,185,15.920710248521000,1.8077768077219600,13.918617828151100,20.00788398542640,0.0,0.0,0.0,0.0,0.051
176,Andrew Copp,C,29.2,73,199,15.876939584251200,3.254279615589500,10.580789161339100,20.625619341027000,0.0,0.0,0.0,0.001,0.058
177,William Karlsson,C,30.7,72,190,15.873889367990600,1.5579840311407300,12.560103804844100,17.295221418544400,0.0,0.0,0.0,0.0,0.008
178,Alex Wennberg,C,29.0,74,190,15.846358928770300,1.3556351938619400,11.407743870655000,15.66842053732210,0.0,0.0,0.0,0.0,0.001
179,Ryan Hartman,R,29.0,72,197,15.82530454685010,2.17392550243368,11.76758236897840,18.87002839045430,0.0,0.0,0.0,0.0,0.017
180,Tyler Bertuzzi,L,28.6,73,186,15.825489772984900,3.0015497297983400,10.20756445968660,19.590267628951700,0.0,0.0,0.0,0.001,0.041
181,Scott Laughton,C,29.3,73,190,15.798309519643200,2.279492328811710,11.933049810501700,18.034201165721400,0.0,0.0,0.0,0.003,0.027
182,Alex Newhook,C,22.7,70,190,15.73035767555240,1.559875683129170,13.791000716683100,18.7367358847614,0.0,0.0,0.0,0.0,0.015
183,Dougie Hamilton,D,30.3,78,230,15.633297809489500,1.5099785316570100,9.939535979302610,14.869230851356300,0.0,0.0,0.0,0.0,0.0
184,Mark Stone,R,31.4,75,217,15.59639706597640,3.403010030159270,8.93353725421778,19.976055384553200,0.0,0.0,0.0,0.0,0.047
185,Kirby Dach,C,22.7,76,212,15.226636106046300,2.016756958441120,9.186930744053640,15.627463486095400,0.0,0.0,0.0,0.0,0.002
186,Anthony Cirelli,C,26.2,72,189,15.069750634123000,1.5216032096745800,12.264797704677200,17.164210408479400,0.0,0.0,0.0,0.0,0.0
187,Alex Iafallo,L,29.8,72,200,14.942402125578000,1.8533984286897400,11.580299594029100,16.9709168998776,0.0,0.0,0.0,0.0,0.012
188,Kaapo Kakko,R,22.6,74,206,14.910862703291800,1.8389561387382700,12.260404206564700,18.363822091704500,0.0,0.0,0.0,0.0,0.007
