,Player,Position,Age,Height,Weight,Projected Goals,StDev,5th Percentile,95th Percentile,60G Probability,50G Probability,40G Probability,30G Probability,20G Probability
1,Auston Matthews,C,26.0,75,208,57.506307396170700,3.7079100455414000,50.5750364247135,63.10478303463250,0.224,0.961,1.0,1.0,1.0
2,David Pastrnak,R,27.4,73,195,54.2357206872768,4.552254506571640,42.863532561174700,57.62338444139380,0.009,0.561,0.982,1.0,1.0
3,Connor McDavid,C,26.7,73,193,52.529843587354900,4.108777429461960,40.110360315096900,52.97340884290970,0.002,0.211,0.952,0.999,1.0
4,Leon Draisaitl,C,27.9,74,208,49.68900395668170,8.665341006589430,41.7321835609203,68.79148830351490,0.399,0.74,0.971,1.0,1.0
5,Jason Robertson,L,24.2,75,200,46.4267643392191,2.7063557485540300,38.558056702795100,47.340458406481600,0.0,0.002,0.868,1.0,1.0
6,Alex Ovechkin,L,38.0,75,238,45.738416352152700,4.13821221271537,34.334353123875000,46.922704453156400,0.001,0.012,0.6,0.997,1.0
7,Mikko Rantanen,R,26.9,76,215,44.93796283816630,3.1797155798839400,34.49515597160370,44.938642901796200,0.0,0.0,0.522,0.997,1.0
8,Kirill Kaprizov,L,26.4,70,202,43.37060757625100,3.196219960213810,35.91606835882920,46.211483035747400,0.0,0.005,0.62,0.999,1.0
9,Brayden Point,C,27.6,71,180,42.834379634068100,2.5563588774594800,33.329010925398100,41.72520614231840,0.0,0.0,0.222,0.997,1.0
10,Nathan MacKinnon,C,28.1,72,200,42.044482362606400,3.062785301567090,30.228503969555200,40.30982102708210,0.0,0.0,0.063,0.954,1.0
11,Tage Thompson,"C, R",25.9,78,220,40.18549893445550,4.654566689473310,36.48610450496420,50.26043903072440,0.003,0.055,0.803,0.998,1.0
12,Matthew Tkachuk,L,25.8,74,201,39.93278421122190,2.0798926075602300,29.78076982709450,36.40849381682740,0.0,0.0,0.0,0.936,1.0
13,Kyle Connor,L,26.8,74,179,39.517947418547500,4.888294613489550,31.993178603243500,47.00111487811440,0.003,0.029,0.287,0.985,1.0
14,William Nylander,R,27.4,72,204,38.785300535939600,1.4763785562420500,32.20915183608970,36.93097211872790,0.0,0.0,0.0,0.998,1.0
15,Elias Pettersson,C,24.9,74,176,38.267482809078100,1.939828165750260,30.175479426716600,36.39299990539190,0.0,0.0,0.001,0.959,1.0
16,Mark Scheifele,C,30.5,75,198,38.11559467219980,2.194157701893820,32.930956551553100,40.00893074942810,0.0,0.0,0.052,0.993,1.0
17,Chris Kreider,L,32.4,75,230,37.26946962604880,4.524214303851330,29.471102284529200,44.08207671674920,0.0,0.004,0.23,0.928,1.0
18,Brock Nelson,C,32.0,76,210,37.01554127119590,14.660542567920200,31.113992998829200,49.566308322322400,0.033,0.049,0.131,0.973,1.0
19,Jordan Kyrou,C,25.4,73,196,36.53398753522540,1.5301001475165700,30.95287918068470,35.86676773324850,0.0,0.0,0.0,0.98,1.0
20,Timo Meier,R,27.0,73,220,35.851315220611100,2.128936029232660,27.708113616737500,34.81842580414280,0.0,0.0,0.0,0.792,1.0
21,Brady Tkachuk,L,24.0,76,221,35.783353192530000,2.2144497644001200,28.074222750422000,35.095408742337600,0.0,0.0,0.0,0.796,1.0
22,Clayton Keller,R,25.2,70,178,35.20589324403020,6.50106184366813,29.693236841888000,49.228635613711200,0.013,0.044,0.24,0.941,1.0
23,Jake Guentzel,L,29.0,71,180,35.12368986939250,3.8935477830291400,23.592839283815600,35.40819783007390,0.001,0.001,0.006,0.493,0.995
24,Aleksander Barkov,C,28.1,75,215,34.79677171590630,2.3812497898897300,25.128136440740300,32.64049607203990,0.0,0.0,0.0,0.412,0.997
25,Mika Zibanejad,C,30.5,74,202,34.673762432751100,3.411558973573430,29.576279661493300,40.64152648137750,0.0,0.0,0.071,0.933,1.0
26,Jared McCann,L,27.3,73,191,34.58122707463360,2.747436756194760,27.995952338039400,37.0214323400723,0.0,0.0,0.0,0.86,1.0
