,Player,Projected Goals,Projected A1,Projected A2,Projected Assists,Projected Points,StDev,5th Percentile,95th Percentile,150P Probability,140P Probability,130P Probability,120P Probability,110P Probability,100P Probability,90P Probability,80P Probability,70P Probability,60P Probability,50P Probability,40P Probability,30P Probability
241,Adam Fox,12.186029701950200,30.06479338317320,25.885684846214400,55.95047822938750,68.13650793133780,4.386762963629380,53.72151765057600,67.92884572129470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.642,0.985,1.0,1.0
242,Miles Wood,12.113386807170100,9.728425705525280,6.141761691234510,15.870187396759800,27.983574203929900,6.426886364754440,26.531462833185900,46.61648312442880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.029,0.194,0.803
243,Zach Parise,12.10841180267650,7.775422603727830,6.078519650911410,13.853942254639200,25.962354057315700,4.78620856979339,25.44571497243100,39.535824703068400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.005,0.045,0.56
244,Nathan Bastian,12.114421249888000,8.458462133051190,6.216915824469690,14.675377957520900,26.789799207408800,5.979996185542220,20.858144003418400,35.39115577095580,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.003,0.01,0.028,0.22
245,Gustav Nyquist,12.069134563265900,13.899839305078800,10.555892348711400,24.45573165379020,36.52486621705600,17.709436267521600,31.97445129380950,86.16807998271480,0.0,0.0,0.001,0.003,0.008,0.023,0.039,0.081,0.129,0.219,0.37,0.657,0.973
246,Phil Kessel,12.000818529335800,10.860923377741500,9.730822392452400,20.59174577019390,32.592564299529700,38.65201635695990,32.15390775687510,83.88776203049840,0.022,0.024,0.024,0.028,0.03,0.038,0.041,0.057,0.07,0.089,0.144,0.394,0.982
247,Alexis Lafreni��re,11.954070669118900,7.687080936288550,7.979014133465750,15.6660950697543,27.620165738873200,3.7267330663578100,21.095868495147900,32.93517823218070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
248,Anthony Duclair,11.932760203499200,10.911842027928000,6.736150852782060,17.64799288071010,29.5807530842093,5.540358847126720,21.827401923737300,39.88657435367820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.048,0.525
249,Noel Acciari,11.892526686750300,6.869207882992230,4.481886350843270,11.3510942338355,23.24362092058580,3.038565270288070,18.132622770803700,27.934481316649900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012
250,Jakob Chychrun,11.836680458053200,14.908953481578800,15.689776664659300,30.598730146238200,42.4354106042914,11.257846878798900,23.430751993553200,58.828904587041500,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.01,0.045,0.121,0.3,0.676
251,Brandon Tanev,11.74666670466800,8.657412492734400,6.194520765021260,14.851933257755700,26.59859996242370,5.943136241768820,16.447080624359500,35.689288791158600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.278
252,Jeff Carter,11.693618730029000,7.696007230147370,7.087203644414900,14.783210874562300,26.476829604591300,4.406129514601140,25.567795780704100,39.312533502225300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.041,0.682
253,Gustav Forsling,11.65671207459320,13.909458999213400,13.065586218524000,26.97504521773740,38.63175729233060,3.3932453094308200,32.26270266639090,43.30720431042410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.309,0.983
254,Brent Burns,11.607395717785900,20.2331276315025,17.599862724190600,37.83299035569310,49.440386073479000,4.403742477971320,36.72740016017180,51.03938719184080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.069,0.799,0.999
255,Miro Heiskanen,11.5436017824442,26.17737896540360,22.381746531036900,48.55912549644050,60.102727278884700,3.2520170564856000,46.09172922790750,56.59971924985700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.735,0.999,1.0
256,Robby Fabbri,11.53218972089510,8.619827401837640,7.440800417440630,16.060627819278300,27.592817540173300,10.437967819936600,16.7699047474971,39.57726427318800,0.0,0.0,0.002,0.002,0.002,0.005,0.005,0.005,0.01,0.017,0.027,0.048,0.175
257,Sean Monahan,11.474720053509700,10.69870335265990,7.444639332482460,18.143342685142300,29.618062738652100,4.903265429146630,17.253726714486700,33.539222572260000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.155
258,Alex Pietrangelo,11.470693112908300,15.131117253785700,17.023952743687900,32.15506999747350,43.625763110381800,4.341291875047170,32.89687712641230,46.46708400560020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.014,0.503,0.984
259,Vladislav Namestnikov,11.465026238136900,8.682158106576780,7.715082698585840,16.397240805162600,27.862267043299500,5.822994927020900,26.596301781034200,43.60678996460640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.005,0.015,0.095,0.729
260,Carl Grundstrom,11.447885027767200,5.97640040188848,3.3292766448822400,9.305677046770720,20.753562074537900,2.759661287046160,16.311542816049000,25.18301874784080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,Brandon Montour,11.383260538418400,17.04357541947730,16.79826984171930,33.84184526119660,45.22510579961500,5.10804560348026,34.296558307452800,47.51276303118120,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.002,0.009,0.035,0.492,0.997
262,Nick Bjugstad,11.351923140740600,7.777075032293780,5.689517512602980,13.466592544896800,24.818515685637400,7.783206451116180,22.253639096845600,45.47748514860590,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.01,0.021,0.118,0.474
263,Jesper Fast,11.335371027642800,8.456492808394160,9.204961138772150,17.661453947166300,28.99682497480910,11.619843624925200,28.37710985527790,65.6803185841611,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.01,0.032,0.069,0.167,0.386,0.877
264,Eric Robinson,11.255944582231400,8.52613555505845,6.040211152555960,14.566346707614400,25.822291289845800,3.0122265439545100,20.63957453764280,30.386878143038700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068
265,Adam Lowry,11.250462982380900,9.381935190839880,9.734167399885490,19.11610259072540,30.366565573106300,4.724572306919840,23.92108730885050,38.36107740825510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.034,0.453
266,Kasperi Kapanen,11.24160766176100,11.759287437618300,8.081367397591430,19.840654835209700,31.08226249697070,4.606881840727380,24.21836786828120,39.48831990354430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.642
267,Denis Gurianov,11.228453819071400,9.752543556109390,7.221832687810400,16.974376243919800,28.202830062991200,4.122886736281620,21.934718360978700,34.035686974128300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.009,0.276
268,Brady Skjei,11.205121600637300,8.821228985295210,12.751806613413400,21.573035598708600,32.77815719934590,1.5042971412608400,29.970539884600400,34.755148583118900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.947
269,Ryan Lomberg,11.148504438528300,6.185957494381340,4.352416988517010,10.538374482898400,21.686878921426700,2.4850553756388600,18.417658986280400,26.310156522828000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
270,Stefan Noesen,11.04047504487480,10.67889547242750,8.784605124094790,19.463500596522300,30.50397564139710,6.581903091594330,20.552514730845800,41.54321731870890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.077,0.414
271,Alexander Kerfoot,10.896001200531400,13.343881647680400,9.922769248725760,23.266650896406200,34.1626520969376,5.968160486321530,33.63725186536480,49.24344000838690,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.003,0.003,0.007,0.043,0.419,0.996
272,Dakota Joshua,10.887789590765700,6.930595474816550,5.893370024457960,12.823965499274500,23.711755090040200,2.9859096021504600,18.603069599909100,28.07070083552810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.011
273,Kevin Labanc,10.859380329536000,10.715453587823300,7.4765925824052600,18.19204617022850,29.051426499764500,4.6709389567971600,23.014331768682900,37.84239380045150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.025,0.522
274,Brandon Duhaime,10.838120896023100,4.892808382904920,3.472702073934200,8.365510456839120,19.203631352862200,2.363075210488560,15.314511537813300,23.072021042349400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,David Krejci,10.824350385075800,14.344033188424700,9.739331935934290,24.08336512435900,34.907715509434800,6.24595551140917,23.376811352367600,42.70608331399650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.005,0.129,0.699
276,Ty Dellandrea,10.70597989663220,10.659241491335400,7.177419981378890,17.836661472714300,28.542641369346500,3.7335989930772900,22.50022129551830,34.436246912469900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.284
277,Justin Faulk,10.6648725077015,16.095769443395900,17.264309639541900,33.36007908293790,44.02495159063940,2.15964664902834,35.72163181068780,42.41857277390540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.259,0.999
278,Marcus Johansson,10.655091687878900,10.715285331418700,8.77723313037825,19.492518461797000,30.147610149675900,4.682282632479150,19.652583266266200,34.18742001258870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.013,0.167
279,Anthony Mantha,10.657810375726100,8.430003706394160,6.09706139452312,14.527065100917300,25.184875476643400,5.535840820467320,22.29775560375520,39.76367802217620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.006,0.047,0.448
280,Barclay Goodrow,10.666246618544600,11.372938955674200,9.005789036031100,20.378727991705300,31.044974610249900,3.359813372870320,26.427322060451600,35.94027559004850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.018,0.46
281,Oskar Sundqvist,10.663168462060500,9.708767009213990,8.33349030462867,18.042257313842700,28.70542577590310,6.638641980445760,20.577255197915600,40.72286868335470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.002,0.009,0.059,0.329
282,Teuvo Teravainen,10.64659776838080,16.298361695755300,9.72200245774868,26.020364153504000,36.666961921884700,5.429481413295110,26.329723703727900,43.42327250434630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.006,0.148,0.818
283,Aaron Ekblad,10.652237680448200,15.349443682385300,13.96335840674540,29.31280208913070,39.96503976957890,4.4583623524074600,23.58614468093950,38.134255144456200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.633
284,Zach Werenski,10.639108733725500,12.877084186439900,9.130537494995330,22.00762168143530,32.64673041516080,5.902313956529420,17.994166789429200,37.39631448414190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.322
285,Ryan Donato,10.609679779320600,6.916546964142580,4.80409439024142,11.720641354384000,22.3303211337046,22.33072340483710,19.71442196286910,59.180998867535300,0.008,0.008,0.012,0.015,0.016,0.021,0.022,0.027,0.035,0.049,0.07,0.123,0.373
286,Philip Tomasino,10.570684921656600,11.93291218644640,7.164070174234600,19.096982360681000,29.667667282337600,5.358622137599980,18.41365609155500,35.63567613719260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.01,0.252
287,Michael Amadio,10.556192225506700,6.892581163215000,3.7250666549412900,10.61764781815630,21.173840043663000,3.3010283194307700,15.917267277911400,26.74949294406930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002
288,Tyson Jost,10.49805920381440,9.912128495089850,8.511407080384100,18.42353557547390,28.921594779288300,2.2786825183076200,24.705612010495400,32.07497146262780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.279
289,Shea Theodore,10.427231255821200,19.553475889401000,19.224944073791500,38.77841996319240,49.20565121901370,4.837153283073760,36.54293874680470,52.29419371099250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.135,0.847,0.995
290,Darnell Nurse,10.394321712904900,14.133347673149600,14.631644608262700,28.764992281412300,39.15931399431720,6.811733856500590,36.25294988827130,44.16297119575980,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.01,0.552,1.0
291,Evan Bouchard,10.356210264593900,13.947385436587000,16.301113439665400,30.2484988762524,40.60470914084630,2.8754825028030000,33.95266418096950,43.33174306755130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309,0.997
292,Oliver Wahlstrom,10.341160196503600,6.90266199629759,6.128586336977020,13.031248333274600,23.372408529778200,7.161186207365120,17.51978015118130,39.56383087913670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.013,0.045,0.3
293,Jared Spurgeon,10.333267303469100,10.679699744647500,12.562336260572400,23.24203600521980,33.57530330868890,3.379308431438710,25.302376921975600,36.256712524446900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.61
294,Cole Perfetti,10.285789044027800,11.190844528925900,8.208662879020870,19.399507407946800,29.68529645197460,5.27741094218408,19.275123250114300,37.52029423170380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.339
295,Nick Bonino,10.209891583944200,7.822864114923560,5.930472305414970,13.753336420338500,23.96322800428280,4.262289169605760,21.019013506763300,34.81573352166230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.275
296,Morgan Barron,10.197361576967500,8.394662437405140,5.4834738178354800,13.878136255240600,24.075497832208100,3.5044882624181800,17.980284154096500,29.442449750077300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036
297,Rasmus Dahlin,10.141069932731200,22.589727323487100,16.758504830639100,39.34823215412610,49.48930208685740,4.3801014558841400,33.839217417579200,46.498409067498800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.004,0.012,0.579,0.996
298,Jesper Boqvist,10.131263143230200,6.160348781339660,6.497447893190800,12.657796674530500,22.789059817760700,2.8905575081662100,18.339956671146000,27.84712481604630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009
299,Mike Matheson,10.135359573064700,15.276876453967300,13.150520855912600,28.42739730987990,38.56275688294470,4.6827652410955300,28.602746567871800,44.58556448735820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.261,0.925
300,Tyson Barrie,10.131114005565200,17.383544007817000,16.479423931093500,33.86296793891050,43.994081944475600,3.055935841266620,31.44273456621210,41.449872174469100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,0.978
301,Cole Sillinger,10.004136502827300,8.18342008930565,6.0734970834580500,14.256917172763700,24.261053675591,4.5690959120789800,19.09281132828260,33.9448833094101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.007,0.139
302,Thomas Chabot,10.010331284694800,18.91192605518300,17.621919853357100,36.53384590854010,46.54417719323480,4.794257806875380,29.981600940401300,44.5590722274411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.009,0.269,0.948
303,Garnet Hathaway,10.008077255347500,6.1204241910872100,4.976286306747680,11.096710497834900,21.104787753182400,43.81708486237170,16.120710153263400,25.849141841153300,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.005,0.006,0.008,0.01,0.012,0.026
304,Paul Stastny,9.973781958982510,7.833398972862220,7.112991064281850,14.946390037144100,24.920171996126600,5.301589344461330,21.281210024518800,37.600042256018000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.029,0.399
305,Devon Toews,9.970438570943520,16.724687197114500,21.033235691312100,37.757922888426600,47.72836145937010,4.505578356517600,38.24966265223800,52.16624212904160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.073,0.828,1.0
306,Brendan Gallagher,9.946265456365310,6.883251532784190,5.1218886885220300,12.005140221306200,21.951405677671500,5.103592674059110,15.069788361265700,31.99029819955310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.091
307,Colton Sissons,9.9273476748986,7.860402391120920,8.096104006833750,15.95650639795470,25.883854072853300,7.580983304395490,23.411243219070600,47.68021509424570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.009,0.036,0.131,0.525
308,Logan O'Connor,9.888889819627130,9.015389822813420,5.213902673482580,14.229292496296,24.118182315923100,3.3940390637540300,17.671804682617600,28.794242527310100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027
309,Noah Dobson,9.834250740192560,17.57424395151660,14.029346284946400,31.603590236463000,41.43784097665560,3.6110758912055100,28.369923618970800,40.33790688056920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.887
310,Christian Fischer,9.754887227361400,7.966819338395530,5.0744706084964000,13.041289946891900,22.796177174253300,6.450970126686830,18.96397823717530,38.156250774929100,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.004,0.008,0.03,0.186
311,Sonny Milano,9.720936238188750,9.180729569104510,7.836810206972350,17.01753977607690,26.738476014265600,4.063477060166840,20.92869097239160,34.244969382465400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.297
312,Paul Cotter,9.69654155672442,4.5513247395329000,3.462009934638010,8.013334674170900,17.709876230895300,3.5193854851577800,12.122184358650700,23.459070135557900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
313,Oskar Lindblom,9.511049850174350,6.832980113829030,4.8816924228197300,11.714672536648800,21.22572238682310,13.619202695446600,20.047950603701800,55.69893777637060,0.001,0.001,0.002,0.004,0.005,0.006,0.007,0.01,0.021,0.04,0.067,0.136,0.304
314,Mason Appleton,9.47113631107626,9.904948873212540,7.195797602596810,17.100746475809400,26.57188278688560,4.216713951053640,19.378543010258400,33.25192616457860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.192
315,Connor Dewar,9.455479840079920,8.593068427465360,6.199289974223870,14.792358401689200,24.247838241769100,2.8531196267254900,19.906403801679000,27.52494417966070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.015
316,John Carlson,9.417961905387470,17.274498852475600,14.457504278667000,31.732003131142600,41.149965036530000,7.170478036789200,22.46296334684930,43.341391822714700,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.002,0.004,0.016,0.137,0.685
317,K'Andre Miller,9.413867789478240,10.704394204451100,11.89553160191130,22.599925806362300,32.01379359584060,2.99853678736945,26.146166516663500,35.92550215075120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.585
318,Radek Faksa,9.38665332494171,7.358811773256770,5.141268108674910,12.50007988193170,21.886733206873400,12.52700891596080,20.426826039134500,51.622236245546800,0.001,0.001,0.001,0.003,0.004,0.005,0.007,0.009,0.014,0.029,0.062,0.122,0.307
319,Seth Jones,9.398292403386840,15.068220320091900,15.227257167667200,30.295477487759100,39.693769891145900,3.3342440803867400,26.62076547065900,37.20930753181980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.725
320,Luke Kunin,9.401408485382660,7.788752632857410,5.407464903857850,13.196217536715300,22.59762602209790,7.947903102562530,15.18389161235010,38.28870759036320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.008,0.012,0.044,0.143
321,Mikhail Sergachev,9.390274686936680,25.692312168003500,21.584398342116100,47.27671051011960,56.6669851970563,2.297713669654980,47.66096142918160,55.19866765184890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.761,1.0,1.0
322,Tony DeAngelo,9.385159019122150,15.358984619019200,12.008434597864300,27.367419216883500,36.752578236005700,4.400054820089890,23.395458184795500,37.816900855209200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.602
323,Jason Dickinson,9.329243012168550,8.428167647724010,7.395539594958220,15.823707242682200,25.15295025485080,2.637925442982430,20.36382726684750,28.467632182662200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023
324,Lukas Reichel,9.317052769301380,6.0146251167846500,3.4618263575104200,9.476451474295070,18.79350424359650,4.342600621918190,10.82038216895360,25.114096240612900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006
325,Sam Gagner,9.265531975637320,6.983916305423420,5.868678922217890,12.852595227641300,22.118127203278600,10.832643612550600,16.620713474684100,47.25594846876780,0.0,0.0,0.0,0.0,0.001,0.002,0.003,0.005,0.009,0.021,0.043,0.099,0.278
326,Matt Nieto,9.237359895502950,6.509217967677430,5.983292462258900,12.492510429936300,21.72987032543930,2.4143056844031600,17.362529296539600,25.313641701778300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
327,Jimmy Vesey,9.215102454387870,5.999309590425020,6.215415254137240,12.214724844562300,21.429827298950100,2.187968682058150,17.724950861051800,24.812975305158100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,Rasmus Andersson,9.179336255274830,21.87947912737340,19.44111560352160,41.320594730895,50.49993098616980,1.7364411864126200,37.119977085955000,42.59700135420550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514,1.0
329,Mattias Ekholm,9.13221527154976,12.438222719194100,10.642989111480300,23.08121183067450,32.21342710222430,2.484088423392650,28.086994352522300,35.642969831381400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.009,0.797
330,Kyle Okposo,9.093784426346080,7.692977164663550,6.2006793022132,13.893656466876800,22.987440893222800,7.520023947341500,20.59017124698380,44.55713994143160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.021,0.107,0.451
331,Derick Brassard,9.007946036695220,6.0277062334208400,5.13924877928157,11.16695501270240,20.174901049397600,6.924101454038280,14.861588450134000,29.847182486723500,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.004,0.007,0.013,0.016,0.049
332,Casey Cizikas,8.980308410150810,6.955326493345040,4.781179778417170,11.736506271762200,20.71681468191300,2.2917990267267100,16.27260398616760,23.949839098979100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,Zemgus Girgensons,8.953943467678800,5.285133896004390,4.395647549082220,9.680781445086610,18.634724912765400,1.7402737886442000,15.395551263489400,21.11213664677520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,Jonatan Berggren,8.902484168520510,6.85128322364623,5.075529392660440,11.926812616306700,20.829296784827200,3.922847321221930,12.726671209574000,24.855926237000800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.008
335,Ryan Poehling,8.878681634915410,7.6875574241433000,3.716419266791190,11.403976690934500,20.28265832584990,29.710146361117000,15.630108423368200,81.02872824509040,0.012,0.017,0.022,0.024,0.027,0.031,0.043,0.053,0.065,0.082,0.109,0.151,0.216
336,Kris Letang,8.854550383291590,20.534560061592200,19.499737080000600,40.034297141592800,48.8888475248844,4.466199288313580,34.302340949495900,48.43618179582000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.021,0.658,0.996
337,Connor Brown,8.828579886836080,8.662582671803480,6.7632692507688800,15.42585192257240,24.254431809408400,4.867203768158160,15.088348323266500,30.911492508535000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.072
338,Quinton Byfield,8.797100171944940,11.949823280989500,8.655332952662520,20.605156233652000,29.40225640559700,8.164708283367350,21.714534558729800,48.41777368858800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.009,0.041,0.164,0.599
339,Jakob Silfverberg,8.767288902607740,8.96184573650836,6.61845666829144,15.5803024047998,24.347591307407500,45.18370542940770,18.23142510990370,95.03407515875060,0.03,0.031,0.035,0.04,0.045,0.047,0.054,0.059,0.069,0.086,0.115,0.197,0.383
340,Rem Pitlick,8.740427560830310,9.695333208665840,6.158876102388200,15.854209311054000,24.594636871884400,5.585253992640850,18.94568457476760,35.89050706116850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.006,0.017,0.206
341,Nic Dowd,8.721583181925970,6.023018899288280,4.403490505858580,10.42650940514690,19.148092587072800,2.9930914703660300,13.7440437058892,23.517752902199600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001
342,Dmitry Orlov,8.73638895316416,13.620651014108800,14.492678376311400,28.113329390420200,36.84971834358440,2.745169356600520,31.09714253302370,39.55564661609080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.036,0.973
343,Cam Fowler,8.718077957685830,14.586379877971200,15.344692091681500,29.93107196965280,38.6491499273386,2.4356024187397900,30.297516011384100,38.03503036362770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.956
344,Sebastian Aho,8.714117944055980,10.716040813528800,8.33671928732459,19.052760100853400,27.766878044909400,4.921781347923500,23.598348033307900,37.59926729636390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.009,0.039,0.404
345,Eric Staal,8.70490416588794,7.891591254924610,5.056252781367770,12.947844036292400,21.652748202180300,7.8397813186583,18.543021984445700,41.254798463090800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.006,0.019,0.057,0.266
346,Steven Lorentz,8.671198818746150,3.7532660958561400,5.211358404996480,8.964624500852620,17.63582331959880,2.8114845253145000,13.19626485570300,22.58165688453070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,Marcus Foligno,8.650131425357620,7.881995857832760,6.218796794674070,14.100792652506800,22.750924077864500,5.14125563876578,17.68127661871590,34.24249469510480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.169
348,Nikita Zadorov,8.654848922396170,6.72054388211016,7.518025797644250,14.238569679754400,22.893418602150600,2.021530715522140,19.753662304326000,26.282073350127000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
