,Player,Position,Team,Age,Games,Average TOI,Goals,Primary Assists,Secondary Assists,Total Assists,Points
52,Alex DeBrincat,LW/RW,DET,25.8,74,18.4,33,22,17,40,72
53,Ryan Nugent-Hopkins,C/LW,EDM,30.5,73,19.5,25,24,23,47,72
54,Tyler Toffoli,RW,NJ,31.4,80,16.6,34,19,19,38,72
55,Anze Kopitar,C,LA,36.1,78,20.0,23,27,22,49,72
56,Claude Giroux,C/RW,OTT,35.7,79,18.0,30,23,19,42,72
57,Trevor Zegras,C,ANA,22.5,79,19.2,25,28,19,47,71
58,Matt Boldy,LW/RW,MIN,22.5,71,18.6,31,21,18,39,70
59,Jared McCann,LW,SEA,27.3,74,16.7,35,20,15,35,70
60,Elias Lindholm,C,CGY,28.8,76,18.5,27,24,20,43,70
61,Victor Hedman,D,TB,32.8,76,24.9,13,32,25,57,69
62,Nick Schmaltz,C/RW,ARI,27.6,71,18.9,22,26,20,46,68
63,Patrik Laine,LW/RW,CBJ,25.5,66,19.6,29,22,18,40,68
64,Jeff Skinner,LW,BUF,31.4,77,16.9,29,23,17,39,68
65,Adam Fox,D,NYR,25.6,75,24.3,12,30,26,56,68
66,Brandon Hagel,LW,TB,25.1,80,18.5,32,20,15,36,67
67,Joel Eriksson Ek,C,MIN,26.7,77,19.5,25,22,20,43,67
68,Nick Suzuki,C,MTL,24.1,77,19.9,23,24,20,44,67
69,Tomas Hertl,C,SJ,29.9,71,18.9,26,22,19,41,67
70,Drake Batherson,RW,OTT,25.4,75,18.4,25,25,17,42,67
71,Vincent Trocheck,C,NYR,30.2,77,17.9,22,27,18,45,66
72,Brock Boeser,RW,VAN,26.6,75,17.4,25,22,19,41,66
73,Roman Josi,D,NSH,33.3,73,24.7,16,28,23,50,66
74,Chandler Stephenson,C,VGK,29.4,79,18.8,20,25,22,46,66
75,Valeri Nichushkin,LW/RW,COL,28.6,71,19.0,24,22,20,42,66
76,Brayden Schenn,C/LW,STL,32.1,76,17.9,23,23,19,43,65
77,Chris Kreider,LW,NYR,32.4,77,17.2,37,14,14,28,65
78,Jonathan Marchessault,RW,VGK,32.8,78,16.7,27,22,16,38,65
79,Travis Konecny,RW,PHI,26.6,65,19.9,27,22,15,38,65
80,Joe Pavelski,C/RW,DAL,39.2,78,16.7,22,23,19,42,64
81,Erik Karlsson,D,PIT,33.3,65,23.8,14,27,23,50,64
82,Matty Beniers,C,SEA,20.9,78,18.4,26,22,15,37,63
83,Dougie Hamilton,D,NJ,30.3,68,23.4,16,25,23,47,63
84,Dylan Cozens,C,BUF,22.6,77,17.2,27,21,14,35,62
85,Adrian Kempe,C/RW,LA,27,75,18.9,32,16,14,30,62
86,Evgeni Malkin,C,PIT,37.2,63,16.6,20,23,18,42,62
87,Nikolaj Ehlers,LW,WPG,27.6,58,16.1,24,22,15,37,62
88,Troy Terry,RW,ANA,26.1,68,18.9,24,22,15,37,61
89,Dawson Mercer,C/RW,NJ,21.9,80,17.5,26,23,12,35,61
90,Rickard Rakell,RW,PIT,30.4,78,17.9,25,18,18,36,61
91,David Perron,LW/RW,DET,35.3,78,16.0,25,19,16,35,60
92,Andrew Mangiapane,LW/RW,CGY,27.5,78,16.8,27,19,14,33,60
93,Andre Burakovsky,LW/RW,SEA,28.6,67,16.8,22,22,17,39,60
94,Filip Forsberg,LW,NSH,29.1,62,17.1,27,19,15,33,60
95,Miro Heiskanen,D,DAL,24.2,76,25.3,12,26,22,49,60
96,Michael Bunting,LW,CAR,28,75,15.7,23,22,14,36,59
97,Carter Verhaeghe,C/LW,FLA,28.1,71,15.1,30,15,14,29,59
98,Mats Zuccarello,RW,MIN,36.1,68,17.4,18,25,16,41,58
99,Logan Couture,C,SJ,34.5,75,17.9,25,18,15,34,58
100,Vladimir Tarasenko,RW,OTT,31.8,69,16.8,24,18,16,34,58
101,Andrei Kuzmenko,LW,VAN,27.7,77,16.1,26,17,15,32,58
102,Max Domi,C/LW,TOR,28.6,77,17.2,18,24,15,39,57
103,Pavel Zacha,C,BOS,26.5,78,16.9,21,19,17,36,57
104,Nazem Kadri,C,CGY,33,70,17.0,20,22,16,37,57
105,J.T. Compher,LW/RW,DET,28.5,78,19.3,21,19,17,36,57
106,Jamie Benn,LW,DAL,34.2,78,14.8,22,18,17,35,57
107,Mikhail Sergachev,D,TB,25.3,79,24.3,9,26,22,47,57
108,Patrice Bergeron,C,-,38.2,78,15.3,23,16,17,33,56
109,Matt Duchene,C/RW,DAL,32.7,69,17.3,22,19,15,34,56
110,Alex Killorn,LW/RW,ANA,34,79,16.3,24,18,15,33,56
111,Anders Lee,LW,NYI,33.2,78,16.9,30,14,12,26,56
112,Artturi Lehkonen,LW,COL,28.2,72,19.0,23,17,16,33,56
113,Seth Jarvis,C/RW,CAR,21.7,76,16.7,21,22,14,35,56
114,Jordan Eberle,RW,SEA,33.4,77,16.3,22,20,14,34,56
115,Phillip Danault,C,LA,30.6,78,18.0,19,19,17,37,56
116,Evgeny Kuznetsov,C,WSH,31.4,68,17.6,14,24,17,41,55
117,Josh Morrissey,D,WPG,28.5,71,23.6,13,23,19,42,55
118,Bryan Rust,RW,PIT,31.4,71,17.9,24,16,15,31,55
119,Tim Stutzle,C/LW,OTT,21.7,70,21.0,21,20,14,34,55
120,Lucas Raymond,LW/RW,DET,21.5,76,18.1,21,18,15,33,55
121,Kevin Hayes,C,STL,31.4,74,17.3,18,22,14,37,55
122,Cale Makar,D,COL,24.9,56,25.2,13,23,18,41,54
123,Ryan Strome,LW/RW,ANA,30.2,77,16.7,18,18,17,36,54
124,William Karlsson,C,VGK,30.7,78,17.3,16,20,18,38,54
125,Nino Niederreiter,RW,WPG,31.1,79,15.7,27,13,13,26,53
126,Quinn Hughes,D,VAN,24,71,23.9,7,25,21,46,53
127,Andrew Copp,C,DET,29.2,78,17.9,16,22,14,37,52
128,Sam Bennett,C,FLA,27.3,66,17.8,22,17,14,31,52
129,Jack Eichel,C,VGK,26.9,57,18.4,21,17,14,31,52
130,Jack Roslovic,C,CBJ,26.7,74,17.1,17,19,15,34,51
131,Conor Garland,RW,VAN,27.6,74,15.7,19,18,14,32,51
132,Charlie McAvoy,D,BOS,25.8,69,23.5,9,23,19,42,51
133,Mikael Backlund,C,CGY,34.5,80,17.2,15,20,16,36,51
134,Noah Cates,C/LW,PHI,24.7,78,18.0,20,16,14,30,51
135,Rasmus Andersson,D,CGY,26.9,80,24.4,9,22,19,41,50
136,Joel Farabee,LW,PHI,23.6,71,17.4,21,15,14,30,50
137,Jean-Gabriel Pageau,C,NYI,30.9,77,17.2,19,17,14,31,50
138,Dominik Kubalik,LW,OTT,28.1,79,15.3,22,15,13,28,50
139,Blake Wheeler,RW,NYR,37.1,59,16.9,13,21,15,36,50
140,Rasmus Dahlin,D,BUF,23.5,69,24.6,10,23,17,39,49
141,Brent Burns,D,CAR,38.6,76,22.5,12,20,18,38,49
142,Jake DeBrusk,LW/RW,BOS,27,61,17.0,24,14,11,25,49
143,Shea Theodore,D,VGK,28.2,69,21.7,10,20,19,39,49
144,Oliver Bjorkstrand,RW,SEA,28.5,66,16.2,21,16,12,28,49
145,Frank Vatrano,C/LW,ANA,29.6,79,16.0,23,14,12,26,49
146,Kris Letang,D,PIT,36.4,69,23.2,9,21,19,40,49
147,Dylan Strome,C,WSH,26.6,61,17.1,19,15,14,29,49
148,Vince Dunn,D,SEA,26.9,74,22.8,13,18,18,36,49
149,Ivan Barbashev,C/LW,VGK,27.8,70,17.4,19,16,14,30,49
150,Anthony Beauvillier,LW/RW,VAN,26.3,76,16.7,20,16,13,28,49
151,Brandon Saad,LW,STL,30.9,70,16.8,23,14,11,25,48
152,Mikael Granlund,C/RW,SJ,31.6,76,17.9,14,18,15,34,48
153,Devon Toews,D,COL,29.6,77,23.9,10,17,21,38,48
154,Owen Tippett,RW,PHI,24.6,69,17.4,22,15,10,26,48
155,Casey Mittelstadt,C,BUF,24.9,69,15.9,14,19,14,33,47
156,Kent Johnson,C/LW,CBJ,21,78,16.3,18,17,12,30,47
157,Mason McTavish,C/LW,ANA,20.7,74,17.1,17,18,12,30,47
158,Cole Caufield,LW/RW,MTL,22.7,56,17.8,28,10,9,19,47
159,Tomas Tatar,LW/RW,COL,32.8,75,14.0,19,14,14,28,47
160,Thomas Chabot,D,OTT,26.7,68,24.3,10,19,18,37,47
161,Lawson Crouse,LW/RW,ARI,26.3,74,18.0,22,14,10,24,46
162,Barrett Hayton,C,ARI,23.3,75,18.0,19,15,11,27,46
163,Ryan O'Reilly,C,NSH,32.6,66,17.4,19,15,12,27,46
164,Taylor Hall,LW,CHI,31.9,70,15.4,17,17,12,29,46
165,Taylor Raddysh,RW,CHI,25.6,79,16.8,20,14,11,25,46
166,Jaden Schwartz,C/LW,SEA,31.3,72,17.0,19,15,12,27,46
167,Anton Lundell,C,FLA,22,71,16.8,17,17,12,28,46
168,Wyatt Johnston,C,DAL,20.4,74,17.1,22,14,10,24,46
169,Reilly Smith,LW/RW,PIT,32.5,66,16.3,18,15,12,28,45
170,Brandon Montour,D,FLA,29.5,73,20.7,11,17,17,34,45
171,Tyler Seguin,C/RW,DAL,31.7,74,16.1,19,14,12,26,45
172,Boone Jenner,C/LW,CBJ,30.3,60,19.1,21,13,11,24,45
173,Shane Pinto,C,OTT,22.9,77,16.3,19,14,12,26,45
174,Yanni Gourde,C,SEA,31.8,76,16.5,16,16,12,28,45
175,Victor Olofsson,LW/RW,BUF,28.2,69,14.7,22,13,10,22,44
176,Daniel Sprong,RW,DET,26.5,68,12.2,21,15,8,23,44
177,Kailer Yamamoto,RW,SEA,25,68,17.7,19,14,12,25,44
178,Justin Faulk,D,STL,31.5,79,22.0,11,16,17,33,44
179,Tyson Barrie,D,NSH,32.2,73,19.6,10,17,16,34,44
180,T.J. Oshie,RW,WSH,36.8,65,15.9,20,12,12,24,44
181,Viktor Arvidsson,LW/RW,LA,30.5,61,16.7,17,16,11,27,44
182,Alex Pietrangelo,D,VGK,33.7,71,23.1,11,15,17,32,44
183,Moritz Seider,D,DET,22.5,78,24.2,8,19,17,36,43
184,Shayne Gostisbehere,D,DET,30.4,76,21.2,12,16,15,31,43
185,Morgan Frost,C,PHI,24.4,69,16.6,17,14,12,26,43
186,Matias Maccelli,LW,ARI,23,65,15.7,13,18,12,31,43
187,Alex Iafallo,LW,WPG,29.8,69,16.2,15,15,13,28,43
188,Jason Zucker,LW,ARI,31.7,66,15.2,21,12,10,22,43
189,Alex Wennberg,C,SEA,29,77,18.3,16,15,12,27,43
190,Jack Quinn,RW,BUF,22,76,15.0,17,15,11,26,42
191,Jesperi Kotkaniemi,C,CAR,23.2,72,15.5,16,13,13,26,42
192,Jakob Chychrun,D,OTT,25.5,61,23.4,12,15,16,31,42
193,Tyler Bertuzzi,LW,TOR,28.6,57,16.8,16,15,11,26,42
194,Mason Marchment,LW,DAL,28.3,68,15.3,16,15,11,26,42
195,Noah Dobson,D,NYI,23.7,67,19.8,10,18,14,32,41
196,Filip Hronek,D,VAN,25.9,74,22.4,8,15,18,33,41
197,Morgan Rielly,D,TOR,29.6,65,22.1,6,19,16,35,41
198,John Carlson,D,WSH,33.7,53,22.2,9,17,14,32,41
199,Kirby Dach,C,MTL,22.7,64,19.2,15,15,11,26,41
200,Noah Hanifin,D,CGY,26.7,78,22.6,8,16,16,32,41
201,Evan Bouchard,D,EDM,23.9,75,18.9,10,14,16,30,41
202,Josh Norris,C,OTT,24.4,55,18.4,21,10,10,20,41
203,Alexander Barabanov,LW/RW,SJ,29.3,59,17.2,13,16,12,28,40
204,Ryan Hartman,C/RW,MIN,29,63,16.3,16,14,10,25,40
205,Ilya Mikheyev,LW/RW,VAN,29,61,16.4,19,13,9,22,40
206,Kyle Palmieri,RW,NYI,32.7,64,16.3,18,13,10,22,40
207,Hampus Lindholm,D,BOS,29.7,75,22.4,9,17,15,32,40
208,Jake Sanderson,D,OTT,21.2,78,22.8,9,15,17,32,40
209,Yegor Sharangovich,C/LW,CGY,25.3,79,14.7,19,13,9,22,40
210,Blake Coleman,C/RW,CGY,31.8,78,15.1,18,13,9,22,40
211,Tyler Johnson,C,CHI,33.2,66,15.8,17,13,10,23,40
212,Aaron Ekblad,D,FLA,27.6,59,23.7,11,15,14,29,40
213,Scott Laughton,C,PHI,29.3,72,17.4,16,12,12,24,40
214,Anthony Cirelli,C,TB,26.2,71,16.3,15,14,11,25,40
215,Neal Pionk,D,WPG,28.2,79,21.6,8,16,16,32,40
216,Trevor Moore,LW,LA,28.5,62,17.1,14,15,10,26,40
217,Seth Jones,D,CHI,29,69,24.0,9,15,15,30,40
218,Mark Stone,RW,VGK,31.4,43,18.8,16,14,10,24,40
219,Christian Dvorak,C,MTL,27.7,68,17.1,15,13,12,25,40
220,Evander Kane,LW,EDM,32.2,51,17.5,20,10,9,19,40
221,Darnell Nurse,D,EDM,28.7,78,22.2,10,14,15,29,39
222,Cam Fowler,D,ANA,31.8,75,23.5,9,15,15,30,39
223,Gustav Forsling,D,FLA,27.3,70,22.6,12,14,13,27,39
224,Mike Matheson,D,MTL,29.6,63,22.2,10,15,13,28,39
225,Filip Chytil,C,NYR,24.1,56,15.6,16,14,8,22,39
226,Gabriel Vilardi,C,WPG,24.1,55,15.8,19,11,8,20,39
227,Conor Sheary,LW,TB,31.3,75,14.8,16,13,9,22,38
228,Ondrej Palat,LW,NJ,32.5,62,15.3,14,14,11,24,38
229,Andreas Athanasiou,C,CHI,29.2,73,15.8,17,12,9,21,38
230,Evgenii Dadonov,RW,DAL,34.6,77,13.7,14,13,11,24,38
231,Erik Haula,LW,NJ,32.5,69,15.9,14,14,10,24,38
232,Alex Newhook,C,MTL,22.7,76,14.2,16,13,10,22,38
233,Evan Rodrigues,C/LW,FLA,30.2,63,16.2,15,12,11,23,38
234,Eeli Tolvanen,LW/RW,SEA,24.4,73,14.6,19,11,8,19,38
235,Thomas Novak,C,NSH,26.4,52,15.0,13,14,11,25,38
236,JJ Peterka,RW,BUF,21.7,75,14.4,14,15,9,24,38
237,Dillon Dube,C/LW,CGY,25.2,66,14.8,16,12,10,22,38
238,Samuel Girard,D,COL,25.4,74,21.6,7,15,15,30,37
239,Dmitry Orlov,D,CAR,32.2,75,21.2,9,14,14,28,37
240,Tony DeAngelo,D,CAR,27.9,57,21.5,9,15,12,27,37
241,Teuvo Teravainen,LW/RW,CAR,29.1,54,16.5,11,16,10,26,37
242,Gustav Nyquist,LW,NSH,34.1,65,16.1,12,14,11,24,37
243,Frederick Gaudreau,C,MIN,30.4,78,15.2,14,12,10,23,36
244,Charlie Coyle,C,BOS,31.6,79,15.7,14,12,10,22,36
245,Ross Colton,C/LW,COL,27.1,70,12.2,19,11,6,17,36
246,Damon Severson,D,CBJ,29.2,79,20.1,7,14,14,29,36
247,James van Riemsdyk,LW,BOS,34.4,67,13.7,14,12,10,22,36
248,Nicolas Roy,C/RW,VGK,26.7,59,17.0,14,12,9,21,35
249,Kaapo Kakko,RW,NYR,22.6,67,15.2,15,12,9,20,35
250,Cody Glass,C,NSH,24.5,64,14.7,13,12,10,22,35
251,Tom Wilson,RW,WSH,29.5,51,17.6,17,11,8,18,35
252,David Krejci,C,-,37.4,54,15.5,11,14,10,24,35
253,Arthur Kaliyev,RW,LA,22.3,61,12.9,14,12,9,21,35
254,Alexander Kerfoot,C/LW,ARI,29.1,77,14.1,11,13,10,23,34
255,Jaccob Slavin,D,CAR,29.4,80,21.9,7,13,15,27,34
256,Nicholas Paul,C/LW,TB,28.5,76,15.7,15,11,9,19,34
257,Warren Foegele,LW,EDM,27.5,72,13.0,14,12,8,20,34
258,Philipp Kurashev,C,CHI,24,73,16.9,13,12,9,21,34
259,Sean Durzi,D,ARI,24.9,69,20.0,8,13,13,26,34
260,Drew Doughty,D,LA,33.8,62,24.4,8,11,14,26,34
261,John Klingberg,D,TOR,31.1,59,20.6,7,14,12,26,34
262,Jared Spurgeon,D,MIN,33.8,70,20.8,10,11,13,23,34
263,Ryan Johansen,C,COL,31.2,55,15.2,13,11,10,21,33
264,Michael Rasmussen,C/LW,DET,24.5,67,15.3,14,12,7,19,33
265,Eetu Luostarinen,C/LW,FLA,25.1,78,16.2,13,11,9,20,33
266,Jordan Staal,C,CAR,35.1,79,14.6,14,9,10,19,33
267,Brady Skjei,D,CAR,29.5,80,21.0,11,9,13,22,33
268,Owen Power,D,BUF,20.9,69,22.3,8,12,13,25,33
269,Zach Werenski,D,CBJ,26.2,47,24.6,11,13,9,22,33
270,Phil Kessel,RW,VGK,36,75,11.9,12,11,10,21,33
271,Ryan McLeod,C,EDM,24,70,14.5,13,12,7,19,33
272,Travis Boyd,C,ARI,30,67,15.8,14,11,8,19,33
273,Brett Pesce,D,CAR,28.9,77,21.4,6,14,13,26,33
274,Mike Hoffman,LW,SJ,33.9,57,14.8,14,10,9,18,32
275,Erik Gustafsson,D,NYR,31.5,66,18.5,7,13,12,25,32
276,MacKenzie Weegar,D,CGY,29.7,70,20.8,6,12,14,26,32
277,Adam Henrique,C/LW,ANA,33.6,46,17.1,16,9,8,16,32
278,Mattias Ekholm,D,EDM,33.4,76,20.7,9,12,11,23,32
279,K'Andre Miller,D,NYR,23.7,76,21.8,9,11,12,23,32
280,J.J. Moser,D,ARI,23.3,72,20.8,7,13,12,25,32
281,Rasmus Sandin,D,WSH,23.6,69,19.7,8,12,12,24,32
282,Josh Anderson,RW,MTL,29.4,55,17.2,18,8,6,14,31
283,Ryan Graves,D,PIT,28.4,77,19.3,8,10,13,23,31
284,Kasperi Kapanen,RW,STL,27.2,51,14.4,11,12,8,20,31
285,Barclay Goodrow,C,NYR,30.6,78,13.9,11,11,9,20,31
286,Stefan Noesen,LW/RW,CAR,30.6,65,12.0,11,11,9,19,31
287,Ivan Provorov,D,CBJ,26.7,80,22.8,8,11,12,22,30
288,Adam Lowry,C,WPG,30.5,69,14.9,11,9,10,19,30
289,Marcus Johansson,LW,MIN,33,59,15.4,11,11,9,19,30
290,Nick Ritchie,LW,CGY,27.8,64,13.0,14,9,8,16,30
291,Calle Jarnkrok,C/LW,TOR,32,62,13.8,14,8,8,16,30
292,Pius Suter,C,VAN,27.4,75,13.9,14,10,6,16,30
293,Kirill Marchenko,RW,CBJ,23.2,47,16.8,14,9,7,16,30
294,Jeff Petry,D,DET,35.8,66,20.7,6,11,13,23,30
295,Cole Perfetti,C,WPG,21.7,47,15.5,10,11,8,19,30
296,Philip Tomasino,C,NSH,22.2,49,14.8,11,12,7,19,30
297,Sean Monahan,C,MTL,29,48,16.2,11,11,7,18,30
298,Anthony Duclair,LW,SJ,28.1,50,14.0,12,11,7,18,30
299,Max Comtois,LW,-,24.7,68,13.7,13,10,7,17,29
300,Quinton Byfield,C,LA,21.1,59,14.8,9,12,9,21,29
301,Jacob Trouba,D,NYR,29.6,72,20.4,6,11,12,23,29
302,Kevin Labanc,RW,SJ,27.8,60,13.6,11,11,7,18,29
303,Jesper Fast,RW,CAR,31.8,74,13.9,11,8,9,18,29
304,William Carrier,LW,VGK,28.8,66,12.0,14,10,5,15,29
305,Torey Krug,D,STL,32.5,53,19.1,6,12,11,23,29
306,Tyson Jost,C,BUF,25.6,74,13.8,10,10,9,18,29
307,Adam Boqvist,D,CBJ,23.1,56,19.0,8,11,11,21,29
308,Oskar Sundqvist,C,STL,29.5,65,13.4,11,10,8,18,29
309,Travis Sanheim,D,PHI,27.5,77,20.7,7,11,11,21,29
310,Jesse Puljujarvi,RW,CAR,25.4,72,13.2,12,9,8,16,29
311,Ty Dellandrea,C/RW,DAL,23.2,76,13.7,11,11,7,18,29
312,Jack McBain,C,ARI,23.7,79,13.4,13,9,6,16,28
313,Denis Gurianov,RW,MTL,26.3,63,13.6,11,10,7,17,28
314,Miles Wood,LW,COL,28.1,68,11.4,12,10,6,16,28
315,Vladislav Namestnikov,C/LW,WPG,30.9,71,12.3,11,9,8,16,28
316,Tanner Jeannot,LW/RW,TB,26.3,75,13.9,13,9,7,15,28
317,Matt Grzelcyk,D,BOS,29.7,70,18.4,5,12,11,22,28
318,Sebastian Aho,C,CAR,26.2,72,15.7,9,11,8,19,28
319,Alexis Lafreniere,LW,NYR,22,68,15.7,12,8,8,16,28
320,Robby Fabbri,C,DET,27.7,46,16.4,12,9,7,16,28
321,Juuso Valimaki,D,ARI,25,75,17.7,6,11,11,21,28
322,Michael McLeod,C,NJ,25.7,77,13.7,9,11,8,19,27
323,Ryan Pulock,D,NYI,29,76,20.9,6,11,10,21,27
324,Jake Evans,C,MTL,27.3,70,14.0,7,13,7,20,27
325,Pierre Engvall,LW,NYI,27.3,60,13.0,13,8,6,14,27
326,Nathan Bastian,RW,NJ,25.8,61,12.8,12,8,6,15,27
327,Sonny Milano,LW,WSH,27.4,51,12.9,10,9,8,17,27
328,Brandon Tanev,LW,SEA,31.8,57,13.2,12,9,6,15,27
329,Mason Appleton,C,WPG,27.7,59,15.1,9,10,7,17,27
330,Jeff Carter,C,PIT,38.7,70,12.2,12,8,7,15,26
331,David Kampf,C,TOR,28.7,75,15.1,9,10,8,18,26
332,Yakov Trenin,C/LW,NSH,26.7,76,14.7,13,8,5,13,26
333,Jonathan Drouin,LW,COL,28.5,52,14.4,7,11,8,19,26
334,Nico Sturm,C,SJ,28.4,64,14.1,13,8,6,13,26
335,Zach Parise,LW,NYI,39.2,73,12.7,12,8,6,14,26
336,Josh Bailey,RW,NYI,34,57,13.9,8,10,8,18,26
337,Colton Sissons,C,NSH,29.9,70,14.8,10,8,8,16,26
338,Eric Robinson,LW,CBJ,28.3,64,13.6,11,9,6,15,26
339,Jakub Vrana,LW,STL,27.6,38,14.0,13,8,5,13,26
340,Blake Lizotte,C,LA,25.8,55,14.0,9,10,7,17,26
341,Jonathan Toews,C,CHI,35.4,46,16.2,9,10,7,17,26
342,Marcus Pettersson,D,PIT,27.4,71,18.8,3,12,10,23,26
343,Oliver Ekman-Larsson,D,FLA,32.2,64,19.1,4,12,9,22,25
344,Morgan Geekie,C/RW,BOS,25.2,64,11.6,8,11,7,17,25
345,Keegan Kolesar,RW,VGK,26.5,66,12.0,8,11,6,17,25
346,Colton Parayko,D,STL,30.4,74,21.2,6,8,11,19,25
347,Anthony Mantha,RW,WSH,29,54,13.1,11,8,6,15,25
348,Jason Dickinson,C,CHI,28.2,67,15.8,9,8,7,16,25
349,Nick Leddy,D,STL,32.5,76,20.5,3,12,11,22,25
350,Paul Stastny,C,CAR,37.8,63,11.5,10,8,7,15,25
351,Matt Roy,D,LA,28.6,75,18.4,6,8,10,19,25
352,Nick Bjugstad,C,ARI,31.2,59,14.1,11,8,6,13,25
353,Noah Gregor,C,TOR,25.2,68,12.9,13,7,5,12,25
354,Vladislav Gavrikov,D,LA,27.9,77,21.8,6,9,9,18,25
355,Alexander Romanov,D,NYI,23.7,78,20.8,4,10,11,21,25
356,Rem Pitlick,C,PIT,26.5,58,12.7,9,10,6,16,25
357,Scott Mayfield,D,NYI,31,73,20.8,5,10,10,19,24
358,Matt Dumba,D,ARI,29.2,73,21.3,7,9,9,18,24
359,Jakob Silfverberg,RW,ANA,33,61,14.2,9,9,7,16,24
360,Cole Sillinger,C,CBJ,20.4,67,13.6,10,8,6,14,24
361,Connor Brown,RW,EDM,29.7,52,16.5,9,9,7,15,24
362,Connor Dewar,C,MIN,24.3,77,12.0,9,9,6,15,24
363,Logan O'Connor,RW,COL,27.1,71,14.0,10,9,5,14,24
364,Morgan Barron,C/LW,WPG,24.8,59,13.3,10,8,5,14,24
365,Nick Jensen,D,WSH,33,76,19.7,4,11,10,20,24
366,Nick Bonino,C,NYR,35.4,58,13.4,10,8,6,14,24
367,Adam Pelech,D,NYI,29.1,72,21.2,6,9,10,18,24
368,Jonas Brodin,D,MIN,30.2,70,22.2,5,9,11,19,24
369,Mathieu Joseph,RW,OTT,26.6,64,13.5,8,9,6,15,24
370,Trent Frederic,C/RW,BOS,25.6,61,12.6,13,6,5,11,24
371,Dakota Joshua,C/LW,VAN,27.4,70,12.0,11,7,6,13,24
372,John Marino,D,NJ,26.4,69,20.8,4,11,9,20,24
373,Esa Lindell,D,DAL,29.4,79,19.7,6,9,9,17,24
374,Justin Schultz,D,SEA,33.2,60,16.7,4,10,9,19,23
375,Oliver Wahlstrom,RW,NYI,23.3,51,12.1,10,7,6,13,23
376,Noel Acciari,C/RW,PIT,31.8,64,13.7,12,7,4,11,23
377,Max Pacioretty,LW,WSH,34.9,31,15.5,13,6,4,10,23
378,Peyton Krebs,C,BUF,22.7,53,14.2,8,9,7,15,23
379,Kyle Okposo,RW,BUF,35.5,59,13.5,9,8,6,14,23
380,Mattias Janmark,C,EDM,30.8,60,14.2,8,9,6,15,23
381,Nikita Zadorov,D,CGY,28.5,78,18.3,9,7,8,14,23
382,Christian Fischer,RW,DET,26.5,60,14.5,10,8,5,13,23
383,Jesper Boqvist,C,NJ,24.9,62,12.2,10,6,6,13,23
384,Marcus Foligno,LW/RW,MIN,32.1,47,13.7,9,8,6,14,23
385,Luke Kunin,C,SJ,25.8,51,14.8,9,8,5,13,23
386,Jamie Oleksiak,D,SEA,30.8,72,19.0,6,7,9,16,22
387,Ben Chiarot,D,DET,32.4,70,20.8,6,8,9,16,22
388,Ryan Donato,C,CHI,27.5,52,11.5,11,7,5,12,22
389,Tanner Pearson,LW,MTL,31.1,44,14.7,9,8,5,14,22
390,Cam York,D,PHI,22.7,48,20.5,4,9,9,18,22
391,Sam Gagner,C,WPG,34.1,55,12.5,9,7,6,13,22
392,Jakub Voracek,RW,ARI,34.1,38,15.4,4,10,8,18,22
393,Brendan Gallagher,RW,MTL,31.4,41,13.4,10,7,5,12,22
394,Adam Larsson,D,SEA,30.9,67,22.4,5,8,9,17,22
395,Radek Faksa,C,DAL,29.7,73,13.8,9,7,5,13,22
396,Sam Steel,C,DAL,25.7,50,14.8,8,7,7,14,22
397,Emil Bemstrom,RW,CBJ,24.3,49,12.5,8,8,6,14,22
398,Fabian Zetterlund,LW,SJ,24.1,58,13.4,8,9,5,14,22
399,Jake McCabe,D,TOR,30,72,19.2,3,9,10,18,22
400,Jordan Martinook,LW,CAR,31.2,53,14.3,7,9,6,15,22
401,Matt Nieto,LW,PIT,30.9,66,12.7,9,7,6,12,22
402,Ryan Lomberg,LW,FLA,29.1,72,11.1,11,6,4,11,22
403,Eric Staal,C,FLA,38.9,59,12.2,9,8,5,13,22
404,Jordan Greenway,LW,BUF,26.6,55,13.0,8,8,6,14,22
405,Nils Aman,C,VAN,23.6,67,12.9,9,8,5,13,22
406,Nicolas Hague,D,VGK,24.8,70,17.2,4,9,8,17,21
407,Jimmy Vesey,LW,NYR,30.4,66,13.1,9,6,6,12,21
408,Nick Cousins,C/LW,FLA,30.2,60,10.9,7,8,6,14,21
409,Kevin Shattenkirk,D,BOS,34.7,70,17.3,3,9,9,18,21
410,Jonas Siegenthaler,D,NJ,26.4,76,20.2,3,9,10,18,21
411,Brian Dumoulin,D,SEA,32.1,73,20.2,4,8,10,18,21
412,Oskar Lindblom,LW,SJ,27.1,68,11.4,10,7,5,12,21
413,Danton Heinen,LW,BOS,28.2,51,11.3,9,7,6,13,21
414,Michael Amadio,C,VGK,27.4,53,11.9,11,7,4,11,21
415,Garnet Hathaway,RW,PHI,31.9,66,11.3,10,6,5,11,21
416,Bowen Byram,D,COL,22.3,45,21.2,7,8,7,15,21
417,Erik Brannstrom,D,OTT,24.1,60,17.1,3,8,10,17,21
418,Andreas Johnsson,LW,PIT,28.9,46,12.8,6,8,6,15,21
419,Nate Schmidt,D,WPG,32.2,57,17.4,4,8,8,16,21
420,Jonatan Berggren,LW,DET,23.2,48,13.6,9,7,5,12,21
421,Sam Lafferty,C/RW,VAN,28.6,58,13.7,8,8,6,13,21
422,Teddy Blueger,C,VAN,29.1,53,12.7,7,9,5,14,21
