,Player,Position,Team,Age,Games,Average TOI,Goals,Primary Assists,Secondary Assists,Total Assists,Points
737,Alex Galchenyuk,C,COL,29.6,30,10.5,3,3,2,5,8
738,Matt Luff,RW,DET,26.4,30,10.0,4,3,1,4,8
739,Robin Salo,D,NYI,25,31,14.8,3,2,3,5,8
740,Kyle Clifford,LW,TOR,32.7,28,9.3,1,1,5,6,8
741,Joseph Cramarossa,C,-,30.9,29,10.3,4,2,1,3,8
742,Mac Hollowell,D,TOR,25,36,14.9,1,3,4,7,8
743,Alex Turcotte,C,LA,22.6,37,10.3,3,3,1,4,8
744,Adam Raska,LW,SJ,22,33,11.5,3,3,2,4,8
745,Samuel Bolduc,D,NYI,22.8,36,16.1,3,2,3,5,8
746,Jordie Benn,D,TOR,36.2,34,15.9,2,3,3,6,8
747,Jonas Rondbjerg,RW,VGK,24.5,35,10.7,3,3,1,5,8
748,Brandt Clarke,D,LA,20.6,36,16.5,1,3,3,6,8
749,John Hayden,C,SEA,28.6,31,9.9,5,1,1,2,8
750,Austin Wagner,LW,CHI,26.3,28,10.3,3,3,1,4,8
751,John Leonard,LW,NSH,25.2,29,11.5,4,2,2,4,8
752,Henry Thrun,D,SJ,22.6,35,16.4,1,3,3,7,8
753,Dylan Coghlan,D,CAR,25.6,35,14.2,1,3,3,6,7
754,Derrick Pouliot,D,DAL,29.7,33,16.0,1,3,3,7,7
755,Ben Meyers,C,COL,24.9,31,10.2,4,2,1,3,7
756,Samuel Walker,C,MIN,24.3,28,10.6,3,3,1,4,7
757,Riley Sheahan,C,-,31.8,36,11.1,3,3,2,5,7
758,Jan Jenik,RW,ARI,23,34,10.6,3,2,2,4,7
759,Jordan Gross,D,NSH,28.4,35,16.0,3,2,3,5,7
760,Tyler Kleven,D,OTT,21.7,33,16.4,1,3,3,6,7
761,Matt Kiersted,D,FLA,25.5,32,14.0,2,3,3,6,7
762,Egor Afanasyev,LW,NSH,22.7,37,10.4,3,2,2,4,7
763,Luke Glendening,C,TB,34.4,48,11.9,3,2,2,4,7
764,Otto Koivula,LW,NYI,25.1,31,9.6,2,2,4,5,7
765,Casey Fitzgerald,D,FLA,26.6,37,14.8,1,3,3,6,7
766,Connor Carrick,D,SEA,29.5,22,15.2,1,5,1,7,7
767,Tanner Laczynski,C,PHI,26.3,34,10.0,3,3,1,4,7
768,Alex Vlasic,D,CHI,22.3,41,16.5,1,3,3,6,7
769,Drew Helleson,D,ANA,22.5,31,15.6,4,1,2,3,7
770,David Gustafsson,C,WPG,23.5,36,9.9,3,3,1,5,7
771,Egor Zamula,D,PHI,23.5,35,14.6,1,3,3,6,7
772,Jean-Luc Foudy,C,COL,21.4,30,12.2,3,2,1,4,7
773,Brendan Gaunce,C/LW,CBJ,29.5,30,9.8,3,3,1,4,7
774,Oskar Olausson,RW,COL,20.9,33,11.5,3,2,2,4,7
775,Tristen Robins,C,SJ,21.9,32,12.2,3,2,1,4,7
776,Matej Blumel,RW,DAL,23.3,31,10.4,4,2,1,3,7
777,Fredrik Olofsson,LW,COL,27.3,29,10.1,3,3,1,4,7
778,Justin Braun,D,-,36.6,53,14.8,1,3,3,6,7
779,Laurent Dauphin,C,-,28.5,29,11.0,3,2,1,4,7
780,Travis Dermott,D,ARI,26.8,39,14.9,3,2,3,4,7
781,Joona Koppanen,LW,PIT,25.6,32,10.3,3,2,3,4,7
782,Jakub Zboril,D,BOS,26.6,33,14.8,1,2,3,5,7
783,Ville Heinola,D,WPG,22.7,32,15.5,1,3,3,6,7
784,Alexander Alexeyev,D,WSH,23.9,38,15.4,1,2,3,6,7
785,Tobias Bjornfot,D,LA,22.5,43,14.7,1,2,4,6,7
786,Jake Christiansen,D,CBJ,24.1,36,15.6,1,2,3,6,7
787,Joel Teasdale,LW,MTL,24.6,24,10.3,2,1,4,5,7
788,Isaak Phillips,D,CHI,22,31,15.0,1,3,3,5,7
789,Kyle Criscuolo,C,NJ,31.4,18,10.5,5,1,1,2,7
790,Jonah Gadjovich,LW,SJ,25,30,9.0,3,2,2,3,7
791,Jesper Froden,RW,-,29,24,10.9,2,3,2,5,7
792,David Jiricek,D,CBJ,19.8,45,16.8,1,2,3,6,7
793,Spencer Stastney,D,NSH,23.7,36,16.2,1,3,3,6,7
794,Sam Poulin,LW,PIT,22.6,35,10.7,3,2,1,4,7
795,Christian Wolanin,D,VAN,28.5,32,15.2,1,3,3,6,7
796,Jarred Tinordi,D,CHI,31.6,34,15.7,1,2,3,5,7
797,Josh Brown,D,ARI,29.7,48,15.1,2,2,3,5,7
798,Carson Meyer,RW,CBJ,26.1,28,10.5,3,3,1,4,7
799,Olle Lycksell,RW,PHI,24.1,28,11.1,3,2,2,4,7
800,Nathan Beaulieu,D,ANA,30.8,37,15.8,1,3,3,6,7
801,Jacob Bryson,D,BUF,25.9,38,16.3,1,3,3,5,7
802,Aidan McDonough,LW,VAN,23.9,30,10.1,4,2,1,3,7
803,Tucker Poolman,D,VAN,30.3,27,15.6,1,4,2,6,7
804,Kaedan Korczak,D,VGK,22.7,33,15.7,1,3,3,5,7
805,Kale Clague,D,BUF,25.3,39,13.8,1,2,3,5,7
806,Tyler Tucker,D,STL,23.6,40,14.5,1,2,3,5,6
807,Benoit-Olivier Groulx,C,ANA,23.6,33,11.4,3,2,1,4,6
808,Haydn Fleury,D,TB,27.2,39,13.6,2,2,3,5,6
809,Semyon Der-Arguchintsev,C,TOR,23,34,10.1,3,2,1,4,6
810,Zac Jones,D,NYR,23,36,15.7,2,2,3,5,6
811,Dominic Toninato,C,WPG,29.6,32,8.8,2,1,3,4,6
812,Filip Roos,D,CHI,24.7,34,15.4,1,2,3,5,6
813,Ben Harpur,D,NYR,28.7,37,14.0,1,2,3,5,6
814,Andreas Englund,D,LA,27.7,36,13.4,1,3,3,5,6
815,Ryan Carpenter,C,NYR,32.7,34,9.6,3,2,2,4,6
816,Jack Rathbone,D,VAN,24.4,32,14.9,2,1,3,4,6
817,Lukas Sedlak,C,-,30.6,24,11.8,3,2,1,3,6
818,Cole McWard,D,VAN,22.3,31,15.3,3,1,2,3,6
819,William Lockwood,RW,FLA,25.3,29,10.9,3,2,2,3,6
820,Stanislav Svozil,D,CBJ,20.7,40,16.9,1,2,3,5,6
821,Milos Kelemen,LW,ARI,24.2,31,9.5,3,2,1,3,6
822,Kyle Capobianco,D,WPG,26.1,31,14.2,3,2,2,3,6
823,Joe Snively,C,WSH,27.7,21,11.3,3,2,1,3,6
824,Darren Helm,C,-,36.7,38,10.0,3,2,1,3,6
825,Jacob Bernard-Docker,D,OTT,23.3,35,14.7,1,2,3,5,6
826,William Dufour,RW,NYI,21.7,36,9.5,3,2,1,3,6
827,Sampo Ranta,LW,COL,23.3,32,10.5,3,2,1,3,6
828,Andy Andreoff,C,NYI,32.4,23,9.6,1,1,3,5,6
829,Marian Studenic,LW,SEA,24.9,27,11.0,3,2,1,3,6
830,Mike Hardman,RW,CHI,24.7,32,10.6,3,2,1,3,6
831,Givani Smith,RW,SJ,25.6,31,8.3,3,2,1,3,6
832,Gabriel Carlsson,D,WSH,26.7,26,14.5,1,2,3,5,6
833,Vladislav Kolyachonok,D,ARI,22.4,40,14.9,1,2,3,5,6
834,Jackson Cates,C/LW,PHI,26,30,10.6,3,2,1,3,6
835,Matt Irwin,D,VAN,35.8,35,13.8,1,2,2,4,6
836,Akito Hirose,D,VAN,24.5,31,16.6,1,1,3,5,6
837,Philippe Myers,D,TB,26.7,25,13.7,2,1,3,4,6
838,Zac Dalpe,C,FLA,33.9,26,9.5,3,2,1,3,6
839,Matthew Highmore,C,STL,27.6,26,12.5,3,2,1,3,6
840,Lias Andersson,C,LA,25,27,11.5,3,2,1,3,6
841,Beck Malenstyn,LW,WSH,25.7,26,10.4,3,2,1,3,6
842,Cole Koepke,LW,TB,25.4,30,9.6,3,2,1,3,6
843,Ronnie Attard,D,PHI,24.5,37,15.6,1,2,3,4,6
844,Mikhail Maltsev,LW,COL,25.6,30,9.9,3,2,1,3,6
845,Filip Hallander,C,PIT,23.3,32,9.9,3,2,1,3,5
846,Arnaud Durandeau,LW,NYI,24.7,26,11.1,3,2,1,3,5
847,Jake Livingstone,D,NSH,24.5,35,14.0,1,1,3,5,5
848,Guillaume Brisebois,D,VAN,26.2,28,15.7,1,2,3,4,5
849,Nathan Smith,C,ARI,25,27,10.5,3,2,1,3,5
850,Will Cuylle,LW,NYR,21.7,33,9.2,3,2,1,3,5
851,Jake Leschyshyn,C,NYR,24.6,30,10.3,3,2,1,3,5
852,Nikita Okhotiuk,D,SJ,22.8,33,14.3,2,1,2,4,5
853,Nic Petan,C,MIN,28.5,21,11.2,2,2,1,3,5
