,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
61,96,8,100,MinMaxScaler(),0.51,0.46,-0.11,1.22,2.23,1.51,2.47
62,97,9,1,StandardScaler(),0.51,0.53,0.25,1.18,2.15,1.45,2.28
63,119,10,100,StandardScaler(),0.51,0.48,0.01,1.24,2.33,1.82,2.57
64,100,9,5,MinMaxScaler(),0.51,0.52,0.26,1.18,1.98,1.66,2.11
65,102,9,10,MinMaxScaler(),0.51,0.51,0.27,1.22,2.01,1.68,2.17
66,115,10,30,StandardScaler(),0.51,0.5,0.37,1.34,2.09,1.75,2.09
67,82,7,50,MinMaxScaler(),0.51,0.47,-0.05,1.21,2.24,1.64,2.32
68,103,9,30,StandardScaler(),0.51,0.47,0.0,1.16,2.38,1.83,2.2
69,1,1,1,StandardScaler(),0.51,0.52,0.23,1.21,2.19,1.66,2.18
70,67,6,30,StandardScaler(),0.51,0.47,0.06,1.13,2.18,1.62,1.79
71,41,4,10,StandardScaler(),0.51,0.47,0.12,1.2,2.28,1.77,2.2
72,34,3,50,MinMaxScaler(),0.51,0.47,0.08,1.2,2.19,1.51,2.43
73,44,4,30,MinMaxScaler(),0.51,0.47,0.03,1.13,2.16,1.72,2.37
74,32,3,30,MinMaxScaler(),0.51,0.49,-0.0,1.26,2.17,1.65,2.3
75,31,3,30,StandardScaler(),0.51,0.45,-0.01,1.13,2.54,1.52,2.36
76,30,3,10,MinMaxScaler(),0.51,0.51,0.02,1.3,2.07,1.8,2.16
77,29,3,10,StandardScaler(),0.51,0.48,0.05,1.16,2.34,1.82,2.29
78,28,3,5,MinMaxScaler(),0.51,0.51,0.24,1.42,2.17,1.88,2.31
79,27,3,5,StandardScaler(),0.51,0.5,0.05,1.2,2.31,1.63,2.38
80,51,5,5,StandardScaler(),0.51,0.5,0.13,1.21,2.33,1.7,2.32
81,53,5,10,StandardScaler(),0.51,0.48,0.11,1.17,2.39,1.7,2.22
82,22,2,50,MinMaxScaler(),0.51,0.45,0.03,1.22,2.77,1.78,2.34
83,37,4,1,StandardScaler(),0.51,0.51,0.05,1.17,2.13,1.56,2.31
84,55,5,30,StandardScaler(),0.51,0.45,0.04,1.25,2.42,1.51,2.15
85,16,2,5,MinMaxScaler(),0.51,0.51,0.14,1.19,1.92,1.7,2.17
86,64,6,5,MinMaxScaler(),0.51,0.51,0.24,1.33,2.06,1.85,2.33
87,10,1,50,MinMaxScaler(),0.51,0.44,0.03,1.04,2.27,1.55,1.99
88,5,1,10,StandardScaler(),0.51,0.47,0.0,1.11,2.43,1.73,2.31
89,17,2,10,StandardScaler(),0.51,0.47,0.11,1.23,2.36,1.6,2.07
90,2,1,1,MinMaxScaler(),0.52,0.54,0.13,1.07,1.88,1.53,1.96
91,105,9,50,StandardScaler(),0.52,0.45,0.01,1.22,2.32,1.67,2.27
92,7,1,30,StandardScaler(),0.52,0.43,-0.01,1.01,2.43,1.5,2.28
93,19,2,30,StandardScaler(),0.52,0.43,0.03,1.2,2.53,1.27,1.92
94,112,10,5,MinMaxScaler(),0.52,0.53,0.11,1.16,1.94,1.56,2.06
95,137,12,10,StandardScaler(),0.52,0.52,0.12,1.2,2.16,1.54,2.27
96,13,2,1,StandardScaler(),0.52,0.52,0.13,1.09,2.14,1.56,1.99
97,36,3,100,MinMaxScaler(),0.52,0.44,0.11,1.32,2.26,1.26,2.3
98,138,12,10,MinMaxScaler(),0.52,0.52,0.26,1.2,2.0,1.55,2.06
99,111,10,5,StandardScaler(),0.52,0.53,0.12,1.12,2.12,1.49,1.99
100,72,6,100,MinMaxScaler(),0.52,0.46,-0.06,1.31,2.06,1.67,2.29
101,74,7,1,MinMaxScaler(),0.52,0.53,0.15,1.12,1.89,1.5,1.98
102,43,4,30,StandardScaler(),0.52,0.42,-0.02,1.05,2.45,1.53,2.1
103,60,5,100,MinMaxScaler(),0.52,0.43,0.03,1.21,2.38,1.61,2.37
104,93,8,50,StandardScaler(),0.52,0.44,0.16,1.36,2.44,1.5,2.13
105,57,5,50,StandardScaler(),0.52,0.41,0.22,1.2,2.51,1.63,1.95
