,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
60,41,4,10,StandardScaler(),0.44,0.43,-0.01,1.02,2.3,1.85,2.49
61,31,3,30,StandardScaler(),0.44,0.42,-0.07,0.91,2.36,2.0,2.4
62,42,4,10,MinMaxScaler(),0.44,0.45,-0.01,1.02,2.07,1.78,2.26
63,30,3,10,MinMaxScaler(),0.44,0.46,-0.03,0.96,1.98,1.66,2.27
64,18,2,10,MinMaxScaler(),0.44,0.45,-0.0,1.0,1.99,1.6,2.32
65,3,1,5,StandardScaler(),0.44,0.44,-0.03,1.0,2.25,1.76,2.33
66,17,2,10,StandardScaler(),0.44,0.43,-0.05,0.93,1.93,1.83,2.23
67,44,4,30,MinMaxScaler(),0.44,0.43,-0.01,1.11,2.13,2.01,2.35
68,4,1,5,MinMaxScaler(),0.44,0.46,0.01,1.13,2.05,1.74,2.3
69,99,9,5,StandardScaler(),0.45,0.46,-0.1,1.02,2.16,1.6,2.18
70,16,2,5,MinMaxScaler(),0.45,0.47,-0.09,0.98,1.97,1.51,2.26
71,15,2,5,StandardScaler(),0.45,0.45,-0.1,1.07,2.08,1.63,2.26
72,119,10,100,StandardScaler(),0.45,0.44,-0.02,1.03,2.12,1.94,2.22
73,27,3,5,StandardScaler(),0.45,0.45,-0.0,1.05,2.09,1.58,2.15
74,93,8,50,StandardScaler(),0.45,0.39,-0.01,1.16,2.12,1.8,2.82
75,87,8,5,StandardScaler(),0.45,0.45,-0.01,1.05,2.07,1.76,2.22
76,24,2,100,MinMaxScaler(),0.45,0.42,-0.02,1.22,2.21,1.34,2.25
77,114,10,10,MinMaxScaler(),0.45,0.46,0.01,0.99,1.95,1.51,2.13
78,12,1,100,MinMaxScaler(),0.45,0.4,-0.01,0.99,1.99,2.03,2.63
79,28,3,5,MinMaxScaler(),0.45,0.46,0.09,1.1,2.06,1.72,2.35
80,117,10,50,StandardScaler(),0.45,0.44,-0.03,1.04,2.07,1.96,2.18
81,107,9,100,StandardScaler(),0.45,0.41,-0.04,1.0,2.31,1.66,2.38
82,21,2,50,StandardScaler(),0.45,0.37,-0.02,1.32,1.96,2.66,2.64
83,33,3,50,StandardScaler(),0.45,0.39,-0.03,0.74,2.29,1.83,2.39
84,142,12,50,MinMaxScaler(),0.45,0.47,0.05,1.03,2.0,1.72,2.13
85,141,12,50,StandardScaler(),0.45,0.46,0.01,1.01,2.13,1.83,2.17
86,140,12,30,MinMaxScaler(),0.45,0.47,0.04,1.02,1.98,1.67,2.1
87,46,4,50,MinMaxScaler(),0.45,0.41,-0.03,1.06,2.01,1.62,2.61
88,139,12,30,StandardScaler(),0.45,0.46,-0.04,1.06,2.1,1.87,2.19
89,55,5,30,StandardScaler(),0.45,0.43,-0.14,0.86,2.14,1.47,2.31
90,57,5,50,StandardScaler(),0.45,0.41,0.08,1.02,2.19,1.53,2.51
91,81,7,50,StandardScaler(),0.45,0.38,0.01,0.92,2.3,1.4,2.79
92,43,4,30,StandardScaler(),0.45,0.39,-0.06,1.0,1.9,1.54,2.58
93,60,5,100,MinMaxScaler(),0.45,0.41,-0.0,1.13,2.13,2.27,2.41
94,63,6,5,StandardScaler(),0.45,0.46,-0.08,1.0,2.11,1.88,2.23
95,64,6,5,MinMaxScaler(),0.45,0.46,0.0,1.02,1.99,1.72,2.22
96,69,6,50,StandardScaler(),0.45,0.41,-0.01,0.96,2.21,1.72,2.65
97,36,3,100,MinMaxScaler(),0.45,0.42,-0.02,0.79,2.26,1.97,2.32
98,113,10,10,StandardScaler(),0.46,0.47,-0.05,1.02,2.07,1.57,2.07
99,126,11,10,MinMaxScaler(),0.46,0.47,0.03,1.04,1.99,1.55,2.12
100,9,1,50,StandardScaler(),0.46,0.37,-0.02,0.98,2.39,1.82,2.37
101,123,11,5,StandardScaler(),0.46,0.47,0.08,1.08,2.13,1.56,2.05
102,137,12,10,StandardScaler(),0.46,0.46,-0.08,1.05,2.04,1.71,2.25
