,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
1,144,12,100,MinMaxScaler(),0.73,0.67,3.16,0.77,0.82,0.81,0.79
2,15,2,5,StandardScaler(),0.73,0.66,4.73,1.1,1.12,1.08,1.09
3,39,4,5,StandardScaler(),0.73,0.65,4.33,0.54,0.53,0.55,0.54
4,90,8,10,MinMaxScaler(),0.73,0.67,3.07,0.85,0.9,0.89,0.85
5,42,4,10,MinMaxScaler(),0.73,0.67,3.58,1.0,1.03,1.03,1.0
6,120,10,100,MinMaxScaler(),0.73,0.65,2.96,1.05,1.06,1.09,1.05
7,116,10,30,MinMaxScaler(),0.73,0.68,3.19,0.89,0.93,0.92,0.91
8,6,1,10,MinMaxScaler(),0.73,0.67,3.03,0.9,0.95,0.93,0.91
9,110,10,1,MinMaxScaler(),0.73,0.7,3.2,0.64,0.71,0.7,0.66
10,142,12,50,MinMaxScaler(),0.73,0.68,3.12,0.78,0.85,0.83,0.81
11,118,10,50,MinMaxScaler(),0.73,0.67,3.3,1.03,1.04,1.04,1.03
12,124,11,5,MinMaxScaler(),0.74,0.69,2.59,0.97,1.01,1.0,0.98
13,62,6,1,MinMaxScaler(),0.74,0.69,2.79,0.96,0.98,0.98,0.96
14,32,3,30,MinMaxScaler(),0.74,0.64,2.49,1.18,1.17,1.16,1.16
15,64,6,5,MinMaxScaler(),0.74,0.68,2.78,0.92,0.95,0.94,0.93
16,100,9,5,MinMaxScaler(),0.74,0.68,2.87,0.99,1.03,1.03,1.0
17,30,3,10,MinMaxScaler(),0.74,0.68,3.12,0.95,0.99,0.98,0.96
18,40,4,5,MinMaxScaler(),0.74,0.68,3.13,0.96,1.0,0.99,0.97
19,66,6,10,MinMaxScaler(),0.74,0.68,2.93,0.96,0.99,0.98,0.96
20,102,9,10,MinMaxScaler(),0.74,0.68,2.95,0.89,0.94,0.93,0.91
21,115,10,30,StandardScaler(),0.74,0.64,3.96,1.09,1.07,1.07,1.05
22,114,10,10,MinMaxScaler(),0.74,0.68,2.92,0.99,1.03,1.02,1.01
23,104,9,30,MinMaxScaler(),0.74,0.66,2.93,0.92,0.96,0.95,0.95
24,112,10,5,MinMaxScaler(),0.74,0.68,2.93,0.94,0.98,0.98,0.96
25,38,4,1,MinMaxScaler(),0.74,0.69,3.1,0.98,1.01,1.01,0.99
