x	y
0.000000	1.000000
0.100000	1.054030
0.200000	1.124530
0.300000	1.212849
0.400000	1.321566
0.500000	1.455035
0.600000	1.620384
0.700000	1.829431
0.800000	2.102554
0.900000	2.477243
1.000000	3.029150
1.100000	3.931503
1.200000	5.650471
1.300000	9.655657
1.400000	21.774790
1.500000	88.155470
1.600000	1254.061450
1.700000	252881.296440
1.800000	10871574396.479977
1.900000	21274403385347395584.000000
2.000000	85994045486471369896941662282492936192.000000
2.100000	1478995171825861817320434806946737559083328529003461153336095546196166180864.000000
2.200000	459359610839684306605403465831597936456733362633613690871945415484654205975452675500181188233107694800917242350394088608756823838974026587894831906816.000000
2.300000	46422475455572979122525293911975238679557622912172390387887487957081063530928089422681772219506040221021593138603903893426162014775283517046972487408497150411634904699726030662424367435920290684811838970460509823028150453892484741197848780598682249355685382244882671155995889444491135852526849490944.000000
2.400000	inf
2.500000	nan
2.600000	nan
2.700000	nan
2.800000	nan
2.900000	nan
3.000000	nan
3.100000	nan
3.200000	nan
3.300000	nan
3.400000	nan
3.500000	nan
3.600000	nan
3.700000	nan
3.800000	nan
3.900000	nan
4.000000	nan
4.100000	nan
4.200000	nan
4.300000	nan
4.400000	nan
4.500000	nan
4.600000	nan
4.700000	nan
4.800000	nan
4.900000	nan
5.000000	nan
5.100000	nan
5.200000	nan
5.300000	nan
5.400000	nan
5.500000	nan
5.600000	nan
5.700000	nan
5.800000	nan
5.900000	nan
6.000000	nan
6.100000	nan
6.200000	nan
6.300000	nan
6.400000	nan
6.500000	nan
6.600000	nan
6.700000	nan
6.800000	nan
6.900000	nan
7.000000	nan
7.100000	nan
7.200000	nan
7.300000	nan
7.400000	nan
7.500000	nan
7.600000	nan
7.700000	nan
7.800000	nan
7.900000	nan
8.000000	nan
8.100000	nan
8.200000	nan
8.300000	nan
8.400000	nan
8.500000	nan
8.600000	nan
8.700000	nan
8.800000	nan
8.900000	nan
9.000000	nan
9.100000	nan
9.200000	nan
9.300000	nan
9.400000	nan
9.500000	nan
9.600000	nan
9.700000	nan
9.800000	nan
9.900000	nan
10.000000	nan
