,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
60,89,8,10,StandardScaler(),0.5,0.36,0.5,0.37,0.54,0.56,0.69
61,132,11,100,MinMaxScaler(),0.5,0.4,0.33,0.53,0.76,0.73,0.66
62,51,5,5,StandardScaler(),0.5,0.43,0.49,0.65,0.72,0.63,0.72
63,17,2,10,StandardScaler(),0.5,0.36,0.68,0.41,1.34,1.27,1.3
64,39,4,5,StandardScaler(),0.5,0.41,0.5,0.87,1.02,1.03,0.99
65,120,10,100,MinMaxScaler(),0.5,0.39,0.32,0.37,0.71,0.62,0.59
66,53,5,10,StandardScaler(),0.5,0.36,0.39,0.47,0.93,0.78,0.84
67,15,2,5,StandardScaler(),0.5,0.43,0.74,0.62,1.03,1.04,1.03
68,32,3,30,MinMaxScaler(),0.5,0.37,0.2,0.14,0.53,0.53,0.56
69,41,4,10,StandardScaler(),0.5,0.31,0.47,0.41,1.07,1.08,1.03
70,29,3,10,StandardScaler(),0.5,0.39,0.31,0.54,0.66,0.61,0.61
71,7,1,30,StandardScaler(),0.51,0.22,0.59,0.25,0.35,0.4,0.32
72,77,7,10,StandardScaler(),0.51,0.31,0.12,0.29,0.98,0.93,0.89
73,91,8,30,StandardScaler(),0.51,0.25,0.35,0.41,0.64,0.61,0.75
74,82,7,50,MinMaxScaler(),0.51,0.24,0.06,0.11,0.8,0.86,0.85
75,103,9,30,StandardScaler(),0.51,0.33,0.58,0.23,1.27,1.29,1.25
76,115,10,30,StandardScaler(),0.51,0.41,0.3,0.47,0.68,0.64,0.61
77,99,9,5,StandardScaler(),0.51,0.47,0.12,0.57,0.88,0.87,0.9
78,139,12,30,StandardScaler(),0.51,0.45,0.31,0.6,1.15,1.11,1.12
79,141,12,50,StandardScaler(),0.51,0.42,0.3,0.62,1.32,1.25,1.28
80,94,8,50,MinMaxScaler(),0.51,0.32,0.38,0.61,0.55,0.55,0.54
81,20,2,30,MinMaxScaler(),0.52,0.34,0.33,0.67,1.23,1.21,1.24
82,63,6,5,StandardScaler(),0.52,0.46,0.6,0.86,0.73,0.71,0.65
83,55,5,30,StandardScaler(),0.52,0.23,0.43,0.19,1.23,0.85,0.94
84,143,12,100,StandardScaler(),0.52,0.39,0.21,0.52,1.27,1.27,1.32
85,73,7,1,StandardScaler(),0.52,0.49,0.33,0.38,0.95,1.04,1.05
86,67,6,30,StandardScaler(),0.52,0.3,0.73,0.5,1.08,1.04,1.02
87,49,5,1,StandardScaler(),0.53,0.5,0.45,0.64,0.95,0.85,0.98
88,96,8,100,MinMaxScaler(),0.53,0.23,0.34,0.52,0.55,0.67,0.67
89,117,10,50,StandardScaler(),0.53,0.38,0.16,0.36,0.44,0.42,0.43
90,111,10,5,StandardScaler(),0.53,0.51,0.29,0.36,0.46,0.45,0.4
91,34,3,50,MinMaxScaler(),0.53,0.28,0.08,0.49,0.17,0.16,0.23
