,Model ID,Parent Model ID,Epochs,Scaler,MSE Test,MSE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
60,32,3,30,MinMaxScaler(),0.83,0.6,4.7,2.63,1.96,4.11,3.09
61,67,6,30,StandardScaler(),0.83,0.27,7.61,3.33,3.16,4.78,1.76
62,134,12,1,MinMaxScaler(),0.85,1.03,2.36,2.19,2.24,2.61,1.41
63,8,1,30,MinMaxScaler(),0.87,0.2,3.54,0.86,1.92,1.88,2.38
64,5,1,10,StandardScaler(),0.87,0.34,5.81,2.33,3.01,4.05,2.9
65,122,11,1,MinMaxScaler(),0.87,0.99,2.26,1.84,1.78,2.64,1.57
66,141,12,50,StandardScaler(),0.87,0.58,5.35,3.96,2.57,6.05,4.11
67,37,4,1,StandardScaler(),0.87,0.97,8.2,4.06,4.5,7.91,4.27
68,115,10,30,StandardScaler(),0.88,0.56,4.02,1.65,1.61,3.74,2.5
69,108,9,100,MinMaxScaler(),0.88,0.21,5.71,1.83,1.48,3.17,2.32
70,143,12,100,StandardScaler(),0.89,0.47,5.55,4.33,3.38,6.12,4.38
71,139,12,30,StandardScaler(),0.9,0.7,5.53,3.85,2.53,5.92,3.83
72,58,5,50,MinMaxScaler(),0.91,0.11,4.53,3.17,1.58,3.32,2.1
73,94,8,50,MinMaxScaler(),0.91,0.19,5.61,3.56,1.74,4.18,2.76
74,55,5,30,StandardScaler(),0.92,0.04,7.83,4.79,3.59,4.78,4.4
75,120,10,100,MinMaxScaler(),0.92,0.45,4.0,2.23,1.29,1.59,2.87
76,113,10,10,StandardScaler(),0.92,0.86,3.79,1.14,2.32,2.97,1.87
77,41,4,10,StandardScaler(),0.92,0.14,7.38,3.28,3.56,6.71,3.58
78,99,9,5,StandardScaler(),0.93,1.04,4.12,2.63,2.93,3.75,2.81
79,49,5,1,StandardScaler(),0.93,1.08,6.04,2.68,3.53,4.63,2.24
80,85,8,1,StandardScaler(),0.93,1.05,3.54,2.62,3.68,4.08,1.61
81,127,11,30,StandardScaler(),0.93,0.55,7.11,3.13,2.03,5.8,3.07
82,79,7,30,StandardScaler(),0.94,0.0,6.65,2.94,3.18,4.72,3.16
83,103,9,30,StandardScaler(),0.94,0.33,6.17,2.61,2.73,4.56,3.59
84,13,2,1,StandardScaler(),0.96,1.2,3.16,1.87,3.01,3.2,1.19
85,125,11,10,StandardScaler(),0.98,0.81,7.1,3.14,3.14,6.81,2.82
86,48,4,100,MinMaxScaler(),0.98,0.0,4.79,2.17,2.21,3.52,2.45
87,44,4,30,MinMaxScaler(),0.98,0.06,4.87,2.12,2.07,3.68,2.33
88,70,6,50,MinMaxScaler(),0.99,0.21,6.3,3.05,1.95,4.35,3.09
89,82,7,50,MinMaxScaler(),0.99,0.03,4.1,2.38,2.2,3.4,2.87
90,46,4,50,MinMaxScaler(),0.99,0.0,4.92,2.43,2.6,3.86,2.58
91,43,4,30,StandardScaler(),1.0,0.0,5.82,2.31,3.02,5.99,3.55
92,60,5,100,MinMaxScaler(),1.0,0.01,3.89,3.41,0.38,3.88,2.0
93,2,1,1,MinMaxScaler(),1.01,1.13,2.12,1.52,1.7,2.02,1.26
94,34,3,50,MinMaxScaler(),1.01,0.28,6.48,4.43,2.69,6.02,4.03
95,31,3,30,StandardScaler(),1.01,0.22,8.94,4.38,3.62,7.79,4.5
96,73,7,1,StandardScaler(),1.02,1.14,10.37,4.09,5.08,7.26,4.03
97,129,11,50,StandardScaler(),1.03,0.36,6.74,3.21,0.9,4.31,2.71
98,137,12,10,StandardScaler(),1.04,1.04,6.26,4.94,4.31,7.42,2.86
99,91,8,30,StandardScaler(),1.06,0.06,7.9,2.79,3.05,5.96,2.73
100,10,1,50,MinMaxScaler(),1.06,0.01,2.88,0.31,1.61,1.72,2.2
101,84,7,100,MinMaxScaler(),1.07,0.0,4.46,2.48,2.7,3.25,2.88
102,12,1,100,MinMaxScaler(),1.08,0.0,3.15,0.72,1.51,2.07,2.13
