,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
60,87,8,5,StandardScaler(),0.22,0.21,1.31,1.51,1.41,0.55,0.55
61,2,1,1,MinMaxScaler(),0.22,0.22,1.43,1.72,1.63,0.46,0.54
62,86,8,1,MinMaxScaler(),0.22,0.22,1.42,1.66,1.6,0.47,0.56
63,101,9,10,StandardScaler(),0.22,0.2,1.28,1.57,1.44,0.61,0.58
64,22,2,50,MinMaxScaler(),0.22,0.19,1.38,1.96,1.19,0.59,0.63
65,108,9,100,MinMaxScaler(),0.22,0.2,1.61,1.74,1.61,0.55,0.61
66,20,2,30,MinMaxScaler(),0.22,0.21,1.51,1.69,1.63,0.59,0.67
67,111,10,5,StandardScaler(),0.22,0.22,1.22,1.53,1.3,0.51,0.6
68,113,10,10,StandardScaler(),0.22,0.21,1.27,1.46,1.35,0.49,0.59
69,85,8,1,StandardScaler(),0.22,0.22,1.38,1.39,1.56,0.69,0.64
70,115,10,30,StandardScaler(),0.22,0.21,1.3,1.33,1.45,0.49,0.58
71,17,2,10,StandardScaler(),0.22,0.19,1.42,1.47,1.52,0.55,0.6
72,117,10,50,StandardScaler(),0.22,0.2,1.35,1.13,1.51,0.49,0.58
73,16,2,5,MinMaxScaler(),0.22,0.22,1.39,1.6,1.58,0.47,0.54
74,5,1,10,StandardScaler(),0.22,0.18,1.29,1.34,1.29,0.65,0.58
75,122,11,1,MinMaxScaler(),0.22,0.22,1.4,1.66,1.58,0.5,0.6
76,123,11,5,StandardScaler(),0.22,0.22,1.38,1.58,1.58,0.58,0.61
77,124,11,5,MinMaxScaler(),0.22,0.22,1.42,1.65,1.62,0.47,0.57
78,8,1,30,MinMaxScaler(),0.22,0.21,1.41,1.32,1.58,0.57,0.65
79,129,11,50,StandardScaler(),0.22,0.2,1.52,1.5,1.67,0.62,0.63
80,134,12,1,MinMaxScaler(),0.22,0.23,1.32,1.77,1.44,0.54,0.63
81,82,7,50,MinMaxScaler(),0.22,0.19,1.48,1.57,1.37,0.59,0.66
82,25,3,1,StandardScaler(),0.22,0.22,1.43,1.74,1.61,0.43,0.63
83,72,6,100,MinMaxScaler(),0.22,0.21,1.67,1.15,1.69,0.64,0.68
84,34,3,50,MinMaxScaler(),0.22,0.2,1.43,1.36,1.55,0.58,0.68
85,58,5,50,MinMaxScaler(),0.22,0.2,1.37,1.41,1.45,0.58,0.64
86,56,5,30,MinMaxScaler(),0.22,0.21,1.42,1.53,1.61,0.59,0.68
87,65,6,10,StandardScaler(),0.22,0.2,1.41,1.62,1.58,0.51,0.57
88,53,5,10,StandardScaler(),0.22,0.19,1.59,1.58,1.65,0.59,0.6
89,36,3,100,MinMaxScaler(),0.22,0.19,1.38,2.03,1.3,0.61,0.7
90,51,5,5,StandardScaler(),0.22,0.2,1.44,1.57,1.57,0.54,0.57
91,67,6,30,StandardScaler(),0.22,0.18,1.42,1.66,1.5,0.57,0.57
