,Model ID,Parent Model ID,Epochs,Scaler,MSE Test,MSE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
1,88,8,5,MinMaxScaler(),0.43,0.33,0.89,0.66,0.62,1.2,0.62
2,100,9,5,MinMaxScaler(),0.43,0.34,1.05,0.82,0.6,1.07,0.74
3,124,11,5,MinMaxScaler(),0.43,0.35,0.76,0.84,0.61,1.1,0.83
4,38,4,1,MinMaxScaler(),0.43,0.35,0.96,0.76,0.66,1.12,0.83
5,90,8,10,MinMaxScaler(),0.44,0.3,0.69,0.62,0.63,1.15,0.59
6,28,3,5,MinMaxScaler(),0.44,0.33,0.85,0.62,0.58,1.08,0.74
7,26,3,1,MinMaxScaler(),0.44,0.35,0.95,0.8,0.68,1.17,0.97
8,126,11,10,MinMaxScaler(),0.44,0.33,0.71,0.71,0.49,1.1,0.68
9,116,10,30,MinMaxScaler(),0.44,0.31,0.66,0.67,0.53,1.04,0.47
10,74,7,1,MinMaxScaler(),0.44,0.35,0.91,0.72,0.68,1.22,0.83
11,114,10,10,MinMaxScaler(),0.44,0.34,0.96,0.84,0.6,1.13,0.7
12,16,2,5,MinMaxScaler(),0.44,0.33,0.9,0.68,0.56,1.11,0.62
13,4,1,5,MinMaxScaler(),0.44,0.32,0.89,0.69,0.58,1.12,0.68
14,76,7,5,MinMaxScaler(),0.44,0.32,0.62,0.6,0.5,1.02,0.54
15,102,9,10,MinMaxScaler(),0.44,0.32,0.87,0.64,0.58,0.98,0.41
16,66,6,10,MinMaxScaler(),0.45,0.33,0.91,0.77,0.61,1.17,0.69
17,50,5,1,MinMaxScaler(),0.45,0.37,0.86,0.78,0.71,1.08,0.94
18,52,5,5,MinMaxScaler(),0.45,0.32,0.59,0.61,0.54,1.08,0.59
19,101,9,10,StandardScaler(),0.45,0.27,0.62,0.27,0.64,0.89,0.82
20,112,10,5,MinMaxScaler(),0.45,0.37,0.93,0.83,0.58,1.13,0.77
21,136,12,5,MinMaxScaler(),0.45,0.37,0.74,0.82,0.53,1.0,0.73
22,27,3,5,StandardScaler(),0.45,0.34,0.72,0.64,0.35,1.33,0.37
23,64,6,5,MinMaxScaler(),0.45,0.35,0.98,0.81,0.65,1.22,0.81
24,140,12,30,MinMaxScaler(),0.45,0.33,0.81,0.8,0.63,1.03,0.65
25,30,3,10,MinMaxScaler(),0.45,0.31,0.66,0.55,0.56,1.01,0.57
26,40,4,5,MinMaxScaler(),0.45,0.32,0.83,0.65,0.6,1.22,0.58
27,138,12,10,MinMaxScaler(),0.45,0.35,0.84,0.79,0.53,0.95,0.7
28,128,11,30,MinMaxScaler(),0.45,0.31,0.59,0.68,0.53,1.14,0.52
29,118,10,50,MinMaxScaler(),0.46,0.29,0.57,0.61,0.65,1.01,0.46
30,39,4,5,StandardScaler(),0.46,0.24,0.57,0.53,0.74,1.11,0.6
31,42,4,10,MinMaxScaler(),0.46,0.26,0.37,0.6,0.59,1.18,0.56
32,144,12,100,MinMaxScaler(),0.46,0.3,0.16,0.66,0.61,1.03,0.21
33,29,3,10,StandardScaler(),0.46,0.27,0.44,0.49,0.41,1.01,0.19
34,6,1,10,MinMaxScaler(),0.46,0.29,0.44,0.6,0.59,0.88,0.45
35,142,12,50,MinMaxScaler(),0.46,0.32,0.51,0.68,0.59,0.97,0.41
36,122,11,1,MinMaxScaler(),0.46,0.38,0.6,0.79,0.52,0.95,0.81
37,18,2,10,MinMaxScaler(),0.46,0.3,0.67,0.65,0.57,1.08,0.36
38,99,9,5,StandardScaler(),0.46,0.36,1.12,0.26,0.58,0.63,0.65
39,130,11,50,MinMaxScaler(),0.46,0.29,0.42,0.66,0.51,1.02,0.43
40,78,7,10,MinMaxScaler(),0.46,0.27,0.29,0.59,0.6,1.16,0.47
41,86,8,1,MinMaxScaler(),0.46,0.37,1.14,0.92,0.82,1.55,0.97
42,15,2,5,StandardScaler(),0.47,0.3,0.79,0.56,0.53,0.91,0.41
43,68,6,30,MinMaxScaler(),0.47,0.27,0.52,0.61,0.54,1.19,0.43
44,106,9,50,MinMaxScaler(),0.47,0.23,0.22,0.51,0.77,0.94,0.28
45,104,9,30,MinMaxScaler(),0.47,0.28,0.48,0.5,0.65,1.03,0.13
46,75,7,5,StandardScaler(),0.47,0.26,0.28,0.48,0.6,0.78,0.57
47,3,1,5,StandardScaler(),0.47,0.3,0.61,0.82,0.61,1.33,0.6
