,Model ID,Parent Model ID,Epochs,Scaler,MSE Test,MSE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
1,54,5,10,MinMaxScaler(),0.02,0.02,0.84,0.65,0.72,0.95,0.6
2,4,1,5,MinMaxScaler(),0.02,0.02,0.82,0.7,0.72,0.98,0.55
3,40,4,5,MinMaxScaler(),0.02,0.02,0.88,0.63,0.7,0.99,0.61
4,88,8,5,MinMaxScaler(),0.02,0.02,0.82,0.64,0.64,0.95,0.62
5,104,9,30,MinMaxScaler(),0.03,0.02,0.74,0.6,0.66,0.9,0.6
6,48,4,100,MinMaxScaler(),0.03,0.0,1.03,0.79,0.62,1.11,0.67
7,106,9,50,MinMaxScaler(),0.03,0.01,0.74,0.54,0.62,0.9,0.64
8,46,4,50,MinMaxScaler(),0.03,0.0,1.19,0.91,0.76,1.14,0.72
9,44,4,30,MinMaxScaler(),0.03,0.0,0.86,0.84,0.76,1.15,0.79
10,42,4,10,MinMaxScaler(),0.03,0.01,0.9,0.62,0.68,1.06,0.6
11,112,10,5,MinMaxScaler(),0.03,0.02,0.88,0.63,0.66,0.89,0.53
12,39,4,5,StandardScaler(),0.03,0.01,1.3,0.92,0.93,1.43,0.69
13,78,7,10,MinMaxScaler(),0.03,0.02,0.8,0.79,0.75,0.93,0.72
14,113,10,10,StandardScaler(),0.03,0.02,1.39,0.95,0.93,1.33,0.68
15,114,10,10,MinMaxScaler(),0.03,0.02,0.8,0.59,0.61,0.83,0.53
16,102,9,10,MinMaxScaler(),0.03,0.02,0.7,0.6,0.63,0.87,0.56
17,52,5,5,MinMaxScaler(),0.03,0.02,0.73,0.55,0.61,0.8,0.51
18,144,12,100,MinMaxScaler(),0.03,0.02,0.72,0.57,0.63,0.87,0.61
19,100,9,5,MinMaxScaler(),0.03,0.02,0.78,0.58,0.6,0.84,0.49
20,56,5,30,MinMaxScaler(),0.03,0.01,0.87,0.71,0.62,0.98,0.55
21,98,9,1,MinMaxScaler(),0.03,0.03,0.73,0.52,0.55,0.81,0.42
22,90,8,10,MinMaxScaler(),0.03,0.02,0.76,0.58,0.62,0.9,0.63
23,62,6,1,MinMaxScaler(),0.03,0.03,0.82,0.57,0.61,0.61,0.37
