,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
61,1,1,1,StandardScaler(),0.66,0.65,1.63,1.48,2.33,1.46,1.46
62,3,1,5,StandardScaler(),0.66,0.54,1.38,1.58,1.9,1.84,1.67
63,8,1,30,MinMaxScaler(),0.66,0.38,1.18,1.61,1.71,1.81,1.95
64,37,4,1,StandardScaler(),0.66,0.64,1.92,1.65,2.25,1.7,1.95
65,29,3,10,StandardScaler(),0.66,0.52,1.38,2.21,2.44,1.55,1.58
66,53,5,10,StandardScaler(),0.66,0.51,1.59,1.66,1.4,2.13,1.75
67,27,3,5,StandardScaler(),0.66,0.59,1.28,1.88,2.19,1.54,1.6
68,26,3,1,MinMaxScaler(),0.66,0.65,1.44,1.56,1.67,1.58,1.18
69,14,2,1,MinMaxScaler(),0.66,0.65,1.43,1.53,1.7,1.3,1.29
70,20,2,30,MinMaxScaler(),0.66,0.49,0.55,1.12,2.02,1.3,1.93
71,17,2,10,StandardScaler(),0.66,0.5,1.47,1.38,2.9,1.84,1.51
72,122,11,1,MinMaxScaler(),0.67,0.65,1.57,1.55,1.69,1.37,1.07
73,32,3,30,MinMaxScaler(),0.67,0.56,1.65,1.71,2.08,1.56,1.69
74,39,4,5,StandardScaler(),0.67,0.55,1.02,1.63,2.48,1.87,1.48
75,85,8,1,StandardScaler(),0.67,0.7,1.52,1.77,2.06,1.19,1.5
76,111,10,5,StandardScaler(),0.67,0.67,1.93,1.69,2.13,1.47,1.66
77,94,8,50,MinMaxScaler(),0.67,0.44,1.22,1.32,2.06,1.72,1.82
78,143,12,100,StandardScaler(),0.67,0.57,0.97,1.22,2.46,1.67,1.28
79,13,2,1,StandardScaler(),0.67,0.7,1.59,1.7,2.67,1.41,1.07
80,5,1,10,StandardScaler(),0.67,0.4,1.17,1.87,1.83,1.87,1.61
81,98,9,1,MinMaxScaler(),0.67,0.66,1.64,1.68,1.94,1.61,1.58
82,125,11,10,StandardScaler(),0.68,0.6,1.47,1.47,2.01,1.91,1.39
83,50,5,1,MinMaxScaler(),0.68,0.67,1.41,1.47,1.49,1.27,1.17
84,127,11,30,StandardScaler(),0.68,0.56,1.19,1.36,1.8,2.08,1.29
85,41,4,10,StandardScaler(),0.68,0.38,0.45,1.8,2.02,2.01,1.57
86,67,6,30,StandardScaler(),0.68,0.46,1.24,1.85,2.29,1.39,1.3
87,137,12,10,StandardScaler(),0.68,0.65,2.04,1.84,2.54,2.06,1.54
88,103,9,30,StandardScaler(),0.68,0.49,1.94,1.27,2.7,2.84,1.62
89,25,3,1,StandardScaler(),0.69,0.68,1.43,1.78,1.76,1.65,1.55
90,110,10,1,MinMaxScaler(),0.69,0.68,1.48,1.54,1.56,1.29,1.48
91,108,9,100,MinMaxScaler(),0.69,0.5,1.54,1.62,2.29,1.9,1.46
92,129,11,50,StandardScaler(),0.69,0.52,1.18,1.62,1.8,2.33,0.93
