,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
60,34,3,50,MinMaxScaler(),0.13,0.07,1.11,0.85,0.66,1.19,0.76
61,44,4,30,MinMaxScaler(),0.13,0.06,1.14,0.63,0.73,1.48,0.71
62,20,2,30,MinMaxScaler(),0.13,0.08,1.04,0.58,0.62,1.39,0.59
63,94,8,50,MinMaxScaler(),0.14,0.05,1.02,0.54,0.64,1.45,0.65
64,127,11,30,StandardScaler(),0.14,0.09,1.56,1.11,1.12,1.47,0.56
65,80,7,30,MinMaxScaler(),0.14,0.06,1.05,0.7,0.7,1.4,0.69
66,113,10,10,StandardScaler(),0.14,0.12,1.59,0.84,1.06,1.38,0.4
67,139,12,30,StandardScaler(),0.14,0.12,1.01,0.32,0.69,1.24,0.77
68,82,7,50,MinMaxScaler(),0.14,0.04,0.74,0.41,0.51,1.34,0.54
69,84,7,100,MinMaxScaler(),0.14,0.02,0.7,0.7,0.62,1.6,0.63
70,141,12,50,StandardScaler(),0.14,0.1,0.89,0.61,0.64,1.2,0.87
71,129,11,50,StandardScaler(),0.14,0.08,1.29,1.01,1.06,1.53,0.64
72,119,10,100,StandardScaler(),0.14,0.08,2.73,0.77,1.73,2.31,0.78
73,1,1,1,StandardScaler(),0.14,0.14,1.63,1.23,1.04,1.69,0.86
74,143,12,100,StandardScaler(),0.14,0.09,0.83,0.69,0.6,1.25,0.79
75,46,4,50,MinMaxScaler(),0.14,0.03,0.69,0.51,0.64,1.08,0.55
76,45,4,50,StandardScaler(),0.14,0.02,0.78,0.55,0.75,1.21,0.57
77,43,4,30,StandardScaler(),0.14,0.03,0.89,0.51,0.52,1.09,0.65
78,41,4,10,StandardScaler(),0.14,0.04,1.39,0.8,0.78,1.81,0.56
79,29,3,10,StandardScaler(),0.14,0.07,1.39,1.13,0.92,1.74,0.77
80,58,5,50,MinMaxScaler(),0.14,0.04,0.8,0.58,0.57,1.18,0.7
81,47,4,100,StandardScaler(),0.14,0.01,0.73,0.71,0.7,1.27,0.68
82,22,2,50,MinMaxScaler(),0.14,0.06,0.9,0.46,0.65,1.21,0.57
83,48,4,100,MinMaxScaler(),0.14,0.02,0.53,0.49,0.51,0.84,0.43
84,9,1,50,StandardScaler(),0.14,0.02,0.97,0.94,0.9,1.76,0.85
85,15,2,5,StandardScaler(),0.14,0.09,1.68,0.69,0.86,1.99,0.74
86,12,1,100,MinMaxScaler(),0.14,0.03,0.57,0.61,0.41,1.02,0.59
87,10,1,50,MinMaxScaler(),0.14,0.03,0.68,0.74,0.45,1.24,0.67
88,69,6,50,StandardScaler(),0.14,0.04,0.38,0.53,0.65,1.27,0.53
89,11,1,100,StandardScaler(),0.14,0.01,1.14,0.81,0.81,1.51,0.79
90,17,2,10,StandardScaler(),0.14,0.07,1.56,0.57,0.95,1.89,0.76
91,19,2,30,StandardScaler(),0.15,0.03,1.65,0.68,0.53,1.59,0.82
92,7,1,30,StandardScaler(),0.15,0.03,1.28,1.15,0.69,1.85,0.71
93,39,4,5,StandardScaler(),0.15,0.07,1.29,0.89,0.8,1.41,0.51
94,31,3,30,StandardScaler(),0.15,0.04,1.62,1.21,1.08,2.02,0.68
95,27,3,5,StandardScaler(),0.15,0.1,1.29,1.13,0.83,1.54,0.88
96,24,2,100,MinMaxScaler(),0.15,0.03,0.81,0.43,0.7,1.33,0.55
97,131,11,100,StandardScaler(),0.15,0.06,1.46,1.43,0.95,1.84,0.79
98,21,2,50,StandardScaler(),0.15,0.03,1.52,0.32,0.6,1.74,0.66
99,37,4,1,StandardScaler(),0.15,0.14,1.7,1.36,1.25,2.1,0.9
100,23,2,100,StandardScaler(),0.15,0.01,1.53,0.74,0.83,1.57,0.58
101,72,6,100,MinMaxScaler(),0.15,0.05,0.52,0.44,0.65,1.14,0.51
102,60,5,100,MinMaxScaler(),0.15,0.02,0.64,0.64,0.64,1.38,0.76
103,89,8,10,StandardScaler(),0.15,0.07,1.25,0.9,0.56,1.05,0.61
104,79,7,30,StandardScaler(),0.15,0.03,0.6,0.86,0.73,1.33,0.58
105,51,5,5,StandardScaler(),0.15,0.1,1.62,0.99,0.65,1.66,0.71
106,75,7,5,StandardScaler(),0.15,0.08,1.24,1.16,0.66,1.5,0.58
107,77,7,10,StandardScaler(),0.15,0.05,1.08,0.95,0.73,1.42,0.72
108,96,8,100,MinMaxScaler(),0.15,0.03,1.31,0.46,0.64,1.54,0.58
109,53,5,10,StandardScaler(),0.15,0.06,1.01,0.92,0.77,1.4,0.62
110,59,5,100,StandardScaler(),0.16,0.01,0.7,0.9,0.43,1.57,0.42
111,91,8,30,StandardScaler(),0.16,0.03,1.09,0.6,0.41,1.14,0.6
112,55,5,30,StandardScaler(),0.16,0.04,0.48,0.87,0.53,0.81,0.49
113,83,7,100,StandardScaler(),0.16,0.01,-0.1,0.84,0.55,1.64,0.57
114,33,3,50,StandardScaler(),0.16,0.03,1.7,1.07,0.89,2.26,0.53
115,103,9,30,StandardScaler(),0.16,0.06,0.12,0.96,0.23,0.73,0.89
116,71,6,100,StandardScaler(),0.17,0.03,-0.62,0.32,0.33,0.77,0.22
117,35,3,100,StandardScaler(),0.17,0.02,1.95,0.99,0.69,2.26,0.18
118,81,7,50,StandardScaler(),0.17,0.02,0.1,0.96,0.65,1.69,0.56
119,57,5,50,StandardScaler(),0.17,0.03,0.29,0.78,-0.05,1.06,0.23
120,105,9,50,StandardScaler(),0.17,0.04,-0.2,0.86,0.5,0.47,0.74
121,101,9,10,StandardScaler(),0.17,0.1,0.36,1.05,0.47,1.28,0.88
122,125,11,10,StandardScaler(),0.17,0.13,1.24,0.6,0.64,0.98,0.45
123,87,8,5,StandardScaler(),0.17,0.1,1.37,0.93,0.76,0.9,0.47
124,107,9,100,StandardScaler(),0.18,0.03,-0.37,0.76,-0.43,-0.32,0.22
125,25,3,1,StandardScaler(),0.18,0.15,0.94,1.19,0.66,1.13,0.82
126,93,8,50,StandardScaler(),0.18,0.02,1.44,0.09,0.66,1.57,0.42
127,73,7,1,StandardScaler(),0.19,0.18,0.82,1.02,0.32,0.55,0.24
128,95,8,100,StandardScaler(),0.19,0.02,1.07,-0.25,0.54,1.25,-0.02
129,137,12,10,StandardScaler(),0.2,0.19,1.59,0.2,0.98,1.35,0.73
130,13,2,1,StandardScaler(),0.2,0.19,3.46,2.16,2.07,4.0,1.45
131,99,9,5,StandardScaler(),0.21,0.17,0.43,1.18,0.15,1.64,1.01
132,85,8,1,StandardScaler(),0.21,0.2,0.93,1.07,1.19,1.37,0.14
