,Model ID,Parent Model ID,Epochs,Scaler,MAE Test,MAE Train,Proj. 1,Proj. 2,Proj. 3,Proj. 4,Proj. 5
60,99,9,5,StandardScaler(),0.75,0.71,3.73,5.14,1.86,2.84,2.86
61,63,6,5,StandardScaler(),0.75,0.71,4.57,4.34,2.72,1.78,2.92
62,117,10,50,StandardScaler(),0.75,0.58,3.3,4.22,1.58,1.17,3.07
63,127,11,30,StandardScaler(),0.75,0.62,3.23,3.94,2.54,2.12,2.61
64,39,4,5,StandardScaler(),0.75,0.61,3.55,4.97,2.92,2.32,3.26
65,110,10,1,MinMaxScaler(),0.75,0.78,1.54,1.86,0.85,1.43,1.46
66,87,8,5,StandardScaler(),0.75,0.67,3.85,4.38,2.82,2.15,3.48
67,51,5,5,StandardScaler(),0.75,0.68,3.63,4.54,2.69,2.03,2.95
68,27,3,5,StandardScaler(),0.75,0.7,4.74,4.78,3.03,2.4,2.94
69,101,9,10,StandardScaler(),0.75,0.65,3.85,5.18,2.27,2.06,3.12
70,3,1,5,StandardScaler(),0.76,0.64,4.49,5.13,3.5,2.17,3.47
71,125,11,10,StandardScaler(),0.76,0.68,3.47,4.38,2.92,1.83,2.94
72,44,4,30,MinMaxScaler(),0.76,0.49,2.33,3.92,2.2,1.78,2.76
73,29,3,10,StandardScaler(),0.76,0.63,4.19,5.04,3.08,2.67,3.35
74,75,7,5,StandardScaler(),0.76,0.63,4.04,4.99,2.8,2.71,3.18
75,37,4,1,StandardScaler(),0.76,0.73,4.28,5.95,2.87,2.19,3.09
76,143,12,100,StandardScaler(),0.76,0.63,3.01,3.51,1.97,2.14,2.86
77,20,2,30,MinMaxScaler(),0.76,0.57,3.1,5.04,2.3,2.09,3.2
78,17,2,10,StandardScaler(),0.76,0.57,3.82,4.24,2.94,2.11,3.2
79,77,7,10,StandardScaler(),0.77,0.5,3.9,4.5,2.97,2.7,3.17
80,53,5,10,StandardScaler(),0.77,0.57,3.28,4.68,2.58,2.29,3.17
81,103,9,30,StandardScaler(),0.77,0.55,3.12,5.03,1.95,1.89,3.2
82,129,11,50,StandardScaler(),0.78,0.58,3.72,4.33,2.68,2.19,2.62
83,137,12,10,StandardScaler(),0.78,0.74,4.51,4.41,2.47,1.31,3.08
84,94,8,50,MinMaxScaler(),0.78,0.57,2.44,3.71,2.0,0.87,3.18
85,119,10,100,StandardScaler(),0.78,0.53,3.78,4.94,1.92,1.17,3.0
86,1,1,1,StandardScaler(),0.78,0.77,5.71,5.83,2.3,2.09,2.92
87,5,1,10,StandardScaler(),0.78,0.51,3.97,4.71,3.45,1.8,3.33
88,67,6,30,StandardScaler(),0.78,0.53,2.9,4.62,3.05,1.6,3.1
89,73,7,1,StandardScaler(),0.78,0.75,3.91,5.15,2.18,2.0,2.29
90,41,4,10,StandardScaler(),0.78,0.46,4.08,5.05,2.9,2.33,3.61
91,34,3,50,MinMaxScaler(),0.78,0.52,3.01,3.77,2.66,1.89,2.95
92,72,6,100,MinMaxScaler(),0.79,0.55,3.31,3.98,1.98,1.32,3.04
93,13,2,1,StandardScaler(),0.79,0.81,4.07,3.94,1.54,1.92,2.47
94,62,6,1,MinMaxScaler(),0.79,0.8,1.96,2.01,1.2,1.08,1.45
95,131,11,100,StandardScaler(),0.79,0.51,2.88,4.04,2.61,1.91,2.52
96,123,11,5,StandardScaler(),0.79,0.74,4.12,4.76,3.32,1.42,2.86
97,85,8,1,StandardScaler(),0.8,0.78,5.48,5.44,3.33,1.64,4.04
98,96,8,100,MinMaxScaler(),0.8,0.4,2.58,4.69,1.94,0.93,3.11
99,91,8,30,StandardScaler(),0.8,0.42,2.99,2.65,2.17,2.23,3.44
100,82,7,50,MinMaxScaler(),0.8,0.4,2.5,4.56,2.1,1.52,2.88
101,111,10,5,StandardScaler(),0.8,0.79,4.22,4.78,1.46,2.04,3.25
102,22,2,50,MinMaxScaler(),0.81,0.43,2.94,4.17,2.39,2.02,3.16
103,79,7,30,StandardScaler(),0.81,0.25,2.87,4.54,2.8,1.97,3.07
104,43,4,30,StandardScaler(),0.82,0.22,3.48,5.84,2.43,3.72,3.6
105,55,5,30,StandardScaler(),0.82,0.39,3.31,5.31,2.3,2.15,2.6
106,84,7,100,MinMaxScaler(),0.82,0.22,2.15,4.4,2.12,1.27,2.98
107,46,4,50,MinMaxScaler(),0.83,0.26,2.56,5.44,2.22,2.07,3.69
108,58,5,50,MinMaxScaler(),0.83,0.51,2.54,4.78,3.83,1.12,3.7
109,97,9,1,StandardScaler(),0.83,0.84,4.12,4.86,0.47,3.66,1.85
110,105,9,50,StandardScaler(),0.83,0.46,2.85,4.82,1.59,2.09,2.75
111,69,6,50,StandardScaler(),0.84,0.42,2.98,3.9,2.88,1.05,3.6
112,31,3,30,StandardScaler(),0.84,0.45,3.77,4.39,2.91,2.26,2.94
113,7,1,30,StandardScaler(),0.85,0.26,3.84,3.85,3.0,1.6,3.23
114,48,4,100,MinMaxScaler(),0.86,0.12,2.66,5.0,2.45,2.27,3.36
115,60,5,100,MinMaxScaler(),0.86,0.41,2.61,4.61,1.9,1.63,1.96
116,10,1,50,MinMaxScaler(),0.86,0.37,3.98,4.29,3.05,1.7,2.94
117,19,2,30,StandardScaler(),0.86,0.32,4.39,4.53,2.69,1.9,4.61
118,25,3,1,StandardScaler(),0.86,0.88,3.55,3.18,1.83,1.71,1.78
119,45,4,50,StandardScaler(),0.87,0.12,2.48,6.37,1.49,2.21,3.84
120,36,3,100,MinMaxScaler(),0.87,0.43,2.77,3.81,2.17,2.19,3.06
121,47,4,100,StandardScaler(),0.88,0.08,2.71,4.61,2.35,2.64,4.18
122,81,7,50,StandardScaler(),0.88,0.14,2.02,4.7,2.94,2.04,3.48
